t,value
1574467857,-1.1649264E7
1574467858,-1.1946352E7
1574467859,-1.2219496E7
1574467860,-1.2353256E7
1574467861,-1.2453824E7
1574467862,-1.2638824E7
1574467863,-1.2689368E7
1574467864,-1.2735952E7
1574467865,-1.2740112E7
1574467866,-1.2756392E7
1574467867,-1.2761064E7
1574467868,-1.2767112E7
1574467869,-1.277268E7
1574467870,-1.2773736E7
1574467871,-1.2779304E7
1574467872,-1.2779304E7
1574467873,-1.2815272E7
1574467874,-1.2816168E7
1574467875,-1.2825952E7
1574467876,-1.282704E7
1574467877,-1.2831072E7
1574467878,-1.2841856E7
1574467879,-1.2846336E7
1574467880,-1.2882152E7
1574467881,-1.292212E7
1574467882,-1.292212E7
1574467883,-1.2923176E7
1574467884,-1.2923176E7
1574467885,-1.2893336E7
1574467886,-1.2935888E7
1574467887,-1.2942456E7
1574467888,-1.296556E7
1574467889,-1.297764E7
1574467890,-1.297828E7
1574467891,-1.297828E7
1574467892,-1.297828E7
1574467893,-1.297892E7
1574467894,-1.297892E7
1574467895,-1.3007592E7
1574467896,-1.3007592E7
1574467897,-1.30098E7
1574467898,-1.3014856E7
1574467899,-1.3015752E7
1574467900,-1.305364E7
1574467901,-1.306708E7
1574467902,-1.3070856E7
1574467903,-1.3076232E7
1574467904,-1.308852E7
1574467905,-1.308852E7
1574467906,-1.3091592E7
1574467907,-1.3091592E7
1574467908,-1.3107344E7
1574467909,-1.3107344E7
1574467910,-1.3107344E7
1574467911,-1.3107344E7
1574467912,-1.3107344E7
1574467913,-1.3093584E7
1574467914,-1.309864E7
1574467915,-1.309864E7
1574467916,-1.309864E7
1574467917,-1.309864E7
1574467918,-1.3106272E7
1574467919,-1.311108E7
1574467920,-1.31122E7
1574467921,-1.3114144E7
1574467922,-1.3114144E7
1574467923,-1.3114144E7
1574467924,-1.3114144E7
1574467925,-1.3114144E7
1574467926,-1.3114144E7
1574467927,-1.3114144E7
1574467928,-1.3114144E7
1574467929,-1.3114144E7
1574467930,-1.3114144E7
1574467931,-1.3114144E7
1574467932,-1.312016E7
1574467933,-1.312016E7
1574467934,-1.312016E7
1574467935,-1.312016E7
1574467936,-1.312016E7
1574467937,-1.312016E7
1574467938,-1.312016E7
1574467939,-1.312016E7
1574467940,-1.3118528E7
1574467941,-1.3120624E7
1574467942,-1.3125488E7
1574467943,-1.3131536E7
1574467944,-1.3131536E7
1574467945,-1.3131536E7
1574467946,-1.3085968E7
1574467947,-1.3075728E7
1574467948,-1.3091984E7
1574467949,-1.3099024E7
1574467950,-1.3198864E7
1574467951,-1.3198864E7
1574467952,-1.3199696E7
1574467953,-1.3199696E7
1574467954,-1.3199696E7
1574467955,-1.3199696E7
1574467956,-1.3199696E7
1574467957,-1.3199696E7
1574467958,-1.3205392E7
1574467959,-1.3205392E7
1574467960,-1.3205392E7
1574467961,-1.3205968E7
1574467962,-1.3205968E7
1574467963,-1.3237376E7
1574467964,-1.3237376E7
1574467965,-1.3253688E7
1574467966,-1.3253688E7
1574467967,-1.3254328E7
1574467968,-1.3255352E7
1574467969,-1.3255352E7
1574467970,-1.3255352E7
1574467971,-1.3255352E7
1574467972,-1.3255352E7
1574467973,-1.3237304E7
1574467974,-1.322296E7
1574467975,-1.322296E7
1574467976,-1.321848E7
1574467977,-1.321848E7
1574467978,-1.3218224E7
1574467979,-1.3218224E7
1574467980,-1.3219504E7
