t,value
1574467857,11659672
1574467858,11946352
1574467859,12245128
1574467860,12353256
1574467861,12453824
1574467862,12638824
1574467863,12689368
1574467864,12735952
1574467865,12740112
1574467866,12756392
1574467867,12761064
1574467868,12767112
1574467869,12772680
1574467870,12773736
1574467871,12779304
1574467872,12779304
1574467873,12815272
1574467874,12816168
1574467875,12825952
1574467876,12827040
1574467877,12831072
1574467878,12841856
1574467879,12846336
1574467880,12882152
1574467881,12922120
1574467882,12922120
1574467883,12923176
1574467884,12923176
1574467885,12897856
1574467886,12935888
1574467887,12942456
1574467888,12965560
1574467889,12977640
1574467890,12978280
1574467891,12978280
1574467892,12978280
1574467893,12978920
1574467894,12978920
1574467895,13007592
1574467896,13007592
1574467897,13009800
1574467898,13014856
1574467899,13015752
1574467900,13053640
1574467901,13067080
1574467902,13070856
1574467903,13076232
1574467904,13088520
1574467905,13088520
1574467906,13091592
1574467907,13091592
1574467908,13107344
1574467909,13107344
1574467910,13107344
1574467911,13107344
1574467912,13109264
1574467913,13093584
1574467914,13098640
1574467915,13098640
1574467916,13098640
1574467917,13098640
1574467918,13106272
1574467919,13111080
1574467920,13112904
1574467921,13114144
1574467922,13114144
1574467923,13114144
1574467924,13114144
1574467925,13114144
1574467926,13114144
1574467927,13114144
1574467928,13114144
1574467929,13114144
1574467930,13114144
1574467931,13114144
1574467932,13120160
1574467933,13120160
1574467934,13120160
1574467935,13120160
1574467936,13120160
1574467937,13120160
1574467938,13120160
1574467939,13120160
1574467940,13118528
1574467941,13120624
1574467942,13125488
1574467943,13131536
1574467944,13131536
1574467945,13131536
1574467946,13085968
1574467947,13075728
1574467948,13091984
1574467949,13099024
1574467950,13198864
1574467951,13198864
1574467952,13199696
1574467953,13199696
1574467954,13199696
1574467955,13199696
1574467956,13199696
1574467957,13200400
1574467958,13205392
1574467959,13205392
1574467960,13205392
1574467961,13205968
1574467962,13205968
1574467963,13237376
1574467964,13237376
1574467965,13253688
1574467966,13253688
1574467967,13254328
1574467968,13255352
1574467969,13255352
1574467970,13255352
1574467971,13255352
1574467972,13255352
1574467973,13237304
1574467974,13222960
1574467975,13222960
1574467976,13218480
1574467977,13218480
1574467978,13218224
1574467979,13218224
1574467980,13219504
1574467981,13280496
1574467982,13283496
1574467983,13283496
1574467984,13300264
1574467985,13339736
1574467986,13339736
1574467987,13341400
1574467988,13341400
1574467989,13341400
1574467990,13341400
1574467991,13341400
1574467992,13341400
1574467993,13341400
1574467994,13341400
1574467995,13362992
1574467996,13374320
1574467997,13374320
1574467998,13375280
1574467999,13375280
1574468000,13375280
1574468001,13375280
1574468002,13375280
1574468003,13376704
1574468004,13379072
1574468005,13379072
1574468006,13379072
1574468007,13379776
1574468008,13381376
1574468009,13381376
1574468010,13381376
1574468011,13382528
1574468012,13382528
1574468013,13382528
1574468014,13382528
1574468015,13384128
1574468016,13384128
1574468017,13384128
1574468018,13384128
1574468019,13384128
1574468020,13388544
1574468021,13388544
1574468022,13388544
1574468023,13388544
1574468024,13388544
1574468025,13388544
1574468026,13388544
1574468027,13388544
1574468028,13380400
1574468029,13380400
1574468030,13380400
1574468031,13380400
1574468032,13380400
1574468033,13381752
1574468034,13381752
1574468035,13381752
1574468036,13381752
1574468037,13381752
1574468038,13381752
1574468039,13319096
1574468040,13319096
1574468041,13319096
1574468042,13348664
1574468043,13348664
1574468044,13348664
1574468045,13348664
1574468046,13348664
1574468047,13348664
1574468048,13349840
1574468049,13358480
1574468050,13358480
1574468051,13358480
1574468052,13358480
1574468053,13358480
1574468054,13358480
1574468055,13365328
1574468056,13366096
1574468057,13366096
1574468058,13368752
1574468059,13379184
1574468060,13379184
1574468061,13379184
1574468062,13379184
1574468063,13380080
1574468064,13380080
1574468065,13380080
1574468066,13380080
1574468067,13380080
1574468068,13381552
1574468069,13381552
1574468070,13383976
1574468071,13383976
1574468072,13383976
1574468073,13383976
1574468074,13383976
1574468075,13383976
1574468076,13383976
1574468077,13383976
1574468078,13384616
1574468079,13384616
1574468080,13384616
1574468081,13384616
1574468082,13384616
1574468083,13384616
1574468084,13384616
1574468085,13384616
1574468086,13384616
1574468087,13384616
1574468088,13387368
1574468089,13387368
1574468090,13387368
1574468091,13387368
1574468092,13387368
1574468093,13389928
1574468094,13389928
1574468095,13389928
1574468096,13389928
1574468097,13389928
1574468098,13389928
1574468099,13389928
1574468100,13389928
1574468101,13389928
1574468102,13393000
1574468103,13393000
1574468104,13393000
1574468105,13393000
1574468106,13393000
1574468107,13393000
1574468108,13385976
1574468109,13378512
1574468110,13378512
1574468111,13378512
1574468112,13437672
1574468113,13514200
1574468114,13514200
1574468115,13514200
1574468116,13514200
1574468117,13515992
1574468118,13518720
