t,value
1574467857,3827904
1574467858,3995648
1574467859,4266176
1574467860,4319040
1574467861,4402368
1574467862,4532864
1574467863,4579712
1574467864,4622208
1574467865,4626368
1574467866,4641984
1574467867,4646720
1574467868,4651584
1574467869,4657920
1574467870,4657920
1574467871,4663488
1574467872,4663488
1574467873,4693504
1574467874,4694400
1574467875,4703552
1574467876,4704640
1574467877,4708672
1574467878,4716864
1574467879,4721344
1574467880,4756160
1574467881,4786496
1574467882,4786496
1574467883,4787264
1574467884,4787264
1574467885,4763968
1574467886,4792384
1574467887,4798656
1574467888,4821760
1574467889,4831808
1574467890,4831808
1574467891,4831808
1574467892,4831808
1574467893,4832448
1574467894,4832448
1574467895,4861120
1574467896,4861120
1574467897,4862976
1574467898,4868032
1574467899,4868928
1574467900,4900480
1574467901,4911936
1574467902,4915712
1574467903,4921088
1574467904,4933376
1574467905,4933376
1574467906,4935680
1574467907,4935680
1574467908,4945856
1574467909,4945856
1574467910,4945856
1574467911,4945856
1574467912,4930752
1574467913,4932096
1574467914,4937152
1574467915,4937152
1574467916,4937152
1574467917,4937152
1574467918,4942656
1574467919,4945664
1574467920,4947200
1574467921,4948096
1574467922,4948096
1574467923,4948096
1574467924,4948096
1574467925,4948096
1574467926,4948096
1574467927,4948096
1574467928,4948096
1574467929,4948096
1574467930,4948096
1574467931,4948096
1574467932,4953600
1574467933,4953600
1574467934,4953600
1574467935,4953600
1574467936,4953600
1574467937,4953600
1574467938,4953600
1574467939,4953600
1574467940,4951040
1574467941,4952832
1574467942,4956736
1574467943,4961344
1574467944,4961344
1574467945,4961344
1574467946,4915776
1574467947,4918272
1574467948,4921792
1574467949,4928832
1574467950,5028672
1574467951,5028672
1574467952,5029504
1574467953,5029504
1574467954,5029504
1574467955,5029504
1574467956,5029504
1574467957,5030208
1574467958,5034560
1574467959,5034560
1574467960,5034560
1574467961,5035136
1574467962,5035136
1574467963,5056576
1574467964,5056576
1574467965,5072128
1574467966,5072128
1574467967,5072768
1574467968,5073792
1574467969,5073792
1574467970,5073792
1574467971,5073792
1574467972,5073792
1574467973,5055744
1574467974,5040640
1574467975,5040640
1574467976,5036160
1574467977,5036160
1574467978,5035904
1574467979,5035904
1574467980,5037184
1574467981,5098176
1574467982,5100800
1574467983,5100800
1574467984,5113152
1574467985,5143936
1574467986,5145600
1574467987,5145600
1574467988,5145600
1574467989,5145600
1574467990,5145600
1574467991,5145600
1574467992,5145600
1574467993,5145600
1574467994,5145600
1574467995,5157760
1574467996,5169088
1574467997,5169088
1574467998,5170048
1574467999,5170048
1574468000,5170048
1574468001,5170048
1574468002,5170048
1574468003,5171072
1574468004,5173440
1574468005,5173440
1574468006,5173440
1574468007,5174144
1574468008,5175104
1574468009,5175104
1574468010,5175104
1574468011,5176256
1574468012,5176256
1574468013,5176256
1574468014,5176256
1574468015,5177856
1574468016,5177856
1574468017,5177856
1574468018,5177856
1574468019,5177856
1574468020,5182272
1574468021,5182272
1574468022,5182272
1574468023,5182272
1574468024,5182272
1574468025,5182272
1574468026,5182272
1574468027,5182272
1574468028,5173376
1574468029,5173376
1574468030,5173376
1574468031,5173376
1574468032,5174400
1574468033,5174400
1574468034,5174400
1574468035,5174400
1574468036,5174400
1574468037,5174400
1574468038,5174400
1574468039,5111744
1574468040,5111744
1574468041,5111744
1574468042,5141312
1574468043,5141312
1574468044,5141312
1574468045,5141312
1574468046,5141312
1574468047,5141312
1574468048,5142016
1574468049,5150656
1574468050,5150656
1574468051,5150656
1574468052,5150656
1574468053,5150656
1574468054,5150656
1574468055,5157120
1574468056,5157888
1574468057,5157888
1574468058,5159872
1574468059,5169856
1574468060,5169856
1574468061,5169856
1574468062,5170752
1574468063,5170752
1574468064,5170752
1574468065,5170752
1574468066,5170752
1574468067,5170752
1574468068,5172224
1574468069,5172224
1574468070,5174272
1574468071,5174272
1574468072,5174272
1574468073,5174272
1574468074,5174272
1574468075,5174272
1574468076,5174272
1574468077,5174912
1574468078,5174912
1574468079,5174912
1574468080,5174912
1574468081,5174912
1574468082,5174912
1574468083,5174912
1574468084,5174912
1574468085,5174912
1574468086,5174912
1574468087,5174912
1574468088,5177664
1574468089,5177664
1574468090,5177664
1574468091,5177664
1574468092,5177664
1574468093,5179776
1574468094,5179776
1574468095,5179776
1574468096,5179776
1574468097,5179776
1574468098,5179776
1574468099,5179776
1574468100,5179776
1574468101,5179776
1574468102,5182848
1574468103,5182848
1574468104,5182848
1574468105,5182848
1574468106,5182848
1574468107,5182848
1574468108,5170752
1574468109,5163008
1574468110,5163008
1574468111,5163008
1574468112,5212160
1574468113,5269504
1574468114,5269504
1574468115,5269504
1574468116,5269504
1574468117,5271296
1574468118,5273536
1574468119,5273536
1574468120,5273536
1574468121,5273536
1574468122,5273536
1574468123,5273536
1574468124,5273536
1574468125,5273536
1574468126,5273536
1574468127,5273536
1574468128,5273536
1574468129,5273536
1574468130,5273536
1574468131,5273536
1574468132,5273536
1574468133,5273536
1574468134,5273536
1574468135,5277824
1574468136,5277824
1574468137,5276224
1574468138,5276224
1574468139,5276224
1574468140,5276224
1574468141,5276224
1574468142,5276224
1574468143,5276224
1574468144,5276224
1574468145,5276224
1574468146,5276224
