t,value
1574467857,2757230592
1574467858,2757230592
1574467859,2757230592
1574467860,2757230592
1574467861,2757230592
1574467862,2757230592
1574467863,2757230592
1574467864,2757230592
1574467865,2757230592
1574467866,2757230592
1574467867,2757230592
1574467868,2757230592
1574467869,2757230592
1574467870,2757230592
1574467871,2757230592
1574467872,2757230592
1574467873,2757230592
1574467874,2757230592
1574467875,2757230592
1574467876,2757230592
1574467877,2757230592
1574467878,2757230592
1574467879,2757230592
1574467880,2757230592
1574467881,2757230592
1574467882,2757230592
1574467883,2757230592
1574467884,2757230592
1574467885,2757230592
1574467886,2757230592
1574467887,2757230592
1574467888,2757230592
1574467889,2757230592
1574467890,2757230592
1574467891,2757230592
1574467892,2757230592
1574467893,2757230592
1574467894,2757230592
1574467895,2757230592
1574467896,2757230592
1574467897,2757230592
1574467898,2757230592
1574467899,2757230592
1574467900,2757230592
1574467901,2757230592
1574467902,2757230592
1574467903,2757230592
1574467904,2757230592
1574467905,2757230592
1574467906,2757230592
1574467907,2757230592
1574467908,2757230592
1574467909,2757230592
1574467910,2757230592
1574467911,2757230592
1574467912,2757230592
1574467913,2757230592
1574467914,2757230592
1574467915,2757230592
1574467916,2757230592
1574467917,2757230592
1574467918,2757230592
1574467919,2757230592
1574467920,2757230592
1574467921,2757230592
1574467922,2757230592
1574467923,2757230592
1574467924,2757230592
1574467925,2757230592
1574467926,2757230592
1574467927,2757230592
1574467928,2757230592
1574467929,2757230592
1574467930,2757230592
1574467931,2757230592
1574467932,2757230592
1574467933,2757230592
1574467934,2757230592
1574467935,2757230592
1574467936,2757230592
1574467937,2757230592
1574467938,2757230592
1574467939,2757230592
1574467940,2757230592
1574467941,2757230592
1574467942,2757230592
1574467943,2757230592
1574467944,2757230592
1574467945,2757230592
1574467946,2757230592
1574467947,2757230592
1574467948,2757230592
1574467949,2757230592
1574467950,2757230592
1574467951,2757230592
1574467952,2757230592
1574467953,2757230592
1574467954,2757230592
1574467955,2757230592
1574467956,2757230592
1574467957,2757230592
1574467958,2757230592
1574467959,2757230592
1574467960,2757230592
1574467961,2757230592
1574467962,2757230592
1574467963,2757230592
1574467964,2757230592
1574467965,2757230592
1574467966,2757230592
1574467967,2757230592
1574467968,2757230592
1574467969,2757230592
1574467970,2757230592
1574467971,2757230592
1574467972,2757230592
1574467973,2757230592
1574467974,2757230592
1574467975,2757230592
1574467976,2757230592
1574467977,2757230592
1574467978,2757230592
1574467979,2757230592
1574467980,2757230592
1574467981,2757230592
1574467982,2757230592
1574467983,2757230592
1574467984,2757230592
1574467985,2757230592
1574467986,2757230592
1574467987,2757230592
1574467988,2757230592
1574467989,2757230592
1574467990,2757230592
1574467991,2757230592
1574467992,2757230592
1574467993,2757230592
1574467994,2757230592
1574467995,2757230592
1574467996,2757230592
1574467997,2757230592
1574467998,2757230592
1574467999,2757230592
1574468000,2757230592
1574468001,2757230592
1574468002,2757230592
1574468003,2757230592
1574468004,2757230592
1574468005,2757230592
1574468006,2757230592
