t,value
1574467857,5600968704
1574467858,5600968704
1574467859,5600968704
1574467860,5600968704
1574467861,5600968704
1574467862,5600968704
1574467863,5600968704
1574467864,5600968704
1574467865,5600968704
1574467866,5600968704
1574467867,5600968704
1574467868,5600968704
1574467869,5600968704
1574467870,5600968704
1574467871,5600968704
1574467872,5600968704
1574467873,5600968704
1574467874,5600968704
1574467875,5600968704
1574467876,5600968704
1574467877,5600968704
1574467878,5600968704
1574467879,5600968704
1574467880,5600968704
1574467881,5600968704
1574467882,5600968704
1574467883,5600968704
1574467884,5600968704
1574467885,5600968704
1574467886,5600968704
1574467887,5600968704
1574467888,5600968704
1574467889,5600968704
1574467890,5600968704
1574467891,5600968704
1574467892,5600968704
1574467893,5600968704
1574467894,5600968704
1574467895,5600968704
1574467896,5600968704
1574467897,5600968704
1574467898,5600968704
1574467899,5600968704
1574467900,5600968704
1574467901,5600968704
1574467902,5600968704
1574467903,5600968704
1574467904,5600968704
1574467905,5600968704
1574467906,5600968704
1574467907,5600968704
1574467908,5600968704
1574467909,5600968704
1574467910,5600968704
1574467911,5600968704
1574467912,5600968704
1574467913,5600968704
1574467914,5600968704
1574467915,5600968704
1574467916,5600968704
1574467917,5600968704
1574467918,5600968704
1574467919,5600968704
1574467920,5600968704
1574467921,5600968704
1574467922,5600968704
1574467923,5600968704
1574467924,5600968704
1574467925,5600968704
1574467926,5600968704
1574467927,5600968704
1574467928,5600968704
1574467929,5600968704
1574467930,5600968704
1574467931,5600968704
1574467932,5600968704
1574467933,5600968704
1574467934,5600968704
1574467935,5600968704
1574467936,5600968704
1574467937,5600968704
1574467938,5600968704
1574467939,5600968704
1574467940,5600968704
1574467941,5600968704
1574467942,5600968704
1574467943,5600968704
1574467944,5600968704
1574467945,5600968704
1574467946,5600968704
1574467947,5600968704
1574467948,5600968704
1574467949,5600968704
1574467950,5600968704
1574467951,5600968704
1574467952,5600968704
1574467953,5600968704
1574467954,5600968704
1574467955,5600968704
1574467956,5600968704
1574467957,5600968704
1574467958,5600968704
1574467959,5600968704
1574467960,5600968704
1574467961,5600968704
1574467962,5600968704
1574467963,5600968704
1574467964,5600968704
1574467965,5600968704
1574467966,5600968704
1574467967,5600968704
1574467968,5600968704
1574467969,5600968704
1574467970,5600968704
1574467971,5600968704
1574467972,5600968704
1574467973,5600968704
1574467974,5600968704
1574467975,5600968704
1574467976,5600968704
1574467977,5600968704
1574467978,5600968704
1574467979,5600968704
1574467980,5600968704
1574467981,5600968704
1574467982,5600968704
1574467983,5600968704
1574467984,5600968704
1574467985,5600968704
1574467986,5600968704
1574467987,5600968704
1574467988,5600968704
1574467989,5600968704
1574467990,5600968704
1574467991,5600968704
1574467992,5600968704
1574467993,5600968704
1574467994,5600968704
1574467995,5600968704
1574467996,5600968704
1574467997,5600968704
1574467998,5600968704
1574467999,5600968704
1574468000,5600968704
1574468001,5600968704
1574468002,5600968704
1574468003,5600968704
1574468004,5600968704
1574468005,5600968704
1574468006,5600968704
1574468007,5600968704
1574468008,5600968704
1574468009,5600968704
1574468010,5600968704
1574468011,5600968704
1574468012,5600968704
1574468013,5600968704
1574468014,5600968704
1574468015,5600968704
1574468016,5600968704
1574468017,5600968704
1574468018,5600968704
1574468019,5600968704
1574468020,5600968704
1574468021,5600968704
1574468022,5600968704
1574468023,5600968704
1574468024,5600968704
1574468025,5600968704
1574468026,5600968704
1574468027,5600968704
1574468028,5600968704
1574468029,5600968704
1574468030,5600968704
1574468031,5600968704
1574468032,5600968704
1574468033,5600968704
1574468034,5600968704
1574468035,5600968704
1574468036,5600968704
1574468037,5600968704
1574468038,5600968704
1574468039,5600968704
1574468040,5600968704
1574468041,5600968704
1574468042,5600968704
1574468043,5600968704
1574468044,5600968704
1574468045,5600968704
1574468046,5600968704
1574468047,5600968704
1574468048,5600968704
1574468049,5600968704
1574468050,5600968704
1574468051,5600968704
1574468052,5600968704
1574468053,5600968704
1574468054,5600968704
1574468055,5600968704
1574468056,5600968704
1574468057,5600968704
1574468058,5600968704
1574468059,5600968704
1574468060,5600968704
1574468061,5600968704
1574468062,5600968704
1574468063,5600968704
1574468064,5600968704
1574468065,5600968704
1574468066,5600968704
1574468067,5600968704
1574468068,5600968704
1574468069,5600968704
1574468070,5600968704
1574468071,5600968704
1574468072,5600968704
1574468073,5600968704
1574468074,5600968704
1574468075,5600968704
1574468076,5600968704
1574468077,5600968704
1574468078,5600968704
1574468079,5600968704
1574468080,5600968704
1574468081,5600968704
1574468082,5600968704
1574468083,5600968704
1574468084,5600968704
1574468085,5600968704
1574468086,5600968704
1574468087,5600968704
1574468088,5600968704
1574468089,5600968704
1574468090,5600968704
1574468091,5600968704
1574468092,5600968704
1574468093,5600968704
1574468094,5600968704
1574468095,5600968704
1574468096,5600968704
1574468097,5600968704
1574468098,5600968704
1574468099,5600968704
1574468100,5600968704
1574468101,5600968704
1574468102,5600968704
1574468103,5600968704
1574468104,5600968704
1574468105,5600968704
1574468106,5600968704
1574468107,5600968704
1574468108,5600968704
1574468109,5600968704
1574468110,5600968704
1574468111,5600968704
1574468112,5600968704
1574468113,5600968704
1574468114,5600968704
1574468115,5600968704
1574468116,5600968704
