t,value
1574467857,[]
1574467858,[]
1574467859,[]
1574467860,[]
1574467861,[]
1574467862,[]
1574467863,[]
1574467864,[]
1574467865,[]
1574467866,[]
1574467867,[]
1574467868,[]
1574467869,[]
1574467870,[]
1574467871,[]
1574467872,[]
1574467873,[]
1574467874,[]
1574467875,[]
1574467876,[]
1574467877,[]
1574467878,[]
1574467879,[]
1574467880,[]
1574467881,[]
1574467882,[]
1574467883,[]
1574467884,[]
1574467885,[]
1574467886,[]
1574467887,[]
1574467888,[]
1574467889,[]
1574467890,[]
1574467891,[]
1574467892,[]
1574467893,[]
1574467894,[]
1574467895,[]
1574467896,[]
1574467897,[]
1574467898,[]
1574467899,[]
1574467900,[]
1574467901,[]
1574467902,[]
1574467903,[]
1574467904,[]
1574467905,[]
1574467906,[]
1574467907,[]
1574467908,[]
1574467909,[]
1574467910,[]
1574467911,[]
1574467912,[]
1574467913,[]
1574467914,[]
1574467915,[]
1574467916,[]
1574467917,[]
1574467918,[]
1574467919,[]
1574467920,[]
1574467921,[]
1574467922,[]
1574467923,[]
1574467924,[]
1574467925,[]
1574467926,[]
1574467927,[]
1574467928,[]
1574467929,[]
1574467930,[]
1574467931,[]
1574467932,[]
1574467933,[]
1574467934,[]
1574467935,[]
1574467936,[]
1574467937,[]
1574467938,[]
1574467939,[]
1574467940,[]
1574467941,[]
1574467942,[]
1574467943,[]
1574467944,[]
1574467945,[]
1574467946,[]
1574467947,[]
1574467948,[]
1574467949,[]
1574467950,[]
1574467951,[]
1574467952,[]
1574467953,[]
1574467954,[]
1574467955,[]
1574467956,[]
1574467957,[]
1574467958,[]
1574467959,[]
1574467960,[]
1574467961,[]
1574467962,[]
1574467963,[]
1574467964,[]
1574467965,[]
1574467966,[]
1574467967,[]
1574467968,[]
1574467969,[]
1574467970,[]
1574467971,[]
1574467972,[]
1574467973,[]
1574467974,[]
1574467975,[]
1574467976,[]
1574467977,[]
1574467978,[]
1574467979,[]
1574467980,[]
1574467981,[]
1574467982,[]
1574467983,[]
1574467984,[]
1574467985,[]
1574467986,[]
1574467987,[]
1574467988,[]
1574467989,[]
1574467990,[]
1574467991,[]
1574467992,[]
1574467993,[]
1574467994,[]
1574467995,[]
1574467996,[]
1574467997,[]
1574467998,[]
1574467999,[]
1574468000,[]
1574468001,[]
1574468002,[]
1574468003,[]
1574468004,[]
1574468005,[]
1574468006,[]
1574468007,[]
1574468008,[]
1574468009,[]
1574468010,[]
1574468011,[]
1574468012,[]
1574468013,[]
1574468014,[]
1574468015,[]
1574468016,[]
1574468017,[]
1574468018,[]
1574468019,[]
1574468020,[]
1574468021,[]
1574468022,[]
1574468023,[]
1574468024,[]
1574468025,[]
1574468026,[]
1574468027,[]
1574468028,[]
1574468029,[]
1574468030,[]
1574468031,[]
1574468032,[]
1574468033,[]
1574468034,[]
1574468035,[]
1574468036,[]
1574468037,[]
1574468038,[]
1574468039,[]
1574468040,[]
1574468041,[]
1574468042,[]
1574468043,[]
1574468044,[]
1574468045,[]
1574468046,[]
1574468047,[]
1574468048,[]
1574468049,[]
1574468050,[]
1574468051,[]
1574468052,[]
1574468053,[]
1574468054,[]
1574468055,[]
1574468056,[]
1574468057,[]
1574468058,[]
1574468059,[]
1574468060,[]
1574468061,[]
1574468062,[]
1574468063,[]
1574468064,[]
1574468065,[]
1574468066,[]
1574468067,[]
1574468068,[]
1574468069,[]
1574468070,[]
1574468071,[]
1574468072,[]
1574468073,[]
1574468074,[]
1574468075,[]
1574468076,[]
1574468077,[]
1574468078,[]
1574468079,[]
1574468080,[]
1574468081,[]
1574468082,[]
1574468083,[]
1574468084,[]
1574468085,[]
1574468086,[]
1574468087,[]
1574468088,[]
1574468089,[]
1574468090,[]
1574468091,[]
1574468092,[]
1574468093,[]
1574468094,[]
1574468095,[]
1574468096,[]
1574468097,[]
1574468098,[]
1574468099,[]
1574468100,[]
1574468101,[]
1574468102,[]
1574468103,[]
1574468104,[]
1574468105,[]
1574468106,[]
1574468107,[]
1574468108,[]
1574468109,[]
1574468110,[]
1574468111,[]
1574468112,[]
1574468113,[]
1574468114,[]
1574468115,[]
1574468116,[]
1574468117,[]
1574468118,[]
1574468119,[]
1574468120,[]
1574468121,[]
1574468122,[]
1574468123,[]
1574468124,[]
1574468125,[]
1574468126,[]
1574468127,[]
1574468128,[]
1574468129,[]
1574468130,[]
1574468131,[]
1574468132,[]
1574468133,[]
1574468134,[]
1574468135,[]
1574468136,[]
1574468137,[]
1574468138,[]
1574468139,[]
1574468140,[]
1574468141,[]
1574468142,[]
1574468143,[]
1574468144,[]
1574468145,[]
1574468146,[]
1574468147,[]
1574468148,[]
1574468149,[]
1574468150,[]
1574468151,[]
1574468152,[]
1574468153,[]
1574468154,[]
1574468155,[]
1574468156,[]
1574468157,[]
1574468158,[]
1574468159,[]
1574468160,[]
1574468161,[]
1574468162,[]
1574468163,[]
1574468164,[]
1574468165,[]
1574468166,[]
1574468167,[]
1574468168,[]
1574468169,[]
1574468170,[]
1574468171,[]
1574468172,[]
1574468173,[]
1574468174,[]
1574468175,[]
1574468176,[]
1574468177,[]
1574468178,[]
1574468179,[]
1574468180,[]
1574468181,[]
1574468182,[]
1574468183,[]
1574468184,[]
1574468185,[]
1574468186,[]
1574468187,[]
1574468188,[]
1574468189,[]
1574468190,[]
1574468191,[]
1574468192,[]
1574468193,[]
1574468194,[]
1574468195,[]
1574468196,[]
1574468197,[]
1574468198,[]
1574468199,[]
1574468200,[]
1574468201,[]
1574468202,[]
1574468203,[]
1574468204,[]
1574468205,[]
1574468206,[]
1574468207,[]
1574468208,[]
1574468209,[]
1574468210,[]
1574468211,[]
1574468212,[]
1574468213,[]
1574468214,[]
1574468215,[]
1574468216,[]
1574468217,[]
1574468218,[]
1574468219,[]
1574468220,[]
1574468221,[]
1574468222,[]
1574468223,[]
1574468224,[]
1574468225,[]
1574468226,[]
1574468227,[]
1574468228,[]
1574468229,[]
1574468230,[]
1574468231,[]
1574468232,[]
1574468233,[]
1574468234,[]
1574468235,[]
1574468236,[]
1574468237,[]
1574468238,[]
1574468239,[]
1574468240,[]
1574468241,[]
1574468242,[]
1574468243,[]
1574468244,[]
1574468245,[]
1574468246,[]
1574468247,[]
1574468248,[]
1574468249,[]
1574468250,[]
1574468251,[]
1574468252,[]
1574468253,[]
1574468254,[]
1574468255,[]
1574468256,[]
1574468257,[]
1574468258,[]
1574468259,[]
1574468260,[]
1574468261,[]
1574468262,[]
1574468263,[]
1574468264,[]
1574468265,[]
1574468266,[]
1574468267,[]
1574468268,[]
1574468269,[]
1574468270,[]
1574468271,[]
1574468272,[]
1574468273,[]
1574468274,[]
1574468275,[]
1574468276,[]
1574468277,[]
1574468278,[]
1574468279,[]
1574468280,[]
1574468281,[]
1574468282,[]
1574468283,[]
1574468284,[]
1574468285,[]
1574468286,[]
1574468287,[]
1574468288,[]
1574468289,[]
1574468290,[]
1574468291,[]
1574468292,[]
1574468293,[]
1574468294,[]
1574468295,[]
1574468296,[]
1574468297,[]
1574468298,[]
1574468299,[]
1574468300,[]
1574468301,[]
1574468302,[]
1574468303,[]
1574468304,[]
1574468305,[]
1574468306,[]
1574468307,[]
1574468308,[]
1574468309,[]
1574468310,[]
1574468311,[]
1574468312,[]
1574468313,[]
1574468314,[]
1574468315,[]
1574468316,[]
1574468317,[]
1574468318,[]
1574468319,[]
1574468320,[]
1574468321,[]
1574468322,[]
1574468323,[]
1574468324,[]
1574468325,[]
1574468326,[]
1574468327,[]
1574468328,[]
1574468329,[]
1574468330,[]
1574468331,[]
1574468332,[]
1574468333,[]
1574468334,[]
1574468335,[]
1574468336,[]
1574468337,[]
1574468338,[]
1574468339,[]
1574468340,[]
1574468341,[]
1574468342,[]
1574468343,[]
1574468344,[]
1574468345,[]
1574468346,[]
1574468347,[]
1574468348,[]
1574468349,[]
1574468350,[]
1574468351,[]
1574468352,[]
1574468353,[]
1574468354,[]
1574468355,[]
1574468356,[]
1574468357,[]
1574468358,[]
1574468359,[]
1574468360,[]
1574468361,[]
1574468362,[]
1574468363,[]
1574468364,[]
1574468365,[]
1574468366,[]
1574468367,[]
1574468368,[]
1574468369,[]
1574468370,[]
1574468371,[]
1574468372,[]
1574468373,[]
1574468374,[]
1574468375,[]
1574468376,[]
1574468377,[]
1574468378,[]
1574468379,[]
1574468380,[]
1574468381,[]
1574468382,[]
1574468383,[]
1574468384,[]
1574468385,[]
1574468386,[]
1574468387,[]
1574468388,[]
1574468389,[]
1574468390,[]
1574468391,[]
1574468392,[]
1574468393,[]
1574468394,[]
1574468395,[]
1574468396,[]
1574468397,[]
1574468398,[]
1574468399,[]
1574468400,[]
1574468401,[]
1574468402,[]
1574468403,[]
1574468404,[]
1574468405,[]
1574468406,[]
1574468407,[]
1574468408,[]
1574468409,[]
1574468410,[]
1574468411,[]
1574468412,[]
1574468413,[]
1574468414,[]
1574468415,[]
1574468416,[]
1574468417,[]
1574468418,[]
1574468419,[]
1574468420,[]
1574468421,[]
1574468422,[]
1574468423,[]
1574468424,[]
1574468425,[]
1574468426,[]
1574468427,[]
1574468428,[]
1574468429,[]
1574468430,[]
1574468431,[]
1574468432,[]
1574468433,[]
1574468434,[]
1574468435,[]
1574468436,[]
1574468437,[]
1574468438,[]
1574468439,[]
1574468440,[]
1574468441,[]
1574468442,[]
1574468443,[]
1574468444,[]
1574468445,[]
1574468446,[]
1574468447,[]
1574468448,[]
1574468449,[]
1574468450,[]
1574468451,[]
1574468452,[]
1574468453,[]
1574468454,[]
1574468455,[]
1574468456,[]
1574468457,[]
1574468458,[]
1574468459,[]
1574468460,[]
1574468461,[]
1574468462,[]
1574468463,[]
1574468464,[]
1574468465,[]
1574468466,[]
1574468467,[]
1574468468,[]
1574468469,[]
1574468470,[]
1574468471,[]
1574468472,[]
1574468473,[]
1574468474,[]
1574468475,[]
1574468476,[]
1574468477,[]
1574468478,[]
1574468479,[]
1574468480,[]
1574468481,[]
1574468482,[]
1574468483,[]
1574468484,[]
1574468485,[]
1574468486,[]
1574468487,[]
1574468488,[]
1574468489,[]
1574468490,[]
1574468491,[]
1574468492,[]
1574468493,[]
1574468494,[]
1574468495,[]
1574468496,[]
1574468497,[]
1574468498,[]
1574468499,[]
1574468500,[]
1574468501,[]
1574468502,[]
1574468503,[]
1574468504,[]
1574468505,[]
1574468506,[]
1574468507,[]
1574468508,[]
1574468509,[]
1574468510,[]
1574468511,[]
1574468512,[]
1574468513,[]
1574468514,[]
1574468515,[]
1574468516,[]
1574468517,[]
1574468518,[]
1574468519,[]
1574468520,[]
1574468521,[]
1574468522,[]
1574468523,[]
1574468524,[]
1574468525,[]
1574468526,[]
1574468527,[]
1574468528,[]
1574468529,[]
1574468530,[]
1574468531,[]
1574468532,[]
1574468533,[]
1574468534,[]
1574468535,[]
1574468536,[]
1574468537,[]
1574468538,[]
1574468539,[]
1574468540,[]
1574468541,[]
1574468542,[]
1574468543,[]
1574468544,[]
1574468545,[]
1574468546,[]
1574468547,[]
1574468548,[]
1574468549,[]
1574468550,[]
1574468551,[]
1574468552,[]
1574468553,[]
1574468554,[]
1574468555,[]
1574468556,[]
1574468557,[]
1574468558,[]
1574468559,[]
1574468560,[]
1574468561,[]
1574468562,[]
1574468563,[]
1574468564,[]
1574468565,[]
1574468566,[]
1574468567,[]
1574468568,[]
1574468569,[]
1574468570,[]
1574468571,[]
1574468572,[]
1574468573,[]
1574468574,[]
1574468575,[]
1574468576,[]
1574468577,[]
1574468578,[]
1574468579,[]
1574468580,[]
1574468581,[]
1574468582,[]
1574468583,[]
1574468584,[]
1574468585,[]
1574468586,[]
1574468587,[]
1574468588,[]
1574468589,[]
1574468590,[]
1574468591,[]
1574468592,[]
1574468593,[]
1574468594,[]
1574468595,[]
1574468596,[]
1574468597,[]
1574468598,[]
1574468599,[]
1574468600,[]
1574468601,[]
1574468602,[]
1574468603,[]
1574468604,[]
1574468605,[]
1574468606,[]
1574468607,[]
1574468608,[]
1574468609,[]
1574468610,[]
1574468611,[]
1574468612,[]
1574468613,[]
1574468614,[]
1574468615,[]
1574468616,[]
1574468617,[]
1574468618,[]
1574468619,[]
1574468620,[]
1574468621,[]
1574468622,[]
1574468623,[]
1574468624,[]
1574468625,[]
1574468626,[]
1574468627,[]
1574468628,[]
1574468629,[]
1574468630,[]
1574468631,[]
1574468632,[]
1574468633,[]
1574468634,[]
1574468635,[]
1574468636,[]
1574468637,[]
1574468638,[]
1574468639,[]
1574468640,[]
1574468641,[]
1574468642,[]
1574468643,[]
1574468644,[]
1574468645,[]
1574468646,[]
1574468647,[]
1574468648,[]
1574468649,[]
1574468650,[]
1574468651,[]
1574468652,[]
1574468653,[]
1574468654,[]
1574468655,[]
1574468656,[]
1574468657,[]
1574468658,[]
1574468659,[]
1574468660,[]
1574468661,[]
1574468662,[]
1574468663,[]
1574468664,[]
1574468665,[]
1574468666,[]
1574468667,[]
1574468668,[]
1574468669,[]
1574468670,[]
1574468671,[]
1574468672,[]
1574468673,[]
1574468674,[]
1574468675,[]
1574468676,[]
1574468677,[]
1574468678,[]
1574468679,[]
1574468680,[]
1574468681,[]
1574468682,[]
1574468683,[]
1574468684,[]
1574468685,[]
1574468686,[]
1574468687,[]
1574468688,[]
1574468689,[]
1574468690,[]
1574468691,[]
1574468692,[]
1574468693,[]
1574468694,[]
1574468695,[]
1574468696,[]
1574468697,[]
1574468698,[]
1574468699,[]
1574468700,[]
1574468701,[]
1574468702,[]
1574468703,[]
1574468704,[]
1574468705,[]
1574468706,[]
1574468707,[]
1574468708,[]
1574468709,[]
1574468710,[]
1574468711,[]
1574468712,[]
1574468713,[]
1574468714,[]
1574468715,[]
1574468716,[]
1574468717,[]
1574468718,[]
1574468719,[]
1574468720,[]
1574468721,[]
1574468722,[]
1574468723,[]
1574468724,[]
1574468725,[]
1574468726,[]
1574468727,[]
1574468728,[]
1574468729,[]
1574468730,[]
1574468731,[]
1574468732,[]
1574468733,[]
1574468734,[]
1574468735,[]
1574468736,[]
1574468737,[]
1574468738,[]
1574468739,[]
1574468740,[]
1574468741,[]
1574468742,[]
1574468743,[]
1574468744,[]
1574468745,[]
1574468746,[]
1574468747,[]
1574468748,[]
1574468749,[]
1574468750,[]
1574468751,[]
1574468752,[]
1574468753,[]
1574468754,[]
1574468755,[]
1574468756,[]
1574468757,[]
1574468758,[]
1574468759,[]
1574468760,[]
1574468761,[]
1574468762,[]
1574468763,[]
1574468764,[]
1574468765,[]
1574468766,[]
1574468767,[]
1574468768,[]
1574468769,[]
1574468770,[]
1574468771,[]
1574468772,[]
1574468773,[]
1574468774,[]
1574468775,[]
1574468776,[]
1574468777,[]
1574468778,[]
1574468779,[]
1574468780,[]
1574468781,[]
1574468782,[]
1574468783,[]
1574468784,[]
1574468785,[]
1574468786,[]
1574468787,[]
1574468788,[]
1574468789,[]
1574468790,[]
1574468791,[]
1574468792,[]
1574468793,[]
1574468794,[]
1574468795,[]
1574468796,[]
1574468797,[]
1574468798,[]
1574468799,[]
1574468800,[]
1574468801,[]
1574468802,[]
1574468803,[]
1574468804,[]
1574468805,[]
1574468806,[]
1574468807,[]
1574468808,[]
1574468809,[]
1574468810,[]
1574468811,[]
1574468812,[]
1574468813,[]
1574468814,[]
1574468815,[]
1574468816,[]
1574468817,[]
1574468818,[]
1574468819,[]
1574468820,[]
1574468821,[]
