t,value
1574467855,3831040
1574467856,3997312
1574467857,4265600
1574467858,4320768
1574467859,4404160
1574467860,4543168
1574467861,4590720
1574467862,4631680
1574467863,4636544
1574467864,4640576
1574467865,4645312
1574467866,4650176
1574467867,4655616
1574467868,4655616
1574467869,4661120
1574467870,4665728
1574467871,4691136
1574467872,4692032
1574467873,4701184
1574467874,4702272
1574467875,4706112
1574467876,4714304
1574467877,4738560
1574467878,4753536
1574467879,4783808
1574467880,4783808
1574467881,4784576
1574467882,4784576
1574467883,4762304
1574467884,4788736
1574467885,4795072
1574467886,4818176
1574467887,4828352
1574467888,4828352
1574467889,4828352
1574467890,4828352
1574467891,4829056
1574467892,4829056
1574467893,4857728
1574467894,4857728
1574467895,4860864
1574467896,4864512
1574467897,4865408
1574467898,4896960
1574467899,4908416
1574467900,4912256
1574467901,4920832
1574467902,4936064
1574467903,4936064
1574467904,4938368
1574467905,4938368
1574467906,4948736
1574467907,4948736
1574467908,4949504
1574467909,4949504
1574467910,4950400
1574467911,4927424
1574467912,4931648
1574467913,4931648
1574467914,4931648
1574467915,4935680
1574467916,4936512
1574467917,4939584
1574467918,4941056
1574467919,4941952
1574467920,4941952
1574467921,4941952
1574467922,4941952
1574467923,4941952
1574467924,4941952
1574467925,4941952
1574467926,4941952
1574467927,4941952
1574467928,4941952
1574467929,4941952
1574467930,4946048
1574467931,4946048
1574467932,4946048
1574467933,4946048
1574467934,4946048
1574467935,4946048
1574467936,4946048
1574467937,4946048
1574467938,4944896
1574467939,4946880
1574467940,4953216
1574467941,4956416
1574467942,4956416
1574467943,4956416
1574467944,4913664
1574467945,4911360
1574467946,4920576
1574467947,4935488
1574467948,5033088
1574467949,5033088
1574467950,5033984
1574467951,5033984
1574467952,5033984
1574467953,5033984
1574467954,5033984
1574467955,5034688
1574467956,5040064
1574467957,5040064
1574467958,5040064
1574467959,5040064
1574467960,5040064
1574467961,5061504
1574467962,5061504
1574467963,5065856
1574467964,5065856
1574467965,5066496
1574467966,5068544
1574467967,5068544
1574467968,5068544
1574467969,5068544
1574467970,5068544
1574467971,5036160
1574467972,5036160
1574467973,5036160
1574467974,5036160
1574467975,5036160
1574467976,5031936
1574467977,5031936
1574467978,5032256
1574467979,5096000
1574467980,5098624
1574467981,5098624
1574467982,5110592
1574467983,5141376
1574467984,5141376
1574467985,5141376
1574467986,5141376
1574467987,5141376
1574467988,5141376
1574467989,5141376
1574467990,5141376
1574467991,5141376
1574467992,5141376
1574467993,5149760
1574467994,5161088
1574467995,5162176
1574467996,5162176
1574467997,5162176
1574467998,5162176
1574467999,5162176
1574468000,5162176
1574468001,5163200
1574468002,5165568
1574468003,5165568
1574468004,5165248
1574468005,5165248
1574468006,5166208
1574468007,5166208
1574468008,5166208
1574468009,5167360
1574468010,5167360
1574468011,5168064
1574468012,5168064
1574468013,5168768
1574468014,5168768
1574468015,5168768
1574468016,5168768
1574468017,5168768
1574468018,5173184
1574468019,5173184
1574468020,5173184
1574468021,5173184
1574468022,5173184
1574468023,5173184
1574468024,5173184
1574468025,5173184
1574468026,5164288
1574468027,5164288
1574468028,5164288
1574468029,5164288
1574468030,5165312
1574468031,5170176
1574468032,5170176
1574468033,5170176
1574468034,5170176
1574468035,5170176
1574468036,5110272
1574468037,5109248
1574468038,5109248
1574468039,5109248
1574468040,5145216
1574468041,5145216
1574468042,5145216
1574468043,5145216
1574468044,5145216
1574468045,5145216
1574468046,5155328
1574468047,5155328
1574468048,5155328
1574468049,5155328
1574468050,5155328
1574468051,5155328
1574468052,5155328
1574468053,5155328
1574468054,5155328
1574468055,5155328
1574468056,5167232
1574468057,5167232
1574468058,5167232
1574468059,5167232
1574468060,5167232
1574468061,5168128
1574468062,5168128
1574468063,5168896
1574468064,5168896
1574468065,5170432
1574468066,5170432
1574468067,5170432
1574468068,5172416
1574468069,5172416
1574468070,5172416
1574468071,5172416
1574468072,5172416
1574468073,5172416
1574468074,5172416
1574468075,5172416
1574468076,5171584
1574468077,5171584
1574468078,5171584
1574468079,5171584
1574468080,5171584
1574468081,5171584
1574468082,5174336
1574468083,5174336
1574468084,5174336
1574468085,5174336
1574468086,5174336
1574468087,5174336
1574468088,5174336
1574468089,5174336
1574468090,5175552
1574468091,5175552
1574468092,5175552
1574468093,5175552
1574468094,5175552
1574468095,5175552
1574468096,5175552
1574468097,5175552
1574468098,5175552
1574468099,5170496
1574468100,5169408
1574468101,5169408
1574468102,5169408
1574468103,5169408
1574468104,5169408
1574468105,5169408
1574468106,5148544
1574468107,5149440
1574468108,5149440
1574468109,5149440
1574468110,5207744
1574468111,5265344
1574468112,5265344
1574468113,5265344
1574468114,5265344
1574468115,5267136
1574468116,5266688
1574468117,5266688
1574468118,5266688
1574468119,5266688
1574468120,5266688
1574468121,5266688
