t,value
1574467855,762472
1574467856,766568
1574467857,766568
1574467858,766568
1574467859,766568
1574467860,766568
1574467861,766568
1574467862,766568
1574467863,766568
1574467864,766568
1574467865,766568
1574467866,766568
1574467867,766568
1574467868,766568
1574467869,766568
1574467870,766568
1574467871,766568
1574467872,766568
1574467873,766568
1574467874,766568
1574467875,766568
1574467876,766568
1574467877,766568
1574467878,766568
1574467879,766568
1574467880,766568
1574467881,766568
1574467882,766568
1574467883,766568
1574467884,766568
1574467885,766568
1574467886,766568
1574467887,766568
1574467888,766568
1574467889,766568
1574467890,766568
1574467891,766568
1574467892,766568
1574467893,766568
1574467894,766568
1574467895,766568
1574467896,766568
1574467897,766568
1574467898,766568
1574467899,766568
1574467900,766568
1574467901,766568
1574467902,766568
1574467903,766568
1574467904,766568
1574467905,766568
1574467906,766568
1574467907,766568
1574467908,766568
1574467909,766568
1574467910,766568
1574467911,766568
1574467912,766568
1574467913,766568
1574467914,766568
1574467915,766568
1574467916,766568
1574467917,766568
1574467918,766568
1574467919,766568
1574467920,766568
1574467921,766568
1574467922,766568
1574467923,766568
1574467924,766568
1574467925,766568
1574467926,766568
1574467927,766568
1574467928,766568
1574467929,766568
1574467930,766568
1574467931,766568
1574467932,766568
1574467933,766568
1574467934,766568
1574467935,766568
1574467936,766568
1574467937,766568
1574467938,766568
1574467939,766568
1574467940,766568
1574467941,766568
1574467942,766568
1574467943,766568
1574467944,766568
1574467945,766568
1574467946,766568
1574467947,766568
1574467948,766568
1574467949,766568
1574467950,766568
1574467951,766568
1574467952,766568
1574467953,766568
1574467954,766568
1574467955,766568
1574467956,766568
1574467957,766568
1574467958,766568
1574467959,766568
1574467960,766568
1574467961,766568
1574467962,766568
1574467963,766568
1574467964,766568
1574467965,766568
1574467966,766568
1574467967,766568
1574467968,766568
1574467969,766568
1574467970,766568
1574467971,766568
1574467972,766568
1574467973,766568
1574467974,766568
1574467975,766568
1574467976,766568
1574467977,766568
1574467978,766568
1574467979,766568
1574467980,766568
1574467981,766568
1574467982,766568
1574467983,767048
1574467984,767048
1574467985,767048
1574467986,767048
1574467987,767048
1574467988,767048
1574467989,767048
1574467990,767048
1574467991,767048
1574467992,767048
1574467993,767048
1574467994,767048
1574467995,767048
1574467996,767048
1574467997,767048
1574467998,767048
1574467999,767048
1574468000,767048
1574468001,767048
1574468002,767048
1574468003,767048
1574468004,767048
1574468005,767048
1574468006,767048
1574468007,767048
1574468008,767048
1574468009,767048
1574468010,767048
1574468011,767048
1574468012,767048
1574468013,767048
1574468014,767048
1574468015,767048
1574468016,767048
1574468017,767048
1574468018,767048
1574468019,767048
1574468020,767048
1574468021,767048
1574468022,767048
1574468023,767048
1574468024,767048
1574468025,767048
1574468026,767048
1574468027,767048
1574468028,767048
1574468029,767048
1574468030,767048
1574468031,767048
1574468032,767048
1574468033,767048
1574468034,767048
1574468035,767048
1574468036,767048
1574468037,767048
1574468038,767048
1574468039,767048
1574468040,767048
1574468041,767048
1574468042,767048
1574468043,767048
1574468044,767048
1574468045,767048
1574468046,767048
1574468047,767048
1574468048,767048
1574468049,767048
1574468050,767048
1574468051,767048
1574468052,767048
1574468053,767048
1574468054,767048
1574468055,767048
1574468056,767048
1574468057,767048
1574468058,767048
1574468059,767048
1574468060,767048
1574468061,767048
1574468062,767048
1574468063,767048
1574468064,767048
1574468065,767048
1574468066,767048
1574468067,767048
1574468068,767048
1574468069,767048
1574468070,767048
1574468071,767048
1574468072,767048
1574468073,767048
1574468074,767048
1574468075,767048
1574468076,767048
1574468077,767048
1574468078,767048
1574468079,767048
1574468080,767048
1574468081,767048
1574468082,767048
1574468083,767048
1574468084,767048
1574468085,767048
1574468086,767048
1574468087,767048
1574468088,767048
1574468089,767048
1574468090,767048
1574468091,767048
1574468092,767048
1574468093,767048
1574468094,767048
1574468095,767048
1574468096,767048
1574468097,767048
1574468098,767048
1574468099,767048
1574468100,767048
1574468101,767048
1574468102,767048
1574468103,767048
1574468104,767048
1574468105,767048
1574468106,767048
1574468107,767048
1574468108,767048
1574468109,767048
1574468110,767048
1574468111,767048
1574468112,767048
1574468113,767048
1574468114,767048
1574468115,767048
1574468116,767048
1574468117,767048
1574468118,767048
1574468119,767048
1574468120,767048
1574468121,767048
1574468122,767048
1574468123,767048
1574468124,767048
1574468125,767048
1574468126,767048
1574468127,767048
1574468128,767048
1574468129,767048
1574468130,767048
1574468131,767048
1574468132,767048
1574468133,767048
1574468134,767048
1574468135,767048
1574468136,767048
1574468137,767048
1574468138,767048
1574468139,767048
1574468140,767048
1574468141,767048
1574468142,767048
1574468143,767048
1574468144,767048
1574468145,767048
1574468146,767048
1574468147,767048
1574468148,767048
1574468149,767048
1574468150,767048
1574468151,767048
1574468152,767048
1574468153,767048
1574468154,767048
1574468155,767048
1574468156,767048
1574468157,767048
1574468158,767048
1574468159,767048
1574468160,767048
1574468161,767048
1574468162,767048
1574468163,767048
1574468164,767048
1574468165,767048
1574468166,767048
1574468167,767048
1574468168,767048
1574468169,767048
1574468170,767048
1574468171,767048
1574468172,767048
1574468173,767048
1574468174,767048
1574468175,767048
1574468176,767048
1574468177,767048
1574468178,767048
1574468179,767048
1574468180,767048
1574468181,767048
1574468182,767048
1574468183,767048
1574468184,767048
1574468185,767048
1574468186,767048
1574468187,767048
1574468188,767048
1574468189,767048
1574468190,767048
1574468191,767048
1574468192,767048
1574468193,767048
1574468194,767048
1574468195,767048
1574468196,767048
1574468197,767048
1574468198,767048
1574468199,767048
1574468200,767048
1574468201,767048
1574468202,767048
1574468203,767048
1574468204,767048
1574468205,767048
1574468206,767048
1574468207,767048
1574468208,767048
1574468209,767048
1574468210,767048
1574468211,767048
1574468212,767048
1574468213,767048
1574468214,767048
1574468215,767048
1574468216,767048
1574468217,767048
1574468218,767048
1574468219,767048
1574468220,767048
1574468221,767048
1574468222,767048
1574468223,767048
1574468224,767048
1574468225,767048
1574468226,767048
1574468227,767048
1574468228,767048
1574468229,767048
1574468230,767048
1574468231,767048
1574468232,767048
1574468233,767048
1574468234,767048
1574468235,767048
1574468236,767048
1574468237,767048
1574468238,767048
1574468239,767048
1574468240,767048
1574468241,767048
1574468242,767048
1574468243,767048
1574468244,767048
1574468245,767048
1574468246,767048
1574468247,767048
1574468248,767048
1574468249,767048
1574468250,767048
1574468251,767048
1574468252,767048
1574468253,767048
1574468254,767048
1574468255,767048
1574468256,767048
1574468257,767048
1574468258,767048
1574468259,767048
1574468260,767048
1574468261,767048
1574468262,767048
1574468263,767048
1574468264,767048
1574468265,767048
1574468266,767048
1574468267,767048
1574468268,767048
1574468269,767048
1574468270,767048
1574468271,767048
1574468272,767048
1574468273,767048
1574468274,767048
1574468275,767048
1574468276,767048
1574468277,767048
1574468278,767048
1574468279,767048
1574468280,767048
1574468281,767048
1574468282,767048
1574468283,767048
1574468284,767048
1574468285,767048
1574468286,767048
1574468287,767048
1574468288,767048
1574468289,767048
1574468290,767048
1574468291,767048
1574468292,767048
1574468293,767048
1574468294,767048
1574468295,767048
1574468296,767048
1574468297,767048
1574468298,767048
1574468299,767048
