t,value
1574467855,7117280
1574467856,7192104
1574467857,7268368
1574467858,7283584
1574467859,7339488
1574467860,7342424
1574467861,7343536
1574467862,7345888
1574467863,7346248
1574467864,7346552
1574467865,7347384
1574467866,7347672
1574467867,7347960
1574467868,7347960
1574467869,7347960
1574467870,7353912
1574467871,7353912
1574467872,7354544
1574467873,7354544
1574467874,7354544
1574467875,7354544
1574467876,7357136
1574467877,7367480
1574467878,7367768
1574467879,7367768
1574467880,7367768
1574467881,7368056
1574467882,7368056
1574467883,7375032
1574467884,7375856
1574467885,7376152
1574467886,7376152
1574467887,7378824
1574467888,7378824
1574467889,7378824
1574467890,7378824
1574467891,7378824
1574467892,7378824
1574467893,7378824
1574467894,7378824
1574467895,7379176
1574467896,7379176
1574467897,7380392
1574467898,7387496
1574467899,7387496
1574467900,7387496
1574467901,7387496
1574467902,7387496
1574467903,7387496
1574467904,7388264
1574467905,7388264
1574467906,7393840
1574467907,7393840
1574467908,7393840
1574467909,7393840
1574467910,7393840
1574467911,7393840
1574467912,7393840
1574467913,7393840
1574467914,7393840
1574467915,7395968
1574467916,7395968
1574467917,7397768
1574467918,7398056
1574467919,7398400
1574467920,7398400
1574467921,7398400
1574467922,7398400
1574467923,7398400
1574467924,7398400
1574467925,7398400
1574467926,7398400
1574467927,7398400
1574467928,7398400
1574467929,7398912
1574467930,7398912
1574467931,7398912
1574467932,7398912
1574467933,7398912
1574467934,7398912
1574467935,7398912
1574467936,7398912
1574467937,7398912
1574467938,7399840
1574467939,7400144
1574467940,7401760
1574467941,7402544
1574467942,7402544
1574467943,7402544
1574467944,7402544
1574467945,7402544
1574467946,7402544
1574467947,7402544
1574467948,7402544
1574467949,7402544
1574467950,7402544
1574467951,7402544
1574467952,7402544
1574467953,7402544
1574467954,7402544
1574467955,7403184
1574467956,7403184
1574467957,7403184
1574467958,7403184
1574467959,7403184
1574467960,7403184
1574467961,7413152
1574467962,7413912
1574467963,7413912
1574467964,7413912
1574467965,7413912
1574467966,7413912
1574467967,7413912
1574467968,7413912
1574467969,7413912
1574467970,7413912
1574467971,7414672
1574467972,7414672
1574467973,7414672
1574467974,7414672
1574467975,7414672
1574467976,7414672
1574467977,7414672
1574467978,7414672
1574467979,7414672
1574467980,7415048
1574467981,7415048
1574467982,7419464
1574467983,7427672
1574467984,7427672
1574467985,7427672
1574467986,7427672
1574467987,7427672
1574467988,7427672
1574467989,7427672
1574467990,7427672
1574467991,7427672
1574467992,7427960
1574467993,7437104
1574467994,7437104
1574467995,7437104
1574467996,7437104
1574467997,7437104
1574467998,7437104
1574467999,7437104
1574468000,7437504
1574468001,7437504
1574468002,7437504
1574468003,7437504
1574468004,7437504
1574468005,7438144
1574468006,7438144
1574468007,7438144
1574468008,7438144
1574468009,7438144
1574468010,7438144
1574468011,7438144
1574468012,7438144
1574468013,7438144
1574468014,7438144
1574468015,7438144
1574468016,7438144
1574468017,7438144
1574468018,7438144
1574468019,7438144
1574468020,7438144
1574468021,7438144
1574468022,7438144
1574468023,7438144
1574468024,7438144
1574468025,7438896
1574468026,7438896
1574468027,7438896
1574468028,7438896
1574468029,7438896
1574468030,7439608
1574468031,7439608
1574468032,7439608
1574468033,7439608
1574468034,7439608
1574468035,7439608
1574468036,7439608
1574468037,7439608
1574468038,7439608
1574468039,7439608
1574468040,7439608
1574468041,7439608
1574468042,7439608
1574468043,7439608
1574468044,7439608
1574468045,7439608
1574468046,7440080
1574468047,7440080
1574468048,7440080
1574468049,7440080
1574468050,7440080
1574468051,7440080
1574468052,7440080
1574468053,7440080
1574468054,7440080
1574468055,7440752
1574468056,7441200
1574468057,7441200
1574468058,7441200
1574468059,7441200
1574468060,7441200
1574468061,7441200
1574468062,7441200
1574468063,7441200
1574468064,7441200
1574468065,7441200
1574468066,7441200
1574468067,7441200
1574468068,7441576
1574468069,7441576
1574468070,7441576
1574468071,7441576
1574468072,7441576
1574468073,7441576
1574468074,7441576
1574468075,7441576
1574468076,7441576
1574468077,7441576
1574468078,7441576
1574468079,7441576
1574468080,7441576
1574468081,7441576
1574468082,7441576
1574468083,7441576
1574468084,7441576
1574468085,7441576
1574468086,7441576
1574468087,7441576
1574468088,7441576
1574468089,7441576
1574468090,7442024
1574468091,7442024
1574468092,7442024
1574468093,7442024
1574468094,7442024
1574468095,7442024
1574468096,7442024
1574468097,7442024
1574468098,7442024
1574468099,7442024
1574468100,7442024
1574468101,7442024
1574468102,7442024
1574468103,7442024
1574468104,7442024
1574468105,7444064
1574468106,7447096
1574468107,7447376
1574468108,7447376
1574468109,7447376
1574468110,7464288
1574468111,7476952
1574468112,7476952
1574468113,7476952
1574468114,7476952
1574468115,7477440
1574468116,7477440
1574468117,7477440
1574468118,7477440
1574468119,7477440
1574468120,7477440
1574468121,7477440
1574468122,7477440
1574468123,7477440
1574468124,7477440
1574468125,7477440
1574468126,7477440
1574468127,7477440
1574468128,7477440
1574468129,7477440
1574468130,7477440
1574468131,7477440
1574468132,7477440
1574468133,7477440
1574468134,7477440
1574468135,7477808
1574468136,7477808
1574468137,7477808
1574468138,7477808
1574468139,7477808
1574468140,7477808
1574468141,7477808
1574468142,7477808
1574468143,7477808
1574468144,7477808
1574468145,7477808
1574468146,7477808
1574468147,7477808
1574468148,7477808
1574468149,7477808
1574468150,7478200
1574468151,7478200
1574468152,7478200
1574468153,7478200
1574468154,7478200
1574468155,7478504
1574468156,7478504
1574468157,7478504
1574468158,7478632
1574468159,7478632
1574468160,7478632
1574468161,7478632
1574468162,7478632
1574468163,7478632
1574468164,7478632
1574468165,7493520
1574468166,7493520
1574468167,7493520
1574468168,7493520
1574468169,7493520
1574468170,7493520
1574468171,7493520
1574468172,7493520
1574468173,7493520
1574468174,7493520
1574468175,7493520
1574468176,7493520
1574468177,7493520
1574468178,7497112
1574468179,7497112
1574468180,7497112
1574468181,7497112
1574468182,7497112
1574468183,7497112
1574468184,7497112
1574468185,7497112
1574468186,7497112
1574468187,7497112
1574468188,7497112
1574468189,7497112
1574468190,7497112
1574468191,7497112
1574468192,7497112
1574468193,7497112
1574468194,7497112
1574468195,7497112
1574468196,7497112
1574468197,7497112
1574468198,7497112
1574468199,7497112
1574468200,7497112
1574468201,7497112
1574468202,7497112
1574468203,7497112
1574468204,7497112
1574468205,7497112
1574468206,7497112
1574468207,7497112
1574468208,7497112
1574468209,7497112
1574468210,7497112
1574468211,7497112
1574468212,7497112
1574468213,7497112
1574468214,7497112
1574468215,7497112
1574468216,7497112
1574468217,7497112
1574468218,7497112
1574468219,7497112
1574468220,7497112
1574468221,7497112
1574468222,7497112
1574468223,7497112
1574468224,7497112
1574468225,7497112
1574468226,7497112
1574468227,7497112
1574468228,7497112
1574468229,7497112
1574468230,7497112
1574468231,7497112
1574468232,7497112
1574468233,7499208
1574468234,7499208
1574468235,7499208
1574468236,7499208
1574468237,7499208
1574468238,7523344
1574468239,7523344
1574468240,7523344
1574468241,7523344
1574468242,7523344
1574468243,7523344
1574468244,7523344
1574468245,7523344
1574468246,7523344
1574468247,7523344
1574468248,7523344
1574468249,7523344
1574468250,7523344
1574468251,7523344
1574468252,7523344
1574468253,7523344
1574468254,7523344
1574468255,7523344
1574468256,7523344
1574468257,7523344
1574468258,7523344
1574468259,7523344
1574468260,7523344
1574468261,7523344
1574468262,7523344
1574468263,7523344
1574468264,7523344
1574468265,7523344
1574468266,7523344
1574468267,7523344
1574468268,7523344
1574468269,7523344
1574468270,7523344
1574468271,7523344
1574468272,7523344
1574468273,7523344
1574468274,7523344
1574468275,7523344
1574468276,7524104
1574468277,7524104
1574468278,7524104
1574468279,7524104
1574468280,7524104
1574468281,7524104
1574468282,7524104
1574468283,7524104
1574468284,7524104
1574468285,7524104
1574468286,7524104
1574468287,7524104
1574468288,7524104
1574468289,7524104
1574468290,7524104
1574468291,7524104
1574468292,7524104
1574468293,7524104
1574468294,7524104
1574468295,7524104
1574468296,7524104
1574468297,7524104
1574468298,7524104
1574468299,7524104
1574468300,7524104
1574468301,7524104
1574468302,7524104
1574468303,7524104
1574468304,7524104
1574468305,7524104
1574468306,7524104
1574468307,7524104
1574468308,7524104
1574468309,7524104
1574468310,7524104
1574468311,7524104
1574468312,7524104
1574468313,7524104
1574468314,7524104
1574468315,7524104
1574468316,7524104
1574468317,7524104
1574468318,7524104
1574468319,7524104
1574468320,7524104
1574468321,7524104
1574468322,7524104
1574468323,7524104
1574468324,7524104
1574468325,7524104
1574468326,7534376
1574468327,7534376
1574468328,7534376
1574468329,7534376
1574468330,7534376
1574468331,7534376
1574468332,7534376
1574468333,7534376
1574468334,7534376
1574468335,7534376
1574468336,7534376
1574468337,7534376
1574468338,7534376
1574468339,7534376
1574468340,7534376
1574468341,7534376
1574468342,7534376
1574468343,7534376
