t,value
1574467855,26424408
1574467856,26424408
1574467857,26424408
1574467858,29075024
1574467859,29075024
1574467860,29075024
1574467861,31717432
1574467862,31717432
1574467863,31717432
1574467864,31717432
1574467865,34359840
1574467866,34359840
1574467867,34359840
1574467868,37002248
1574467869,37002248
1574467870,37002248
1574467871,39644832
1574467872,39644832
1574467873,39644832
1574467874,39644832
1574467875,42287240
1574467876,42287240
1574467877,42287240
1574467878,44929648
1574467879,44929648
1574467880,44929648
1574467881,47572056
1574467882,47572056
1574467883,47572056
1574467884,50214464
1574467885,50214464
1574467886,50214464
1574467887,50214464
1574467888,52856872
1574467889,52856872
1574467890,52856872
1574467891,55499280
1574467892,55499280
1574467893,55499280
1574467894,58141688
1574467895,58141688
1574467896,58141688
1574467897,58141688
1574467898,60784192
1574467899,60784192
1574467900,60784192
1574467901,63426688
1574467902,63426688
1574467903,63426688
1574467904,66069240
1574467905,66069240
1574467906,66069240
1574467907,66069240
1574467908,68711648
1574467909,68711648
1574467910,68711648
1574467911,71354056
1574467912,71354056
1574467913,71354056
1574467914,73996464
1574467915,73996464
1574467916,73996464
1574467917,73996464
1574467918,76638872
1574467919,76638872
1574467920,76638872
1574467921,79281280
1574467922,79281280
1574467923,79281280
1574467924,81923688
1574467925,81923688
1574467926,81923688
1574467927,81923688
1574467928,84566128
1574467929,84566128
1574467930,84566128
1574467931,87208536
1574467932,87208536
1574467933,87208536
1574467934,89850944
1574467935,89850944
1574467936,89850944
1574467937,92493400
1574467938,92493400
1574467939,92493400
1574467940,92493400
1574467941,95135808
1574467942,95135808
1574467943,95135808
1574467944,97778216
1574467945,97778216
1574467946,97778216
1574467947,97778216
1574467948,100420688
1574467949,100420688
1574467950,100420688
1574467951,103071304
1574467952,103071304
1574467953,103071304
1574467954,105721920
1574467955,105721920
1574467956,105721920
1574467957,105721920
1574467958,108372536
1574467959,108372536
1574467960,108372536
1574467961,111023152
1574467962,111023152
1574467963,111023152
1574467964,111023152
1574467965,113665600
1574467966,113665600
1574467967,113665600
1574467968,116316216
1574467969,116316216
1574467970,116316216
1574467971,116316216
1574467972,118966832
1574467973,118966832
1574467974,118966832
1574467975,121617448
1574467976,121617448
1574467977,121617448
1574467978,121617448
1574467979,124259880
1574467980,124259880
1574467981,124259880
1574467982,126910496
1574467983,126910496
1574467984,126910496
1574467985,126910496
1574467986,129561112
1574467987,129561112
1574467988,129561112
1574467989,132120576
1574467990,132120576
1574467991,132120576
1574467992,3724600
1574467993,3724600
1574467994,3724600
1574467995,5045896
1574467996,7449288
1574467997,7449288
1574467998,7449288
1574467999,9852608
1574468000,9852608
1574468001,9852608
1574468002,12264112
1574468003,12264112
1574468004,12264112
1574468005,14675616
1574468006,14675616
1574468007,14675616
1574468008,17078944
1574468009,17078944
1574468010,17078944
1574468011,19482264
1574468012,19482264
1574468013,19482264
1574468014,21885608
1574468015,21885608
1574468016,21885608
1574468017,21885608
1574468018,24288920
1574468019,24288920
1574468020,24288920
1574468021,26692376
1574468022,26692376
1574468023,26692376
1574468024,29103880
1574468025,29103880
1574468026,29103880
1574468027,31515384
1574468028,31515384
1574468029,31515384
1574468030,33918704
1574468031,33918704
1574468032,33918704
1574468033,36322024
1574468034,36322024
1574468035,36322024
1574468036,36322024
1574468037,38725368
1574468038,38725368
1574468039,38725368
1574468040,41128688
1574468041,41128688
1574468042,41128688
1574468043,43532128
1574468044,43532128
1574468045,43532128
1574468046,45943632
1574468047,45943632
1574468048,45943632
1574468049,48355136
1574468050,48355136
1574468051,48355136
1574468052,50766640
1574468053,50766640
1574468054,50766640
1574468055,50766640
1574468056,53178144
1574468057,53178144
1574468058,53178144
1574468059,55589648
1574468060,55589648
1574468061,55589648
1574468062,58001152
1574468063,58001152
1574468064,58001152
1574468065,60412656
1574468066,60412656
1574468067,60412656
1574468068,62824160
1574468069,62824160
1574468070,62824160
1574468071,62824160
1574468072,65235664
1574468073,65235664
1574468074,65235664
1574468075,70289608
1574468076,70289608
1574468077,70289608
1574468078,72701112
1574468079,72701112
1574468080,72701112
1574468081,75112616
1574468082,75112616
1574468083,75112616
1574468084,77524120
1574468085,77524120
1574468086,77524120
1574468087,77524120
1574468088,79935624
1574468089,79935624
1574468090,79935624
1574468091,82347128
1574468092,82347128
1574468093,82347128
1574468094,84758632
1574468095,84758632
1574468096,84758632
1574468097,87170136
1574468098,87170136
1574468099,87170136
1574468100,89581640
1574468101,89581640
1574468102,89581640
1574468103,91993144
1574468104,91993144
1574468105,91993144
1574468106,91993144
1574468107,94404648
1574468108,94404648
1574468109,94404648
1574468110,96816152
1574468111,98137376
1574468112,98137376
1574468113,100548880
1574468114,100548880
1574468115,100548880
1574468116,102960384
1574468117,102960384
1574468118,102960384
1574468119,105371888
1574468120,105371888
1574468121,105371888
1574468122,105371888
1574468123,107783392
1574468124,107783392
1574468125,107783392
1574468126,110194896
1574468127,110194896
1574468128,110194896
1574468129,112606400
1574468130,112606400
1574468131,112606400
1574468132,115017904
1574468133,115017904
1574468134,115017904
1574468135,117429408
1574468136,117429408
1574468137,117429408
1574468138,117429408
1574468139,119840912
1574468140,119840912
1574468141,119840912
1574468142,122252416
1574468143,122252416
1574468144,122252416
1574468145,124663920
1574468146,124663920
1574468147,124663920
1574468148,127075424
1574468149,127075424
1574468150,127075424
1574468151,129486928
1574468152,129486928
1574468153,129486928
1574468154,129486928
1574468155,131898432
1574468156,131898432
1574468157,131898432
1574468158,7732640
1574468159,7732640
1574468160,8594192
1574468161,11041944
1574468162,11041944
1574468163,11041944
1574468164,13489696
1574468165,14348504
1574468166,14348504
1574468167,14348504
1574468168,16796256
1574468169,16796256
1574468170,16796256
1574468171,19244008
1574468172,19244008
1574468173,19244008
1574468174,21691760
1574468175,21691760
1574468176,21691760
1574468177,24139512
1574468178,24139512
1574468179,24139512
1574468180,24139512
1574468181,26579160
1574468182,26579160
1574468183,26579160
1574468184,29018768
1574468185,29018768
1574468186,29018768
1574468187,31466520
1574468188,31466520
1574468189,31466520
1574468190,33906096
1574468191,33906096
1574468192,33906096
1574468193,33906096
1574468194,36353848
1574468195,36353848
1574468196,36353848
1574468197,38801600
1574468198,38801600
1574468199,38801600
1574468200,41249352
1574468201,41249352
1574468202,41249352
1574468203,43697104
1574468204,43697104
1574468205,43697104
1574468206,43697104
1574468207,46144856
1574468208,46144856
1574468209,46144856
1574468210,48584424
1574468211,48584424
1574468212,48584424
1574468213,51032176
1574468214,51032176
1574468215,51032176
1574468216,53479928
1574468217,53479928
1574468218,53479928
1574468219,53479928
1574468220,55919672
1574468221,55919672
1574468222,55919672
1574468223,58367424
1574468224,58367424
1574468225,58367424
1574468226,60815176
1574468227,60815176
1574468228,60815176
1574468229,63262928
1574468230,63262928
1574468231,63262928
1574468232,65710680
1574468233,65710680
1574468234,65710680
1574468235,65710680
1574468236,68158432
1574468237,68158432
1574468238,69479656
1574468239,71927408
1574468240,71927408
1574468241,71927408
1574468242,74375160
1574468243,74375160
1574468244,74375160
1574468245,76822912
1574468246,76822912
1574468247,76822912
1574468248,76822912
1574468249,79270664
1574468250,79270664
1574468251,79270664
1574468252,81718416
1574468253,81718416
1574468254,81718416
1574468255,84166168
1574468256,84166168
1574468257,84166168
1574468258,86613920
1574468259,86613920
1574468260,86613920
