t,value
1574467855,38270328
1574467856,38564320
1574467857,38770688
1574467858,41463104
1574467859,41720080
1574467860,41741008
1574467861,44454336
1574467862,44465728
1574467863,44471128
1574467864,47113536
1574467865,47121024
1574467866,47127392
1574467867,47129984
1574467868,49777000
1574467869,49777896
1574467870,49809000
1574467871,52457344
1574467872,52463096
1574467873,52467128
1574467874,55110624
1574467875,55114464
1574467876,55125248
1574467877,55159848
1574467878,57819056
1574467879,57847792
1574467880,57848848
1574467881,60491256
1574467882,60462136
1574467883,60498232
1574467884,63145624
1574467885,63152832
1574467886,63187568
1574467887,65830616
1574467888,65830616
1574467889,65830616
1574467890,65831320
1574467891,68473728
1574467892,68473728
1574467893,68502400
1574467894,71144808
1574467895,71150344
1574467896,71151944
1574467897,73819536
1574467898,73838416
1574467899,73850512
1574467900,73855888
1574467901,76515664
1574467902,76516816
1574467903,76516816
1574467904,79162440
1574467905,79162440
1574467906,79178384
1574467907,81820792
1574467908,81821560
1574467909,81821560
1574467910,81799480
1574467911,84441888
1574467912,84446112
1574467913,84446112
1574467914,87088520
1574467915,87094680
1574467916,87095512
1574467917,89742792
1574467918,89744552
1574467919,89745792
1574467920,89745792
1574467921,92388200
1574467922,92388200
1574467923,92388200
1574467924,95030608
1574467925,95030608
1574467926,95030608
1574467927,97673048
1574467928,97673048
1574467929,97677656
1574467930,97677656
1574467931,100320064
1574467932,100320064
1574467933,100320064
1574467934,102962472
1574467935,102962472
1574467936,102962472
1574467937,105604928
1574467938,105606992
1574467939,105607696
1574467940,105618928
1574467941,108261336
1574467942,108261336
1574467943,108256088
1574467944,110850752
1574467945,110867904
1574467946,110870720
1574467947,113538984
1574467948,113622888
1574467949,113622888
1574467950,113623784
1574467951,116274400
1574467952,116274400
1574467953,116274400
1574467954,118925016
1574467955,118931736
1574467956,118931736
1574467957,118931736
1574467958,121582352
1574467959,121582352
1574467960,121583632
1574467961,124264376
1574467962,124269488
1574467963,124269488
1574467964,124270128
1574467965,126914624
1574467966,126914624
1574467967,126914624
1574467968,129565240
1574467969,129565240
1574467970,129551800
1574467971,132184232
1574467972,132184232
1574467973,132184232
1574467974,132184232
1574467975,134830624
1574467976,134830624
1574467977,134830624
1574467978,137484832
1574467979,137537120
1574467980,137540120
1574467981,137540120
1574467982,140207824
1574467983,140246592
1574467984,140246592
1574467985,142897208
1574467986,142897208
1574467987,142897208
1574467988,142897208
1574467989,145456672
1574467990,145456672
1574467991,145456672
1574467992,21518608
1574467993,21529936
1574467994,21529936
1574467995,25255712
1574467996,25255712
1574467997,25255712
1574467998,27659032
1574467999,27659032
1574468000,27660456
1574468001,27662824
1574468002,30074328
1574468003,30074008
1574468004,30074008
1574468005,32487112
1574468006,32487112
1574468007,32487112
1574468008,34891592
1574468009,34891592
1574468010,34891592
1574468011,37295616
1574468012,37295616
1574468013,37296320
1574468014,39699664
1574468015,39699664
1574468016,39699664
1574468017,42102976
1574468018,42107392
1574468019,42107392
1574468020,42107392
1574468021,44510848
1574468022,44510848
1574468023,44510848
1574468024,46922352
1574468025,46914208
1574468026,46914208
1574468027,49325712
1574468028,49325712
1574468029,49325712
1574468030,51735632
1574468031,51735632
1574468032,51735632
1574468033,54138952
1574468034,54138952
1574468035,54079048
1574468036,56481368
1574468037,56481368
1574468038,56481368
1574468039,58884688
1574468040,58920656
1574468041,58920656
1574468042,58920656
1574468043,61324096
1574468044,61324096
1574468045,61324096
1574468046,63746184
1574468047,63746184
1574468048,63746184
1574468049,66157688
1574468050,66157688
1574468051,66157688
1574468052,68569192
1574468053,68569192
1574468054,68569192
1574468055,70993720
1574468056,70993720
1574468057,70993720
1574468058,70993720
1574468059,73405224
1574468060,73406120
1574468061,73406120
1574468062,75817624
1574468063,75818392
1574468064,75818392
1574468065,78231432
1574468066,78231432
1574468067,78231432
1574468068,80645296
1574468069,80645296
1574468070,80645296
1574468071,83056800
1574468072,83056800
1574468073,83056800
1574468074,85468304
1574468075,88109912
1574468076,88109912
1574468077,88109912
1574468078,90521416
1574468079,90521416
1574468080,90521416
1574468081,92935672
1574468082,92935672
1574468083,92935672
1574468084,95347176
1574468085,95347176
1574468086,95347176
1574468087,97758680
1574468088,97758680
1574468089,97758680
1574468090,100171848
1574468091,100171848
1574468092,100171848
1574468093,100171848
1574468094,102583352
1574468095,102583352
1574468096,102583352
1574468097,104994856
1574468098,104989800
1574468099,104988712
1574468100,107400216
1574468101,107400216
1574468102,107400216
1574468103,109811720
1574468104,109811720
1574468105,109788608
1574468106,112207432
1574468107,112208608
1574468108,112208608
1574468109,112208608
1574468110,114713592
1574468111,116086816
1574468112,116086816
1574468113,118498320
1574468114,118498320
1574468115,118500152
1574468116,120911656
1574468117,120911656
1574468118,120911656
1574468119,123323160
1574468120,123323160
1574468121,123323160
1574468122,125734664
1574468123,125734664
1574468124,125734664
1574468125,125734664
1574468126,128146168
1574468127,128146168
1574468128,128146168
1574468129,130557672
1574468130,130557672
1574468131,130557672
1574468132,132973464
1574468133,132973464
1574468134,132973464
1574468135,135386424
1574468136,135386424
1574468137,135386424
1574468138,137797928
1574468139,137797928
1574468140,137797928
1574468141,140209432
1574468142,140209432
1574468143,140209432
1574468144,140209432
1574468145,142620936
1574468146,142620936
1574468147,142620936
1574468148,145032440
1574468149,145032440
1574468150,145034432
1574468151,147445936
1574468152,147445936
1574468153,147445936
1574468154,149857440
1574468155,149859024
1574468156,149859024
1574468157,150081168
1574468158,25829408
1574468159,25829408
1574468160,26690960
1574468161,29138712
1574468162,29138712
1574468163,29138712
1574468164,31586464
1574468165,32391360
1574468166,32391360
1574468167,34839112
1574468168,34839112
1574468169,34839112
1574468170,34841224
1574468171,37288976
1574468172,37288976
1574468173,37287952
1574468174,39735704
1574468175,39735704
1574468176,39735704
1574468177,42183456
1574468178,42203816
1574468179,42203816
1574468180,44643464
1574468181,44643464
1574468182,44643464
1574468183,44643464
1574468184,47083072
1574468185,47083072
1574468186,47083072
1574468187,49530824
1574468188,49530824
1574468189,49530824
1574468190,51970400
1574468191,51970400
1574468192,51970400
1574468193,54418152
1574468194,54418152
1574468195,54418152
1574468196,54418152
1574468197,56865904
1574468198,56865904
1574468199,56865904
1574468200,59313656
1574468201,59313656
1574468202,59313656
1574468203,61761408
1574468204,61761408
1574468205,61761408
1574468206,64209160
1574468207,64209160
1574468208,64209160
1574468209,64209160
1574468210,66648728
1574468211,66648728
1574468212,66648728
1574468213,69096480
1574468214,69096480
1574468215,69096480
1574468216,71544232
1574468217,71544232
1574468218,71544232
1574468219,73983976
1574468220,73983976
1574468221,73983976
1574468222,76431728
1574468223,76431728
1574468224,76431728
1574468225,76431728
1574468226,78879480
1574468227,78879480
1574468228,78879480
1574468229,81327232
1574468230,81327232
1574468231,81327232
1574468232,83774984
1574468233,83784120
1574468234,83784120
1574468235,86231872
1574468236,86231872
1574468237,86231872
1574468238,87596880
1574468239,90047320
1574468240,90047320
1574468241,90047320
1574468242,92495072
1574468243,92495072
1574468244,92495072
1574468245,94942824
1574468246,94942824
1574468247,94942824
1574468248,97390576
1574468249,97390576
1574468250,97390576
1574468251,97390576
1574468252,99838328
1574468253,99838328
1574468254,99838328
1574468255,102286080
1574468256,102286080
1574468257,102286080
1574468258,104733832
1574468259,104733832
1574468260,104734472
1574468261,107174056
1574468262,107174056
1574468263,107174056
1574468264,107174056
1574468265,109621808
1574468266,109621808
1574468267,109621808
1574468268,112069560
1574468269,112069560
1574468270,112069560
1574468271,114509136
1574468272,114509136
1574468273,114509136
1574468274,116956888
1574468275,116959056
