t,value
1574467855,5
1574467856,5
1574467857,5
1574467858,5
1574467859,5
1574467860,5
1574467861,5
1574467862,5
1574467863,5
1574467864,5
1574467865,5
1574467866,5
1574467867,5
1574467868,5
1574467869,5
1574467870,5
1574467871,5
1574467872,5
1574467873,5
1574467874,5
1574467875,5
1574467876,5
1574467877,5
1574467878,5
1574467879,5
1574467880,5
1574467881,5
1574467882,5
1574467883,5
1574467884,5
1574467885,5
1574467886,5
1574467887,5
1574467888,5
1574467889,5
1574467890,5
1574467891,5
1574467892,5
1574467893,5
1574467894,5
1574467895,5
1574467896,5
1574467897,5
1574467898,5
1574467899,5
1574467900,5
1574467901,5
1574467902,5
1574467903,5
1574467904,5
1574467905,5
1574467906,5
1574467907,5
1574467908,5
1574467909,5
1574467910,5
1574467911,5
1574467912,5
1574467913,5
1574467914,5
1574467915,5
1574467916,5
1574467917,5
1574467918,5
1574467919,5
1574467920,5
1574467921,5
1574467922,5
1574467923,5
1574467924,5
1574467925,5
1574467926,5
1574467927,5
1574467928,5
1574467929,5
1574467930,5
1574467931,5
1574467932,5
1574467933,5
1574467934,5
1574467935,5
1574467936,5
1574467937,5
1574467938,5
1574467939,5
1574467940,5
1574467941,5
1574467942,5
1574467943,5
1574467944,5
1574467945,5
1574467946,5
1574467947,5
1574467948,5
1574467949,5
1574467950,5
1574467951,5
1574467952,5
1574467953,5
1574467954,5
1574467955,5
1574467956,5
1574467957,5
1574467958,5
1574467959,5
1574467960,5
1574467961,5
1574467962,5
1574467963,5
1574467964,5
1574467965,5
1574467966,5
1574467967,5
1574467968,5
1574467969,5
1574467970,5
1574467971,5
1574467972,5
1574467973,5
1574467974,5
1574467975,5
1574467976,5
1574467977,5
1574467978,5
1574467979,5
1574467980,5
1574467981,5
1574467982,5
1574467983,5
1574467984,5
1574467985,5
1574467986,5
1574467987,5
1574467988,5
1574467989,5
1574467990,5
1574467991,5
1574467992,5
1574467993,5
1574467994,5
1574467995,5
1574467996,5
1574467997,5
1574467998,5
1574467999,5
1574468000,5
1574468001,5
1574468002,5
1574468003,5
1574468004,5
1574468005,5
1574468006,5
1574468007,5
1574468008,5
1574468009,5
1574468010,5
1574468011,5
1574468012,5
1574468013,5
1574468014,5
1574468015,5
1574468016,5
1574468017,5
1574468018,5
1574468019,5
1574468020,5
1574468021,5
1574468022,5
1574468023,5
1574468024,5
1574468025,5
1574468026,5
1574468027,5
1574468028,5
1574468029,5
1574468030,5
1574468031,5
1574468032,5
1574468033,5
1574468034,5
1574468035,5
1574468036,5
1574468037,5
1574468038,5
1574468039,5
1574468040,5
1574468041,5
1574468042,5
1574468043,5
1574468044,5
1574468045,5
1574468046,5
1574468047,5
1574468048,5
1574468049,5
1574468050,5
1574468051,5
1574468052,5
1574468053,5
1574468054,5
1574468055,5
1574468056,5
1574468057,5
1574468058,5
1574468059,5
1574468060,5
1574468061,5
1574468062,5
1574468063,5
1574468064,5
1574468065,5
1574468066,5
1574468067,5
1574468068,5
1574468069,5
1574468070,5
1574468071,5
1574468072,5
1574468073,5
1574468074,5
1574468075,5
1574468076,5
1574468077,5
1574468078,5
1574468079,5
1574468080,5
1574468081,5
1574468082,5
1574468083,5
1574468084,5
1574468085,5
1574468086,5
1574468087,5
1574468088,5
1574468089,5
1574468090,5
1574468091,5
1574468092,5
1574468093,5
1574468094,5
1574468095,5
1574468096,5
1574468097,5
1574468098,5
1574468099,5
1574468100,5
1574468101,5
1574468102,5
1574468103,5
1574468104,5
1574468105,5
1574468106,5
1574468107,5
1574468108,5
1574468109,5
1574468110,5
1574468111,5
1574468112,5
1574468113,5
1574468114,5
1574468115,5
1574468116,5
1574468117,5
1574468118,5
1574468119,5
1574468120,5
1574468121,5
1574468122,5
1574468123,5
1574468124,5
1574468125,5
1574468126,5
1574468127,5
1574468128,5
1574468129,5
1574468130,5
1574468131,5
1574468132,5
1574468133,5
1574468134,5
1574468135,5
1574468136,5
1574468137,5
1574468138,5
1574468139,5
1574468140,5
1574468141,5
1574468142,5
1574468143,5
1574468144,5
1574468145,5
1574468146,5
1574468147,5
1574468148,5
1574468149,5
1574468150,5
1574468151,5
1574468152,5
1574468153,5
1574468154,5
1574468155,5
1574468156,5
1574468157,5
1574468158,5
1574468159,5
1574468160,5
1574468161,5
1574468162,5
1574468163,5
1574468164,5
1574468165,5
1574468166,5
1574468167,5
1574468168,5
1574468169,5
1574468170,5
1574468171,5
1574468172,5
1574468173,5
1574468174,5
1574468175,5
1574468176,5
1574468177,5
1574468178,5
1574468179,5
1574468180,5
1574468181,5
1574468182,5
1574468183,5
1574468184,5
1574468185,5
1574468186,5
1574468187,5
1574468188,5
1574468189,5
1574468190,5
1574468191,5
1574468192,5
1574468193,5
1574468194,5
1574468195,5
1574468196,5
1574468197,5
1574468198,5
1574468199,5
1574468200,5
1574468201,5
1574468202,5
1574468203,5
1574468204,5
1574468205,5
1574468206,5
1574468207,5
1574468208,5
1574468209,5
1574468210,5
1574468211,5
1574468212,5
1574468213,5
1574468214,5
1574468215,5
1574468216,5
1574468217,5
1574468218,5
1574468219,5
1574468220,5
1574468221,5
1574468222,5
1574468223,5
1574468224,5
1574468225,5
1574468226,5
1574468227,5
1574468228,5
1574468229,5
1574468230,5
1574468231,5
1574468232,5
1574468233,5
1574468234,5
1574468235,5
1574468236,5
1574468237,5
1574468238,5
1574468239,5
1574468240,5
1574468241,5
1574468242,5
1574468243,5
1574468244,5
1574468245,5
1574468246,5
1574468247,5
1574468248,5
1574468249,5
1574468250,5
1574468251,5
1574468252,5
1574468253,5
1574468254,5
1574468255,5
1574468256,5
1574468257,5
1574468258,5
1574468259,5
1574468260,5
1574468261,5
1574468262,5
1574468263,5
1574468264,5
1574468265,5
1574468266,5
1574468267,5
1574468268,5
1574468269,5
1574468270,5
1574468271,5
1574468272,5
1574468273,5
1574468274,5
1574468275,5
1574468276,5
1574468277,5
1574468278,5
1574468279,5
1574468280,5
1574468281,5
1574468282,5
1574468283,5
1574468284,5
1574468285,5
1574468286,5
1574468287,5
1574468288,5
1574468289,5
1574468290,5
1574468291,5
1574468292,5
1574468293,5
1574468294,5
1574468295,5
1574468296,5
1574468297,5
1574468298,5
1574468299,5
1574468300,5
1574468301,5
1574468302,5
1574468303,5
1574468304,5
1574468305,5
1574468306,5
1574468307,5
1574468308,5
1574468309,5
1574468310,5
1574468311,5
1574468312,5
1574468313,5
1574468314,5
1574468315,5
1574468316,5
1574468317,5
1574468318,5
1574468319,5
1574468320,5
1574468321,5
1574468322,7
1574468323,7
1574468324,7
1574468325,7
1574468326,7
1574468327,7
1574468328,7
1574468329,7
1574468330,7
1574468331,7
1574468332,5
1574468333,5
1574468334,5
1574468335,5
1574468336,5
1574468337,5
1574468338,5
1574468339,5
1574468340,5
1574468341,5
1574468342,5
1574468343,5
1574468344,5
1574468345,5
1574468346,5
1574468347,5
1574468348,5
1574468349,5
1574468350,5
1574468351,5
1574468352,5
1574468353,5
1574468354,5
1574468355,5
1574468356,5
1574468357,5
1574468358,5
1574468359,5
1574468360,5
1574468361,5
1574468362,5
1574468363,5
1574468364,5
1574468365,5
1574468366,5
1574468367,5
1574468368,5
1574468369,5
1574468370,5
1574468371,5
1574468372,5
1574468373,5
1574468374,5
1574468375,5
1574468376,5
1574468377,5
1574468378,5
1574468379,5
1574468380,5
1574468381,5
1574468382,5
1574468383,5
1574468384,5
1574468385,5
1574468386,5
1574468387,5
1574468388,5
1574468389,5
1574468390,5
1574468391,5
1574468392,5
1574468393,5
1574468394,5
1574468395,5
1574468396,5
1574468397,5
1574468398,5
1574468399,5
1574468400,5
1574468401,5
1574468402,5
1574468403,5
1574468404,5
1574468405,5
1574468406,5
1574468407,5
1574468408,5
1574468409,5
1574468410,5
1574468411,5
1574468412,5
1574468413,5
1574468414,5
1574468415,5
1574468416,5
1574468417,5
1574468418,5
1574468419,5
1574468420,5
1574468421,5
1574468422,5
1574468423,5
1574468424,5
1574468425,5
1574468426,5
1574468427,5
1574468428,5
1574468429,5
1574468430,5
1574468431,5
1574468432,5
1574468433,5
1574468434,5
1574468435,5
1574468436,5
1574468437,5
1574468438,5
1574468439,5
1574468440,5
1574468441,5
1574468442,5
1574468443,5
1574468444,5
1574468445,5
1574468446,5
1574468447,5
1574468448,5
1574468449,5
1574468450,5
1574468451,5
1574468452,5
1574468453,5
1574468454,5
1574468455,5
1574468456,5
1574468457,5
1574468458,5
1574468459,5
1574468460,5
1574468461,5
1574468462,5
1574468463,5
1574468464,5
1574468465,5
1574468466,5
1574468467,21
1574468468,21
1574468469,21
1574468470,21
1574468471,21
1574468472,21
1574468473,21
1574468474,21
1574468475,21
1574468476,21
1574468477,27
1574468478,27
1574468479,27
1574468480,27
1574468481,27
1574468482,27
1574468483,27
1574468484,27
1574468485,27
1574468486,27
1574468487,34
1574468488,34
1574468489,34
1574468490,34
1574468491,34
1574468492,34
1574468493,34
1574468494,34
1574468495,34
1574468496,34
1574468497,38
1574468498,38
1574468499,38
1574468500,38
1574468501,38
1574468502,38
1574468503,38
1574468504,38
1574468505,38
1574468506,38
1574468507,43
1574468508,43
1574468509,43
1574468510,43
1574468511,43
1574468512,43
1574468513,43
1574468514,43
1574468515,43
1574468516,43
1574468517,47
1574468518,47
1574468519,47
1574468520,47
1574468521,47
1574468522,47
1574468523,47
1574468524,47
1574468525,47
1574468526,47
1574468527,53
1574468528,53
1574468529,53
1574468530,53
1574468531,53
1574468532,53
1574468533,53
1574468534,53
1574468535,53
1574468536,53
1574468537,59
1574468538,59
1574468539,59
1574468540,59
1574468541,59
1574468542,59
1574468543,59
1574468544,59
1574468545,59
1574468546,59
1574468547,59
1574468548,63
1574468549,63
1574468550,63
1574468551,63
1574468552,63
1574468553,63
1574468554,63
1574468555,63
1574468556,63
1574468557,68
1574468558,68
1574468559,68
1574468560,68
1574468561,68
1574468562,68
1574468563,68
1574468564,68
1574468565,68
1574468566,68
1574468567,68
1574468568,72
1574468569,72
1574468570,72
1574468571,72
1574468572,72
1574468573,72
1574468574,72
1574468575,72
1574468576,72
1574468577,72
1574468578,72
1574468579,76
1574468580,76
1574468581,76
1574468582,76
1574468583,76
1574468584,76
1574468585,76
1574468586,76
1574468587,76
1574468588,76
1574468589,76
1574468590,76
1574468591,76
1574468592,76
1574468593,76
1574468594,76
1574468595,76
1574468596,76
1574468597,76
1574468598,76
1574468599,76
1574468600,76
1574468601,76
1574468602,76
1574468603,76
1574468604,76
1574468605,76
1574468606,76
1574468607,76
1574468608,76
1574468609,76
1574468610,76
1574468611,76
1574468612,76
1574468613,76
1574468614,76
1574468615,76
1574468616,76
1574468617,76
1574468618,76
1574468619,76
1574468620,76
1574468621,76
1574468622,76
1574468623,76
1574468624,76
1574468625,76
1574468626,76
1574468627,76
1574468628,76
1574468629,76
1574468630,76
1574468631,76
1574468632,76
1574468633,76
1574468634,76
1574468635,76
1574468636,76
1574468637,76
1574468638,76
1574468639,76
1574468640,76
1574468641,76
1574468642,76
1574468643,76
1574468644,76
1574468645,76
1574468646,76
1574468647,76
1574468648,76
1574468649,76
1574468650,76
1574468651,76
1574468652,76
1574468653,76
1574468654,76
1574468655,76
1574468656,76
1574468657,76
1574468658,76
1574468659,76
1574468660,76
1574468661,76
1574468662,76
1574468663,76
1574468664,76
1574468665,76
1574468666,76
1574468667,76
1574468668,76
1574468669,76
1574468670,76
1574468671,76
1574468672,76
1574468673,76
1574468674,76
1574468675,76
1574468676,76
1574468677,76
1574468678,76
1574468679,76
1574468680,76
1574468681,76
1574468682,76
1574468683,76
1574468684,76
1574468685,76
1574468686,76
1574468687,76
1574468688,76
1574468689,76
1574468690,76
1574468691,76
1574468692,76
1574468693,76
1574468694,76
1574468695,76
1574468696,76
1574468697,76
1574468698,76
1574468699,76
1574468700,76
1574468701,76
1574468702,76
1574468703,76
1574468704,76
1574468705,76
1574468706,76
1574468707,76
1574468708,76
1574468709,76
1574468710,76
1574468711,76
1574468712,76
1574468713,76
1574468714,76
1574468715,76
1574468716,76
1574468717,76
1574468718,76
1574468719,76
1574468720,76
1574468721,76
1574468722,76
1574468723,76
1574468724,76
1574468725,76
1574468726,76
1574468727,76
1574468728,76
1574468729,76
1574468730,76
1574468731,76
1574468732,76
1574468733,76
1574468734,76
1574468735,76
1574468736,76
1574468737,76
1574468738,76
1574468739,76
1574468740,76
1574468741,76
1574468742,76
1574468743,76
1574468744,76
1574468745,76
1574468746,76
1574468747,76
1574468748,76
1574468749,76
1574468750,76
1574468751,76
1574468752,76
1574468753,76
1574468754,76
1574468755,76
1574468756,76
1574468757,76
1574468758,76
1574468759,76
1574468760,76
1574468761,76
1574468762,76
1574468763,76
1574468764,76
1574468765,76
1574468766,76
1574468767,76
1574468768,76
1574468769,76
1574468770,76
1574468771,76
1574468772,76
1574468773,76
1574468774,76
1574468775,76
1574468776,76
1574468777,76
1574468778,76
1574468779,76
1574468780,76
1574468781,76
1574468782,76
1574468783,76
1574468784,76
1574468785,76
1574468786,76
1574468787,76
1574468788,76
1574468789,76
1574468790,76
1574468791,76
1574468792,76
1574468793,76
1574468794,76
1574468795,76
1574468796,76
1574468797,76
1574468798,76
1574468799,76
1574468800,76
1574468801,76
1574468802,76
1574468803,76
1574468804,76
1574468805,76
1574468806,76
1574468807,76
1574468808,76
1574468809,76
1574468810,76
1574468811,76
1574468812,76
1574468813,76
1574468814,76
1574468815,76
1574468816,76
1574468817,76
1574468818,76
1574468819,76
1574468820,76
1574468821,76
1574468822,76
1574468823,76
1574468824,76
1574468825,76
1574468826,76
1574468827,76
1574468828,76
1574468829,76
1574468830,76
1574468831,76
1574468832,76
1574468833,76
1574468834,76
1574468835,76
1574468836,76
1574468837,76
1574468838,76
1574468839,76
1574468840,76
1574468841,76
1574468842,76
1574468843,76
1574468844,76
1574468845,76
1574468846,76
1574468847,76
1574468848,76
1574468849,76
1574468850,76
1574468851,76
1574468852,76
1574468853,76
1574468854,76
1574468855,76
1574468856,76
1574468857,76
1574468858,76
1574468859,76
1574468860,76
1574468861,76
1574468862,76
1574468863,76
1574468864,76
1574468865,76
1574468866,76
1574468867,76
1574468868,76
1574468869,76
1574468870,76
1574468871,76
1574468872,76
1574468873,76
1574468874,76
1574468875,76
1574468876,76
1574468877,76
1574468878,76
1574468879,76
1574468880,76
1574468881,76
1574468882,76
1574468883,76
1574468884,76
1574468885,76
1574468886,76
1574468887,76
1574468888,76
1574468889,76
1574468890,76
1574468891,76
1574468892,76
1574468893,76
1574468894,76
1574468895,76
1574468896,76
1574468897,76
1574468898,76
1574468899,76
1574468900,76
1574468901,76
1574468902,76
1574468903,76
1574468904,76
1574468905,76
1574468906,76
1574468907,76
1574468908,76
1574468909,76
1574468910,76
1574468911,76
1574468912,76
1574468913,76
1574468914,76
1574468915,76
1574468916,76
1574468917,76
1574468918,76
1574468919,76
1574468920,76
1574468921,76
1574468922,76
1574468923,76
1574468924,76
1574468925,76
1574468926,76
1574468927,76
1574468928,76
1574468929,76
1574468930,76
1574468931,76
1574468932,76
1574468933,76
1574468934,76
1574468935,76
1574468936,76
1574468937,76
1574468938,76
1574468939,76
1574468940,76
1574468941,76
1574468942,76
1574468943,76
1574468944,76
1574468945,76
1574468946,76
1574468947,76
1574468948,76
1574468949,76
1574468950,76
1574468951,76
1574468952,76
1574468953,76
1574468954,76
1574468955,76
1574468956,76
1574468957,76
1574468958,76
1574468959,76
1574468960,76
1574468961,76
1574468962,76
1574468963,76
1574468964,76
1574468965,76
1574468966,76
1574468967,76
1574468968,76
1574468969,76
1574468970,76
1574468971,76
1574468972,76
1574468973,76
1574468974,76
1574468975,76
1574468976,76
1574468977,76
1574468978,76
1574468979,76
1574468980,76
1574468981,76
1574468982,76
1574468983,76
1574468984,76
1574468985,76
1574468986,76
1574468987,76
1574468988,76
1574468989,76
1574468990,76
1574468991,76
1574468992,76
1574468993,76
1574468994,76
1574468995,76
1574468996,76
1574468997,76
1574468998,76
1574468999,76
1574469000,76
1574469001,76
1574469002,76
1574469003,76
1574469004,76
1574469005,76
1574469006,76
1574469007,76
1574469008,76
1574469009,76
1574469010,76
1574469011,76
1574469012,76
1574469013,76
1574469014,76
1574469015,76
1574469016,76
1574469017,76
1574469018,76
1574469019,76
1574469020,76
1574469021,76
1574469022,76
1574469023,76
1574469024,76
1574469025,76
1574469026,76
1574469027,76
1574469028,76
1574469029,76
1574469030,76
1574469031,76
1574469032,76
1574469033,76
1574469034,76
1574469035,76
1574469036,76
1574469037,76
1574469038,76
1574469039,76
