t,value
1574467855,7117216
1574467856,7193720
1574467857,7269712
1574467858,7284928
1574467859,7326824
1574467860,7329760
1574467861,7331872
1574467862,7347064
1574467863,7347424
1574467864,7347728
1574467865,7348560
1574467866,7348848
1574467867,7349136
1574467868,7349136
1574467869,7349136
1574467870,7355088
1574467871,7355088
1574467872,7355720
1574467873,7355720
1574467874,7355720
1574467875,7355720
1574467876,7358312
1574467877,7368656
1574467878,7368944
1574467879,7368944
1574467880,7368944
1574467881,7369232
1574467882,7369232
1574467883,7376000
1574467884,7376824
1574467885,7377120
1574467886,7377120
1574467887,7379792
1574467888,7379792
1574467889,7379792
1574467890,7379792
1574467891,7379792
1574467892,7379792
1574467893,7379792
1574467894,7379792
1574467895,7380144
1574467896,7380144
1574467897,7381360
1574467898,7388464
1574467899,7388464
1574467900,7388464
1574467901,7388464
1574467902,7388464
1574467903,7388464
1574467904,7389232
1574467905,7389232
1574467906,7394808
1574467907,7394808
1574467908,7394808
1574467909,7394808
1574467910,7394808
1574467911,7394808
1574467912,7394808
1574467913,7394808
1574467914,7394808
1574467915,7396936
1574467916,7396936
1574467917,7398736
1574467918,7399024
1574467919,7399368
1574467920,7399368
1574467921,7399368
1574467922,7399368
1574467923,7399368
1574467924,7399368
1574467925,7399368
1574467926,7399368
1574467927,7399368
1574467928,7399368
1574467929,7399880
1574467930,7399880
1574467931,7399880
1574467932,7399880
1574467933,7399880
1574467934,7399880
1574467935,7399880
1574467936,7399880
1574467937,7399880
1574467938,7400808
1574467939,7401112
1574467940,7402728
1574467941,7403512
1574467942,7403512
1574467943,7403512
1574467944,7403512
1574467945,7403512
1574467946,7403512
1574467947,7403512
1574467948,7403512
1574467949,7403512
1574467950,7403512
1574467951,7403512
1574467952,7403512
1574467953,7403512
1574467954,7403512
1574467955,7404152
1574467956,7404152
1574467957,7404152
1574467958,7404152
1574467959,7404152
1574467960,7404152
1574467961,7414120
1574467962,7414880
1574467963,7414880
1574467964,7414880
1574467965,7414880
1574467966,7414880
1574467967,7414880
1574467968,7414880
1574467969,7414880
1574467970,7414880
1574467971,7415640
1574467972,7415640
1574467973,7415640
1574467974,7415640
1574467975,7415640
1574467976,7415640
1574467977,7415640
1574467978,7415640
1574467979,7415640
1574467980,7416016
1574467981,7416016
1574467982,7420432
1574467983,7428640
1574467984,7428640
1574467985,7428640
1574467986,7428640
1574467987,7428640
1574467988,7428640
1574467989,7428640
1574467990,7428640
1574467991,7428640
1574467992,7428640
1574467993,7438072
1574467994,7438072
1574467995,7438072
1574467996,7438072
1574467997,7438072
1574467998,7438072
1574467999,7438072
1574468000,7438472
1574468001,7438472
1574468002,7438472
1574468003,7438472
1574468004,7438472
1574468005,7439112
1574468006,7439112
1574468007,7439112
1574468008,7439112
1574468009,7439112
1574468010,7439112
1574468011,7439112
1574468012,7439112
1574468013,7439112
1574468014,7439112
1574468015,7439112
1574468016,7439112
1574468017,7439112
1574468018,7439112
1574468019,7439112
1574468020,7439112
1574468021,7439112
1574468022,7439112
1574468023,7439112
1574468024,7439112
1574468025,7439864
1574468026,7439864
1574468027,7439864
1574468028,7439864
1574468029,7439864
1574468030,7440192
1574468031,7440192
1574468032,7440576
1574468033,7440576
1574468034,7440576
1574468035,7440576
1574468036,7440576
1574468037,7440576
1574468038,7440576
1574468039,7440576
1574468040,7440576
1574468041,7440576
1574468042,7440576
1574468043,7440576
1574468044,7440576
1574468045,7440576
1574468046,7441048
1574468047,7441048
1574468048,7441048
1574468049,7441048
1574468050,7441048
1574468051,7441048
1574468052,7441048
1574468053,7441048
1574468054,7441048
1574468055,7441720
1574468056,7442168
1574468057,7442168
1574468058,7442168
1574468059,7442168
1574468060,7442168
1574468061,7442168
1574468062,7442168
1574468063,7442168
1574468064,7442168
1574468065,7442168
1574468066,7442168
1574468067,7442168
1574468068,7442544
1574468069,7442544
1574468070,7442544
1574468071,7442544
1574468072,7442544
1574468073,7442544
1574468074,7442544
1574468075,7442544
1574468076,7442544
1574468077,7442544
1574468078,7442544
1574468079,7442544
1574468080,7442544
1574468081,7442544
1574468082,7442544
1574468083,7442544
1574468084,7442544
1574468085,7442544
1574468086,7442544
1574468087,7442544
1574468088,7442544
1574468089,7442544
1574468090,7442992
1574468091,7442992
1574468092,7442992
1574468093,7442992
1574468094,7442992
1574468095,7442992
1574468096,7442992
1574468097,7442992
1574468098,7442992
1574468099,7442992
1574468100,7442992
1574468101,7442992
1574468102,7442992
1574468103,7442992
1574468104,7442992
1574468105,7445032
1574468106,7448064
1574468107,7448344
1574468108,7448344
1574468109,7448344
1574468110,7465392
1574468111,7477536
1574468112,7477536
1574468113,7477536
1574468114,7477536
1574468115,7478024
1574468116,7478024
1574468117,7478024
1574468118,7478024
1574468119,7478024
1574468120,7478024
1574468121,7478024
1574468122,7478024
1574468123,7478024
1574468124,7478024
1574468125,7478024
1574468126,7478024
1574468127,7478024
1574468128,7478024
1574468129,7478024
1574468130,7478024
1574468131,7478024
1574468132,7478024
1574468133,7478024
1574468134,7478024
1574468135,7478392
1574468136,7478392
1574468137,7478392
1574468138,7478392
1574468139,7478392
1574468140,7478392
1574468141,7478392
1574468142,7478392
1574468143,7478392
1574468144,7478392
1574468145,7478392
1574468146,7478392
1574468147,7478392
1574468148,7478392
1574468149,7478392
1574468150,7478784
1574468151,7478784
1574468152,7478784
1574468153,7478784
1574468154,7478784
1574468155,7479088
1574468156,7479088
1574468157,7479088
1574468158,7479216
1574468159,7479216
1574468160,7479216
1574468161,7479216
1574468162,7479216
1574468163,7479216
1574468164,7479216
1574468165,7492152
1574468166,7492152
1574468167,7492152
