t,value
1574467855,26424408
1574467856,26424408
1574467857,26424408
1574467858,29075024
1574467859,29075024
1574467860,29075024
1574467861,31717456
1574467862,31717456
1574467863,31717456
1574467864,31717456
1574467865,34359864
1574467866,34359864
1574467867,34359864
1574467868,37002272
1574467869,37002272
1574467870,37002272
1574467871,39644680
1574467872,39644680
1574467873,39644680
1574467874,39644680
1574467875,42287088
1574467876,42287088
1574467877,42287088
1574467878,44929536
1574467879,44929536
1574467880,44929536
1574467881,47571944
1574467882,47571944
1574467883,47571944
1574467884,50214352
1574467885,50214352
1574467886,50214352
1574467887,50214352
1574467888,52856760
1574467889,52856760
1574467890,52856760
1574467891,55499168
1574467892,55499168
1574467893,55499168
1574467894,58141576
1574467895,58141576
1574467896,58141576
1574467897,58141576
1574467898,60783984
1574467899,60783984
1574467900,60783984
1574467901,63426392
1574467902,63426392
1574467903,63426392
1574467904,66068800
1574467905,66068800
1574467906,66068800
1574467907,66068800
1574467908,68711208
1574467909,68711208
1574467910,68711208
1574467911,71353616
1574467912,71353616
1574467913,71353616
1574467914,73996024
1574467915,73996024
1574467916,73996024
1574467917,73996024
1574467918,76638432
1574467919,76638432
1574467920,76638432
1574467921,79280840
1574467922,79280840
1574467923,79280840
1574467924,81923248
1574467925,81923248
1574467926,81923248
1574467927,81923248
1574467928,84565656
1574467929,84565656
1574467930,84565656
1574467931,87208232
1574467932,87208232
1574467933,87208232
1574467934,89850640
1574467935,89850640
1574467936,89850640
1574467937,89850640
1574467938,92493048
1574467939,92493048
1574467940,92493048
1574467941,95135512
1574467942,95135512
1574467943,95135512
1574467944,97777920
1574467945,97777920
1574467946,97777920
1574467947,97777920
1574467948,100420328
1574467949,100420328
1574467950,100420328
1574467951,103062800
1574467952,103062800
1574467953,103062800
1574467954,103062800
1574467955,105713416
1574467956,105713416
1574467957,105713416
1574467958,108355880
1574467959,108355880
1574467960,108355880
1574467961,110998384
1574467962,110998384
1574467963,110998384
1574467964,110998384
1574467965,113649000
1574467966,113649000
1574467967,113649000
1574467968,116299616
1574467969,116299616
1574467970,116299616
1574467971,116299616
1574467972,118950232
1574467973,118950232
1574467974,118950232
1574467975,121600848
1574467976,121600848
1574467977,121600848
1574467978,121600848
1574467979,124243296
1574467980,124243296
1574467981,124243296
1574467982,126893912
1574467983,126893912
1574467984,126893912
1574467985,126893912
1574467986,129544528
1574467987,129544528
1574467988,129544528
1574467989,132120576
1574467990,132120576
1574467991,132120576
1574467992,132120576
1574467993,3733144
1574467994,3733144
1574467995,5054440
1574467996,7466320
1574467997,7466320
1574467998,7466320
1574467999,9870016
1574468000,9870016
1574468001,9870016
1574468002,12281896
1574468003,12281896
1574468004,12281896
1574468005,14685632
1574468006,14685632
1574468007,14685632
1574468008,17097512
1574468009,17097512
1574468010,17097512
1574468011,19509392
1574468012,19509392
1574468013,19509392
1574468014,19509392
1574468015,21913088
1574468016,21913088
1574468017,21913088
1574468018,24316832
1574468019,24316832
1574468020,24316832
1574468021,26728712
1574468022,26728712
1574468023,26728712
1574468024,29140592
1574468025,29140592
1574468026,29140592
1574468027,31544336
1574468028,31544336
1574468029,31544336
1574468030,33948200
1574468031,33948200
1574468032,33948200
1574468033,33948200
1574468034,36351968
1574468035,36351968
1574468036,36351968
1574468037,38755664
1574468038,38755664
1574468039,38755664
1574468040,41167544
1574468041,41167544
1574468042,41167544
1574468043,43571304
1574468044,43571304
1574468045,43571304
1574468046,45983184
1574468047,45983184
1574468048,45983184
1574468049,48395064
1574468050,48395064
1574468051,48395064
1574468052,48395064
1574468053,50806944
1574468054,50806944
1574468055,50806944
1574468056,53218824
1574468057,53218824
1574468058,53218824
1574468059,55622552
1574468060,55622552
1574468061,55622552
1574468062,58034432
1574468063,58034432
1574468064,58034432
1574468065,60446312
1574468066,60446312
1574468067,60446312
1574468068,60446312
1574468069,62858192
1574468070,62858192
1574468071,62858192
1574468072,65270072
1574468073,65270072
1574468074,65270072
1574468075,70324392
1574468076,70324392
1574468077,70324392
1574468078,72736272
1574468079,72736272
1574468080,72736272
1574468081,75148152
1574468082,75148152
1574468083,75148152
1574468084,77560032
1574468085,77560032
1574468086,77560032
1574468087,77560032
1574468088,79971912
1574468089,79971912
1574468090,79971912
1574468091,82383792
1574468092,82383792
1574468093,82383792
1574468094,84795672
1574468095,84795672
1574468096,84795672
1574468097,87207552
1574468098,87207552
1574468099,87207552
1574468100,89619432
1574468101,89619432
1574468102,89619432
1574468103,89619432
1574468104,92031312
1574468105,93352536
1574468106,93352536
1574468107,95764416
1574468108,95764416
1574468109,95764416
1574468110,98176296
1574468111,98176296
1574468112,98176296
1574468113,100588176
1574468114,100588176
1574468115,100588176
1574468116,103000056
1574468117,103000056
1574468118,103000056
1574468119,103000056
1574468120,105411936
1574468121,105411936
1574468122,105411936
1574468123,107823816
1574468124,107823816
1574468125,107823816
1574468126,110235696
1574468127,110235696
1574468128,110235696
1574468129,112647576
1574468130,112647576
1574468131,112647576
1574468132,115059456
1574468133,115059456
1574468134,115059456
1574468135,115059456
1574468136,117471336
1574468137,117471336
1574468138,117471336
1574468139,119883216
1574468140,119883216
1574468141,119883216
1574468142,122295096
1574468143,122295096
1574468144,122295096
1574468145,124706976
1574468146,124706976
1574468147,124706976
1574468148,127118856
1574468149,127118856
1574468150,127118856
1574468151,129530736
1574468152,129530736
1574468153,129530736
1574468154,129530736
1574468155,131942616
1574468156,131942616
1574468157,131942616
1574468158,5082160
1574468159,5082160
1574468160,5943696
1574468161,8391496
1574468162,8391496
1574468163,8391496
1574468164,8391496
1574468165,11698112
1574468166,11698112
1574468167,11698112
1574468168,14145912
1574468169,14145912
1574468170,14145912
1574468171,16593712
1574468172,16593712
1574468173,16593712
1574468174,19041512
1574468175,19041512
1574468176,19041512
1574468177,19041512
1574468178,21489312
1574468179,21489312
1574468180,21489312
1574468181,23928960
1574468182,23928960
1574468183,23928960
1574468184,26376760
1574468185,26376760
1574468186,26376760
1574468187,28824560
1574468188,28824560
1574468189,28824560
1574468190,31264248
1574468191,31264248
1574468192,31264248
1574468193,31264248
1574468194,33712048
1574468195,33712048
1574468196,33712048
1574468197,36159848
1574468198,36159848
1574468199,36159848
1574468200,38599544
1574468201,38599544
1574468202,38599544
1574468203,41047344
1574468204,41047344
1574468205,41047344
1574468206,41047344
1574468207,43495144
1574468208,43495144
1574468209,43495144
1574468210,45942944
1574468211,45942944
1574468212,45942944
1574468213,48390744
1574468214,48390744
1574468215,48390744
1574468216,50838544
1574468217,50838544
1574468218,50838544
1574468219,50838544
1574468220,53286344
1574468221,53286344
1574468222,53286344
1574468223,55734144
1574468224,55734144
1574468225,55734144
1574468226,58181944
1574468227,58181944
1574468228,58181944
1574468229,60629744
1574468230,60629744
1574468231,60629744
1574468232,60629744
1574468233,63077544
1574468234,63077544
1574468235,63077544
1574468236,65525344
1574468237,65525344
1574468238,66846568
1574468239,69294368
1574468240,69294368
1574468241,69294368
1574468242,71742168
1574468243,71742168
1574468244,71742168
1574468245,71742168
1574468246,74189968
1574468247,74189968
1574468248,74189968
1574468249,76637768
1574468250,76637768
1574468251,76637768
1574468252,79085568
1574468253,79085568
1574468254,79085568
1574468255,81533368
1574468256,81533368
1574468257,81533368
1574468258,81533368
1574468259,83981168
1574468260,83981168
