t,value
1574467855,38273064
1574467856,38568400
1574467857,38774208
1574467858,41466752
1574467859,41654616
1574467860,41697752
1574467861,44483760
1574467862,44495152
1574467863,44500552
1574467864,47142960
1574467865,47150448
1574467866,47156880
1574467867,47159472
1574467868,49806488
1574467869,49807384
1574467870,49838488
1574467871,52486656
1574467872,52492408
1574467873,52496440
1574467874,55139936
1574467875,55143776
1574467876,55154560
1574467877,55189160
1574467878,57847704
1574467879,57862040
1574467880,57859448
1574467881,60501728
1574467882,60506016
1574467883,60528336
1574467884,63176048
1574467885,63182680
1574467886,63216520
1574467887,65859568
1574467888,65859568
1574467889,65859568
1574467890,65859568
1574467891,68501976
1574467892,68501976
1574467893,68529752
1574467894,71172160
1574467895,71178528
1574467896,71179360
1574467897,73846856
1574467898,73865160
1574467899,73876168
1574467900,73882248
1574467901,76542128
1574467902,76545200
1574467903,76545200
1574467904,79190680
1574467905,79186264
1574467906,79208032
1574467907,81850440
1574467908,81850440
1574467909,81850440
1574467910,81833608
1574467911,84476016
1574467912,84480240
1574467913,84480240
1574467914,87122648
1574467915,87128872
1574467916,87129640
1574467917,89776920
1574467918,89778680
1574467919,89779920
1574467920,89779920
1574467921,92422328
1574467922,92422328
1574467923,92422328
1574467924,95064736
1574467925,95064736
1574467926,95064736
1574467927,97707144
1574467928,97707144
1574467929,97713160
1574467930,97713160
1574467931,100355736
1574467932,100355736
1574467933,100355736
1574467934,102998144
1574467935,102998144
1574467936,102998144
1574467937,105640552
1574467938,105641400
1574467939,105642104
1574467940,105652248
1574467941,108294712
1574467942,108294712
1574467943,108286200
1574467944,110884896
1574467945,110901088
1574467946,110904032
1574467947,113569800
1574467948,113569800
1574467949,113569800
1574467950,113665416
1574467951,116307888
1574467952,116308720
1574467953,116308720
1574467954,118959336
1574467955,118965032
1574467956,118965032
1574467957,118965032
1574467958,121607496
1574467959,121607496
1574467960,121608776
1574467961,124281408
1574467962,124286520
1574467963,124286520
1574467964,124287160
1574467965,126922352
1574467966,126922352
1574467967,126922352
1574467968,129572968
1574467969,129556072
1574467970,129556136
1574467971,129558752
1574467972,132209368
1574467973,132209368
1574467974,132209368
1574467975,134860880
1574467976,134862160
1574467977,134862160
1574467978,137508640
1574467979,137559776
1574467980,137562776
1574467981,137562776
1574467982,140230480
1574467983,140269248
1574467984,140269248
1574467985,142919800
1574467986,142919800
1574467987,142919800
1574467988,142919800
1574467989,145495848
1574467990,145495848
1574467991,145495848
1574467992,21522536
1574467993,21535784
1574467994,21535784
1574467995,25269920
1574467996,25269920
1574467997,25269920
1574467998,25269920
1574467999,27673616
1574468000,27675040
1574468001,27676640
1574468002,30088520
1574468003,30089352
1574468004,30089352
1574468005,32494816
1574468006,32494816
1574468007,32494816
1574468008,34907848
1574468009,34907848
1574468010,34907848
1574468011,37320432
1574468012,37320432
1574468013,37321136
1574468014,39724832
1574468015,39724832
1574468016,39724832
1574468017,39724832
1574468018,42133056
1574468019,42133056
1574468020,42133056
1574468021,44544936
1574468022,44544936
1574468023,44544936
1574468024,46956816
1574468025,46948672
1574468026,46948672
1574468027,49352416
1574468028,49352416
1574468029,49352416
1574468030,51757504
1574468031,51753472
1574468032,51753472
1574468033,54157240
1574468034,54157240
1574468035,54090040
1574468036,56499816
1574468037,56499816
1574468038,56499816
1574468039,56499816
1574468040,58911696
1574468041,58911696
1574468042,58947728
1574468043,61351488
1574468044,61351488
1574468045,61351488
1574468046,63773952
1574468047,63773952
1574468048,63773952
1574468049,66185832
1574468050,66185832
1574468051,66185832
1574468052,68597712
1574468053,68597712
