t,value
1574467855,26424408
1574467856,26424408
1574467857,26424408
1574467858,29075024
1574467859,29075024
1574467860,29075024
1574467861,29075024
1574467862,31717432
1574467863,31717432
1574467864,31717432
1574467865,34359840
1574467866,34359840
1574467867,34359840
1574467868,37002248
1574467869,37002248
1574467870,37002248
1574467871,37002248
1574467872,39644656
1574467873,39644656
1574467874,39644656
1574467875,42287064
1574467876,42287064
1574467877,42287064
1574467878,44929472
1574467879,44929472
1574467880,44929472
1574467881,44929472
1574467882,47571880
1574467883,47571880
1574467884,47571880
1574467885,50214288
1574467886,50214288
1574467887,50214288
1574467888,52856696
1574467889,52856696
1574467890,52856696
1574467891,52856696
1574467892,55499104
1574467893,55499104
1574467894,55499104
1574467895,58141512
1574467896,58141512
1574467897,58141512
1574467898,60784016
1574467899,60784016
1574467900,60784016
1574467901,60784016
1574467902,63426424
1574467903,63426424
1574467904,63426424
1574467905,66068864
1574467906,66068864
1574467907,66068864
1574467908,68711376
1574467909,68711376
1574467910,68711376
1574467911,68711376
1574467912,71353808
1574467913,71353808
1574467914,71353808
1574467915,73996216
1574467916,73996216
1574467917,73996216
1574467918,76638624
1574467919,76638624
1574467920,76638624
1574467921,76638624
1574467922,79281088
1574467923,79281088
1574467924,79281088
1574467925,81923496
1574467926,81923496
1574467927,81923496
1574467928,84565904
1574467929,84565904
1574467930,84565904
1574467931,84565904
1574467932,87208456
1574467933,87208456
1574467934,87208456
1574467935,89850864
1574467936,89850864
1574467937,89850864
1574467938,92493272
1574467939,92493272
1574467940,92493272
1574467941,95135680
1574467942,95135680
1574467943,95135680
1574467944,95135680
1574467945,97778088
1574467946,97778088
1574467947,97778088
1574467948,100428704
1574467949,100428704
1574467950,100428704
1574467951,100428704
1574467952,103071208
1574467953,103071208
1574467954,103071208
1574467955,105721824
1574467956,105721824
1574467957,105721824
1574467958,105721824
1574467959,108364256
1574467960,108364256
1574467961,108364256
1574467962,111014872
1574467963,111014872
1574467964,111014872
1574467965,111014872
1574467966,113665488
1574467967,113665488
1574467968,113665488
1574467969,116307936
1574467970,116307936
1574467971,116307936
1574467972,118958552
1574467973,118958552
1574467974,118958552
1574467975,118958552
1574467976,121601056
1574467977,121601056
1574467978,121601056
1574467979,124251672
1574467980,124251672
1574467981,124251672
1574467982,124251672
1574467983,126894120
1574467984,126894120
1574467985,126894120
1574467986,129544736
1574467987,129544736
1574467988,129544736
1574467989,129544736
1574467990,132120576
1574467991,132120576
1574467992,132120576
1574467993,8140656
1574467994,8140656
1574467995,8140656
1574467996,11865864
1574467997,11865864
1574467998,11865864
1574467999,14277960
1574468000,14277960
1574468001,14277960
1574468002,14277960
1574468003,16681872
1574468004,16681872
1574468005,16681872
1574468006,19093968
1574468007,19093968
1574468008,19093968
1574468009,21498016
1574468010,21498016
1574468011,21498016
1574468012,23910112
1574468013,23910112
1574468014,23910112
1574468015,26322208
1574468016,26322208
1574468017,26322208
1574468018,28734304
1574468019,28734304
1574468020,28734304
1574468021,28734304
1574468022,31138336
1574468023,31138336
1574468024,31138336
1574468025,33550432
1574468026,33550432
1574468027,33550432
1574468028,35954512
1574468029,35954512
1574468030,35954512
1574468031,38366608
1574468032,38366608
1574468033,38366608
1574468034,40770544
1574468035,40770544
1574468036,40770544
1574468037,43174496
1574468038,43174496
1574468039,43174496
1574468040,43174496
1574468041,45578440
1574468042,45578440
1574468043,45578440
1574468044,47990536
1574468045,47990536
1574468046,47990536
1574468047,50394584
1574468048,50394584
1574468049,50394584
1574468050,52798528
1574468051,52798528
1574468052,52798528
1574468053,55202456
1574468054,55202456
1574468055,55202456
1574468056,57614552
1574468057,57614552
1574468058,57614552
1574468059,57614552
1574468060,60018456
1574468061,60018456
1574468062,60018456
1574468063,62430552
1574468064,62430552
1574468065,62430552
1574468066,64842648
1574468067,64842648
1574468068,64842648
1574468069,67254744
1574468070,67254744
1574468071,67254744
1574468072,69666840
1574468073,69666840
1574468074,69666840
1574468075,69666840
1574468076,74713208
1574468077,74713208
1574468078,74713208
1574468079,77117120
1574468080,77117120
1574468081,77117120
1574468082,79529216
1574468083,79529216
1574468084,79529216
1574468085,81941312
1574468086,81941312
1574468087,81941312
1574468088,84345224
1574468089,84345224
1574468090,84345224
1574468091,84345224
1574468092,86749152
1574468093,86749152
1574468094,86749152
1574468095,89161248
1574468096,89161248
1574468097,89161248
1574468098,91573344
1574468099,91573344
1574468100,91573344
1574468101,93985440
1574468102,93985440
1574468103,93985440
1574468104,96397536
1574468105,96397536
1574468106,97718760
1574468107,97718760
1574468108,100130856
1574468109,100130856
1574468110,100130856
1574468111,102534784
1574468112,102534784
1574468113,102534784
1574468114,104946880
1574468115,104946880
1574468116,104946880
1574468117,107358976
1574468118,107358976
1574468119,107358976
1574468120,109771072
1574468121,109771072
1574468122,109771072
1574468123,112183168
1574468124,112183168
1574468125,112183168
1574468126,112183168
1574468127,114587072
1574468128,114587072
1574468129,114587072
1574468130,116999168
1574468131,116999168
1574468132,116999168
1574468133,119411264
1574468134,119411264
1574468135,119411264
1574468136,121823360
1574468137,121823360
1574468138,121823360
1574468139,124227296
1574468140,124227296
1574468141,124227296
1574468142,124227296
1574468143,126631224
1574468144,126631224
1574468145,126631224
1574468146,129043320
1574468147,129043320
1574468148,129043320
1574468149,131455416
1574468150,131455416
1574468151,131455416
1574468152,133867512
1574468153,133867512
1574468154,133867512
1574468155,136279608
1574468156,136279608
1574468157,136279608
1574468158,136279608
1574468159,9620744
1574468160,9620744
1574468161,10482280
1574468162,12930376
1574468163,12930376
1574468164,12930376
1574468165,15378472
1574468166,17558512
1574468167,17558512
1574468168,17558512
1574468169,20006608
1574468170,20006608
1574468171,20006608
1574468172,22454704
1574468173,22454704
1574468174,22454704
1574468175,24902800
1574468176,24902800
1574468177,24902800
1574468178,27350896
1574468179,27350896
1574468180,27350896
1574468181,27350896
1574468182,29798992
1574468183,29798992
1574468184,29798992
1574468185,32247088
1574468186,32247088
1574468187,32247088
1574468188,34695184
1574468189,34695184
1574468190,34695184
1574468191,37143280
1574468192,37143280
1574468193,37143280
1574468194,37143280
1574468195,39591376
1574468196,97095920
1574468197,1096698288
1574468198,1098481944
1574468199,1100265600
1574468200,1102086728
1574468201,1106217672
1574468202,1110208640
1574468203,1113776464
1574468204,1115560616
1574468205,1119165432
1574468206,1122732768
1574468207,1126610496
1574468208,2160322544
1574468209,2231550992
1574468210,2280674144
1574468211,2209273488
1574468212,2281243816
1574468213,2346592288
1574468214,2424966240
1574468215,2201095024
1574468216,2289851368
1574468217,2373211416
1574468218,2169507600
1574468219,2262628584
1574468220,2360693776
1574468221,2463687576
1574468222,2223741240
1574468223,2335915400
1574468224,2449519712
1574468225,2221539776
1574468226,2342879712
1574468227,2466530064
1574468228,2212124640
1574468229,2347330240
1574468230,2483966680
1574468231,2240838304
1574468232,2383571336
1574468233,2532214296
1574468234,2275548936
1574468235,2428833400
1574468236,2180760936
1574468237,2344982208
1574468238,2511596344
1574468239,2258876736
1574468240,2434106872
1574468241,2189553056
1574468242,2372006360
1574468243,2557160760
1574468244,2309529328
1574468245,2498273616
1574468246,2259830440
1574468247,2455588064
1574468248,2213327040
1574468249,2419709256
1574468250,2189644880
1574468251,2400465608
1574468252,2173536280
1574468253,2393389752
