t,value
1574467855,3830400
1574467856,4001856
1574467857,4269824
1574467858,4329600
1574467859,4412608
1574467860,4542912
1574467861,4576832
1574467862,4623616
1574467863,4631616
1574467864,4650112
1574467865,4651968
1574467866,4655872
1574467867,4661312
1574467868,4661312
1574467869,4666816
1574467870,4666816
1574467871,4696832
1574467872,4697728
1574467873,4706752
1574467874,4707904
1574467875,4711872
1574467876,4720064
1574467877,4744320
1574467878,4759296
1574467879,4766976
1574467880,4766976
1574467881,4760000
1574467882,4760000
1574467883,4773248
1574467884,4797440
1574467885,4803776
1574467886,4826112
1574467887,4836672
1574467888,4836672
1574467889,4836672
1574467890,4836672
1574467891,4837440
1574467892,4837440
1574467893,4864832
1574467894,4864832
1574467895,4868224
1574467896,4871104
1574467897,4872000
1574467898,4902464
1574467899,4914688
1574467900,4916800
1574467901,4923328
1574467902,4934464
1574467903,4934464
1574467904,4936832
1574467905,4936832
1574467906,4947008
1574467907,4947008
1574467908,4947008
1574467909,4947008
1574467910,4933120
1574467911,4934720
1574467912,4941568
1574467913,4941568
1574467914,4941568
1574467915,4941568
1574467916,4946944
1574467917,4949952
1574467918,4951488
1574467919,4952384
1574467920,4952384
1574467921,4952384
1574467922,4952384
1574467923,4952384
1574467924,4952384
1574467925,4952384
1574467926,4952384
1574467927,4952384
1574467928,4952384
1574467929,4952384
1574467930,4957888
1574467931,4957888
1574467932,4957888
1574467933,4957888
1574467934,4957888
1574467935,4957888
1574467936,4957888
1574467937,4957888
1574467938,4955328
1574467939,4957312
1574467940,4965440
1574467941,4965760
1574467942,4965760
1574467943,4965760
1574467944,4925248
1574467945,4918976
1574467946,4931328
1574467947,4939136
1574467948,5039552
1574467949,5039552
1574467950,5040384
1574467951,5040384
1574467952,5040384
1574467953,5040384
1574467954,5040384
1574467955,5045632
1574467956,5045632
1574467957,5045632
1574467958,5045632
1574467959,5045632
1574467960,5045632
1574467961,5067072
1574467962,5067072
1574467963,5082624
1574467964,5082624
1574467965,5083264
1574467966,5085184
1574467967,5085184
1574467968,5085184
1574467969,5085184
1574467970,5085184
1574467971,5071872
1574467972,5071872
1574467973,5071872
1574467974,5046720
1574467975,5046720
1574467976,5042304
1574467977,5042304
1574467978,5043584
1574467979,5099712
1574467980,5102336
1574467981,5102336
1574467982,5114240
1574467983,5145088
1574467984,5145088
1574467985,5145088
1574467986,5145088
1574467987,5145088
1574467988,5145088
1574467989,5145088
1574467990,5145088
1574467991,5145088
1574467992,5145088
1574467993,5149440
1574467994,5160768
1574467995,5160768
1574467996,5161728
1574467997,5161728
1574467998,5161728
1574467999,5161728
1574468000,5162752
1574468001,5162752
1574468002,5165120
1574468003,5165120
1574468004,5165824
1574468005,5165824
1574468006,5166848
1574468007,5166848
1574468008,5166848
1574468009,5168704
1574468010,5168704
1574468011,5168704
1574468012,5168704
1574468013,5169408
1574468014,5169408
1574468015,5169408
1574468016,5169408
1574468017,5169408
1574468018,5159424
1574468019,5159424
1574468020,5159424
1574468021,5159424
1574468022,5159424
1574468023,5159424
1574468024,5159424
1574468025,5159424
1574468026,5165952
1574468027,5165952
1574468028,5165952
1574468029,5165952
1574468030,5167744
1574468031,5167744
1574468032,5112896
1574468033,5112896
1574468034,5112896
1574468035,5097472
1574468036,5097472
1574468037,5102784
1574468038,5102784
1574468039,5102784
1574468040,5102784
1574468041,5139264
1574468042,5139264
1574468043,5139264
1574468044,5139264
1574468045,5139264
1574468046,5140800
1574468047,5149440
1574468048,5149440
1574468049,5149440
1574468050,5149440
1574468051,5149440
1574468052,5149440
1574468053,5149440
1574468054,5149440
1574468055,5149440
1574468056,5151616
1574468057,5161600
1574468058,5161600
1574468059,5161600
1574468060,5162496
1574468061,5163328
1574468062,5163328
1574468063,5163328
1574468064,5163328
1574468065,5164736
1574468066,5164736
1574468067,5164736
1574468068,5166720
1574468069,5166720
1574468070,5166720
1574468071,5166720
1574468072,5166720
1574468073,5166720
1574468074,5166720
1574468075,5166720
1574468076,5168576
1574468077,5168576
1574468078,5168576
1574468079,5168576
1574468080,5168576
1574468081,5168576
1574468082,5168576
1574468083,5171328
1574468084,5171328
1574468085,5171328
1574468086,5171328
1574468087,5171328
1574468088,5171328
1574468089,5171328
1574468090,5166848
1574468091,5166848
1574468092,5166848
1574468093,5166848
1574468094,5166848
1574468095,5166336
1574468096,5166336
1574468097,5166336
1574468098,5166336
1574468099,5166336
1574468100,5145472
1574468101,5145472
1574468102,5145472
1574468103,5145472
1574468104,5145472
1574468105,5145472
1574468106,5146880
1574468107,5147648
1574468108,5147648
1574468109,5147648
1574468110,5205568
1574468111,5262848
1574468112,5262848
1574468113,5262848
1574468114,5262848
1574468115,5264640
1574468116,5264192
1574468117,5264192
1574468118,5264192
1574468119,5264192
1574468120,5264192
1574468121,5264192
1574468122,5264192
1574468123,5264192
1574468124,5264192
1574468125,5264192
1574468126,5264192
1574468127,5264192
1574468128,5264192
1574468129,5264192
1574468130,5264192
1574468131,5264192
1574468132,5268480
1574468133,5268480
1574468134,5268480
1574468135,5269568
1574468136,5269568
1574468137,5269568
1574468138,5269568
1574468139,5269568
1574468140,5269568
1574468141,5269568
1574468142,5269568
1574468143,5269568
1574468144,5269568
1574468145,5269568
1574468146,5269568
1574468147,5269568
1574468148,5269568
1574468149,5269568
1574468150,5270336
1574468151,5270336
1574468152,5270336
1574468153,5270336
1574468154,5270336
1574468155,5271616
1574468156,5271616
1574468157,5271616
1574468158,5271616
1574468159,5280576
1574468160,5280576
1574468161,5280576
1574468162,5280576
1574468163,5280576
1574468164,5280576
1574468165,5280576
1574468166,5191552
1574468167,5191552
1574468168,5191552
1574468169,5191552
1574468170,5193920
1574468171,5193920
1574468172,5193920
1574468173,5193792
1574468174,5210880
1574468175,5210880
1574468176,5210880
1574468177,5210880
1574468178,5210880
1574468179,5210880
1574468180,5210880
1574468181,5210880
1574468182,5210880
1574468183,5210880
1574468184,5210880
1574468185,5210880
1574468186,5210880
1574468187,5210880
1574468188,5210880
1574468189,5210880
1574468190,5210880
1574468191,5210880
1574468192,5210880
1574468193,5210880
1574468194,5210880
1574468195,5210880
1574468196,7063744
1574468197,7901760
1574468198,8102464
1574468199,8197056
1574468200,8203008
1574468201,8273536
1574468202,8302912
