t,value
1574467855,7274432
1574467856,7349264
1574467857,7425928
1574467858,7440960
1574467859,7491176
1574467860,7494112
1574467861,7497752
1574467862,7502680
1574467863,7503872
1574467864,7504176
1574467865,7504176
1574467866,7504464
1574467867,7504752
1574467868,7504752
1574467869,7504752
1574467870,7510704
1574467871,7510704
1574467872,7511336
1574467873,7511336
1574467874,7511336
1574467875,7511336
1574467876,7513928
1574467877,7524272
1574467878,7524560
1574467879,7524560
1574467880,7524560
1574467881,7524848
1574467882,7524848
1574467883,7532248
1574467884,7532592
1574467885,7532888
1574467886,7532888
1574467887,7535560
1574467888,7535560
1574467889,7535560
1574467890,7535560
1574467891,7535560
1574467892,7535560
1574467893,7535560
1574467894,7535560
1574467895,7535912
1574467896,7535912
1574467897,7537128
1574467898,7544232
1574467899,7544232
1574467900,7544232
1574467901,7544232
1574467902,7544232
1574467903,7544232
1574467904,7545000
1574467905,7545000
1574467906,7550576
1574467907,7550576
1574467908,7550576
1574467909,7550576
1574467910,7550576
1574467911,7550576
1574467912,7550576
1574467913,7550576
1574467914,7550576
1574467915,7552704
1574467916,7552704
1574467917,7554504
1574467918,7554792
1574467919,7555136
1574467920,7555136
1574467921,7555136
1574467922,7555136
1574467923,7555136
1574467924,7555136
1574467925,7555136
1574467926,7555136
1574467927,7555136
1574467928,7555136
1574467929,7555648
1574467930,7555648
1574467931,7555648
1574467932,7555648
1574467933,7555648
1574467934,7555648
1574467935,7555648
1574467936,7555648
1574467937,7555648
1574467938,7556576
1574467939,7556880
1574467940,7558496
1574467941,7559280
1574467942,7559280
1574467943,7559280
1574467944,7559280
1574467945,7559280
1574467946,7559280
1574467947,7559280
1574467948,7559280
1574467949,7559280
1574467950,7559280
1574467951,7559280
1574467952,7559280
1574467953,7559280
1574467954,7559280
1574467955,7559920
1574467956,7559920
1574467957,7559920
1574467958,7559920
1574467959,7559920
1574467960,7559920
1574467961,7569888
1574467962,7570648
1574467963,7570648
1574467964,7570648
1574467965,7570648
1574467966,7570648
1574467967,7570648
1574467968,7570648
1574467969,7570648
1574467970,7570648
1574467971,7571408
1574467972,7571408
1574467973,7571408
1574467974,7571408
1574467975,7571408
1574467976,7571408
1574467977,7571408
1574467978,7571408
1574467979,7571408
1574467980,7571784
1574467981,7571784
1574467982,7576200
1574467983,7584408
1574467984,7584408
1574467985,7584408
1574467986,7584408
1574467987,7584408
1574467988,7584408
1574467989,7584408
1574467990,7584408
1574467991,7584408
1574467992,7584408
1574467993,7593840
1574467994,7593840
1574467995,7593840
1574467996,7593840
1574467997,7593840
1574467998,7593840
1574467999,7593840
1574468000,7594240
1574468001,7594240
1574468002,7594240
1574468003,7594240
1574468004,7594240
1574468005,7594880
1574468006,7594880
1574468007,7594880
1574468008,7594880
1574468009,7594880
1574468010,7594880
1574468011,7594880
1574468012,7594880
1574468013,7594880
1574468014,7594880
1574468015,7594880
1574468016,7594880
1574468017,7594880
1574468018,7594880
1574468019,7594880
1574468020,7594880
1574468021,7594880
1574468022,7594880
1574468023,7594880
1574468024,7594880
1574468025,7595632
1574468026,7595632
1574468027,7595632
1574468028,7595632
1574468029,7595632
1574468030,7595960
1574468031,7595960
1574468032,7596344
1574468033,7596344
1574468034,7596344
1574468035,7596344
1574468036,7596344
1574468037,7596344
1574468038,7596344
1574468039,7596344
1574468040,7596344
1574468041,7596344
1574468042,7596344
1574468043,7596344
1574468044,7596344
1574468045,7596344
1574468046,7596816
1574468047,7596816
1574468048,7596816
1574468049,7596816
1574468050,7596816
1574468051,7596816
1574468052,7596816
1574468053,7596816
1574468054,7596816
1574468055,7597488
1574468056,7597936
1574468057,7597936
1574468058,7597936
1574468059,7597936
1574468060,7597936
1574468061,7597936
1574468062,7597936
1574468063,7597936
1574468064,7597936
1574468065,7597936
1574468066,7597936
1574468067,7597936
1574468068,7598312
1574468069,7598312
1574468070,7598312
1574468071,7598312
1574468072,7598312
1574468073,7598312
1574468074,7598312
1574468075,7598312
1574468076,7598312
1574468077,7598312
1574468078,7598312
1574468079,7598312
1574468080,7598312
1574468081,7598312
1574468082,7598312
1574468083,7598312
1574468084,7598312
1574468085,7598312
1574468086,7598312
1574468087,7598312
1574468088,7598312
1574468089,7598312
1574468090,7598760
1574468091,7598760
1574468092,7598760
1574468093,7598760
1574468094,7598760
1574468095,7599152
1574468096,7599152
1574468097,7599152
1574468098,7599152
1574468099,7599152
1574468100,7599152
1574468101,7599152
1574468102,7599152
1574468103,7599152
1574468104,7599152
1574468105,7601192
1574468106,7604224
1574468107,7604504
1574468108,7604504
1574468109,7604504
1574468110,7621416
1574468111,7633856
1574468112,7633856
1574468113,7633856
1574468114,7633856
1574468115,7634344
1574468116,7634344
1574468117,7634344
1574468118,7634344
1574468119,7634344
1574468120,7634344
1574468121,7634344
1574468122,7634344
1574468123,7634344
1574468124,7634344
1574468125,7634344
1574468126,7634344
1574468127,7634344
1574468128,7634344
1574468129,7634344
1574468130,7634344
1574468131,7634344
1574468132,7634344
1574468133,7634344
1574468134,7634344
1574468135,7634712
1574468136,7634712
1574468137,7634712
1574468138,7634712
1574468139,7634712
1574468140,7634712
1574468141,7634712
1574468142,7634712
1574468143,7634712
1574468144,7634712
1574468145,7634712
1574468146,7634712
1574468147,7634712
1574468148,7634712
1574468149,7634712
1574468150,7634712
1574468151,7634712
1574468152,7634712
1574468153,7634712
1574468154,7634712
1574468155,7635016
1574468156,7635016
1574468157,7635016
1574468158,7635016
1574468159,7635144
1574468160,7635144
1574468161,7635144
1574468162,7635144
1574468163,7635144
1574468164,7635144
1574468165,7655496
1574468166,7655496
1574468167,7655496
1574468168,7655496
1574468169,7655496
1574468170,7655496
1574468171,7655496
1574468172,7655496
1574468173,7655496
1574468174,7659088
1574468175,7659088
1574468176,7659088
1574468177,7659088
1574468178,7659088
1574468179,7659088
1574468180,7659088
1574468181,7659088
1574468182,7659088
1574468183,7659088
1574468184,7659088
1574468185,7659088
1574468186,7659088
1574468187,7659088
1574468188,7659088
1574468189,7659088
1574468190,7659088
1574468191,7659088
1574468192,7659088
1574468193,7659088
1574468194,7659088
1574468195,7674512
1574468196,19331784
1574468197,21484264
1574468198,21491640
1574468199,21522712
1574468200,21522712
1574468201,21535360
1574468202,21549360
1574468203,21549360
1574468204,21550560
1574468205,21550784
1574468206,21550784
1574468207,21551040
1574468208,21552680
1574468209,21678496
1574468210,21717384
1574468211,21717416
1574468212,21717416
1574468213,21717416
1574468214,21717416
1574468215,21717416
1574468216,21717416
1574468217,21717416
1574468218,21717416
1574468219,21717416
1574468220,21717416
1574468221,21717416
1574468222,21717416
1574468223,21717416
1574468224,21717416
1574468225,21717416
1574468226,21717416
1574468227,21717416
1574468228,21717416
1574468229,21717416
1574468230,21717416
1574468231,21717416
1574468232,21717416
1574468233,21720320
1574468234,21720320
1574468235,21724744
1574468236,21725120
1574468237,21725120
1574468238,21742416
1574468239,21742416
1574468240,21742416
1574468241,21742416
1574468242,21742416
1574468243,21742416
1574468244,21742416
1574468245,21742416
1574468246,21742416
1574468247,21742416
1574468248,21742416
1574468249,21742416
1574468250,21742416
1574468251,21742416
1574468252,21742416
1574468253,21742416
1574468254,21742416
1574468255,21742416
1574468256,21742576
1574468257,21742576
1574468258,21742576
1574468259,21742576
1574468260,21742576
1574468261,21743272
1574468262,21743272
1574468263,21743272
1574468264,21743272
1574468265,21743272
1574468266,21743272
1574468267,21743272
1574468268,21743272
1574468269,21743272
1574468270,21743272
1574468271,21743272
1574468272,21743272
1574468273,21743272
1574468274,21743272
1574468275,21743272
1574468276,21743272
1574468277,21743272
1574468278,21743272
1574468279,21743272
1574468280,21743272
1574468281,21743272
1574468282,21743272
1574468283,21744080
1574468284,21744080
1574468285,21744080
1574468286,21744080
1574468287,21744080
1574468288,21744080
1574468289,21744080
1574468290,21744080
1574468291,21744080
1574468292,21744080
1574468293,21744080
1574468294,21744080
1574468295,21744080
1574468296,21744080
1574468297,21747944
1574468298,21747944
1574468299,21747944
1574468300,21747944
1574468301,21747944
1574468302,21747944
1574468303,21747944
1574468304,21747944
1574468305,21747944
1574468306,21747944
1574468307,21747944
1574468308,21747944
1574468309,21747944
1574468310,21747944
1574468311,21747944
1574468312,21747944
1574468313,21747944
1574468314,21747944
1574468315,21747944
1574468316,21747944
1574468317,21747944
1574468318,21747944
1574468319,21747944
1574468320,21747944
1574468321,21747944
1574468322,21747944
1574468323,21747944
1574468324,21747944
1574468325,21748288
1574468326,21748288
1574468327,21748288
1574468328,21748288
1574468329,21748288
1574468330,21748288
1574468331,21748288
1574468332,21748384
1574468333,21748384
1574468334,21748384
1574468335,21748384
1574468336,21748384
1574468337,21748384
1574468338,21748384
1574468339,21748384
1574468340,21748384
1574468341,21748384
1574468342,21748384
1574468343,21748384
1574468344,21748384
1574468345,21748384
1574468346,21748384
1574468347,21748384
1574468348,21748384
1574468349,21748384
1574468350,21748384
1574468351,21748384
1574468352,21748384
1574468353,21748384
1574468354,21748384
1574468355,21748384
1574468356,21748384
1574468357,21748384
1574468358,21748384
1574468359,21748384
1574468360,21748384
1574468361,21748384
1574468362,21748384
1574468363,21748384
1574468364,21748384
1574468365,21749128
1574468366,21749128
1574468367,21749128
1574468368,21749128
1574468369,21749128
1574468370,21749128
1574468371,21749128
1574468372,21749128
1574468373,21749128
1574468374,21749128
1574468375,21749128
1574468376,21749128
1574468377,21749128
1574468378,21749128
1574468379,21749128
1574468380,21749128
1574468381,21749128
1574468382,21749128
1574468383,21749128
1574468384,21749128
1574468385,21749128
1574468386,21749128
1574468387,21749128
1574468388,21749128
1574468389,21749128
1574468390,21749128
1574468391,21749128
1574468392,21749128
1574468393,21749128
1574468394,21749128
1574468395,21749128
1574468396,21749128
1574468397,21749128
1574468398,21749128
1574468399,21749128
1574468400,21749128
1574468401,21749128
1574468402,21749128
1574468403,21749128
1574468404,21749128
1574468405,21749128
1574468406,21749128
1574468407,21749128
1574468408,21749128
1574468409,21749128
1574468410,21749128
1574468411,21749128
1574468412,21749128
1574468413,21749128
1574468414,21749128
1574468415,21749128
1574468416,21749128
1574468417,21749128
1574468418,21749128
1574468419,21749128
1574468420,21749128
1574468421,21749128
1574468422,21749128
1574468423,21749128
1574468424,21749128
1574468425,21749128
1574468426,21749128
1574468427,21749128
1574468428,21749128
1574468429,21749128
1574468430,21749128
1574468431,21749128
1574468432,21749128
1574468433,21749128
1574468434,21749128
1574468435,21749128
1574468436,21749128
1574468437,21749128
1574468438,21749128
1574468439,21749128
1574468440,21749128
1574468441,21749128
1574468442,21749128
1574468443,21749128
1574468444,21749128
1574468445,21749128
1574468446,21749128
1574468447,21749128
1574468448,21749128
1574468449,21749128
1574468450,21749128
1574468451,21749128
1574468452,21749128
1574468453,21749128
1574468454,21749128
1574468455,21749128
1574468456,21749128
1574468457,21749128
1574468458,21749128
1574468459,21749128
1574468460,21749128
1574468461,21749128
1574468462,21749128
1574468463,21749128
1574468464,21749128
1574468465,21749128
1574468466,21749128
1574468467,21749128
1574468468,21749128
1574468469,21749128
1574468470,21749128
1574468471,21749128
1574468472,21749128
1574468473,21749128
1574468474,21749128
1574468475,21749128
1574468476,21749128
1574468477,21749128
1574468478,21749128
1574468479,21749128
1574468480,21749128
1574468481,21749128
1574468482,21749128
1574468483,21749128
1574468484,21749128
1574468485,21749416
1574468486,21749416
1574468487,21749416
1574468488,21749416
1574468489,21749416
1574468490,21749416
1574468491,21749416
1574468492,21749416
1574468493,21749416
1574468494,21749416
1574468495,21749416
1574468496,21749416
1574468497,21749416
1574468498,21749416
1574468499,21749416
1574468500,21749416
1574468501,21749416
1574468502,21749416
1574468503,21749416
1574468504,21749416
1574468505,21749416
1574468506,21749416
1574468507,21749416
1574468508,21749416
1574468509,21749416
1574468510,21749416
1574468511,21749416
1574468512,21749416
1574468513,21749416
1574468514,21749416
1574468515,21749416
1574468516,21749416
1574468517,21749416
1574468518,21749416
1574468519,21749416
1574468520,21749416
1574468521,21749800
1574468522,21749800
1574468523,21749800
1574468524,21749800
1574468525,21749800
1574468526,21749800
1574468527,21749800
1574468528,21749800
1574468529,21749800
1574468530,21749800
1574468531,21749800
1574468532,21749800
1574468533,21749800
1574468534,21749800
1574468535,21749800
1574468536,21749800
1574468537,21749800
1574468538,21750136
1574468539,21750136
1574468540,21750136
1574468541,21750136
1574468542,21750136
1574468543,21750136
1574468544,21750136
1574468545,21750136
1574468546,21750136
1574468547,21750136
1574468548,21750136
1574468549,21750136
1574468550,21750136
1574468551,21750136
1574468552,21750136
1574468553,21750136
1574468554,21750136
1574468555,21750136
1574468556,21750136
1574468557,21750136
1574468558,21750136
1574468559,21750136
1574468560,21750136
1574468561,21750136
1574468562,21750136
1574468563,21750136
1574468564,21750136
1574468565,21750136
1574468566,21750136
1574468567,21750136
1574468568,21750136
1574468569,21750136
1574468570,21750136
1574468571,21750136
1574468572,21750136
1574468573,21750136
1574468574,21750136
1574468575,21750136
1574468576,21750136
1574468577,21750136
1574468578,21750136
1574468579,21750136
1574468580,21750136
1574468581,21750136
1574468582,21750136
1574468583,21750136
1574468584,21750136
1574468585,21750136
1574468586,21750136
1574468587,21750136
1574468588,21750136
1574468589,21750136
1574468590,21750136
1574468591,21750136
1574468592,21750136
1574468593,21750136
1574468594,21750136
1574468595,21750136
1574468596,21750136
1574468597,21750136
1574468598,21750136
1574468599,21750136
1574468600,21750136
1574468601,21750136
1574468602,21750136
1574468603,21750136
1574468604,21750136
1574468605,21750136
1574468606,21750136
1574468607,21750136
1574468608,21750136
1574468609,21750136
1574468610,21750136
1574468611,21750136
1574468612,21750136
1574468613,21750136
1574468614,21750136
1574468615,21750136
1574468616,21750136
1574468617,21750136
1574468618,21750136
1574468619,21750136
1574468620,21750136
1574468621,21750136
1574468622,21750136
1574468623,21750136
1574468624,21750136
1574468625,21750136
1574468626,21750136
1574468627,21750136
1574468628,21750136
1574468629,21750136
1574468630,21750136
1574468631,21750136
1574468632,21750136
1574468633,21750136
1574468634,21750136
1574468635,21750136
1574468636,21750136
1574468637,21750136
1574468638,21750136
1574468639,21750136
1574468640,21750136
1574468641,21750136
1574468642,21750136
1574468643,21750136
1574468644,21750136
1574468645,21750136
1574468646,21750136
1574468647,21750136
1574468648,21750136
1574468649,21750136
1574468650,21750136
1574468651,21750136
1574468652,21750136
1574468653,21750136
1574468654,21750136
1574468655,21750136
1574468656,21750136
1574468657,21750136
1574468658,21750136
1574468659,21750136
1574468660,21750136
1574468661,21750136
1574468662,21750136
1574468663,21750136
1574468664,21750136
1574468665,21750136
1574468666,21750136
1574468667,21750136
1574468668,21750136
1574468669,21750136
1574468670,21750136
1574468671,21750136
1574468672,21750136
1574468673,21750136
1574468674,21750136
1574468675,21750136
1574468676,21750136
1574468677,21750136
1574468678,21750136
1574468679,21750136
1574468680,21750136
1574468681,21750136
1574468682,21750136
1574468683,21750136
1574468684,21750136
1574468685,21750136
1574468686,21750136
1574468687,21750136
1574468688,21750136
1574468689,21750136
1574468690,21750136
1574468691,21750136
1574468692,21750136
1574468693,21750136
1574468694,21750136
1574468695,21750136
1574468696,21750136
1574468697,21750136
1574468698,21750136
1574468699,21750136
1574468700,21750136
1574468701,21750136
1574468702,21750136
1574468703,21750136
1574468704,21750136
1574468705,21750136
1574468706,21750136
1574468707,21750136
1574468708,21750136
1574468709,21750136
1574468710,21750136
1574468711,21750136
1574468712,21750136
1574468713,21750136
1574468714,21750136
1574468715,21750136
1574468716,21750136
1574468717,21750136
1574468718,21750136
1574468719,21750136
1574468720,21750136
1574468721,21750136
1574468722,21750136
1574468723,21750136
1574468724,21750136
1574468725,21750136
1574468726,21750136
1574468727,21750136
1574468728,21750136
1574468729,21750136
1574468730,21750136
1574468731,21750136
1574468732,21750136
1574468733,21750136
1574468734,21750136
1574468735,21750136
1574468736,21750136
1574468737,21750136
1574468738,21750136
1574468739,21750136
1574468740,21750136
1574468741,21750136
1574468742,21750136
1574468743,21750136
1574468744,21750136
1574468745,21750136
1574468746,21750136
1574468747,21750136
1574468748,21750136
1574468749,21750136
1574468750,21750136
1574468751,21750136
1574468752,21750136
1574468753,21750136
1574468754,21750136
1574468755,21750136
1574468756,21750136
1574468757,21750136
1574468758,21750136
1574468759,21750136
1574468760,21750136
1574468761,21750136
1574468762,21750136
1574468763,21750136
1574468764,21750136
1574468765,21750136
1574468766,21750136
1574468767,21750136
1574468768,21750136
1574468769,21750136
1574468770,21750136
1574468771,21750136
1574468772,21750136
1574468773,21750136
1574468774,21750136
1574468775,21750136
1574468776,21750136
1574468777,21750136
1574468778,21750136
1574468779,21750136
1574468780,21750136
1574468781,21750136
1574468782,21750136
1574468783,21750136
1574468784,21750136
1574468785,21750136
1574468786,21750136
1574468787,21750136
1574468788,21750136
1574468789,21750136
1574468790,21750136
1574468791,21750136
1574468792,21750136
1574468793,21750136
1574468794,21750136
1574468795,21750136
1574468796,21750136
1574468797,21750136
1574468798,21750136
1574468799,21750136
1574468800,21750136
1574468801,21750136
1574468802,21750136
1574468803,21750136
1574468804,21750136
1574468805,21750136
1574468806,21750136
1574468807,21750136
1574468808,21750136
1574468809,21750136
1574468810,21750136
1574468811,21750136
1574468812,21750136
1574468813,21750136
1574468814,21750136
1574468815,21750136
1574468816,21750136
1574468817,21750136
1574468818,21750136
1574468819,21750136
1574468820,21750136
1574468821,21750136
1574468822,21750136
1574468823,21750136
1574468824,21750136
1574468825,21750136
1574468826,21750136
1574468827,21750136
1574468828,21750136
1574468829,21750504
1574468830,21750504
1574468831,21750504
1574468832,21750504
1574468833,21750504
1574468834,21750504
1574468835,21750504
1574468836,21750504
1574468837,21750504
1574468838,21751616
1574468839,21751616
1574468840,21751616
1574468841,21751616
1574468842,21751616
1574468843,21751616
1574468844,21751616
1574468845,21751616
1574468846,21752960
1574468847,21752960
1574468848,21752960
1574468849,21752960
1574468850,21752960
1574468851,21752960
1574468852,21752960
1574468853,21752960
1574468854,21752960
1574468855,21752960
1574468856,21752960
1574468857,21752960
1574468858,21752960
1574468859,21752960
1574468860,21752960
1574468861,21752960
1574468862,21752960
1574468863,21752960
1574468864,21752960
1574468865,21752960
1574468866,21752960
1574468867,21752960
1574468868,21752960
1574468869,21752960
1574468870,21752960
1574468871,21752960
1574468872,21752960
1574468873,21752960
1574468874,21752960
1574468875,21752960
1574468876,21752960
1574468877,21752960
1574468878,21752960
1574468879,21752960
1574468880,21752960
1574468881,21752960
1574468882,21752960
1574468883,21752960
1574468884,21752960
1574468885,21752960
1574468886,21752960
1574468887,21752960
1574468888,21752960
1574468889,21752960
1574468890,21752960
1574468891,21752960
1574468892,21752960
1574468893,21752960
1574468894,21752960
1574468895,21752960
1574468896,21752960
1574468897,21752960
1574468898,21752960
1574468899,21752960
1574468900,21752960
1574468901,21752960
1574468902,21752960
1574468903,21752960
1574468904,21752960
1574468905,21752960
1574468906,21752960
1574468907,21752960
1574468908,21752960
1574468909,21752960
1574468910,21752960
1574468911,21752960
1574468912,21752960
1574468913,21752960
1574468914,21752960
1574468915,21752960
1574468916,21752960
1574468917,21752960
1574468918,21752960
1574468919,21752960
1574468920,21752960
1574468921,21752960
1574468922,21752960
1574468923,21752960
1574468924,21752960
1574468925,21752960
1574468926,21752960
1574468927,21752960
1574468928,21752960
1574468929,21752960
1574468930,21752960
1574468931,21752960
1574468932,21752960
1574468933,21752960
1574468934,21752960
1574468935,21752960
1574468936,21752960
1574468937,21752960
1574468938,21752960
1574468939,21752960
1574468940,21752960
1574468941,21752960
1574468942,21752960
1574468943,21752960
1574468944,21752960
1574468945,21752960
1574468946,21752960
1574468947,21752960
1574468948,21752960
1574468949,21752960
1574468950,21752960
1574468951,21752960
1574468952,21752960
1574468953,21752960
1574468954,21752960
1574468955,21752960
1574468956,21752960
1574468957,21752960
1574468958,21752960
1574468959,21752960
1574468960,21752960
1574468961,21752960
1574468962,21752960
1574468963,21752960
1574468964,21752960
1574468965,21752960
1574468966,21757024
1574468967,21757024
1574468968,21757024
1574468969,21757024
1574468970,21757024
1574468971,21757024
1574468972,21757024
1574468973,21757024
1574468974,21757024
1574468975,21757024
1574468976,21757024
1574468977,21757024
1574468978,21757024
1574468979,21757024
1574468980,21757024
1574468981,21757024
1574468982,21757024
1574468983,21758136
1574468984,21758136
1574468985,21758136
1574468986,21758136
1574468987,21758136
1574468988,21758136
1574468989,21758136
1574468990,21758136
1574468991,21758136
1574468992,21758136
1574468993,21758136
1574468994,21758136
1574468995,21758136
1574468996,21758136
1574468997,21758136
1574468998,21758136
1574468999,21758136
1574469000,21758136
1574469001,21758136
1574469002,21758136
1574469003,21758136
1574469004,21758136
1574469005,21758136
1574469006,21758136
1574469007,21758136
1574469008,21758136
1574469009,21758136
1574469010,21758136
1574469011,21758136
1574469012,21758136
1574469013,21758136
1574469014,21758136
1574469015,21758136
1574469016,21758136
1574469017,21758136
1574469018,21758136
1574469019,21758136
1574469020,21758136
1574469021,21758136
1574469022,21758136
1574469023,21758136
1574469024,21758136
1574469025,21758136
1574469026,21758136
1574469027,21758136
1574469028,21758136
1574469029,21758136
1574469030,21758136
1574469031,21758136
1574469032,21758136
1574469033,21758136
1574469034,21758136
1574469035,21758136
1574469036,21758136
1574469037,21758136
1574469038,21758136
1574469039,21758136
