t,value
1574467855,38472256
1574467856,38747120
1574467857,38956280
1574467858,41653216
1574467859,41864560
1574467860,41903600
1574467861,44627152
1574467862,44638544
1574467863,44662376
1574467864,47304784
1574467865,47307600
1574467866,47313968
1574467867,47316560
1574467868,49961976
1574467869,49964472
1574467870,49995576
1574467871,52643744
1574467872,52649496
1574467873,52653400
1574467874,55296960
1574467875,55300928
1574467876,55311712
1574467877,55346312
1574467878,58007504
1574467879,58011664
1574467880,58004976
1574467881,60647384
1574467882,60647064
1574467883,60691328
1574467884,63335552
1574467885,63342696
1574467886,63377176
1574467887,63377176
1574467888,66019584
1574467889,66019584
1574467890,66020352
1574467891,68662760
1574467892,68661480
1574467893,68690152
1574467894,71332560
1574467895,71339184
1574467896,71339184
1574467897,71365168
1574467898,74025208
1574467899,74035704
1574467900,74041080
1574467901,76695776
1574467902,76695776
1574467903,76695776
1574467904,79341352
1574467905,79341352
1574467906,79357104
1574467907,81999616
1574467908,81999616
1574467909,81999616
1574467910,81987328
1574467911,84631552
1574467912,84636608
1574467913,84636608
1574467914,87279016
1574467915,87285816
1574467916,87286520
1574467917,89933736
1574467918,89935560
1574467919,89936800
1574467920,89936800
1574467921,92579264
1574467922,92579264
1574467923,92579264
1574467924,95221672
1574467925,95221672
1574467926,95221672
1574467927,97864080
1574467928,97864080
1574467929,97870096
1574467930,97870096
1574467931,100512648
1574467932,100512648
1574467933,100512648
1574467934,103155056
1574467935,103155056
1574467936,103155056
1574467937,105797464
1574467938,105798120
1574467939,105798824
1574467940,105808968
1574467941,108451376
1574467942,108451376
1574467943,108444336
1574467944,111043160
1574467945,111059352
1574467946,111062296
1574467947,113745488
1574467948,113818192
1574467949,113819024
1574467950,113819024
1574467951,116461528
1574467952,116461528
1574467953,116461528
1574467954,119112144
1574467955,119118032
1574467956,119118032
1574467957,119118032
1574467958,121760464
1574467959,121760464
1574467960,121761744
1574467961,124442488
1574467962,124447600
1574467963,124458800
1574467964,124459440
1574467965,127111976
1574467966,127111976
1574467967,127111976
1574467968,129754424
1574467969,129754424
1574467970,129752504
1574467971,129741872
1574467972,132392488
1574467973,132392488
1574467974,132367336
1574467975,135005424
1574467976,135005424
1574467977,135005424
1574467978,135010544
1574467979,137713448
1574467980,137716448
1574467981,137716448
1574467982,140375920
1574467983,140414752
1574467984,140414752
1574467985,140414752
1574467986,143065368
1574467987,143065368
1574467988,143065368
1574467989,145641208
1574467990,145641208
1574467991,145641208
1574467992,21688904
1574467993,21675072
1574467994,21686400
1574467995,23008656
1574467996,25412568
1574467997,25412568
1574467998,25412568
1574467999,27824664
1574468000,27826088
1574468001,27828456
1574468002,30232368
1574468003,30233072
1574468004,30233072
1574468005,32646832
1574468006,32646832
1574468007,32646832
1574468008,35052032
1574468009,35052736
1574468010,35052736
1574468011,37464832
1574468012,37464832
1574468013,37465536
1574468014,37465536
1574468015,39877632
1574468016,39877632
1574468017,39877632
1574468018,42279744
1574468019,42279744
1574468020,42279744
1574468021,44683776
1574468022,44683776
1574468023,44683776
1574468024,47095872
1574468025,47103152
1574468026,47103152
1574468027,49507232
1574468028,49507232
1574468029,49507232
1574468030,51921448
1574468031,51866984
1574468032,51866984
1574468033,51866984
1574468034,54270920
1574468035,54255496
1574468036,54255496
1574468037,56664760
1574468038,56664760
1574468039,56664760
1574468040,59105184
1574468041,59105184
1574468042,59105184
1574468043,61517280
1574468044,61517280
1574468045,61517280
1574468046,63931976
1574468047,63931976
1574468048,63931976
1574468049,66335920
1574468050,66335920
1574468051,66335920
1574468052,66335920
1574468053,68739848
1574468054,68739848
1574468055,68742696
1574468056,71165224
1574468057,71165224
1574468058,71165224
1574468059,73569128
1574468060,73570024
1574468061,73570856
1574468062,75982952
1574468063,75982952
1574468064,75982952
1574468065,78396456
1574468066,78396456
1574468067,78396456
1574468068,78398816
1574468069,80810912
1574468070,80810912
1574468071,80810912
1574468072,83223008
1574468073,83223008
1574468074,83223008
1574468075,88271232
1574468076,88271232
1574468077,88271232
1574468078,90675144
1574468079,90675144
1574468080,90675144
1574468081,93087240
1574468082,93089992
1574468083,93089992
1574468084,95502088
1574468085,95502088
1574468086,95502088
1574468087,95502088
1574468088,97906000
1574468089,97906000
1574468090,97901968
1574468091,100305896
1574468092,100305896
1574468093,100305896
1574468094,102717992
1574468095,102717872
1574468096,102717872
1574468097,105129968
1574468098,105129968
1574468099,105109104
1574468100,107521200
1574468101,107521200
1574468102,107521200
1574468103,107521200
1574468104,109933296
1574468105,111253680
1574468106,111261000
1574468107,113674144
1574468108,113674144
1574468109,113674144
1574468110,116170976
1574468111,116222624
1574468112,116222624
1574468113,118634720
1574468114,118634720
1574468115,118636552
1574468116,121048648
1574468117,121048648
1574468118,121048648
1574468119,121048648
1574468120,123460744
1574468121,123460744
1574468122,123460744
1574468123,125872840
1574468124,125872840
1574468125,125872840
1574468126,128276744
1574468127,128276744
1574468128,128276744
1574468129,130688840
1574468130,130688840
1574468131,130688840
1574468132,133105224
