t,value
1574467855,-1.1641184E7
1574467856,-1.1935E7
1574467857,-1.221268E7
1574467858,-1.2341896E7
1574467859,-1.2442296E7
1574467860,-1.2626808E7
1574467861,-1.2678E7
1574467862,-1.272984E7
1574467863,-1.2734E7
1574467864,-1.275316E7
1574467865,-1.2757832E7
1574467866,-1.276388E7
1574467867,-1.276868E7
1574467868,-1.2769736E7
1574467869,-1.2775368E7
1574467870,-1.2775368E7
1574467871,-1.2811336E7
1574467872,-1.2812232E7
1574467873,-1.2822016E7
1574467874,-1.2823104E7
1574467875,-1.2826944E7
1574467876,-1.2837728E7
1574467877,-1.2852552E7
1574467878,-1.2878024E7
1574467879,-1.2936936E7
1574467880,-1.2936936E7
1574467881,-1.2938952E7
1574467882,-1.2938952E7
1574467883,-1.294604E7
1574467884,-1.2971744E7
1574467885,-1.2953736E7
1574467886,-1.296436E7
1574467887,-1.2974328E7
1574467888,-1.297516E7
1574467889,-1.297516E7
1574467890,-1.297516E7
1574467891,-1.2976824E7
1574467892,-1.2976824E7
1574467893,-1.3005496E7
1574467894,-1.3005496E7
1574467895,-1.3007896E7
1574467896,-1.3011864E7
1574467897,-1.301276E7
1574467898,-1.3054232E7
1574467899,-1.3067928E7
1574467900,-1.307068E7
1574467901,-1.3076056E7
1574467902,-1.3094488E7
1574467903,-1.3094488E7
1574467904,-1.3096728E7
1574467905,-1.3096728E7
1574467906,-1.3117984E7
1574467907,-1.3117984E7
1574467908,-1.3117984E7
1574467909,-1.3117984E7
1574467910,-1.3119008E7
1574467911,-1.3122016E7
1574467912,-1.3122016E7
1574467913,-1.3127072E7
1574467914,-1.3127072E7
1574467915,-1.3127072E7
1574467916,-1.3134704E7
1574467917,-1.3139704E7
1574467918,-1.314076E7
1574467919,-1.3142704E7
1574467920,-1.3142704E7
1574467921,-1.3142704E7
1574467922,-1.3142704E7
1574467923,-1.3142704E7
1574467924,-1.3142704E7
1574467925,-1.3142704E7
1574467926,-1.3142704E7
1574467927,-1.3142704E7
1574467928,-1.3142704E7
1574467929,-1.3142704E7
1574467930,-1.314264E7
1574467931,-1.314264E7
1574467932,-1.314264E7
1574467933,-1.314264E7
1574467934,-1.314264E7
1574467935,-1.314264E7
1574467936,-1.314264E7
1574467937,-1.314264E7
1574467938,-1.3140496E7
1574467939,-1.3142592E7
1574467940,-1.3147456E7
1574467941,-1.315344E7
1574467942,-1.315344E7
1574467943,-1.315344E7
1574467944,-1.3130528E7
1574467945,-1.3137568E7
1574467946,-1.315472E7
1574467947,-1.3161696E7
1574467948,-1.325904E7
1574467949,-1.325904E7
1574467950,-1.3259872E7
1574467951,-1.3259872E7
1574467952,-1.3259872E7
1574467953,-1.3259872E7
1574467954,-1.3259872E7
1574467955,-1.3259872E7
1574467956,-1.3263072E7
1574467957,-1.3263072E7
1574467958,-1.3263072E7
1574467959,-1.3263072E7
1574467960,-1.3263072E7
1574467961,-1.329448E7
1574467962,-1.329448E7
1574467963,-1.3310792E7
1574467964,-1.3310792E7
1574467965,-1.3311432E7
1574467966,-1.3311432E7
1574467967,-1.3311432E7
1574467968,-1.3311432E7
1574467969,-1.3311432E7
1574467970,-1.3311432E7
1574467971,-1.3257984E7
1574467972,-1.3257984E7
1574467973,-1.3257984E7
1574467974,-1.3257984E7
1574467975,-1.3257984E7
1574467976,-1.3235904E7
1574467977,-1.3235904E7
1574467978,-1.3236032E7
1574467979,-1.3295744E7
1574467980,-1.3298744E7
1574467981,-1.3298744E7
1574467982,-1.3315064E7
1574467983,-1.335492E7
1574467984,-1.335492E7
1574467985,-1.3356584E7
1574467986,-1.3356584E7
1574467987,-1.3356584E7
1574467988,-1.3356584E7
1574467989,-1.3356584E7
1574467990,-1.3356584E7
1574467991,-1.3356584E7
1574467992,-1.3356584E7
1574467993,-1.3365888E7
1574467994,-1.3377216E7
1574467995,-1.3377216E7
1574467996,-1.3378176E7
1574467997,-1.3378176E7
1574467998,-1.3378176E7
1574467999,-1.3378176E7
1574468000,-1.3378176E7
1574468001,-1.3377872E7
1574468002,-1.338024E7
1574468003,-1.338024E7
1574468004,-1.3381008E7
1574468005,-1.3381008E7
1574468006,-1.3382736E7
