t,value
1574467855,3819968
1574467856,3986688
1574467857,4254912
1574467858,4312256
1574467859,4393088
1574467860,4524736
1574467861,4571584
1574467862,4618496
1574467863,4622656
1574467864,4641152
1574467865,4645952
1574467866,4650752
1574467867,4656320
1574467868,4656320
1574467869,4661952
1574467870,4666560
1574467871,4691968
1574467872,4692864
1574467873,4702016
1574467874,4703104
1574467875,4706944
1574467876,4715136
1574467877,4739456
1574467878,4754432
1574467879,4803712
1574467880,4803712
1574467881,4805440
1574467882,4805440
1574467883,4822144
1574467884,4830336
1574467885,4812032
1574467886,4822656
1574467887,4830784
1574467888,4830784
1574467889,4830784
1574467890,4832448
1574467891,4832448
1574467892,4832448
1574467893,4861120
1574467894,4861120
1574467895,4863168
1574467896,4867136
1574467897,4868032
1574467898,4903296
1574467899,4914880
1574467900,4917632
1574467901,4923008
1574467902,4941440
1574467903,4941440
1574467904,4942912
1574467905,4942912
1574467906,4958592
1574467907,4958592
1574467908,4958592
1574467909,4958592
1574467910,4959616
1574467911,4962624
1574467912,4967680
1574467913,4967680
1574467914,4967680
1574467915,4967680
1574467916,4973184
1574467917,4976384
1574467918,4977856
1574467919,4978752
1574467920,4978752
1574467921,4978752
1574467922,4978752
1574467923,4978752
1574467924,4978752
1574467925,4978752
1574467926,4978752
1574467927,4978752
1574467928,4978752
1574467929,4978752
1574467930,4978176
1574467931,4978176
1574467932,4978176
1574467933,4978176
1574467934,4978176
1574467935,4978176
1574467936,4978176
1574467937,4978176
1574467938,4975104
1574467939,4976896
1574467940,4982144
1574467941,4985344
1574467942,4985344
1574467943,4985344
1574467944,4962432
1574467945,4969472
1574467946,4986624
1574467947,4993600
1574467948,5090944
1574467949,5090944
1574467950,5091776
1574467951,5091776
1574467952,5091776
1574467953,5091776
1574467954,5091776
1574467955,5091072
1574467956,5094336
1574467957,5094336
1574467958,5094336
1574467959,5094336
1574467960,5094336
1574467961,5115776
1574467962,5115776
1574467963,5131328
1574467964,5131328
1574467965,5131968
1574467966,5131968
1574467967,5131968
1574467968,5131968
1574467969,5131968
1574467970,5131968
1574467971,5077760
1574467972,5077760
1574467973,5077760
1574467974,5077760
1574467975,5077760
1574467976,5055680
1574467977,5055680
1574467978,5055808
1574467979,5115520
1574467980,5118144
1574467981,5118144
1574467982,5130048
1574467983,5161216
1574467984,5161216
1574467985,5162880
1574467986,5162880
1574467987,5162880
1574467988,5162880
1574467989,5162880
1574467990,5162880
1574467991,5162880
1574467992,5162880
1574467993,5162752
1574467994,5174080
1574467995,5174080
1574467996,5175040
1574467997,5175040
1574467998,5175040
1574467999,5175040
1574468000,5175040
1574468001,5174336
1574468002,5176704
1574468003,5176704
1574468004,5177472
1574468005,5177472
1574468006,5178560
1574468007,5178560
1574468008,5178560
1574468009,5179776
1574468010,5179776
1574468011,5179776
1574468012,5180480
1574468013,5181376
1574468014,5181376
1574468015,5181376
1574468016,5181376
1574468017,5181376
1574468018,5185792
1574468019,5185792
1574468020,5185792
