t,value
1574467855,7116816
1574467856,7191440
1574467857,7267552
1574467858,7282768
1574467859,7333272
1574467860,7336208
1574467861,7339848
1574467862,7344776
1574467863,7345136
1574467864,7345440
1574467865,7346272
1574467866,7346560
1574467867,7346848
1574467868,7346848
1574467869,7346848
1574467870,7352800
1574467871,7352800
1574467872,7353432
1574467873,7353432
1574467874,7353432
1574467875,7353432
1574467876,7356024
1574467877,7366368
1574467878,7366656
1574467879,7366656
1574467880,7366656
1574467881,7366944
1574467882,7366944
1574467883,7374016
1574467884,7374840
1574467885,7375136
1574467886,7375136
1574467887,7377808
1574467888,7377808
1574467889,7377808
1574467890,7377808
1574467891,7377808
1574467892,7377808
1574467893,7377808
1574467894,7377808
1574467895,7378160
1574467896,7378160
1574467897,7379376
1574467898,7386480
1574467899,7386480
1574467900,7386480
1574467901,7386480
1574467902,7386480
1574467903,7386480
1574467904,7387248
1574467905,7387248
1574467906,7392824
1574467907,7392824
1574467908,7392824
1574467909,7392824
1574467910,7392824
1574467911,7392824
1574467912,7392824
1574467913,7392824
1574467914,7392824
1574467915,7394952
1574467916,7394952
1574467917,7396752
1574467918,7397040
1574467919,7397384
1574467920,7397384
1574467921,7397384
1574467922,7397384
1574467923,7397384
1574467924,7397384
1574467925,7397384
1574467926,7397384
1574467927,7397384
1574467928,7397384
1574467929,7397896
1574467930,7397896
1574467931,7397896
1574467932,7397896
1574467933,7397896
1574467934,7397896
1574467935,7397896
1574467936,7397896
1574467937,7397896
1574467938,7398824
1574467939,7399128
1574467940,7400744
1574467941,7401528
1574467942,7401528
1574467943,7401528
1574467944,7401528
1574467945,7401528
1574467946,7401528
1574467947,7401528
1574467948,7401528
1574467949,7401528
1574467950,7401528
1574467951,7401528
1574467952,7401528
1574467953,7401528
1574467954,7401528
1574467955,7402168
1574467956,7402168
1574467957,7402168
1574467958,7402168
1574467959,7402168
1574467960,7402168
1574467961,7412136
1574467962,7412896
1574467963,7412896
1574467964,7412896
1574467965,7412896
1574467966,7412896
1574467967,7412896
1574467968,7412896
1574467969,7412896
1574467970,7412896
1574467971,7413656
1574467972,7413656
1574467973,7413656
1574467974,7413656
1574467975,7413656
1574467976,7413656
1574467977,7413656
1574467978,7413656
1574467979,7413656
1574467980,7414032
1574467981,7414032
1574467982,7418448
1574467983,7426656
1574467984,7426656
1574467985,7426656
1574467986,7426656
1574467987,7426656
1574467988,7426656
1574467989,7426656
1574467990,7426656
1574467991,7426656
1574467992,7426656
1574467993,7436088
1574467994,7436088
1574467995,7436088
1574467996,7436088
1574467997,7436088
1574467998,7436088
1574467999,7436088
1574468000,7436488
1574468001,7436488
1574468002,7436488
1574468003,7436488
1574468004,7436488
1574468005,7437128
1574468006,7437128
1574468007,7437128
1574468008,7437128
1574468009,7437128
1574468010,7437128
1574468011,7437128
1574468012,7437128
1574468013,7437128
1574468014,7437128
1574468015,7437128
1574468016,7437128
1574468017,7437128
1574468018,7437128
1574468019,7437128
1574468020,7437128
1574468021,7437128
1574468022,7437128
1574468023,7437128
1574468024,7437128
1574468025,7437880
1574468026,7437880
1574468027,7437880
1574468028,7437880
1574468029,7437880
1574468030,7438208
1574468031,7438592
1574468032,7438592
1574468033,7438592
1574468034,7438592
1574468035,7438592
1574468036,7438592
1574468037,7438592
1574468038,7438592
1574468039,7438592
1574468040,7438592
1574468041,7438592
1574468042,7438592
1574468043,7438592
1574468044,7438592
1574468045,7438592
1574468046,7439064
1574468047,7439064
1574468048,7439064
1574468049,7439064
1574468050,7439064
1574468051,7439064
1574468052,7439064
1574468053,7439064
1574468054,7439064
1574468055,7439736
1574468056,7440184
1574468057,7440184
1574468058,7440184
1574468059,7440184
1574468060,7440184
1574468061,7440184
1574468062,7440184
1574468063,7440184
1574468064,7440184
1574468065,7440184
1574468066,7440184
1574468067,7440184
1574468068,7440560
1574468069,7440560
1574468070,7440560
1574468071,7440560
1574468072,7440560
1574468073,7440560
1574468074,7440560
1574468075,7440560
1574468076,7440560
1574468077,7440560
1574468078,7440560
1574468079,7440560
1574468080,7440560
1574468081,7440560
1574468082,7440560
1574468083,7440560
1574468084,7440560
1574468085,7440560
1574468086,16463672
1574468087,20052224
1574468088,21305928
1574468089,21338384
1574468090,21341288
1574468091,21356736
1574468092,21366904
1574468093,21366904
1574468094,21366904
1574468095,21369936
1574468096,21369936
1574468097,21369936
1574468098,21370192
1574468099,21370192
1574468100,21370192
1574468101,21370192
1574468102,21370192
1574468103,21370192
1574468104,21370192
1574468105,21371000
1574468106,21371000
1574468107,21375424
1574468108,21376104
1574468109,21377304
1574468110,21394264
1574468111,21404792
1574468112,21404792
1574468113,21405184
1574468114,21406920
1574468115,21531328
1574468116,21574320
1574468117,21574320
1574468118,21574320
1574468119,21574320
1574468120,21574320
1574468121,21574320
1574468122,21574320
1574468123,21574320
1574468124,21574320
1574468125,21574320
1574468126,21577912
1574468127,21577912
1574468128,21577912
1574468129,21577912
1574468130,21577912
1574468131,21577912
1574468132,21577912
1574468133,21577912
1574468134,21577912
1574468135,21577912
1574468136,21577912
1574468137,21577912
1574468138,21577912
1574468139,21577912
1574468140,21577912
1574468141,21577912
1574468142,21577912
1574468143,21577912
1574468144,21577912
1574468145,21577912
1574468146,21578072
1574468147,21578072
1574468148,21578768
1574468149,21578768
1574468150,21578768
1574468151,21578768
1574468152,21578768
1574468153,21578768
1574468154,21578768
1574468155,21578768
1574468156,21578768
1574468157,21578768
1574468158,21578768
1574468159,21578768
1574468160,21578768
1574468161,21578768
1574468162,21578768
1574468163,21578768
1574468164,21578768
1574468165,21579112
1574468166,21579112
1574468167,21579112
1574468168,21579112
1574468169,21579112
1574468170,21579112
1574468171,21579112
1574468172,21579112
1574468173,21579112
1574468174,21579112
1574468175,21579112
1574468176,21579208
1574468177,21579208
1574468178,21580016
1574468179,21580016
1574468180,21580016
1574468181,21580016
1574468182,21580016
1574468183,21580016
1574468184,21583880
1574468185,21583880
1574468186,21583880
1574468187,21583880
1574468188,21583880
1574468189,21583880
1574468190,21583880
1574468191,21583880
1574468192,21583880
1574468193,21583880
1574468194,21583880
1574468195,21583880
1574468196,21583880
1574468197,21583880
1574468198,21583880
1574468199,21583880
1574468200,21583880
1574468201,21583880
1574468202,21583880
1574468203,21583880
1574468204,21583880
1574468205,21583880
1574468206,21583880
1574468207,21583880
1574468208,21583880
1574468209,21583880
1574468210,21583880
1574468211,21583880
1574468212,21583880
1574468213,21583880
1574468214,21583880
1574468215,21583880
1574468216,21583880
1574468217,21583880
1574468218,21583880
1574468219,21583880
1574468220,21583880
1574468221,21583880
1574468222,21585976
1574468223,21585976
1574468224,21585976
1574468225,21585976
1574468226,21585976
1574468227,21585976
1574468228,21585976
1574468229,21585976
1574468230,21585976
1574468231,21585976
1574468232,21585976
1574468233,21585976
1574468234,21585976
1574468235,21585976
1574468236,21585976
