t,value
1574467855,26424408
1574467856,26424408
1574467857,26424408
1574467858,29075024
1574467859,29075024
1574467860,29075024
1574467861,31717432
1574467862,31717432
1574467863,31717432
1574467864,31717432
1574467865,34359840
1574467866,34359840
1574467867,34359840
1574467868,37002248
1574467869,37002248
1574467870,37002248
1574467871,39644656
1574467872,39644656
1574467873,39644656
1574467874,39644656
1574467875,42287064
1574467876,42287064
1574467877,42287064
1574467878,44929472
1574467879,44929472
1574467880,44929472
1574467881,47571880
1574467882,47571880
1574467883,47571880
1574467884,47571880
1574467885,50214288
1574467886,50214288
1574467887,50214288
1574467888,52856696
1574467889,52856696
1574467890,52856696
1574467891,55499104
1574467892,55499104
1574467893,55499104
1574467894,58141512
1574467895,58141512
1574467896,58141512
1574467897,58141512
1574467898,60784016
1574467899,60784016
1574467900,60784016
1574467901,63426424
1574467902,63426424
1574467903,63426424
1574467904,66068864
1574467905,66068864
1574467906,66068864
1574467907,66068864
1574467908,68711376
1574467909,68711376
1574467910,68711376
1574467911,71353808
1574467912,71353808
1574467913,71353808
1574467914,73996216
1574467915,73996216
1574467916,73996216
1574467917,73996216
1574467918,76638624
1574467919,76638624
1574467920,76638624
1574467921,79281056
1574467922,79281056
1574467923,79281056
1574467924,81923568
1574467925,81923568
1574467926,81923568
1574467927,81923568
1574467928,84565976
1574467929,84565976
1574467930,84565976
1574467931,87208400
1574467932,87208400
1574467933,87208400
1574467934,89850912
1574467935,89850912
1574467936,89850912
1574467937,89850912
1574467938,92493320
1574467939,92493320
1574467940,92493320
1574467941,95135768
1574467942,95135768
1574467943,95135768
1574467944,97778280
1574467945,97778280
1574467946,97778280
1574467947,97778280
1574467948,100428896
1574467949,100428896
1574467950,100428896
1574467951,103071328
1574467952,103071328
1574467953,103071328
1574467954,103071328
1574467955,105721944
1574467956,105721944
1574467957,105721944
1574467958,108364400
1574467959,108364400
1574467960,108364400
1574467961,108364400
1574467962,111015016
1574467963,111015016
1574467964,111015016
1574467965,113665632
1574467966,113665632
1574467967,113665632
1574467968,113665632
1574467969,116308136
1574467970,116308136
1574467971,116308136
1574467972,118958752
1574467973,118958752
1574467974,118958752
1574467975,121601256
1574467976,121601256
1574467977,121601256
1574467978,121601256
1574467979,124251872
1574467980,124251872
1574467981,124251872
1574467982,126902488
1574467983,126902488
1574467984,126902488
1574467985,126902488
1574467986,129553104
1574467987,129553104
1574467988,129553104
1574467989,132120576
1574467990,132120576
1574467991,132120576
1574467992,132120576
1574467993,3733360
1574467994,3733360
1574467995,5054656
1574467996,7458568
1574467997,7458568
1574467998,7458568
1574467999,9870664
1574468000,9870664
1574468001,9870664
1574468002,12274608
1574468003,12274608
1574468004,12274608
1574468005,14678552
1574468006,14678552
1574468007,14678552
1574468008,14678552
1574468009,17090648
1574468010,17090648
1574468011,17090648
1574468012,19494560
1574468013,19494560
1574468014,19494560
1574468015,21906656
1574468016,21906656
1574468017,21906656
1574468018,24318752
1574468019,24318752
1574468020,24318752
1574468021,26730848
1574468022,26730848
1574468023,26730848
1574468024,29134760
1574468025,29134760
1574468026,29134760
1574468027,29134760
1574468028,31538704
1574468029,31538704
1574468030,31538704
1574468031,33950800
1574468032,33950800
1574468033,33950800
1574468034,36354728
1574468035,36354728
1574468036,36354728
1574468037,38758640
1574468038,38758640
1574468039,38758640
1574468040,41162600
1574468041,41162600
1574468042,41162600
1574468043,43574696
1574468044,43574696
1574468045,43574696
1574468046,45978608
1574468047,45978608
1574468048,45978608
1574468049,45978608
1574468050,48382544
1574468051,48382544
1574468052,48382544
1574468053,50786480
1574468054,50786480
1574468055,50786480
1574468056,53198576
1574468057,53198576
1574468058,53198576
1574468059,55602504
1574468060,55602504
1574468061,55602504
1574468062,58006424
1574468063,58006424
1574468064,58006424
1574468065,58006424
1574468066,60418520
1574468067,60418520
1574468068,60418520
1574468069,62830616
1574468070,62830616
1574468071,62830616
1574468072,65234504
1574468073,65234504
1574468074,65234504
1574468075,70289040
1574468076,70289040
1574468077,70289040
1574468078,72701136
1574468079,72701136
1574468080,72701136
1574468081,72701136
1574468082,75113232
1574468083,75113232
1574468084,75113232
1574468085,77525328
1574468086,126254824
1574468087,15014096
1574468088,23618776
1574468089,26030392
1574468090,32568240
1574468091,34979872
1574468092,39891496
1574468093,39891496
1574468094,39891496
1574468095,41942376
1574468096,43148448
1574468097,44354032
1574468098,47618664
1574468099,50029824
1574468100,53294456
1574468101,55706096
1574468102,56911672
1574468103,61381896
1574468104,62587472
1574468105,64998616
1574468106,68255040
1574468107,70666200
1574468108,71871784
1574468109,76342496
1574468110,76342496
1574468111,80812696
1574468112,82018272
1574468113,84429928
1574468114,113295496
1574468115,18383944
1574468116,137949736
1574468117,95204088
1574468118,57786576
1574468119,23165272
1574468120,162848512
1574468121,135582832
1574468122,110540384
1574468123,85026288
1574468124,60070624
1574468125,39645664
1574468126,14175216
1574468127,177419984
1574468128,167988784
1574468129,152602200
1574468130,138140040
1574468131,125927920
1574468132,115214440
1574468133,109574920
1574468134,102547640
1574468135,105767304
1574468136,123353528
1574468137,135635944
1574468138,137731760
1574468139,154537544
1574468140,172899640
1574468141,185205944
1574468142,17130424
1574468143,38653648
1574468144,63197584
1574468145,92998280
1574468146,126432832
1574468147,162333912
1574468148,18182360
1574468149,52541912
1574468150,100520912
1574468151,152600328
1574468152,7085528
1574468153,61731552
1574468154,120199704
1574468155,189697264
1574468156,53292984
1574468157,124192016
1574468158,191367808
1574468159,65782112
1574468160,144867448
1574468161,31353040
1574468162,103965704
1574468163,182737648
1574468164,66688528
1574468165,151047552
1574468166,22279768
1574468167,112558368
1574468168,212977864
1574468169,95828504
1574468170,187443696
1574468171,79203952
1574468172,188108456
1574468173,71445888
1574468174,185830984
1574468175,86614048
1574468176,197036768
1574468177,108127352
1574468178,224732240
1574468179,125097264
1574468180,32952856
1574468181,165608816
1574468182,69976368
1574468183,12685960
1574468184,124718640
1574468185,35773096
1574468186,178671792
1574468187,90488952
1574468188,16826520
1574468189,163452208
1574468190,79916480
1574468191,232399360
1574468192,165400968
1574468193,76328040
1574468194,242713224
1574468195,163681136
1574468196,89014344
1574468197,19639336
1574468198,188721216
1574468199,103991888
1574468200,26122008
1574468201,189518816
1574468202,102471256
1574468203,22907080
1574468204,172412760
1574468205,75616120
1574468206,236971880
1574468207,127430440
1574468208,33527280
1574468209,185614192
1574468210,76108152
1574468211,229605952
1574468212,119447000
1574468213,271561376
1574468214,152650744
1574468215,34289792
1574468216,181179464
1574468217,56902528
1574468218,204325368
1574468219,82627456
1574468220,226906288
1574468221,93120720
1574468222,232902624
1574468223,98545160
1574468224,240954352
1574468225,98234432
1574468226,234080816
1574468227,87328144
1574468228,221933456
1574468229,70304544
1574468230,199164584
1574468231,39974656
1574468232,165760632
1574468233,635568
1574468234,131511520
1574468235,256700792
1574468236,87786968
1574468237,212943616
1574468238,37299504
1574468239,158862824
1574468240,274767704
1574468241,95031888
1574468242,209128800
1574468243,31885728
1574468244,144205056
1574468245,259595536
1574468246,69934976
1574468247,181342768
1574468248,292525128
1574468249,90935160
1574468250,203078552
1574468251,311302528
1574468252,109792128
1574468253,212743744
1574468254,19208680
1574468255,139191296
1574468256,248291560
1574468257,50207048
1574468258,142051408
1574468259,242903704
1574468260,313710320
