t,value
1574467855,38259240
1574467856,38552968
1574467857,38762832
1574467858,41451472
1574467859,41672520
1574467860,41716360
1574467861,44440040
1574467862,44451432
1574467863,44470592
1574467864,47113000
1574467865,47120488
1574467866,47126984
1574467867,47129576
1574467868,49776720
1574467869,49777616
1574467870,49808720
1574467871,52456888
1574467872,52462640
1574467873,52466672
1574467874,55110168
1574467875,55114008
1574467876,55124792
1574467877,55159456
1574467878,57818728
1574467879,57866408
1574467880,57868424
1574467881,60510832
1574467882,60515056
1574467883,60538896
1574467884,63186032
1574467885,63157080
1574467886,63188616
1574467887,63189448
1574467888,65831856
1574467889,65831856
1574467890,65833520
1574467891,68475928
1574467892,68475928
1574467893,68504600
1574467894,71147008
1574467895,71152736
1574467896,71153376
1574467897,71181984
1574467898,73843560
1574467899,73854696
1574467900,73860072
1574467901,76519760
1574467902,76520912
1574467903,76520912
1574467904,79165592
1574467905,79165592
1574467906,79186848
1574467907,81829360
1574467908,81829360
1574467909,81829360
1574467910,81833392
1574467911,84475824
1574467912,84480880
1574467913,84480880
1574467914,87123288
1574467915,87130216
1574467916,87130920
1574467917,89778328
1574467918,89780088
1574467919,89781328
1574467920,89781328
1574467921,92423760
1574467922,92423760
1574467923,92423760
1574467924,95066272
1574467925,95066272
1574467926,95066272
1574467927,97708680
1574467928,97708680
1574467929,97708616
1574467930,97708616
1574467931,100351040
1574467932,100351040
1574467933,100351040
1574467934,102993552
1574467935,102993552
1574467936,102993552
1574467937,105635960
1574467938,105635912
1574467939,105636616
1574467940,105646760
1574467941,108289208
1574467942,108289208
1574467943,108290872
1574467944,110915848
1574467945,110933000
1574467946,110935816
1574467947,113612224
1574467948,113687936
1574467949,113688768
1574467950,113688768
1574467951,116331200
1574467952,116331200
1574467953,116331200
1574467954,118981816
1574467955,118985016
1574467956,118985016
1574467957,118985016
1574467958,121627472
1574467959,121627472
1574467960,121628752
1574467961,124309496
1574467962,124314608
1574467963,124325808
1574467964,124326448
1574467965,126977064
1574467966,126977064
1574467967,126977064
1574467968,129619568
1574467969,129619568
1574467970,129614832
1574467971,129566120
1574467972,132216736
1574467973,132216736
1574467974,132216736
