t,value
1574467855,5
1574467856,5
1574467857,5
1574467858,5
1574467859,5
1574467860,5
1574467861,5
1574467862,5
1574467863,5
1574467864,5
1574467865,5
1574467866,5
1574467867,5
1574467868,5
1574467869,5
1574467870,5
1574467871,5
1574467872,5
1574467873,5
1574467874,5
1574467875,5
1574467876,5
1574467877,5
1574467878,5
1574467879,5
1574467880,5
1574467881,5
1574467882,5
1574467883,5
1574467884,5
1574467885,5
1574467886,5
1574467887,5
1574467888,5
1574467889,5
1574467890,5
1574467891,5
1574467892,5
1574467893,5
1574467894,5
1574467895,5
1574467896,5
1574467897,5
1574467898,5
1574467899,5
1574467900,5
1574467901,5
1574467902,5
1574467903,5
1574467904,5
1574467905,5
1574467906,5
1574467907,5
1574467908,5
1574467909,5
1574467910,5
1574467911,5
1574467912,5
1574467913,5
1574467914,5
1574467915,5
1574467916,5
1574467917,5
1574467918,5
1574467919,5
1574467920,5
1574467921,5
1574467922,5
1574467923,5
1574467924,5
1574467925,5
1574467926,5
1574467927,5
1574467928,5
1574467929,5
1574467930,5
1574467931,5
1574467932,5
1574467933,5
1574467934,5
1574467935,5
1574467936,5
1574467937,5
1574467938,5
1574467939,5
1574467940,5
1574467941,5
1574467942,5
1574467943,5
1574467944,5
1574467945,5
1574467946,5
1574467947,5
1574467948,5
1574467949,5
1574467950,5
1574467951,5
1574467952,5
1574467953,5
1574467954,5
1574467955,5
1574467956,5
1574467957,5
1574467958,5
1574467959,5
1574467960,5
1574467961,5
1574467962,5
1574467963,5
1574467964,5
1574467965,5
1574467966,5
1574467967,5
1574467968,5
1574467969,5
1574467970,5
1574467971,5
1574467972,5
1574467973,5
1574467974,5
1574467975,5
1574467976,5
1574467977,5
1574467978,5
1574467979,5
1574467980,5
1574467981,5
1574467982,5
1574467983,5
1574467984,5
1574467985,5
1574467986,5
1574467987,5
1574467988,5
1574467989,5
1574467990,5
1574467991,5
1574467992,5
1574467993,5
1574467994,5
1574467995,5
1574467996,5
1574467997,5
1574467998,5
1574467999,5
1574468000,5
1574468001,5
1574468002,5
1574468003,5
1574468004,5
1574468005,5
1574468006,5
1574468007,5
1574468008,5
1574468009,5
1574468010,5
1574468011,5
1574468012,5
1574468013,5
1574468014,5
1574468015,5
1574468016,5
1574468017,5
1574468018,5
1574468019,5
1574468020,5
1574468021,5
1574468022,5
1574468023,5
1574468024,5
1574468025,5
1574468026,5
1574468027,5
1574468028,5
1574468029,5
1574468030,5
1574468031,5
1574468032,5
1574468033,5
1574468034,5
1574468035,5
1574468036,5
1574468037,5
1574468038,5
1574468039,5
1574468040,5
1574468041,5
1574468042,5
1574468043,5
1574468044,5
1574468045,5
1574468046,5
1574468047,5
1574468048,5
1574468049,5
1574468050,5
1574468051,5
1574468052,5
1574468053,5
1574468054,5
1574468055,5
1574468056,5
1574468057,5
1574468058,5
1574468059,5
1574468060,5
1574468061,5
1574468062,5
1574468063,5
1574468064,5
1574468065,5
1574468066,5
1574468067,5
1574468068,5
1574468069,5
1574468070,5
1574468071,5
1574468072,5
1574468073,5
1574468074,5
1574468075,5
1574468076,5
1574468077,5
1574468078,5
1574468079,5
1574468080,5
1574468081,5
1574468082,5
1574468083,5
1574468084,5
1574468085,5
1574468086,5
1574468087,5
1574468088,5
1574468089,5
1574468090,5
1574468091,5
1574468092,5
1574468093,5
1574468094,5
1574468095,5
1574468096,5
1574468097,5
1574468098,5
1574468099,5
1574468100,5
1574468101,5
1574468102,5
1574468103,5
1574468104,5
1574468105,5
1574468106,5
1574468107,5
1574468108,5
1574468109,5
1574468110,5
1574468111,5
1574468112,5
1574468113,5
1574468114,5
1574468115,25
1574468116,25
1574468117,25
1574468118,25
1574468119,25
1574468120,25
1574468121,25
1574468122,25
1574468123,25
1574468124,25
1574468125,31
1574468126,31
1574468127,31
1574468128,31
1574468129,31
1574468130,31
1574468131,31
1574468132,31
1574468133,31
1574468134,31
1574468135,37
1574468136,37
1574468137,37
1574468138,37
1574468139,37
1574468140,37
1574468141,37
1574468142,37
1574468143,37
1574468144,37
1574468145,37
1574468146,44
1574468147,44
1574468148,44
1574468149,44
1574468150,44
1574468151,44
1574468152,44
1574468153,44
1574468154,44
1574468155,50
1574468156,50
1574468157,50
1574468158,50
1574468159,50
1574468160,50
1574468161,50
1574468162,50
1574468163,50
1574468164,50
1574468165,56
1574468166,56
1574468167,56
1574468168,56
1574468169,56
1574468170,56
1574468171,56
1574468172,56
1574468173,56
1574468174,56
1574468175,62
1574468176,62
1574468177,62
1574468178,62
1574468179,62
1574468180,62
1574468181,62
1574468182,62
1574468183,62
1574468184,62
1574468185,69
1574468186,69
1574468187,69
1574468188,69
1574468189,69
1574468190,69
1574468191,69
1574468192,69
1574468193,69
1574468194,69
1574468195,69
1574468196,75
1574468197,75
1574468198,75
1574468199,75
1574468200,75
1574468201,75
1574468202,75
1574468203,75
1574468204,75
1574468205,75
1574468206,75
1574468207,75
1574468208,75
1574468209,75
1574468210,75
1574468211,75
1574468212,75
1574468213,75
1574468214,75
1574468215,75
1574468216,75
1574468217,75
1574468218,75
1574468219,75
1574468220,75
1574468221,75
1574468222,75
1574468223,75
1574468224,75
1574468225,75
1574468226,75
1574468227,75
1574468228,75
1574468229,75
1574468230,75
1574468231,75
1574468232,75
1574468233,75
1574468234,75
1574468235,75
1574468236,75
1574468237,75
1574468238,75
1574468239,75
1574468240,75
1574468241,75
1574468242,75
1574468243,75
1574468244,75
1574468245,75
1574468246,75
1574468247,75
1574468248,75
1574468249,75
1574468250,75
1574468251,75
1574468252,75
1574468253,75
1574468254,75
1574468255,75
1574468256,75
1574468257,75
1574468258,75
1574468259,75
1574468260,75
1574468261,75
1574468262,75
1574468263,75
1574468264,75
1574468265,75
1574468266,75
1574468267,75
1574468268,75
1574468269,75
1574468270,75
1574468271,75
1574468272,75
1574468273,75
1574468274,75
1574468275,75
1574468276,75
1574468277,75
1574468278,75
1574468279,75
1574468280,75
1574468281,75
1574468282,75
1574468283,75
1574468284,75
1574468285,75
1574468286,75
1574468287,75
1574468288,75
1574468289,75
1574468290,75
1574468291,75
1574468292,75
1574468293,75
1574468294,75
1574468295,75
1574468296,75
1574468297,75
1574468298,75
1574468299,75
1574468300,75
1574468301,75
1574468302,75
1574468303,75
1574468304,75
1574468305,75
1574468306,75
1574468307,75
1574468308,75
1574468309,75
1574468310,75
1574468311,75
1574468312,75
1574468313,75
1574468314,75
1574468315,75
1574468316,75
1574468317,75
1574468318,75
1574468319,75
1574468320,75
1574468321,75
1574468322,75
1574468323,75
1574468324,75
1574468325,75
1574468326,75
1574468327,75
1574468328,75
1574468329,75
1574468330,75
1574468331,75
1574468332,75
1574468333,75
1574468334,75
1574468335,75
1574468336,75
1574468337,75
1574468338,75
1574468339,75
1574468340,75
1574468341,75
1574468342,75
1574468343,75
1574468344,75
1574468345,75
1574468346,75
1574468347,75
1574468348,75
1574468349,75
1574468350,75
1574468351,75
1574468352,75
1574468353,75
1574468354,75
1574468355,75
1574468356,75
1574468357,75
1574468358,75
1574468359,75
1574468360,75
1574468361,75
1574468362,75
1574468363,75
1574468364,75
1574468365,75
1574468366,75
1574468367,75
1574468368,75
1574468369,75
1574468370,75
1574468371,75
1574468372,75
1574468373,75
1574468374,75
1574468375,75
1574468376,75
1574468377,75
1574468378,75
1574468379,75
1574468380,75
1574468381,75
1574468382,75
1574468383,75
1574468384,75
1574468385,75
1574468386,75
1574468387,75
1574468388,75
1574468389,75
1574468390,75
1574468391,75
1574468392,75
1574468393,75
1574468394,75
1574468395,75
1574468396,75
1574468397,75
1574468398,75
1574468399,75
1574468400,75
1574468401,75
1574468402,75
1574468403,75
1574468404,75
1574468405,75
1574468406,75
1574468407,75
1574468408,75
1574468409,75
1574468410,75
1574468411,75
1574468412,75
1574468413,75
1574468414,75
1574468415,75
1574468416,75
1574468417,75
1574468418,75
1574468419,75
1574468420,75
1574468421,75
1574468422,75
1574468423,75
1574468424,75
1574468425,75
1574468426,75
1574468427,75
1574468428,75
1574468429,75
1574468430,75
1574468431,75
1574468432,75
1574468433,75
1574468434,75
1574468435,75
1574468436,75
1574468437,75
1574468438,75
1574468439,75
1574468440,75
1574468441,75
1574468442,75
1574468443,75
1574468444,75
1574468445,75
1574468446,75
1574468447,75
1574468448,75
1574468449,75
1574468450,75
1574468451,75
1574468452,75
1574468453,75
1574468454,75
1574468455,75
1574468456,75
1574468457,75
1574468458,75
1574468459,75
1574468460,75
1574468461,75
1574468462,75
1574468463,75
1574468464,75
1574468465,75
1574468466,75
1574468467,75
1574468468,75
1574468469,75
1574468470,75
1574468471,75
1574468472,75
1574468473,75
1574468474,75
1574468475,75
1574468476,75
1574468477,75
1574468478,75
1574468479,75
1574468480,75
1574468481,75
1574468482,75
1574468483,75
1574468484,75
1574468485,75
1574468486,75
1574468487,75
1574468488,75
1574468489,75
1574468490,75
1574468491,75
1574468492,75
1574468493,75
1574468494,75
1574468495,75
1574468496,75
1574468497,75
1574468498,75
1574468499,75
1574468500,75
1574468501,75
1574468502,75
1574468503,75
1574468504,75
1574468505,75
1574468506,75
1574468507,75
1574468508,75
1574468509,75
1574468510,75
1574468511,75
1574468512,75
1574468513,75
1574468514,75
1574468515,75
1574468516,75
1574468517,75
1574468518,75
1574468519,75
1574468520,75
1574468521,75
1574468522,75
1574468523,75
1574468524,75
1574468525,75
1574468526,75
1574468527,75
1574468528,75
1574468529,75
1574468530,75
1574468531,75
1574468532,75
1574468533,75
1574468534,75
1574468535,75
1574468536,75
1574468537,75
1574468538,75
1574468539,75
1574468540,75
1574468541,75
1574468542,75
1574468543,75
1574468544,75
1574468545,75
1574468546,75
1574468547,75
1574468548,75
1574468549,75
1574468550,75
1574468551,75
1574468552,75
1574468553,75
1574468554,75
1574468555,75
1574468556,75
1574468557,75
1574468558,75
1574468559,75
1574468560,75
1574468561,75
1574468562,75
1574468563,75
1574468564,75
1574468565,75
1574468566,75
1574468567,75
1574468568,75
1574468569,75
1574468570,75
1574468571,75
1574468572,75
1574468573,75
1574468574,75
1574468575,75
1574468576,75
1574468577,75
1574468578,75
1574468579,75
1574468580,75
1574468581,75
1574468582,75
1574468583,75
1574468584,75
1574468585,75
1574468586,75
1574468587,75
1574468588,75
1574468589,75
1574468590,75
1574468591,75
1574468592,75
1574468593,75
1574468594,75
1574468595,75
1574468596,75
1574468597,75
1574468598,75
1574468599,75
1574468600,75
1574468601,75
1574468602,75
1574468603,75
1574468604,75
1574468605,75
1574468606,75
1574468607,75
1574468608,75
1574468609,75
1574468610,75
1574468611,75
1574468612,75
1574468613,75
1574468614,75
1574468615,75
1574468616,75
1574468617,75
1574468618,75
1574468619,75
1574468620,75
1574468621,75
1574468622,75
1574468623,75
1574468624,75
1574468625,75
1574468626,75
1574468627,75
1574468628,75
1574468629,75
1574468630,75
1574468631,75
1574468632,75
1574468633,75
1574468634,75
1574468635,75
1574468636,75
1574468637,75
1574468638,75
1574468639,75
1574468640,75
1574468641,75
1574468642,75
1574468643,75
1574468644,75
1574468645,75
1574468646,75
1574468647,75
1574468648,75
1574468649,75
1574468650,75
1574468651,75
1574468652,75
1574468653,75
1574468654,75
1574468655,75
1574468656,75
1574468657,75
1574468658,75
1574468659,75
1574468660,75
1574468661,75
1574468662,75
1574468663,75
1574468664,75
1574468665,75
1574468666,75
1574468667,75
1574468668,75
1574468669,75
1574468670,75
1574468671,75
1574468672,75
1574468673,75
1574468674,75
1574468675,75
1574468676,75
1574468677,75
1574468678,75
1574468679,75
1574468680,75
1574468681,75
1574468682,75
1574468683,75
1574468684,75
1574468685,75
1574468686,75
1574468687,75
1574468688,75
1574468689,75
1574468690,75
1574468691,75
1574468692,75
1574468693,75
1574468694,75
1574468695,75
1574468696,75
1574468697,75
1574468698,75
1574468699,75
1574468700,75
1574468701,75
1574468702,75
1574468703,75
1574468704,75
1574468705,75
1574468706,75
1574468707,75
1574468708,75
1574468709,75
1574468710,75
1574468711,75
1574468712,75
1574468713,75
1574468714,75
1574468715,75
1574468716,75
1574468717,75
1574468718,75
1574468719,75
1574468720,75
1574468721,75
1574468722,75
1574468723,75
1574468724,75
1574468725,75
1574468726,75
1574468727,75
1574468728,75
1574468729,75
1574468730,75
1574468731,75
1574468732,75
1574468733,75
1574468734,75
1574468735,75
1574468736,75
1574468737,75
1574468738,75
1574468739,75
1574468740,75
1574468741,75
1574468742,75
1574468743,75
1574468744,75
1574468745,75
1574468746,75
1574468747,75
1574468748,75
1574468749,75
1574468750,75
1574468751,75
1574468752,75
1574468753,75
1574468754,75
1574468755,75
1574468756,75
1574468757,75
1574468758,75
1574468759,75
1574468760,75
1574468761,75
1574468762,75
1574468763,75
1574468764,75
1574468765,75
1574468766,75
1574468767,75
1574468768,75
1574468769,75
1574468770,75
1574468771,75
1574468772,75
1574468773,75
1574468774,75
1574468775,75
1574468776,75
1574468777,75
1574468778,75
1574468779,75
1574468780,75
1574468781,75
1574468782,75
1574468783,75
1574468784,75
1574468785,75
1574468786,75
1574468787,75
1574468788,75
1574468789,75
1574468790,75
1574468791,75
1574468792,75
1574468793,75
1574468794,75
1574468795,75
1574468796,75
1574468797,75
1574468798,75
1574468799,75
1574468800,75
1574468801,75
1574468802,75
1574468803,75
1574468804,75
1574468805,75
1574468806,75
1574468807,75
1574468808,75
1574468809,75
1574468810,75
1574468811,75
1574468812,75
1574468813,75
1574468814,75
1574468815,75
1574468816,75
1574468817,75
1574468818,75
1574468819,75
1574468820,75
1574468821,75
1574468822,75
1574468823,75
1574468824,75
1574468825,75
1574468826,75
1574468827,75
1574468828,75
1574468829,75
1574468830,75
1574468831,75
1574468832,75
1574468833,75
1574468834,75
1574468835,75
1574468836,75
1574468837,75
1574468838,75
1574468839,75
1574468840,75
1574468841,75
1574468842,75
1574468843,75
1574468844,75
1574468845,75
1574468846,75
1574468847,75
1574468848,75
1574468849,75
1574468850,75
1574468851,75
1574468852,75
1574468853,75
1574468854,75
1574468855,75
1574468856,75
1574468857,75
1574468858,75
1574468859,75
1574468860,75
1574468861,75
1574468862,75
1574468863,75
1574468864,75
1574468865,75
1574468866,75
1574468867,75
1574468868,75
1574468869,75
1574468870,75
1574468871,75
1574468872,75
1574468873,75
1574468874,75
1574468875,75
1574468876,75
1574468877,75
1574468878,75
1574468879,75
1574468880,75
1574468881,75
1574468882,75
1574468883,75
1574468884,75
1574468885,75
1574468886,75
1574468887,75
1574468888,75
1574468889,75
1574468890,75
1574468891,75
1574468892,75
1574468893,75
1574468894,75
1574468895,75
1574468896,75
1574468897,75
1574468898,75
1574468899,75
1574468900,75
1574468901,75
1574468902,75
1574468903,75
1574468904,75
1574468905,75
1574468906,75
1574468907,75
1574468908,75
1574468909,75
1574468910,75
1574468911,75
1574468912,75
1574468913,75
1574468914,75
1574468915,75
1574468916,75
1574468917,75
1574468918,75
1574468919,75
1574468920,75
1574468921,75
1574468922,75
1574468923,75
1574468924,75
1574468925,75
1574468926,75
1574468927,75
1574468928,75
1574468929,75
1574468930,75
1574468931,75
1574468932,75
1574468933,75
1574468934,75
1574468935,75
1574468936,75
1574468937,75
1574468938,75
1574468939,75
1574468940,75
1574468941,75
1574468942,75
1574468943,75
1574468944,75
1574468945,75
1574468946,75
1574468947,75
1574468948,75
1574468949,75
1574468950,75
1574468951,75
1574468952,75
1574468953,75
1574468954,75
1574468955,75
1574468956,75
1574468957,75
1574468958,75
1574468959,75
1574468960,75
1574468961,75
1574468962,75
1574468963,75
1574468964,75
1574468965,75
1574468966,75
1574468967,75
1574468968,75
1574468969,75
1574468970,75
1574468971,75
1574468972,75
1574468973,75
1574468974,75
1574468975,75
1574468976,75
1574468977,75
1574468978,75
1574468979,75
1574468980,75
1574468981,75
1574468982,75
1574468983,75
1574468984,75
1574468985,75
1574468986,75
1574468987,75
1574468988,75
1574468989,75
1574468990,75
1574468991,75
1574468992,75
1574468993,75
1574468994,75
1574468995,75
1574468996,75
1574468997,75
1574468998,75
1574468999,75
1574469000,75
1574469001,75
1574469002,75
1574469003,75
1574469004,75
1574469005,75
1574469006,75
1574469007,75
1574469008,75
1574469009,75
1574469010,75
1574469011,75
1574469012,75
1574469013,75
1574469014,75
1574469015,75
1574469016,75
1574469017,75
1574469018,75
1574469019,75
1574469020,75
1574469021,75
1574469022,75
1574469023,75
1574469024,75
1574469025,75
1574469026,75
1574469027,75
1574469028,75
1574469029,75
1574469030,75
1574469031,75
1574469032,75
1574469033,75
1574469034,75
1574469035,75
1574469036,75
1574469037,75
1574469038,75
1574469039,75
