t,value
1574467855,26424408
1574467856,26424408
1574467857,26424408
1574467858,29075024
1574467859,29075024
1574467860,29075024
1574467861,29075024
1574467862,31717432
1574467863,31717432
1574467864,31717432
1574467865,34359840
1574467866,34359840
1574467867,34359840
1574467868,37002248
1574467869,37002248
1574467870,37002248
1574467871,37002248
1574467872,39644832
1574467873,39644832
1574467874,39644832
1574467875,42287240
1574467876,42287240
1574467877,42287240
1574467878,44929648
1574467879,44929648
1574467880,44929648
1574467881,44929648
1574467882,47572056
1574467883,47572056
1574467884,47572056
1574467885,50214464
1574467886,50214464
1574467887,50214464
1574467888,52856872
1574467889,52856872
1574467890,52856872
1574467891,55499280
1574467892,55499280
1574467893,55499280
1574467894,55499280
1574467895,58141688
1574467896,58141688
1574467897,58141688
1574467898,60784128
1574467899,60784128
1574467900,60784128
1574467901,63426632
1574467902,63426632
1574467903,63426632
1574467904,63426632
1574467905,66069040
1574467906,66069040
1574467907,66069040
1574467908,68711472
1574467909,68711472
1574467910,68711472
1574467911,71353880
1574467912,71353880
1574467913,71353880
1574467914,71353880
1574467915,73996288
1574467916,73996288
1574467917,73996288
1574467918,76638752
1574467919,76638752
1574467920,76638752
1574467921,79281256
1574467922,79281256
1574467923,79281256
1574467924,79281256
1574467925,81923744
1574467926,81923744
1574467927,81923744
1574467928,84566216
1574467929,84566216
1574467930,84566216
1574467931,87208624
1574467932,87208624
1574467933,87208624
1574467934,87208624
1574467935,89851032
1574467936,89851032
1574467937,89851032
1574467938,92493488
1574467939,92493488
1574467940,92493488
1574467941,95135896
1574467942,95135896
1574467943,95135896
1574467944,95135896
1574467945,97778304
1574467946,97778304
1574467947,97778304
1574467948,100420744
1574467949,100420744
1574467950,100420744
1574467951,103071360
1574467952,103071360
1574467953,103071360
1574467954,103071360
1574467955,105721976
1574467956,105721976
1574467957,105721976
1574467958,108372592
1574467959,108372592
1574467960,108372592
1574467961,108372592
1574467962,111023208
1574467963,111023208
1574467964,111023208
1574467965,113665632
1574467966,113665632
1574467967,113665632
1574467968,113665632
1574467969,116316248
1574467970,116316248
1574467971,116316248
1574467972,118966864
1574467973,118966864
1574467974,118966864
1574467975,118966864
1574467976,126923400
1574467977,66266992
1574467978,1151583888
1574467979,1152984400
1574467980,1156657544
1574467981,1159379320
1574467982,1162181336
1574467983,1165862688
1574467984,1169193208
1574467985,1171994760
1574467986,1177068016
1574467987,1178468528
1574467988,1179869024
1574467989,1183549896
1574467990,1184950904
1574467991,1184950904
1574467992,1188632256
1574467993,2156525376
1574467994,2178075560
1574467995,2252295472
1574467996,2325669408
1574467997,2406961008
1574467998,2200488600
1574467999,2281783536
1574468000,2374396184
1574468001,2466168184
1574468002,2216961000
1574468003,2314037480
1574468004,2416737320
1574468005,2177082960
1574468006,2290417688
1574468007,2406429472
1574468008,2529850952
1574468009,2273651592
1574468010,2394799248
1574468011,2520407864
1574468012,2277120776
1574468013,2415251528
1574468014,2551960024
1574468015,2296888032
1574468016,2441625536
1574468017,2191153096
1574468018,2341752112
1574468019,2498178912
1574468020,2245605720
1574468021,2407727320
1574468022,2162310624
1574468023,2333225528
1574468024,2509597792
1574468025,2264949744
1574468026,2447431096
1574468027,2211532424
1574468028,2404924080
1574468029,2162448696
1574468030,2356620464
1574468031,2557646048
1574468032,2333285464
1574468033,2540788744
1574468034,1243204000
1574468035,1460832704
1574468036,1243930224
1574468037,1470767712
1574468038,1284275504
1574468039,1092898336
1574468040,1333039472
1574468041,1143202192
1574468042,1380759568
1574468043,1206767072
1574468044,1462323264
1574468045,1290546336
1574468046,1121707336
1574468047,1387084512
1574468048,1220962560
1574468049,1488257976
1574468050,1334147048
1574468051,1184557672
1574468052,1468702400
1574468053,1331961808
1574468054,1190618752
1574468055,1491030168
1574468056,1354257848
1574468057,1224999800
1574468058,1103064728
1574468059,1410946080
1574468060,1297476104
1574468061,1188240888
1574468062,1514047368
1574468063,1403365968
1574468064,1297460040
1574468065,1191257544
1574468066,1085203840
1574468067,1423730040
1574468068,1326783768
1574468069,1235063672
1574468070,1143292504
1574468071,1492972640
1574468072,1405120152
1574468073,1324974968
1574468074,1253904504
1574468075,1179711240
1574468076,1113723544
1574468077,1483142848
1574468078,1422211288
1574468079,1363852744
1574468080,1307130536
1574468081,1251098320
1574468082,1202089672
1574468083,1159083168
1574468084,1121852912
1574468085,1518473680
1574468086,1490682552
1574468087,1443366240
1574468088,1402631264
1574468089,1357578312
1574468090,1311106488
1574468091,1269451824
1574468092,1227937640
1574468093,1179805648
1574468094,1135518840
1574468095,1081551560
1574468096,1487757168
1574468097,1441441304
1574468098,1392596568
1574468099,1346420376
1574468100,1300706576
1574468101,1256226552
1574468102,1204947904
1574468103,1153456328
1574468104,1104005488
1574468105,1508073696
1574468106,1458016680
1574468107,1405453616
1574468108,1356839400
1574468109,1309362912
1574468110,1257193488
1574468111,1203700624
1574468112,1146755424
1574468113,1094161176
1574468114,1498720136
1574468115,1437769472
1574468116,1382224976
1574468117,1329101560
1574468118,1268496816
1574468119,1211980416
1574468120,1148765488
1574468121,1088740864
1574468122,1499814688
1574468123,1438080840
1574468124,1380008840
1574468125,1320949488
1574468126,1263308640
1574468127,1192359432
1574468128,1131627264
1574468129,1539657080
1574468130,1477267408
1574468131,1423201480
1574468132,1342272320
1574468133,1277632296
1574468134,1213975384
1574468135,1146890264
1574468136,1552203912
1574468137,1489011568
1574468138,1416777712
1574468139,1351223456
1574468140,1286207112
1574468141,1214669448
1574468142,1148917320
1574468143,1555465712
1574468144,1483095240
1574468145,1416154592
1574468146,1343086608
1574468147,1275686056
1574468148,1201093032
1574468149,1123269008
1574468150,1529884432
1574468151,1458032800
1574468152,1391364000
1574468153,1313310464
1574468154,1239657600
1574468155,1164414728
1574468156,1093017768
1574468157,1498148128
1574468158,1416962312
1574468159,1341966920
1574468160,1269543544
1574468161,1194820864
1574468162,1112979216
1574468163,1520329656
1574468164,1444064408
1574468165,1364177720
1574468166,1284340872
1574468167,1205542520
1574468168,1124759352
1574468169,1525670024
1574468170,1440158824
1574468171,1359323312
1574468172,1277558272
1574468173,1194588840
1574468174,1108056600
1574468175,1516423304
1574468176,1434417024
1574468177,1349594048
1574468178,1259843520
1574468179,1175725064
1574468180,1092925152
1574468181,1494160088
1574468182,1407493712
1574468183,1324390944
1574468184,1237491792
1574468185,1148881696
1574468186,1545348096
1574468187,1459998760
1574468188,1379624280
1574468189,1288534952
1574468190,1195689136
1574468191,1109137544
1574468192,1519089272
1574468193,1428148000
1574468194,1341029528
1574468195,1256757832
1574468196,1197045536
1574468197,1132458696
1574468198,1560493928
1574468199,1490714384
1574468200,1423857776
1574468201,1353455160
1574468202,1283899744
1574468203,1218714640
1574468204,1145973800
1574468205,1576310872
1574468206,1504017416
1574468207,1429272304
1574468208,1360835224
1574468209,1285949344
1574468210,1217592080
1574468211,1140766280
1574468212,1577699000
1574468213,1499855640
1574468214,1428959640
1574468215,1354583600
1574468216,1278156408
1574468217,1196383872
1574468218,1117471856
1574468219,1551789488
1574468220,1472981800
1574468221,1400425096
1574468222,1326701888
1574468223,1249072016
1574468224,1169555184
1574468225,1089367376
1574468226,1520601728
1574468227,1444789568
1574468228,1361414344
1574468229,1285315928
1574468230,1205715608
1574468231,1132308720
