t,value
1574467855,12255232
1574467856,12648448
1574467857,12845056
1574467858,12976128
1574467859,13041664
1574467860,13238272
1574467861,13238272
1574467862,13369344
1574467863,13369344
1574467864,13369344
1574467865,13369344
1574467866,13369344
1574467867,13369344
1574467868,13369344
1574467869,13369344
1574467870,13369344
1574467871,13434880
1574467872,13434880
1574467873,13434880
1574467874,13434880
1574467875,13434880
1574467876,13434880
1574467877,13434880
1574467878,13434880
1574467879,13500416
1574467880,13500416
1574467881,13500416
1574467882,13500416
1574467883,13500416
1574467884,13828096
1574467885,13828096
1574467886,13828096
1574467887,13828096
1574467888,13828096
1574467889,13828096
1574467890,13828096
1574467891,13828096
1574467892,13828096
1574467893,13893632
1574467894,13893632
1574467895,13893632
1574467896,13893632
1574467897,13893632
1574467898,13893632
1574467899,13893632
1574467900,13893632
1574467901,13893632
1574467902,13893632
1574467903,13893632
1574467904,13893632
1574467905,13893632
1574467906,13959168
1574467907,13959168
1574467908,13959168
1574467909,13959168
1574467910,13959168
1574467911,13959168
1574467912,13959168
1574467913,13959168
1574467914,13959168
1574467915,13959168
1574467916,13959168
1574467917,13959168
1574467918,13959168
1574467919,13959168
1574467920,13959168
1574467921,13959168
1574467922,13959168
1574467923,13959168
1574467924,13959168
1574467925,13959168
1574467926,13959168
1574467927,13959168
1574467928,13959168
1574467929,13959168
1574467930,13959168
1574467931,13959168
1574467932,13959168
1574467933,13959168
1574467934,13959168
1574467935,13959168
1574467936,13959168
1574467937,13959168
1574467938,13959168
1574467939,13959168
1574467940,13959168
1574467941,13959168
1574467942,13959168
1574467943,13959168
1574467944,13959168
1574467945,13959168
1574467946,13959168
1574467947,13959168
1574467948,14090240
1574467949,14090240
1574467950,14090240
1574467951,14090240
1574467952,14090240
1574467953,14090240
1574467954,14090240
1574467955,14090240
1574467956,14090240
1574467957,14090240
1574467958,14090240
1574467959,14090240
1574467960,14090240
1574467961,14090240
1574467962,14090240
1574467963,14155776
1574467964,14155776
1574467965,14155776
1574467966,14155776
1574467967,14155776
1574467968,14155776
1574467969,14155776
1574467970,14155776
1574467971,14155776
1574467972,14155776
1574467973,14155776
1574467974,14155776
1574467975,14155776
1574467976,16973824
1574467977,29163520
1574467978,31784960
1574467979,32309248
1574467980,32440320
1574467981,32571392
1574467982,32571392
1574467983,32636928
1574467984,32636928
1574467985,32636928
1574467986,32636928
1574467987,32636928
1574467988,32636928
1574467989,32636928
1574467990,32636928
1574467991,32636928
1574467992,32636928
1574467993,32636928
1574467994,33095680
1574467995,33554432
1574467996,33685504
1574467997,33816576
1574467998,33882112
1574467999,34340864
1574468000,34340864
1574468001,34340864
1574468002,34340864
1574468003,34340864
1574468004,34340864
1574468005,34340864
1574468006,34340864
1574468007,34340864
1574468008,34340864
1574468009,34340864
1574468010,34340864
1574468011,34340864
1574468012,34340864
1574468013,34340864
1574468014,34340864
1574468015,34340864
1574468016,34340864
1574468017,34340864
1574468018,34340864
1574468019,34340864
1574468020,34340864
1574468021,34340864
1574468022,34340864
1574468023,34340864
1574468024,34340864
1574468025,34340864
1574468026,34340864
1574468027,34340864
1574468028,34340864
1574468029,34340864
1574468030,34340864
1574468031,34340864
1574468032,34340864
1574468033,34340864
1574468034,34340864
1574468035,34340864
1574468036,34340864
1574468037,34340864
1574468038,34340864
1574468039,34340864
1574468040,34340864
1574468041,34340864
1574468042,34340864
1574468043,34340864
1574468044,34340864
1574468045,34340864
1574468046,34340864
1574468047,34340864
1574468048,34340864
1574468049,34340864
1574468050,34340864
1574468051,34340864
1574468052,34340864
1574468053,34340864
1574468054,34340864
1574468055,34340864
1574468056,34340864
1574468057,34340864
1574468058,34340864
1574468059,34340864
1574468060,34340864
1574468061,34340864
1574468062,34340864
1574468063,34340864
1574468064,34340864
1574468065,34340864
1574468066,34340864
1574468067,34340864
1574468068,34340864
1574468069,34340864
1574468070,34340864
1574468071,34340864
1574468072,34340864
1574468073,34340864
1574468074,34340864
1574468075,34340864
1574468076,34340864
1574468077,34340864
1574468078,34340864
1574468079,34340864
1574468080,34340864
1574468081,34340864
1574468082,34340864
1574468083,34340864
1574468084,34340864
1574468085,34340864
1574468086,34340864
1574468087,34340864
1574468088,34340864
1574468089,34340864
1574468090,34340864
1574468091,34340864
1574468092,34340864
1574468093,34340864
1574468094,34340864
1574468095,34340864
1574468096,34340864
1574468097,34340864
1574468098,34340864
1574468099,34340864
1574468100,34340864
1574468101,34340864
1574468102,34340864
1574468103,34340864
1574468104,34340864
1574468105,34340864
1574468106,34340864
1574468107,34340864
1574468108,34340864
1574468109,34340864
1574468110,34340864
1574468111,34340864
1574468112,34340864
1574468113,34340864
1574468114,34340864
1574468115,34340864
1574468116,34340864
1574468117,34340864
1574468118,34340864
1574468119,34340864
1574468120,34340864
1574468121,34340864
1574468122,34340864
1574468123,34340864
1574468124,34340864
1574468125,34340864
1574468126,34340864
1574468127,34340864
1574468128,34340864
1574468129,34340864
1574468130,34340864
1574468131,34340864
1574468132,34340864
1574468133,34340864
1574468134,34340864
1574468135,34340864
1574468136,34340864
1574468137,34340864
1574468138,34340864
1574468139,34340864
1574468140,34340864
1574468141,34340864
1574468142,34340864
1574468143,34340864
1574468144,34340864
1574468145,34340864
1574468146,34340864
1574468147,34340864
1574468148,34340864
1574468149,34340864
1574468150,34340864
