t,value
1574467855,11661768
1574467856,11945576
1574467857,12251792
1574467858,12352816
1574467859,12453936
1574467860,12645904
1574467861,12697096
1574467862,12746368
1574467863,12750528
1574467864,12769560
1574467865,12774872
1574467866,12780920
1574467867,12785912
1574467868,12786968
1574467869,12792600
1574467870,12792600
1574467871,12828568
1574467872,12829464
1574467873,12839248
1574467874,12840336
1574467875,12844176
1574467876,12854960
1574467877,12889624
1574467878,12895256
1574467879,12935352
1574467880,12935352
1574467881,12936408
1574467882,12936408
1574467883,12947824
1574467884,12988432
1574467885,12961528
1574467886,12979960
1574467887,12989864
1574467888,12990632
1574467889,12990632
1574467890,12990632
1574467891,12991464
1574467892,12991464
1574467893,13020136
1574467894,13020136
1574467895,13022408
1574467896,13027208
1574467897,13028296
1574467898,13069768
1574467899,13083528
1574467900,13087304
1574467901,13093512
1574467902,13111944
1574467903,13111944
1574467904,13115016
1574467905,13115016
1574467906,13136272
1574467907,13136272
1574467908,13136272
1574467909,13136272
1574467910,13137360
1574467911,13140368
1574467912,13145424
1574467913,13145424
1574467914,13145424
1574467915,13145424
1574467916,13153184
1574467917,13158056
1574467918,13159816
1574467919,13161056
1574467920,13161056
1574467921,13161056
1574467922,13161056
1574467923,13161056
1574467924,13161056
1574467925,13161056
1574467926,13161056
1574467927,13161056
1574467928,13161056
1574467929,13161056
1574467930,13161056
1574467931,13161056
1574467932,13161056
1574467933,13160992
1574467934,13160992
1574467935,13160992
1574467936,13160992
1574467937,13160992
1574467938,13158848
1574467939,13160944
1574467940,13165808
1574467941,13172880
1574467942,13172880
1574467943,13172880
1574467944,13146448
1574467945,13157072
1574467946,13173392
1574467947,13180368
1574467948,13280272
1574467949,13280272
1574467950,13281104
1574467951,13281104
1574467952,13281104
1574467953,13281104
1574467954,13281104
1574467955,13280464
1574467956,13284368
1574467957,13284368
1574467958,13284368
1574467959,13285008
1574467960,13285008
1574467961,13316416
1574467962,13316416
1574467963,13332728
1574467964,13332728
1574467965,13331576
1574467966,13326072
1574467967,13326072
1574467968,13326072
1574467969,13326072
1574467970,13326072
1574467971,13257648
1574467972,13257648
1574467973,13257648
1574467974,13257520
1574467975,13257520
1574467976,16281696
1574467977,28349712
1574467978,31068384
1574467979,31630104
1574467980,31719896
1574467981,31893944
1574467982,31890112
1574467983,31955176
1574467984,31984952
1574467985,31985912
1574467986,31994560
1574467987,31994560
1574467988,31994816
1574467989,31994816
1574467990,31989400
1574467991,31984536
1574467992,31933848
1574467993,31899456
1574467994,32410152
1574467995,32914328
1574467996,33031368
1574467997,33117512
1574467998,33139976
1574467999,33014856
1574468000,32927944
1574468001,32927944
1574468002,32827720
1574468003,32827720
1574468004,32827720
1574468005,32738120
1574468006,32747464
1574468007,32747464
1574468008,32820680
1574468009,32830600
1574468010,32833160
1574468011,32833160
1574468012,32833864
1574468013,32833864
1574468014,32833864
1574468015,32833960
1574468016,32833960
1574468017,32833960
1574468018,32833960
1574468019,32838376
1574468020,32838376
1574468021,32845096
1574468022,32845096
1574468023,32845096
1574468024,32845096
1574468025,32845864
1574468026,32845864
1574468027,32845864
1574468028,32845864
1574468029,32839208
1574468030,32839208
1574468031,32839208
1574468032,32862448
1574468033,32863152
1574468034,32865136
1574468035,32865136
1574468036,32883376
1574468037,32883600
1574468038,32883600
1574468039,32803088
1574468040,32803088
1574468041,32803088
1574468042,32805960
1574468043,32805960
1574468044,32805960
1574468045,32825544
1574468046,32825544
1574468047,32836040
1574468048,32836040
1574468049,32836040
1574468050,32836040
1574468051,32836040
1574468052,32836040
1574468053,32836040
1574468054,32836040
1574468055,32836040
1574468056,32836040
1574468057,32836040
1574468058,32836040
1574468059,32836040
1574468060,32836040
1574468061,32836744
1574468062,32836744
1574468063,32836744
1574468064,32836744
1574468065,32846728
1574468066,32846728
1574468067,32862192
1574468068,32850600
1574468069,32850600
1574468070,32850472
1574468071,32850472
1574468072,32850472
1574468073,32843432
1574468074,32843432
1574468075,32831296
1574468076,32831296
1574468077,32831296
1574468078,32831296
1574468079,32831296
1574468080,32831296
1574468081,32831296
1574468082,32831296
1574468083,32831296
1574468084,32831296
1574468085,32831296
1574468086,32831296
1574468087,32831296
1574468088,32831296
1574468089,32831296
1574468090,32831296
1574468091,32831296
1574468092,32831232
1574468093,32805464
1574468094,32805464
1574468095,32819672
