t,value
1574467855,3830336
1574467856,3996608
1574467857,4264896
1574467858,4322368
1574467859,4403584
1574467860,4541888
1574467861,4588736
1574467862,4633920
1574467863,4638080
1574467864,4656448
1574467865,4662784
1574467866,4666688
1574467867,4672448
1574467868,4672448
1574467869,4678080
1574467870,4682688
1574467871,4708096
1574467872,4708992
1574467873,4718144
1574467874,4719232
1574467875,4723072
1574467876,4731264
1574467877,4755584
1574467878,4770560
1574467879,4801024
1574467880,4801024
1574467881,4801792
1574467882,4801792
1574467883,4817664
1574467884,4846016
1574467885,4818816
1574467886,4837248
1574467887,4845248
1574467888,4845248
1574467889,4845248
1574467890,4845248
1574467891,4846080
1574467892,4846080
1574467893,4874752
1574467894,4874752
1574467895,4876672
1574467896,4881472
1574467897,4882560
1574467898,4917696
1574467899,4929472
1574467900,4934080
1574467901,4939456
1574467902,4957888
1574467903,4957888
1574467904,4960192
1574467905,4960192
1574467906,4975872
1574467907,4975872
1574467908,4975872
1574467909,4975872
1574467910,4976960
1574467911,4979968
1574467912,4985024
1574467913,4985024
1574467914,4985024
1574467915,4985024
1574467916,4990656
1574467917,4993728
1574467918,4995200
1574467919,4996096
1574467920,4996096
1574467921,4996096
1574467922,4996096
1574467923,4996096
1574467924,4996096
1574467925,4996096
1574467926,4996096
1574467927,4996096
1574467928,4996096
1574467929,4996096
1574467930,4996096
1574467931,4996096
1574467932,4996096
1574467933,4995520
1574467934,4995520
1574467935,4995520
1574467936,4995520
1574467937,4995520
1574467938,4992448
1574467939,4994240
1574467940,5000576
1574467941,5003776
1574467942,5003776
1574467943,5003776
1574467944,4977344
1574467945,4987968
1574467946,5004288
1574467947,5011264
1574467948,5111168
1574467949,5111168
1574467950,5112000
1574467951,5112000
1574467952,5112000
1574467953,5112000
1574467954,5112000
1574467955,5111360
1574467956,5114624
1574467957,5114624
1574467958,5114624
1574467959,5115264
1574467960,5115264
1574467961,5136704
1574467962,5136704
1574467963,5152256
1574467964,5152256
1574467965,5151104
1574467966,5145600
1574467967,5145600
1574467968,5145600
1574467969,5145600
1574467970,5145600
1574467971,5076416
1574467972,5076416
1574467973,5076416
1574467974,5076288
1574467975,5076288
1574467976,5639488
1574467977,6983168
1574467978,7582784
1574467979,8077952
1574467980,8167744
1574467981,8307136
1574467982,8296128
1574467983,8335680
1574467984,8348800
1574467985,8349760
1574467986,8356928
1574467987,8356928
1574467988,8356928
1574467989,8356928
1574467990,8351168
1574467991,8346304
1574467992,8295616
1574467993,8259008
1574467994,8683136
1574467995,9102976
1574467996,9216384
1574467997,9302528
1574467998,9324992
1574467999,9199872
1574468000,9112960
1574468001,9112960
1574468002,9012736
1574468003,9012736
1574468004,9012736
1574468005,8923136
1574468006,8932480
1574468007,8932480
1574468008,9005696
1574468009,9015616
1574468010,9018176
1574468011,9018176
1574468012,9018880
1574468013,9018880
1574468014,9018880
1574468015,9018880
1574468016,9018880
1574468017,9018880
1574468018,9023296
1574468019,9023296
1574468020,9023296
1574468021,9030016
1574468022,9030016
1574468023,9030016
1574468024,9030016
1574468025,9030784
1574468026,9030784
