t,value
1574467855,7117272
1574467856,7192096
1574467857,7268360
1574467858,7283576
1574467859,7330912
1574467860,7338152
1574467861,7341792
1574467862,7345880
1574467863,7346240
1574467864,7346544
1574467865,7347376
1574467866,7347664
1574467867,7347952
1574467868,7347952
1574467869,7347952
1574467870,7353904
1574467871,7353904
1574467872,7354536
1574467873,7354536
1574467874,7354536
1574467875,7354536
1574467876,7357128
1574467877,7367472
1574467878,7367760
1574467879,7367760
1574467880,7367760
1574467881,7368048
1574467882,7368048
1574467883,7375024
1574467884,7375848
1574467885,7376144
1574467886,7376144
1574467887,7378816
1574467888,7378816
1574467889,7378816
1574467890,7378816
1574467891,7378816
1574467892,7378816
1574467893,7378816
1574467894,7378816
1574467895,7379168
1574467896,7379168
1574467897,7380384
1574467898,7387488
1574467899,7387488
1574467900,7387488
1574467901,7387488
1574467902,7387488
1574467903,7387488
1574467904,7388256
1574467905,7388256
1574467906,7393832
1574467907,7393832
1574467908,7393832
1574467909,7393832
1574467910,7393832
1574467911,7393832
1574467912,7393832
1574467913,7393832
1574467914,7393832
1574467915,7395960
1574467916,7395960
1574467917,7397760
1574467918,7398048
1574467919,7398392
1574467920,7398392
1574467921,7398392
1574467922,7398392
1574467923,7398392
1574467924,7398392
1574467925,7398392
1574467926,7398392
1574467927,7398392
1574467928,7398392
1574467929,7398392
1574467930,7398392
1574467931,7398392
1574467932,7398904
1574467933,7398904
1574467934,7398904
1574467935,7398904
1574467936,7398904
1574467937,7398904
1574467938,7399832
1574467939,7400136
1574467940,7401752
1574467941,7402536
1574467942,7402536
1574467943,7402536
1574467944,7402536
1574467945,7402536
1574467946,7402536
1574467947,7402536
1574467948,7402536
1574467949,7402536
1574467950,7402536
1574467951,7402536
1574467952,7402536
1574467953,7402536
1574467954,7402536
1574467955,7403176
1574467956,7403176
1574467957,7403176
1574467958,7403176
1574467959,7403176
1574467960,7403176
1574467961,7413144
1574467962,7413904
1574467963,7413904
1574467964,7413904
1574467965,7413904
1574467966,7413904
1574467967,7413904
1574467968,7413904
1574467969,7413904
1574467970,7413904
1574467971,7414664
1574467972,7414664
1574467973,7414664
1574467974,7414664
1574467975,7414664
1574467976,9955992
1574467977,19569504
1574467978,21255928
1574467979,21296256
1574467980,21296256
1574467981,21328712
1574467982,21332624
1574467983,21356192
1574467984,21370416
1574467985,21370416
1574467986,21371896
1574467987,21371896
1574467988,21372152
1574467989,21372152
1574467990,21372496
1574467991,21372496
1574467992,21372496
1574467993,21374232
1574467994,21473048
1574467995,21539832
1574467996,21543432
1574467997,21543432
1574467998,21543432
1574467999,21543432
1574468000,21543432
1574468001,21543432
1574468002,21543432
1574468003,21543432
1574468004,21543432
1574468005,21543432
1574468006,21543432
1574468007,21543432
1574468008,21543432
1574468009,21543432
1574468010,21543432
1574468011,21543432
1574468012,21543432
1574468013,21543432
1574468014,21543432
1574468015,21543528
1574468016,21543528
1574468017,21543528
1574468018,21543528
1574468019,21543528
1574468020,21543528
1574468021,21543528
1574468022,21543528
1574468023,21543528
1574468024,21543528
1574468025,21543528
1574468026,21543528
1574468027,21543528
1574468028,21543528
1574468029,21543528
1574468030,21543528
1574468031,21543528
1574468032,21547120
1574468033,21547120
1574468034,21547120
1574468035,21547120
1574468036,21547120
1574468037,21547344
1574468038,21547344
1574468039,21547344
1574468040,21547344
1574468041,21547344
1574468042,21548040
1574468043,21548040
1574468044,21548040
1574468045,21548040
1574468046,21548040
1574468047,21548040
1574468048,21548040
1574468049,21548040
1574468050,21548040
1574468051,21548040
1574468052,21548040
1574468053,21548040
1574468054,21548040
1574468055,21548040
1574468056,21548040
1574468057,21548040
1574468058,21548040
1574468059,21548040
1574468060,21548040
1574468061,21548040
1574468062,21548040
1574468063,21548040
1574468064,21548040
1574468065,21548040
1574468066,21548040
1574468067,21548848
1574468068,21549224
1574468069,21549224
1574468070,21549224
1574468071,21549224
1574468072,21549224
1574468073,21549224
1574468074,21549224
1574468075,21553088
1574468076,21553088
1574468077,21553088
1574468078,21553088
1574468079,21553088
1574468080,21553088
1574468081,21553088
1574468082,21553088
1574468083,21553088
1574468084,21553088
1574468085,21553088
1574468086,21553088
1574468087,21553088
1574468088,21553088
1574468089,21553088
1574468090,21553088
1574468091,21553088
1574468092,21553088
1574468093,21556120
1574468094,21556120
1574468095,21556120
1574468096,21556120
1574468097,21556120
1574468098,21556120
1574468099,21556120
1574468100,21556120
1574468101,21556120
1574468102,21556120
1574468103,21556120
1574468104,21556120
1574468105,21556928
1574468106,21556928
1574468107,21561352
1574468108,21562032
1574468109,21562032
1574468110,21578608
1574468111,21589136
1574468112,21589136
1574468113,21589136
1574468114,21589136
1574468115,21589136
1574468116,21589136
1574468117,21589136
1574468118,21589136
1574468119,21589136
1574468120,21589136
1574468121,21589136
1574468122,21589136
1574468123,21589136
1574468124,21589136
1574468125,21589136
1574468126,21589136
1574468127,21589136
1574468128,21589136
1574468129,21589136
1574468130,21589136
1574468131,21589136
1574468132,21589136
1574468133,21589136
1574468134,21589136
1574468135,21589136
1574468136,21589136
1574468137,21589136
1574468138,21589136
1574468139,21589136
1574468140,21589136
1574468141,21589136
1574468142,21589136
1574468143,21589136
1574468144,21589136
1574468145,21589136
1574468146,21589136
1574468147,21589136
1574468148,21589136
1574468149,21589136
1574468150,21589136
1574468151,21589136
1574468152,21589136
1574468153,21589136
1574468154,21589136
1574468155,21589136
1574468156,21589136
1574468157,21589136
1574468158,21589136
1574468159,21589136
1574468160,21589136
1574468161,21589136
1574468162,21589136
1574468163,21589136
1574468164,21589136
1574468165,21589480
1574468166,21589480
