t,value
1574467855,517537792
1574467856,517668864
1574467857,517865472
1574467858,517931008
1574467859,518062080
1574467860,518127616
1574467861,518193152
1574467862,518258688
1574467863,518258688
1574467864,518258688
1574467865,518258688
1574467866,518258688
1574467867,518258688
1574467868,518258688
1574467869,518258688
1574467870,518324224
1574467871,518324224
1574467872,518324224
1574467873,518324224
1574467874,518324224
1574467875,518324224
1574467876,518324224
1574467877,518324224
1574467878,518389760
1574467879,518389760
1574467880,518389760
1574467881,518389760
1574467882,518389760
1574467883,518717440
1574467884,518717440
1574467885,518717440
1574467886,518717440
1574467887,518717440
1574467888,518717440
1574467889,518717440
1574467890,518717440
1574467891,518717440
1574467892,518717440
1574467893,518782976
1574467894,518782976
1574467895,518782976
1574467896,518782976
1574467897,518782976
1574467898,518782976
1574467899,518782976
1574467900,518782976
1574467901,518782976
1574467902,518782976
1574467903,518782976
1574467904,518782976
1574467905,518782976
1574467906,518848512
1574467907,518848512
1574467908,518848512
1574467909,518848512
1574467910,518848512
1574467911,518848512
1574467912,518848512
1574467913,518848512
1574467914,518848512
1574467915,518848512
1574467916,518848512
1574467917,518848512
1574467918,518848512
1574467919,518848512
1574467920,518848512
1574467921,518848512
1574467922,518848512
1574467923,518848512
1574467924,518848512
1574467925,518848512
1574467926,518848512
1574467927,518848512
1574467928,518848512
1574467929,518848512
1574467930,518848512
1574467931,518848512
1574467932,518848512
1574467933,518848512
1574467934,518848512
1574467935,518848512
1574467936,518848512
1574467937,518848512
1574467938,518848512
1574467939,518848512
1574467940,518848512
1574467941,518848512
1574467942,518848512
1574467943,518848512
1574467944,518848512
1574467945,518848512
1574467946,518848512
1574467947,518914048
1574467948,518979584
1574467949,518979584
1574467950,518979584
1574467951,518979584
1574467952,518979584
1574467953,518979584
1574467954,518979584
1574467955,518979584
1574467956,518979584
1574467957,518979584
1574467958,518979584
1574467959,518979584
1574467960,518979584
1574467961,518979584
1574467962,518979584
1574467963,519045120
1574467964,519045120
1574467965,519045120
1574467966,519045120
1574467967,519045120
1574467968,519045120
1574467969,519045120
1574467970,519045120
1574467971,519045120
1574467972,519045120
1574467973,519045120
1574467974,519045120
1574467975,519045120
1574467976,522977280
1574467977,534577152
1574467978,1611005952
1574467979,1611464704
1574467980,1611595776
1574467981,1611726848
1574467982,1611726848
1574467983,1611792384
1574467984,1611792384
1574467985,1611792384
1574467986,1611792384
1574467987,1611792384
1574467988,1611792384
1574467989,1611792384
1574467990,1611792384
1574467991,1611792384
1574467992,1611792384
1574467993,3000107008
1574467994,3066691584
1574467995,3067084800
1574467996,3067215872
1574467997,3067346944
1574467998,3299672064
1574467999,3300130816
1574468000,3300130816
1574468001,3300130816
1574468002,3328966656
1574468003,3328966656
1574468004,3328966656
1574468005,3375104000
1574468006,3375104000
1574468007,3375104000
1574468008,3386114048
1574468009,3386114048
1574468010,3386114048
1574468011,3386114048
1574468012,3414425600
1574468013,3414425600
1574468014,3417571328
1574468015,3417571328
1574468016,3417571328
1574468017,3424911360
1574468018,3424911360
1574468019,3424911360
1574468020,3430678528
1574468021,3430678528
1574468022,3423338496
1574468023,3423338496
1574468024,3423338496
1574468025,3431727104
1574468026,3431727104
1574468027,3414949888
1574468028,3414949888
1574468029,3205758976
1574468030,3205758976
1574468031,3205758976
1574468032,3402366976
1574468033,3402366976
1574468034,2953576448
1574468035,2953576448
1574468036,2953576448
1574468037,2953576448
1574468038,2972975104
1574468039,2986082304
1574468040,2986082304
1574468041,2405171200
1574468042,2405171200
1574468043,2967207936
1574468044,2967207936
1574468045,2407792640
1574468046,2933129216
1574468047,2933129216
1574468048,2409365504
1574468049,2409365504
1574468050,2892234752
1574468051,2410938368
1574468052,2410938368
1574468053,2848194560
1574468054,2411986944
1574468055,2411986944
1574468056,2804678656
1574468057,2413559808
1574468058,2761687040
1574468059,2761687040
1574468060,2414608384
1574468061,2720792576
1574468062,2415656960
1574468063,2415656960
1574468064,2684092416
1574468065,2416705536
1574468066,2650013696
1574468067,2650013696
1574468068,2417754112
1574468069,2620653568
1574468070,2418802688
1574468071,2592866304
1574468072,2592866304
1574468073,2419851264
1574468074,2570321920
1574468075,2420899840
1574468076,2549874688
1574468077,2549874688
1574468078,2421948416
1574468079,2532573184
1574468080,2422996992
1574468081,2516844544
1574468082,2424045568
1574468083,2503737344
1574468084,2425094144
1574468085,2493775872
1574468086,2426142720
1574468087,2426142720
1574468088,2483814400
1574468089,2427191296
1574468090,2475950080
1574468091,2428239872
1574468092,2469134336
1574468093,2429288448
1574468094,2463891456
1574468095,2430337024
1574468096,2430337024
1574468097,2460221440
1574468098,2431385600
1574468099,2456027136
1574468100,2431909888
1574468101,2453405696
1574468102,2432958464
1574468103,2450784256
1574468104,2434007040
1574468105,2450259968
1574468106,2450259968
1574468107,2435055616
1574468108,2448687104
1574468109,2449735680
1574468110,2447638528
1574468111,2448687104
1574468112,2446589952
1574468113,2447638528
1574468114,2447638528
1574468115,2446065664
1574468116,2447114240
1574468117,2446589952
1574468118,2447114240
1574468119,2446589952
1574468120,2447114240
1574468121,2446589952
1574468122,2446589952
1574468123,2447114240
1574468124,2447638528
1574468125,2447638528
1574468126,2447114240
1574468127,2447638528
1574468128,2447638528
1574468129,2448162816
1574468130,2448162816
1574468131,2449211392
1574468132,2449211392
1574468133,2449735680
1574468134,2449735680
1574468135,2449735680
1574468136,2450259968
1574468137,2451308544
1574468138,2451308544
1574468139,2451308544
1574468140,2451308544
1574468141,2451832832
1574468142,2452881408
1574468143,2452881408
1574468144,2452881408
1574468145,2453929984
1574468146,2453929984
1574468147,2454978560
1574468148,2454978560
1574468149,2456027136
1574468150,2456027136
1574468151,2456027136
1574468152,2457075712
1574468153,2457075712
1574468154,2457600000
1574468155,2457600000
1574468156,2458648576
1574468157,2458648576
1574468158,2458648576
1574468159,2459697152
1574468160,2459697152
1574468161,2460745728
1574468162,2460745728
1574468163,2460745728
1574468164,2461794304
1574468165,2461794304
1574468166,2462842880
1574468167,2462842880
1574468168,2463891456
1574468169,2463891456
1574468170,2463891456
1574468171,2464940032
1574468172,2464940032
1574468173,2465988608
1574468174,2465988608
1574468175,2465988608
1574468176,2467037184
1574468177,2467037184
1574468178,2468085760
1574468179,2468085760
1574468180,2469134336
1574468181,2469134336
1574468182,2469134336
1574468183,2470182912
1574468184,2470182912
1574468185,2471231488
1574468186,2471231488
1574468187,2471231488
1574468188,2472280064
1574468189,2472280064
1574468190,2473328640
1574468191,2473328640
1574468192,2473328640
1574468193,2474377216
1574468194,2474377216
1574468195,2475425792
1574468196,2475425792
1574468197,2476474368
1574468198,2476474368
1574468199,2476474368
1574468200,2477522944
1574468201,2477522944
1574468202,2478571520
1574468203,2478571520
1574468204,2479620096
1574468205,2479620096
1574468206,2479620096
1574468207,2480668672
1574468208,2480668672
1574468209,2481717248
1574468210,2481717248
1574468211,2482765824
1574468212,2482765824
1574468213,2482765824
1574468214,2483814400
1574468215,2483814400
1574468216,2484862976
1574468217,2484862976
1574468218,2485911552
1574468219,2485911552
1574468220,2485911552
1574468221,2486960128
1574468222,2486960128
1574468223,2488008704
1574468224,2488008704
1574468225,2489057280
1574468226,2489057280
1574468227,2489057280
1574468228,2490105856
1574468229,2490105856
1574468230,2491154432
1574468231,2491154432
1574468232,2492203008
1574468233,2492203008
1574468234,2492203008
1574468235,2493251584
1574468236,2493251584
1574468237,2494300160
1574468238,2494300160
1574468239,2494300160
1574468240,2495348736
1574468241,2495348736
1574468242,2496397312
1574468243,2496397312
1574468244,2497445888
1574468245,2497445888
1574468246,2497445888
1574468247,2498494464
1574468248,2498494464
1574468249,2499543040
1574468250,2499543040
1574468251,2499543040
1574468252,2500591616
1574468253,2500591616
1574468254,2501640192
1574468255,2501640192
1574468256,2502688768
1574468257,2502688768
1574468258,2502688768
1574468259,2503737344
1574468260,2503737344
1574468261,2504785920
1574468262,2504785920
1574468263,2504785920
1574468264,2505834496
1574468265,2505834496
1574468266,2506883072
1574468267,2506883072
1574468268,2506883072
1574468269,2507931648
1574468270,2507931648
1574468271,2508980224
1574468272,2508980224
1574468273,2510028800
1574468274,2510028800
1574468275,2510028800
1574468276,2511077376
1574468277,2511077376
1574468278,2512125952
1574468279,2512125952
1574468280,2512125952
1574468281,2513174528
1574468282,2513174528
1574468283,2514223104
1574468284,2514223104
1574468285,2514223104
1574468286,2515271680
1574468287,2515271680
1574468288,2516320256
1574468289,2516320256
1574468290,2516320256
1574468291,2517368832
1574468292,2517368832
1574468293,2518417408
1574468294,2518417408
1574468295,2518417408
1574468296,2519465984
1574468297,2519465984
1574468298,2520514560
1574468299,2520514560
1574468300,2520514560
1574468301,2521563136
1574468302,2521563136
1574468303,2521563136
1574468304,2522611712
1574468305,2522611712
1574468306,2523660288
1574468307,2523660288
1574468308,2523660288
1574468309,2524708864
1574468310,2524708864
1574468311,2525757440
1574468312,2525757440
1574468313,2525757440
1574468314,2526806016
1574468315,2526806016
1574468316,2527854592
1574468317,2527854592
1574468318,2527854592
1574468319,2528903168
1574468320,2528903168
1574468321,2528903168
1574468322,2529951744
1574468323,2529951744
1574468324,2531000320
1574468325,2531000320
1574468326,2531000320
1574468327,2532048896
1574468328,2532048896
1574468329,2532048896
1574468330,2533097472
1574468331,2533097472
1574468332,2534146048
1574468333,2534146048
1574468334,2534146048
1574468335,2535194624
1574468336,2535194624
1574468337,2535194624
1574468338,2536243200
1574468339,2536243200
1574468340,2537291776
1574468341,2537291776
1574468342,2537291776
1574468343,2538340352
1574468344,2538340352
1574468345,2538340352
1574468346,2539388928
1574468347,2539388928
1574468348,2540437504
1574468349,2540437504
1574468350,2540437504
1574468351,2541486080
1574468352,2541486080
1574468353,2541486080
1574468354,2542534656
1574468355,2542534656
1574468356,2543583232
1574468357,2543583232
1574468358,2543583232
1574468359,2544631808
1574468360,2544631808
1574468361,2544631808
1574468362,2545680384
1574468363,2545680384
1574468364,2546728960
1574468365,2546728960
1574468366,2546728960
1574468367,2547777536
1574468368,2547777536
1574468369,2547777536
1574468370,2548826112
1574468371,2548826112
1574468372,2548826112
1574468373,2549874688
1574468374,2549874688
1574468375,2550923264
1574468376,2550923264
1574468377,2550923264
1574468378,2551971840
1574468379,2551971840
1574468380,2551971840
1574468381,2553020416
1574468382,2553020416
1574468383,2553020416
1574468384,2554068992
1574468385,2554068992
1574468386,2555117568
1574468387,2555117568
1574468388,2555117568
1574468389,2556166144
1574468390,2556166144
1574468391,2556166144
1574468392,2557214720
1574468393,2557214720
1574468394,2557214720
1574468395,2558263296
1574468396,2558263296
1574468397,2559311872
1574468398,2559311872
1574468399,2559311872
1574468400,2560360448
1574468401,2560360448
1574468402,2560360448
1574468403,2561409024
1574468404,2561409024
1574468405,2561409024
1574468406,2562457600
1574468407,2562457600
1574468408,2563506176
1574468409,2563506176
1574468410,2563506176
1574468411,2564554752
1574468412,2564554752
1574468413,2564554752
1574468414,2565603328
1574468415,2565603328
1574468416,2565603328
1574468417,2566651904
1574468418,2566651904
1574468419,2566651904
1574468420,2567700480
1574468421,2567700480
1574468422,2568749056
1574468423,2568749056
1574468424,2568749056
1574468425,2569797632
1574468426,2569797632
1574468427,2569797632
1574468428,2570846208
1574468429,2570846208
1574468430,2570846208
1574468431,2571894784
1574468432,2571894784
1574468433,2571894784
1574468434,2572943360
1574468435,2572943360
1574468436,2573991936
1574468437,2573991936
1574468438,2573991936
1574468439,2575040512
1574468440,2575040512
1574468441,2575040512
1574468442,2576089088
1574468443,2576089088
1574468444,2576089088
1574468445,2577137664
1574468446,2577137664
1574468447,2577137664
1574468448,2578186240
1574468449,2578186240
1574468450,2578186240
1574468451,2579234816
1574468452,2579234816
1574468453,2580283392
1574468454,2580283392
1574468455,2580283392
1574468456,2581331968
1574468457,2581331968
1574468458,2581331968
1574468459,2582380544
1574468460,2582380544
1574468461,2582380544
1574468462,2583429120
1574468463,2583429120
1574468464,2583429120
1574468465,2584477696
1574468466,2584477696
1574468467,2584477696
1574468468,2585526272
1574468469,2585526272
1574468470,2585526272
1574468471,2586574848
1574468472,2586574848
1574468473,2587623424
1574468474,2587623424
1574468475,2587623424
1574468476,2588672000
1574468477,2588672000
1574468478,2588672000
1574468479,2589720576
1574468480,2589720576
1574468481,2589720576
1574468482,2590769152
1574468483,2590769152
1574468484,2590769152
1574468485,2591817728
1574468486,2591817728
1574468487,2591817728
1574468488,2592866304
1574468489,2592866304
1574468490,2592866304
1574468491,2593914880
1574468492,2593914880
1574468493,2593914880
1574468494,2594963456
1574468495,2594963456
1574468496,2594963456
1574468497,2596012032
1574468498,2596012032
1574468499,2596012032
1574468500,2597060608
1574468501,2597060608
1574468502,2597060608
1574468503,2598109184
1574468504,2598109184
1574468505,2598109184
1574468506,2599157760
1574468507,2599157760
1574468508,2599157760
1574468509,2600206336
1574468510,2600206336
1574468511,2600206336
1574468512,2601254912
1574468513,2601254912
1574468514,2601254912
1574468515,2602303488
1574468516,2602303488
1574468517,2602303488
1574468518,2603352064
1574468519,2603352064
1574468520,2603352064
