t,value
1574467855,38269616
1574467856,38545880
1574467857,38769976
1574467858,41462520
1574467859,41691616
1574467860,41735456
1574467861,44456568
1574467862,44467960
1574467863,44486992
1574467864,47130040
1574467865,47137528
1574467866,47144216
1574467867,47146808
1574467868,49793952
1574467869,49794848
1574467870,49825952
1574467871,52474296
1574467872,52480048
1574467873,52484080
1574467874,55127576
1574467875,55131416
1574467876,55142200
1574467877,55176864
1574467878,57836264
1574467879,57865000
1574467880,57866056
1574467881,60508464
1574467882,60512688
1574467883,60555760
1574467884,63202896
1574467885,63172856
1574467886,63204328
1574467887,65847504
1574467888,65847504
1574467889,65847504
1574467890,65848336
1574467891,68490744
1574467892,68490744
1574467893,68519416
1574467894,71161824
1574467895,71168256
1574467896,71168896
1574467897,73840136
1574467898,73859208
1574467899,73871432
1574467900,73877640
1574467901,76537424
1574467902,76538576
1574467903,76538576
1574467904,79184056
1574467905,79184056
1574467906,79205312
1574467907,81847744
1574467908,81847744
1574467909,81847744
1574467910,81851840
1574467911,84494248
1574467912,84499304
1574467913,84499304
1574467914,87141712
1574467915,87148704
1574467916,87149472
1574467917,89796808
1574467918,89798568
1574467919,89799808
1574467920,89799808
1574467921,92442312
1574467922,92442312
1574467923,92442312
1574467924,95084800
1574467925,95084800
1574467926,95084800
1574467927,97727272
1574467928,97727272
1574467929,97727272
1574467930,97727272
1574467931,100369680
1574467932,100369616
1574467933,100369616
1574467934,103012024
1574467935,103012024
1574467936,103012024
1574467937,105654480
1574467938,105654432
1574467939,105655136
1574467940,105666368
1574467941,108308776
1574467942,108308776
1574467943,108282600
1574467944,110935376
1574467945,110951696
1574467946,110954512
1574467947,113628312
1574467948,113701016
1574467949,113701016
1574467950,113701848
1574467951,116352464
1574467952,116352464
1574467953,116352464
1574467954,119003080
1574467955,119006344
1574467956,119006344
1574467957,119006344
1574467958,121656960
1574467959,121657600
1574467960,121658880
1574467961,124339624
1574467962,124344736
1574467963,124355936
1574467964,124354784
1574467965,126991704
1574467966,126991704
1574467967,126991704
1574467968,129642320
1574467969,129642320
1574467970,129571536
1574467971,132224512
1574467972,132224512
1574467973,132224512
1574467974,132224384
1574467975,134875704
1574467976,146979560
1574467977,101502072
1574467978,1182761960
1574467979,1184634600
1574467980,1189701488
1574467981,1191276528
1574467982,1196371616
1574467983,1199220920
1574467984,1201179120
1574467985,1206253968
1574467986,1209062576
1574467987,1210463088
1574467988,1214144184
1574467989,1215544712
1574467990,1216935440
1574467991,1219164200
1574467992,1220569752
1574467993,2188424832
1574467994,2223361736
1574467995,2295015776
1574467996,2369655696
1574467997,2448186056
1574467998,2239994368
1574467999,2324080968
1574468000,2416879952
1574468001,2509056536
1574468002,2257517320
1574468003,2359202368
1574468004,2455236872
1574468005,2223535352
1574468006,2333782440
1574468007,2451428024
1574468008,2208527560
1574468009,2315722568
1574468010,2437642272
1574468011,2563512904
1574468012,2325363624
1574468013,2461004488
1574468014,2202458752
1574468015,2346360416
1574468016,2484402176
1574468017,2234652624
1574468018,2386486360
1574468019,2540876480
1574468020,2295330104
1574468021,2455149880
1574468022,2213817016
1574468023,2379038456
1574468024,2560398224
1574468025,2313369064
1574468026,2496319880
1574468027,2257980368
1574468028,2455589392
1574468029,2212896240
1574468030,2404983712
1574468031,2609806104
1574468032,2384632112
1574468033,2595742560
1574468034,1299139304
1574468035,1515871816
1574468036,1298158840
1574468037,1532893168
1574468038,1338065008
1574468039,1162407880
1574468040,1390855560
1574468041,1197248920
1574468042,1440450784
1574468043,1270929968
1574468044,1525080720
1574468045,1346760224
1574468046,1174886336
1574468047,1445470736
1574468048,1278195968
1574468049,1114469808
1574468050,1395388464
1574468051,1245682400
1574468052,1537654688
1574468053,1402493968
1574468054,1256163040
1574468055,1118031904
1574468056,1431413720
1574468057,1291567336
1574468058,1162036656
1574468059,1474384032
1574468060,1360810224
1574468061,1252004312
1574468062,1150714048
1574468063,1485109496
1574468064,1367615680
1574468065,1271171104
1574468066,1158115744
1574468067,1489681520
1574468068,1408197704
1574468069,1317417032
1574468070,1222547568
1574468071,1123255112
1574468072,1479243872
1574468073,1400013608
1574468074,1332540136
1574468075,1258245384
1574468076,1215924792
1574468077,1114709664
1574468078,1501354808
1574468079,1443455496
1574468080,1388092504
1574468081,1337008208
1574468082,1281640752
1574468083,1247247976
1574468084,1203933904
1574468085,1172964144
1574468086,1202635328
1574468087,1524734512
1574468088,1509747984
1574468089,1442745192
1574468090,1408701904
1574468091,1350510776
1574468092,1310551160
1574468093,1262978712
1574468094,1219864456
1574468095,1170933064
1574468096,1556920504
1574468097,1550881008
1574468098,1487040784
1574468099,1426694120
1574468100,1397765632
1574468101,1345317280
1574468102,1293793904
1574468103,1243121456
1574468104,1174487816
1574468105,1135061200
1574468106,1541429016
1574468107,1478304272
1574468108,1439473264
1574468109,1389788008
1574468110,1344759712
1574468111,1284496536
1574468112,1230811896
1574468113,1170093376
1574468114,1569197560
1574468115,1509448744
1574468116,1465269848
1574468117,1412349832
1574468118,1344742328
1574468119,1286884120
1574468120,1225020800
1574468121,1171333136
1574468122,1119576776
1574468123,1515451952
1574468124,1456641944
1574468125,1400765216
1574468126,1341029376
1574468127,1270296176
1574468128,1213514808
1574468129,1145865104
1574468130,1556511264
1574468131,1507371496
1574468132,1419808720
1574468133,1357611496
1574468134,1277748712
1574468135,1225444904
1574468136,1186571824
1574468137,1123143104
1574468138,1485621912
1574468139,1430585368
1574468140,1377934088
1574468141,1292719640
1574468142,1236744776
1574468143,1159755976
1574468144,1559444712
1574468145,1494529752
1574468146,1423195448
1574468147,1347853888
1574468148,1277483040
1574468149,1201354472
1574468150,1133465464
1574468151,1537318840
1574468152,1465171528
1574468153,1390892512
1574468154,1316108888
1574468155,1246814280
1574468156,1192152776
1574468157,1585418512
1574468158,1495568472
1574468159,1427746656
1574468160,1355938184
1574468161,1280558464
1574468162,1196069808
1574468163,1590263424
1574468164,1539253432
1574468165,1439175176
1574468166,1361627880
1574468167,1273458224
1574468168,1195524800
1574468169,1126780424
1574468170,1508323456
1574468171,1428598144
1574468172,1358085816
1574468173,1268266728
1574468174,1189738600
1574468175,1121657240
1574468176,1506050272
1574468177,1436972480
1574468178,1339928128
1574468179,1242560224
1574468180,1174596424
1574468181,1572485280
1574468182,1484719112
1574468183,1433206656
1574468184,1308784480
1574468185,1228119264
1574468186,1134732968
1574468187,1540234776
1574468188,1452133720
1574468189,1362322800
1574468190,1276548200
1574468191,1190256448
1574468192,1601422376
1574468193,1500332080
1574468194,1416766600
1574468195,1334498960
1574468196,1272115152
1574468197,1211813640
1574468198,1145918360
1574468199,1561688936
1574468200,1489826072
1574468201,1430499824
1574468202,1364034864
1574468203,1287768040
1574468204,1216609160
1574468205,1145858096
1574468206,1577570544
1574468207,1497984008
1574468208,1429558256
1574468209,1359303520
1574468210,1283678680
1574468211,1215318472
1574468212,1142265024
1574468213,1575375400
