t,value
1574467855,5
1574467856,5
1574467857,5
1574467858,5
1574467859,5
1574467860,5
1574467861,5
1574467862,5
1574467863,5
1574467864,5
1574467865,5
1574467866,5
1574467867,5
1574467868,5
1574467869,5
1574467870,5
1574467871,5
1574467872,5
1574467873,5
1574467874,5
1574467875,5
1574467876,5
1574467877,5
1574467878,5
1574467879,5
1574467880,5
1574467881,5
1574467882,5
1574467883,5
1574467884,5
1574467885,5
1574467886,5
1574467887,5
1574467888,5
1574467889,5
1574467890,5
1574467891,5
1574467892,5
1574467893,5
1574467894,5
1574467895,5
1574467896,5
1574467897,5
1574467898,5
1574467899,5
1574467900,5
1574467901,5
1574467902,5
1574467903,5
1574467904,5
1574467905,5
1574467906,5
1574467907,5
1574467908,5
1574467909,5
1574467910,5
1574467911,5
1574467912,5
1574467913,5
1574467914,5
1574467915,5
1574467916,5
1574467917,5
1574467918,5
1574467919,5
1574467920,5
1574467921,5
1574467922,5
1574467923,5
1574467924,5
1574467925,5
1574467926,5
1574467927,5
1574467928,5
1574467929,5
1574467930,5
1574467931,5
1574467932,5
1574467933,5
1574467934,5
1574467935,5
1574467936,5
1574467937,5
1574467938,5
1574467939,5
1574467940,5
1574467941,5
1574467942,5
1574467943,5
1574467944,5
1574467945,5
1574467946,5
1574467947,5
1574467948,5
1574467949,5
1574467950,5
1574467951,5
1574467952,5
1574467953,5
1574467954,5
1574467955,5
1574467956,5
1574467957,5
1574467958,5
1574467959,5
1574467960,5
1574467961,5
1574467962,5
1574467963,5
1574467964,5
1574467965,5
1574467966,5
1574467967,5
1574467968,5
1574467969,5
1574467970,5
1574467971,5
1574467972,5
1574467973,5
1574467974,5
1574467975,5
1574467976,5
1574467977,5
1574467978,5
1574467979,5
1574467980,5
1574467981,5
1574467982,5
1574467983,5
1574467984,5
1574467985,5
1574467986,5
1574467987,5
1574467988,5
1574467989,5
1574467990,5
1574467991,5
1574467992,5
1574467993,5
1574467994,5
1574467995,5
1574467996,5
1574467997,5
1574467998,5
1574467999,21
1574468000,21
1574468001,21
1574468002,21
1574468003,21
1574468004,21
1574468005,21
1574468006,21
1574468007,21
1574468008,21
1574468009,26
1574468010,26
1574468011,26
1574468012,26
1574468013,26
1574468014,26
1574468015,26
1574468016,26
1574468017,26
1574468018,26
1574468019,26
1574468020,34
1574468021,34
1574468022,34
1574468023,34
1574468024,34
1574468025,34
1574468026,34
1574468027,34
1574468028,34
1574468029,34
1574468030,34
1574468031,41
1574468032,41
1574468033,41
1574468034,41
1574468035,41
1574468036,41
1574468037,41
1574468038,41
1574468039,41
1574468040,41
1574468041,41
1574468042,47
1574468043,47
1574468044,47
1574468045,47
1574468046,47
1574468047,47
1574468048,47
1574468049,47
1574468050,47
1574468051,55
1574468052,55
1574468053,55
1574468054,55
1574468055,55
1574468056,55
1574468057,55
1574468058,55
1574468059,55
1574468060,55
1574468061,61
1574468062,61
1574468063,61
1574468064,61
1574468065,61
1574468066,61
1574468067,61
1574468068,61
1574468069,61
1574468070,61
1574468071,67
1574468072,67
1574468073,67
1574468074,67
1574468075,67
1574468076,67
1574468077,67
1574468078,67
1574468079,67
1574468080,67
1574468081,74
1574468082,74
1574468083,74
1574468084,74
1574468085,74
1574468086,74
1574468087,74
1574468088,74
1574468089,74
1574468090,74
1574468091,76
1574468092,76
1574468093,76
1574468094,76
1574468095,76
1574468096,76
1574468097,76
1574468098,76
1574468099,76
1574468100,76
1574468101,76
1574468102,76
1574468103,76
1574468104,76
1574468105,76
1574468106,76
1574468107,76
1574468108,76
1574468109,76
1574468110,76
1574468111,76
1574468112,76
1574468113,76
1574468114,76
1574468115,76
1574468116,76
1574468117,76
1574468118,76
1574468119,76
1574468120,76
1574468121,76
1574468122,76
1574468123,76
1574468124,76
1574468125,76
1574468126,76
1574468127,76
1574468128,76
1574468129,76
1574468130,76
1574468131,76
1574468132,76
1574468133,76
1574468134,76
1574468135,76
1574468136,76
1574468137,76
1574468138,76
1574468139,76
1574468140,76
1574468141,76
1574468142,76
1574468143,76
1574468144,76
1574468145,76
1574468146,76
1574468147,76
1574468148,76
1574468149,76
1574468150,76
1574468151,76
1574468152,76
1574468153,76
1574468154,76
1574468155,76
1574468156,76
1574468157,76
1574468158,76
1574468159,76
1574468160,76
1574468161,76
1574468162,76
1574468163,76
1574468164,76
1574468165,76
1574468166,76
1574468167,76
1574468168,76
1574468169,76
1574468170,76
1574468171,76
1574468172,76
1574468173,76
1574468174,76
1574468175,76
1574468176,76
1574468177,76
1574468178,76
1574468179,76
1574468180,76
1574468181,76
1574468182,76
1574468183,76
1574468184,76
1574468185,76
1574468186,76
1574468187,76
1574468188,76
1574468189,76
1574468190,76
1574468191,76
1574468192,76
1574468193,76
1574468194,76
1574468195,76
1574468196,76
1574468197,76
1574468198,76
1574468199,76
1574468200,76
1574468201,76
1574468202,76
1574468203,76
1574468204,76
1574468205,76
1574468206,76
1574468207,76
1574468208,76
1574468209,76
1574468210,76
1574468211,76
1574468212,76
1574468213,76
1574468214,76
1574468215,76
1574468216,76
1574468217,76
1574468218,76
1574468219,76
1574468220,76
1574468221,76
1574468222,76
1574468223,76
1574468224,76
1574468225,76
1574468226,76
1574468227,76
1574468228,76
1574468229,76
1574468230,76
1574468231,76
1574468232,76
1574468233,76
1574468234,76
1574468235,76
1574468236,76
1574468237,76
1574468238,76
1574468239,76
1574468240,76
1574468241,76
1574468242,76
1574468243,76
1574468244,76
1574468245,76
1574468246,76
1574468247,76
1574468248,76
1574468249,76
1574468250,76
1574468251,76
1574468252,76
1574468253,76
1574468254,76
1574468255,76
1574468256,76
1574468257,76
1574468258,76
1574468259,76
1574468260,76
1574468261,76
1574468262,76
1574468263,76
1574468264,76
1574468265,76
1574468266,76
1574468267,76
1574468268,76
1574468269,76
1574468270,76
1574468271,76
1574468272,76
1574468273,76
1574468274,76
1574468275,76
1574468276,76
1574468277,76
1574468278,76
1574468279,76
1574468280,76
1574468281,76
1574468282,76
1574468283,76
1574468284,76
1574468285,76
1574468286,76
1574468287,76
1574468288,76
1574468289,76
1574468290,76
1574468291,76
1574468292,76
1574468293,76
1574468294,76
1574468295,76
1574468296,76
1574468297,76
1574468298,76
1574468299,76
1574468300,76
1574468301,76
1574468302,76
1574468303,76
1574468304,76
1574468305,76
1574468306,76
1574468307,76
1574468308,76
1574468309,76
1574468310,76
1574468311,76
1574468312,76
1574468313,76
1574468314,76
1574468315,76
1574468316,76
1574468317,76
1574468318,76
1574468319,76
1574468320,76
1574468321,76
1574468322,76
1574468323,76
1574468324,76
1574468325,76
1574468326,76
1574468327,76
1574468328,76
1574468329,76
1574468330,76
1574468331,76
1574468332,76
1574468333,76
1574468334,76
1574468335,76
1574468336,76
1574468337,76
1574468338,76
1574468339,76
1574468340,76
1574468341,76
1574468342,76
1574468343,76
1574468344,76
1574468345,76
1574468346,76
1574468347,76
1574468348,76
1574468349,76
1574468350,76
1574468351,76
1574468352,76
1574468353,76
1574468354,76
1574468355,76
1574468356,76
1574468357,76
1574468358,76
1574468359,76
1574468360,76
1574468361,76
1574468362,76
1574468363,76
1574468364,76
1574468365,76
1574468366,76
1574468367,76
1574468368,76
1574468369,76
1574468370,76
1574468371,76
1574468372,76
1574468373,76
1574468374,76
1574468375,76
1574468376,76
1574468377,76
1574468378,76
1574468379,76
1574468380,75
1574468381,75
1574468382,75
1574468383,75
1574468384,75
1574468385,75
1574468386,75
1574468387,75
1574468388,75
1574468389,75
1574468390,76
1574468391,76
1574468392,76
1574468393,76
1574468394,76
1574468395,76
1574468396,76
1574468397,76
1574468398,76
1574468399,76
1574468400,76
1574468401,76
1574468402,76
1574468403,76
1574468404,76
1574468405,76
1574468406,76
1574468407,76
1574468408,76
1574468409,76
1574468410,76
1574468411,76
1574468412,76
1574468413,76
1574468414,76
1574468415,76
1574468416,76
1574468417,76
1574468418,76
1574468419,76
1574468420,76
1574468421,76
1574468422,76
1574468423,76
1574468424,76
1574468425,76
1574468426,76
1574468427,76
1574468428,76
1574468429,76
1574468430,76
1574468431,76
1574468432,76
1574468433,76
1574468434,76
1574468435,76
1574468436,76
1574468437,76
1574468438,76
1574468439,76
1574468440,76
1574468441,76
1574468442,76
1574468443,76
1574468444,76
1574468445,76
1574468446,76
1574468447,76
1574468448,76
1574468449,76
1574468450,76
1574468451,76
1574468452,76
1574468453,76
1574468454,76
1574468455,76
1574468456,76
1574468457,76
1574468458,76
1574468459,76
1574468460,76
1574468461,76
1574468462,76
1574468463,76
1574468464,76
1574468465,76
1574468466,76
1574468467,76
1574468468,76
1574468469,76
1574468470,76
1574468471,76
1574468472,76
1574468473,76
1574468474,76
1574468475,76
1574468476,76
1574468477,76
1574468478,76
1574468479,76
1574468480,76
1574468481,76
1574468482,76
1574468483,76
1574468484,76
1574468485,76
1574468486,76
1574468487,76
1574468488,76
1574468489,76
1574468490,76
1574468491,76
1574468492,76
1574468493,76
1574468494,76
1574468495,76
1574468496,76
1574468497,76
1574468498,76
1574468499,76
1574468500,76
1574468501,76
1574468502,76
1574468503,76
1574468504,76
1574468505,76
1574468506,76
1574468507,76
1574468508,76
1574468509,76
1574468510,76
1574468511,76
1574468512,76
1574468513,76
1574468514,76
1574468515,76
1574468516,76
1574468517,76
1574468518,76
1574468519,76
1574468520,76
1574468521,76
1574468522,76
1574468523,76
1574468524,76
1574468525,76
1574468526,76
1574468527,76
1574468528,76
1574468529,76
1574468530,76
1574468531,76
1574468532,76
1574468533,76
1574468534,76
1574468535,76
1574468536,76
1574468537,76
1574468538,76
1574468539,76
1574468540,76
1574468541,76
1574468542,76
1574468543,76
1574468544,76
1574468545,76
1574468546,76
1574468547,76
1574468548,76
1574468549,76
1574468550,76
1574468551,76
1574468552,76
1574468553,76
1574468554,76
1574468555,76
1574468556,76
1574468557,76
1574468558,76
1574468559,76
1574468560,76
1574468561,76
1574468562,76
1574468563,76
1574468564,76
1574468565,76
1574468566,76
1574468567,76
1574468568,76
1574468569,76
1574468570,76
1574468571,76
1574468572,76
1574468573,76
1574468574,76
1574468575,76
1574468576,76
1574468577,76
1574468578,76
1574468579,76
1574468580,76
1574468581,76
1574468582,76
1574468583,76
1574468584,76
1574468585,76
1574468586,76
1574468587,76
1574468588,76
1574468589,76
1574468590,76
1574468591,76
1574468592,76
1574468593,76
1574468594,76
1574468595,76
1574468596,76
1574468597,76
1574468598,76
1574468599,76
1574468600,76
1574468601,76
1574468602,76
1574468603,76
1574468604,76
1574468605,76
1574468606,76
1574468607,76
1574468608,76
1574468609,76
1574468610,76
1574468611,76
1574468612,76
1574468613,76
1574468614,76
1574468615,76
1574468616,76
1574468617,76
1574468618,76
1574468619,76
1574468620,76
1574468621,76
1574468622,76
1574468623,76
1574468624,76
1574468625,76
1574468626,76
1574468627,76
1574468628,76
1574468629,76
1574468630,76
1574468631,76
1574468632,76
1574468633,76
1574468634,76
1574468635,76
1574468636,76
1574468637,76
1574468638,76
1574468639,76
1574468640,76
1574468641,76
1574468642,76
1574468643,76
1574468644,76
1574468645,76
1574468646,76
1574468647,76
1574468648,76
1574468649,76
1574468650,76
1574468651,76
1574468652,76
1574468653,76
1574468654,76
1574468655,76
1574468656,76
1574468657,76
1574468658,76
1574468659,76
1574468660,76
1574468661,76
1574468662,76
1574468663,76
1574468664,76
1574468665,76
1574468666,76
1574468667,76
1574468668,76
1574468669,76
1574468670,76
1574468671,76
1574468672,76
1574468673,76
1574468674,76
1574468675,76
1574468676,76
1574468677,76
1574468678,76
1574468679,76
1574468680,76
1574468681,76
1574468682,76
1574468683,76
1574468684,76
1574468685,76
1574468686,76
1574468687,76
1574468688,76
1574468689,76
1574468690,76
1574468691,76
1574468692,76
1574468693,76
1574468694,76
1574468695,76
1574468696,76
1574468697,76
1574468698,76
1574468699,76
1574468700,76
1574468701,76
1574468702,76
1574468703,76
1574468704,76
1574468705,76
1574468706,76
1574468707,76
1574468708,76
1574468709,76
1574468710,76
1574468711,76
1574468712,76
1574468713,76
1574468714,76
1574468715,76
1574468716,76
1574468717,76
1574468718,76
1574468719,76
1574468720,76
1574468721,76
1574468722,76
1574468723,76
1574468724,76
1574468725,76
1574468726,76
1574468727,76
1574468728,76
1574468729,76
1574468730,76
1574468731,76
1574468732,76
1574468733,76
1574468734,76
1574468735,76
1574468736,76
1574468737,76
1574468738,76
1574468739,76
1574468740,76
1574468741,76
1574468742,76
1574468743,76
1574468744,76
1574468745,76
1574468746,76
1574468747,76
1574468748,76
1574468749,76
1574468750,76
1574468751,76
1574468752,76
1574468753,76
1574468754,76
1574468755,76
1574468756,76
1574468757,76
1574468758,76
1574468759,76
1574468760,76
1574468761,76
1574468762,76
1574468763,76
1574468764,76
1574468765,76
1574468766,76
1574468767,76
1574468768,76
1574468769,76
1574468770,76
1574468771,76
1574468772,76
1574468773,76
1574468774,76
1574468775,76
1574468776,76
1574468777,76
1574468778,76
1574468779,76
1574468780,76
1574468781,76
1574468782,76
1574468783,76
1574468784,76
1574468785,76
1574468786,76
1574468787,76
1574468788,76
1574468789,76
1574468790,76
1574468791,76
1574468792,76
1574468793,76
1574468794,76
1574468795,76
1574468796,76
1574468797,76
1574468798,76
1574468799,76
1574468800,76
1574468801,76
1574468802,76
1574468803,76
1574468804,76
1574468805,76
1574468806,76
1574468807,76
1574468808,76
1574468809,76
1574468810,76
1574468811,76
1574468812,76
1574468813,76
1574468814,76
1574468815,76
1574468816,76
1574468817,76
1574468818,76
1574468819,76
1574468820,76
1574468821,76
1574468822,76
1574468823,76
1574468824,76
1574468825,76
1574468826,76
1574468827,76
1574468828,76
1574468829,76
1574468830,76
1574468831,76
1574468832,76
1574468833,76
1574468834,76
1574468835,76
1574468836,76
1574468837,76
1574468838,76
1574468839,76
1574468840,76
1574468841,76
1574468842,76
1574468843,76
1574468844,76
1574468845,76
1574468846,76
1574468847,76
1574468848,76
1574468849,76
1574468850,76
1574468851,76
1574468852,76
1574468853,76
1574468854,76
1574468855,76
1574468856,76
1574468857,76
1574468858,76
1574468859,76
1574468860,76
1574468861,76
1574468862,76
1574468863,76
1574468864,76
1574468865,76
1574468866,76
1574468867,76
1574468868,76
1574468869,76
1574468870,76
1574468871,76
1574468872,76
1574468873,76
1574468874,76
1574468875,76
1574468876,76
1574468877,76
1574468878,76
1574468879,76
1574468880,76
1574468881,76
1574468882,76
1574468883,76
1574468884,76
1574468885,76
1574468886,76
1574468887,76
1574468888,76
1574468889,76
1574468890,76
1574468891,76
1574468892,76
1574468893,76
1574468894,76
1574468895,76
1574468896,76
1574468897,76
1574468898,76
1574468899,76
1574468900,76
1574468901,76
1574468902,76
1574468903,76
1574468904,76
1574468905,76
1574468906,76
1574468907,76
1574468908,76
1574468909,76
1574468910,76
1574468911,76
1574468912,76
1574468913,76
1574468914,76
1574468915,76
1574468916,76
1574468917,76
1574468918,76
1574468919,76
1574468920,76
1574468921,76
1574468922,76
1574468923,76
1574468924,76
1574468925,76
1574468926,76
1574468927,76
1574468928,76
1574468929,76
1574468930,76
1574468931,76
1574468932,76
1574468933,76
1574468934,76
1574468935,76
1574468936,76
1574468937,76
1574468938,76
1574468939,76
1574468940,76
1574468941,76
1574468942,76
1574468943,76
1574468944,76
1574468945,76
1574468946,76
1574468947,76
1574468948,76
1574468949,76
1574468950,76
1574468951,76
1574468952,76
1574468953,76
1574468954,76
1574468955,76
1574468956,76
1574468957,76
1574468958,76
1574468959,76
1574468960,76
1574468961,76
1574468962,76
1574468963,76
1574468964,76
1574468965,76
1574468966,76
1574468967,76
1574468968,76
1574468969,76
1574468970,76
1574468971,76
1574468972,76
1574468973,76
1574468974,76
1574468975,76
1574468976,76
1574468977,76
1574468978,76
1574468979,76
1574468980,76
1574468981,76
1574468982,76
1574468983,76
1574468984,76
1574468985,76
1574468986,76
1574468987,76
1574468988,76
1574468989,76
1574468990,76
1574468991,76
1574468992,76
1574468993,76
1574468994,76
1574468995,76
1574468996,76
1574468997,76
1574468998,76
1574468999,76
1574469000,76
1574469001,76
1574469002,76
1574469003,76
1574469004,76
1574469005,76
1574469006,76
1574469007,76
1574469008,76
1574469009,76
1574469010,76
1574469011,76
1574469012,76
1574469013,76
1574469014,76
1574469015,76
1574469016,76
1574469017,76
1574469018,76
1574469019,76
1574469020,76
1574469021,76
1574469022,76
1574469023,76
1574469024,76
1574469025,76
1574469026,76
1574469027,76
1574469028,76
1574469029,76
1574469030,76
1574469031,76
1574469032,76
1574469033,76
1574469034,76
1574469035,76
1574469036,76
1574469037,76
1574469038,76
1574469039,76
