t,value
1574467855,1
1574467856,1
1574467857,1
1574467858,1
1574467859,1
1574467860,1
1574467861,1
1574467862,1
1574467863,1
1574467864,1
1574467865,1
1574467866,1
1574467867,1
1574467868,1
1574467869,1
1574467870,1
1574467871,1
1574467872,1
1574467873,1
1574467874,1
1574467875,1
1574467876,1
1574467877,1
1574467878,1
1574467879,1
1574467880,1
1574467881,1
1574467882,1
1574467883,1
1574467884,1
1574467885,1
1574467886,1
1574467887,1
1574467888,1
1574467889,1
1574467890,1
1574467891,1
1574467892,1
1574467893,1
1574467894,1
1574467895,1
1574467896,1
1574467897,1
1574467898,1
1574467899,1
1574467900,1
1574467901,1
1574467902,1
1574467903,1
1574467904,1
1574467905,1
1574467906,1
1574467907,1
1574467908,1
1574467909,1
1574467910,1
1574467911,1
1574467912,1
1574467913,1
1574467914,1
1574467915,1
1574467916,1
1574467917,1
1574467918,1
1574467919,1
1574467920,1
1574467921,1
1574467922,1
1574467923,1
1574467924,1
1574467925,1
1574467926,1
1574467927,1
1574467928,1
1574467929,1
1574467930,1
1574467931,1
1574467932,1
1574467933,1
1574467934,1
1574467935,1
1574467936,1
1574467937,1
1574467938,1
1574467939,1
1574467940,1
1574467941,1
1574467942,1
1574467943,1
1574467944,1
1574467945,1
1574467946,1
1574467947,1
1574467948,1
1574467949,1
1574467950,1
1574467951,1
1574467952,1
1574467953,1
1574467954,1
1574467955,1
1574467956,1
1574467957,1
1574467958,1
1574467959,1
1574467960,1
1574467961,1
1574467962,1
1574467963,1
1574467964,1
1574467965,1
1574467966,1
1574467967,1
1574467968,1
1574467969,1
1574467970,1
1574467971,1
1574467972,1
1574467973,1
1574467974,1
1574467975,1
1574467976,1
1574467977,1
1574467978,4
1574467979,4
1574467980,4
1574467981,4
1574467982,4
1574467983,4
1574467984,4
1574467985,4
1574467986,4
1574467987,4
1574467988,4
1574467989,4
1574467990,4
1574467991,4
1574467992,4
1574467993,4
1574467994,4
1574467995,4
1574467996,4
1574467997,4
1574467998,4
1574467999,4
1574468000,4
1574468001,4
1574468002,4
1574468003,4
1574468004,4
1574468005,4
1574468006,4
1574468007,4
1574468008,4
1574468009,4
1574468010,4
1574468011,4
1574468012,4
1574468013,4
1574468014,4
1574468015,4
1574468016,4
1574468017,4
1574468018,4
1574468019,4
1574468020,4
1574468021,4
1574468022,4
1574468023,4
1574468024,4
1574468025,4
1574468026,4
1574468027,4
1574468028,4
1574468029,4
1574468030,4
1574468031,4
1574468032,4
1574468033,4
1574468034,4
1574468035,4
1574468036,4
1574468037,4
1574468038,4
1574468039,4
1574468040,4
1574468041,2
1574468042,2
1574468043,2
1574468044,2
1574468045,2
1574468046,2
1574468047,2
1574468048,2
1574468049,2
1574468050,2
1574468051,2
1574468052,2
1574468053,2
1574468054,2
1574468055,2
1574468056,2
1574468057,2
1574468058,2
1574468059,2
1574468060,2
1574468061,2
1574468062,2
1574468063,2
1574468064,2
1574468065,2
1574468066,2
1574468067,2
1574468068,2
1574468069,2
1574468070,2
1574468071,2
1574468072,2
1574468073,2
1574468074,2
1574468075,2
1574468076,2
1574468077,2
1574468078,2
1574468079,2
1574468080,2
1574468081,2
1574468082,2
1574468083,2
1574468084,2
1574468085,2
1574468086,2
1574468087,2
1574468088,2
1574468089,2
1574468090,2
1574468091,2
1574468092,2
1574468093,2
1574468094,2
1574468095,2
1574468096,2
1574468097,2
1574468098,2
1574468099,2
1574468100,2
1574468101,2
1574468102,2
1574468103,2
1574468104,2
1574468105,2
1574468106,2
1574468107,2
1574468108,2
1574468109,2
1574468110,2
1574468111,2
1574468112,2
1574468113,2
1574468114,2
1574468115,2
1574468116,2
1574468117,2
1574468118,2
1574468119,2
1574468120,2
1574468121,2
1574468122,2
1574468123,2
1574468124,2
1574468125,2
1574468126,2
1574468127,2
1574468128,2
1574468129,2
1574468130,2
1574468131,2
1574468132,2
1574468133,2
1574468134,2
1574468135,2
1574468136,2
1574468137,2
1574468138,2
1574468139,2
1574468140,2
1574468141,2
1574468142,2
1574468143,2
1574468144,2
1574468145,2
1574468146,2
1574468147,2
1574468148,2
1574468149,2
1574468150,2
1574468151,2
1574468152,2
1574468153,2
1574468154,2
1574468155,2
1574468156,2
1574468157,2
1574468158,2
1574468159,2
1574468160,2
1574468161,2
1574468162,2
1574468163,2
1574468164,2
1574468165,2
1574468166,2
1574468167,2
1574468168,2
1574468169,2
1574468170,2
1574468171,2
1574468172,2
1574468173,2
1574468174,2
1574468175,2
1574468176,2
1574468177,2
1574468178,2
1574468179,2
1574468180,2
1574468181,2
1574468182,2
1574468183,2
1574468184,2
1574468185,2
1574468186,2
1574468187,2
1574468188,2
1574468189,2
1574468190,2
1574468191,2
1574468192,2
1574468193,2
1574468194,2
1574468195,2
1574468196,2
1574468197,2
1574468198,2
1574468199,2
1574468200,2
1574468201,2
1574468202,2
1574468203,2
1574468204,2
1574468205,2
1574468206,2
1574468207,2
1574468208,2
1574468209,2
1574468210,2
1574468211,2
1574468212,2
1574468213,2
1574468214,2
1574468215,2
1574468216,2
1574468217,2
1574468218,2
1574468219,2
1574468220,2
1574468221,2
1574468222,2
1574468223,2
1574468224,2
1574468225,2
1574468226,2
1574468227,2
1574468228,2
1574468229,2
1574468230,2
1574468231,2
1574468232,2
1574468233,2
1574468234,2
1574468235,2
1574468236,2
1574468237,2
1574468238,2
1574468239,2
1574468240,2
1574468241,2
1574468242,2
1574468243,2
1574468244,2
1574468245,2
1574468246,2
1574468247,2
1574468248,2
1574468249,2
1574468250,2
1574468251,2
1574468252,2
1574468253,2
1574468254,2
1574468255,2
1574468256,2
1574468257,2
1574468258,2
1574468259,2
1574468260,2
1574468261,2
1574468262,2
1574468263,2
1574468264,2
1574468265,2
1574468266,2
1574468267,2
1574468268,2
1574468269,2
1574468270,2
1574468271,2
1574468272,2
1574468273,2
1574468274,2
1574468275,2
1574468276,2
1574468277,2
1574468278,2
1574468279,2
1574468280,2
1574468281,2
1574468282,2
1574468283,2
1574468284,2
1574468285,2
1574468286,2
1574468287,2
1574468288,2
1574468289,2
1574468290,2
1574468291,2
1574468292,2
1574468293,2
1574468294,2
1574468295,2
1574468296,2
1574468297,2
1574468298,2
1574468299,2
1574468300,2
1574468301,2
1574468302,2
1574468303,2
1574468304,2
1574468305,2
1574468306,2
1574468307,2
1574468308,2
1574468309,2
1574468310,2
1574468311,2
1574468312,2
1574468313,2
1574468314,2
1574468315,2
1574468316,2
1574468317,2
1574468318,2
1574468319,2
1574468320,2
1574468321,2
1574468322,2
1574468323,2
1574468324,2
1574468325,2
1574468326,2
1574468327,2
1574468328,2
1574468329,2
1574468330,2
1574468331,2
1574468332,2
1574468333,2
1574468334,2
1574468335,2
1574468336,2
1574468337,2
1574468338,2
1574468339,2
1574468340,2
1574468341,2
1574468342,2
1574468343,2
1574468344,2
1574468345,2
1574468346,2
1574468347,2
1574468348,2
1574468349,2
1574468350,2
1574468351,2
1574468352,2
1574468353,2
1574468354,2
1574468355,2
1574468356,2
1574468357,2
1574468358,2
1574468359,2
1574468360,2
1574468361,2
1574468362,2
1574468363,2
1574468364,2
1574468365,2
1574468366,2
1574468367,2
1574468368,2
1574468369,2
1574468370,2
1574468371,2
1574468372,2
1574468373,2
1574468374,2
1574468375,2
1574468376,2
1574468377,2
1574468378,2
1574468379,2
1574468380,2
1574468381,2
1574468382,2
1574468383,2
1574468384,2
1574468385,2
1574468386,2
1574468387,2
1574468388,2
1574468389,2
1574468390,2
1574468391,2
1574468392,2
1574468393,2
1574468394,2
1574468395,2
1574468396,2
1574468397,2
1574468398,2
1574468399,2
1574468400,2
1574468401,2
1574468402,2
1574468403,2
1574468404,2
1574468405,2
1574468406,2
1574468407,2
1574468408,2
1574468409,2
1574468410,2
1574468411,2
1574468412,2
1574468413,2
1574468414,2
1574468415,2
1574468416,2
1574468417,2
1574468418,2
1574468419,2
1574468420,2
1574468421,2
1574468422,2
1574468423,2
1574468424,2
1574468425,2
1574468426,2
1574468427,2
1574468428,2
1574468429,2
1574468430,2
1574468431,2
1574468432,2
1574468433,2
1574468434,2
1574468435,2
1574468436,2
1574468437,2
1574468438,2
1574468439,2
1574468440,2
1574468441,2
1574468442,2
1574468443,2
1574468444,2
1574468445,2
1574468446,2
1574468447,2
1574468448,2
1574468449,2
1574468450,2
1574468451,2
1574468452,2
1574468453,2
1574468454,2
1574468455,2
1574468456,2
1574468457,2
1574468458,2
1574468459,2
1574468460,2
1574468461,2
1574468462,2
1574468463,2
1574468464,2
1574468465,2
1574468466,2
1574468467,2
1574468468,2
1574468469,2
1574468470,2
1574468471,2
1574468472,2
1574468473,2
1574468474,2
1574468475,2
1574468476,2
1574468477,2
1574468478,2
1574468479,2
1574468480,2
1574468481,2
1574468482,2
1574468483,2
1574468484,2
1574468485,2
1574468486,2
1574468487,2
1574468488,2
1574468489,2
1574468490,2
1574468491,2
1574468492,2
1574468493,2
1574468494,2
1574468495,2
1574468496,2
1574468497,2
1574468498,2
1574468499,2
1574468500,2
1574468501,2
1574468502,2
1574468503,2
1574468504,2
1574468505,2
1574468506,2
1574468507,2
1574468508,2
1574468509,2
1574468510,2
1574468511,2
1574468512,2
1574468513,2
1574468514,2
1574468515,2
1574468516,2
1574468517,2
1574468518,2
1574468519,2
1574468520,2
1574468521,2
1574468522,2
1574468523,2
1574468524,2
1574468525,2
1574468526,2
1574468527,2
1574468528,2
1574468529,2
1574468530,2
1574468531,2
1574468532,2
1574468533,2
1574468534,2
1574468535,2
1574468536,2
1574468537,2
1574468538,2
1574468539,2
1574468540,2
1574468541,2
1574468542,2
1574468543,2
1574468544,2
1574468545,2
1574468546,2
1574468547,2
1574468548,2
1574468549,2
1574468550,2
1574468551,2
1574468552,2
1574468553,2
1574468554,2
1574468555,2
1574468556,2
1574468557,2
1574468558,2
1574468559,2
1574468560,2
1574468561,2
1574468562,2
1574468563,2
1574468564,2
1574468565,2
1574468566,2
1574468567,2
1574468568,2
1574468569,2
1574468570,2
1574468571,2
1574468572,2
1574468573,2
1574468574,2
1574468575,2
1574468576,2
1574468577,2
1574468578,2
1574468579,2
1574468580,2
1574468581,2
1574468582,2
1574468583,2
1574468584,2
1574468585,2
1574468586,2
1574468587,2
1574468588,2
1574468589,2
1574468590,2
1574468591,2
1574468592,2
1574468593,2
1574468594,2
1574468595,2
1574468596,2
1574468597,2
1574468598,2
1574468599,2
1574468600,2
1574468601,2
1574468602,2
1574468603,2
1574468604,2
1574468605,2
1574468606,2
1574468607,2
1574468608,2
1574468609,2
1574468610,2
1574468611,2
1574468612,2
1574468613,2
1574468614,2
1574468615,2
1574468616,2
1574468617,2
1574468618,2
1574468619,2
1574468620,2
1574468621,2
1574468622,2
1574468623,2
1574468624,2
1574468625,2
1574468626,2
1574468627,2
1574468628,2
1574468629,2
1574468630,2
1574468631,2
1574468632,2
1574468633,2
1574468634,2
1574468635,2
1574468636,2
1574468637,2
1574468638,2
1574468639,2
1574468640,2
1574468641,2
1574468642,2
1574468643,2
1574468644,2
1574468645,2
1574468646,2
1574468647,2
1574468648,2
1574468649,2
1574468650,2
1574468651,2
1574468652,2
1574468653,2
1574468654,2
1574468655,2
1574468656,2
1574468657,2
1574468658,2
1574468659,2
1574468660,2
1574468661,2
1574468662,2
1574468663,2
1574468664,2
1574468665,2
1574468666,2
1574468667,2
1574468668,2
1574468669,2
1574468670,2
1574468671,2
1574468672,2
1574468673,2
1574468674,2
1574468675,2
1574468676,2
1574468677,2
1574468678,2
1574468679,2
1574468680,2
1574468681,2
1574468682,2
1574468683,2
1574468684,2
1574468685,2
1574468686,2
1574468687,2
1574468688,2
1574468689,2
1574468690,2
1574468691,2
1574468692,2
1574468693,2
1574468694,2
1574468695,2
1574468696,2
1574468697,2
1574468698,2
1574468699,2
1574468700,2
1574468701,2
1574468702,2
1574468703,2
1574468704,2
1574468705,2
1574468706,2
1574468707,2
1574468708,2
1574468709,2
1574468710,2
1574468711,2
1574468712,2
1574468713,2
1574468714,2
1574468715,2
1574468716,2
1574468717,2
1574468718,2
1574468719,2
1574468720,2
1574468721,2
1574468722,2
1574468723,2
1574468724,2
1574468725,2
1574468726,2
1574468727,2
1574468728,2
1574468729,2
1574468730,2
1574468731,2
1574468732,2
1574468733,2
1574468734,2
1574468735,2
1574468736,2
1574468737,2
1574468738,2
1574468739,2
1574468740,2
1574468741,2
1574468742,2
1574468743,2
1574468744,2
1574468745,2
1574468746,2
1574468747,2
1574468748,2
1574468749,2
1574468750,2
1574468751,2
1574468752,2
1574468753,2
1574468754,2
1574468755,2
1574468756,2
1574468757,2
1574468758,2
1574468759,2
1574468760,2
1574468761,2
1574468762,2
1574468763,2
1574468764,2
1574468765,2
1574468766,2
1574468767,2
1574468768,2
1574468769,2
1574468770,2
1574468771,2
1574468772,2
1574468773,2
1574468774,2
1574468775,2
1574468776,2
1574468777,2
1574468778,2
1574468779,2
1574468780,2
1574468781,2
1574468782,2
1574468783,2
1574468784,2
1574468785,2
1574468786,2
1574468787,2
1574468788,2
1574468789,2
1574468790,2
1574468791,2
1574468792,2
1574468793,2
1574468794,2
1574468795,2
1574468796,2
1574468797,2
1574468798,2
1574468799,2
1574468800,2
1574468801,2
1574468802,2
1574468803,2
1574468804,2
1574468805,2
1574468806,2
1574468807,2
1574468808,2
1574468809,2
1574468810,2
1574468811,2
1574468812,2
1574468813,2
1574468814,2
1574468815,2
1574468816,2
1574468817,2
1574468818,2
1574468819,2
1574468820,2
1574468821,2
1574468822,2
1574468823,2
1574468824,2
1574468825,2
1574468826,2
1574468827,2
1574468828,2
1574468829,2
1574468830,2
1574468831,2
1574468832,2
1574468833,2
1574468834,2
1574468835,2
1574468836,2
1574468837,2
1574468838,2
1574468839,2
1574468840,2
1574468841,2
1574468842,2
1574468843,2
1574468844,2
1574468845,2
1574468846,2
1574468847,2
1574468848,2
1574468849,2
1574468850,2
1574468851,2
1574468852,2
1574468853,2
1574468854,2
1574468855,2
1574468856,2
1574468857,2
1574468858,2
1574468859,2
1574468860,2
1574468861,2
1574468862,2
1574468863,2
1574468864,2
1574468865,2
1574468866,2
1574468867,2
1574468868,2
1574468869,2
1574468870,2
1574468871,2
1574468872,2
1574468873,2
1574468874,2
1574468875,2
1574468876,2
1574468877,2
1574468878,2
1574468879,2
1574468880,2
1574468881,2
1574468882,2
1574468883,2
1574468884,2
1574468885,2
1574468886,2
1574468887,2
1574468888,2
1574468889,2
1574468890,2
1574468891,2
1574468892,2
1574468893,2
1574468894,2
1574468895,2
1574468896,2
1574468897,2
1574468898,2
1574468899,2
1574468900,2
1574468901,2
1574468902,2
1574468903,2
1574468904,2
1574468905,2
1574468906,2
1574468907,2
1574468908,2
1574468909,2
1574468910,2
1574468911,2
1574468912,2
1574468913,2
1574468914,2
1574468915,2
1574468916,2
1574468917,2
1574468918,2
1574468919,2
1574468920,2
1574468921,2
1574468922,2
1574468923,2
1574468924,2
1574468925,2
1574468926,2
1574468927,2
1574468928,2
1574468929,2
1574468930,2
1574468931,2
1574468932,2
1574468933,2
1574468934,2
1574468935,2
1574468936,2
1574468937,2
1574468938,2
1574468939,2
1574468940,2
1574468941,2
1574468942,2
1574468943,2
1574468944,2
1574468945,2
1574468946,2
1574468947,2
1574468948,2
1574468949,2
1574468950,2
1574468951,2
1574468952,2
1574468953,2
1574468954,2
1574468955,2
1574468956,2
1574468957,2
1574468958,2
1574468959,2
1574468960,2
1574468961,2
1574468962,2
1574468963,2
1574468964,2
1574468965,2
1574468966,2
1574468967,2
1574468968,2
1574468969,2
1574468970,2
1574468971,2
1574468972,2
1574468973,2
1574468974,2
1574468975,2
1574468976,2
1574468977,2
1574468978,2
1574468979,2
1574468980,2
1574468981,2
1574468982,2
1574468983,2
1574468984,2
1574468985,2
1574468986,2
1574468987,2
1574468988,2
1574468989,2
1574468990,2
1574468991,2
1574468992,2
1574468993,2
1574468994,2
1574468995,2
1574468996,2
1574468997,2
1574468998,2
1574468999,2
1574469000,2
1574469001,2
1574469002,2
1574469003,2
1574469004,2
1574469005,2
1574469006,2
1574469007,2
1574469008,2
1574469009,2
1574469010,2
1574469011,2
1574469012,2
1574469013,2
1574469014,2
1574469015,2
1574469016,2
1574469017,2
1574469018,2
1574469019,2
1574469020,2
1574469021,2
1574469022,2
1574469023,2
1574469024,2
1574469025,2
1574469026,2
1574469027,2
