t,value
1574467855,2
1574467856,2
1574467857,2
1574467858,2
1574467859,2
1574467860,2
1574467861,2
1574467862,2
1574467863,2
1574467864,2
1574467865,2
1574467866,2
1574467867,2
1574467868,2
1574467869,2
1574467870,2
1574467871,2
1574467872,2
1574467873,2
1574467874,2
1574467875,2
1574467876,2
1574467877,2
1574467878,2
1574467879,2
1574467880,2
1574467881,2
1574467882,2
1574467883,2
1574467884,2
1574467885,2
1574467886,2
1574467887,2
1574467888,2
1574467889,2
1574467890,2
1574467891,2
1574467892,2
1574467893,2
1574467894,2
1574467895,2
1574467896,2
1574467897,2
1574467898,2
1574467899,2
1574467900,2
1574467901,2
1574467902,2
1574467903,2
1574467904,2
1574467905,2
1574467906,2
1574467907,2
1574467908,2
1574467909,2
1574467910,2
1574467911,2
1574467912,2
1574467913,2
1574467914,2
1574467915,2
1574467916,2
1574467917,2
1574467918,2
1574467919,2
1574467920,2
1574467921,2
1574467922,2
1574467923,2
1574467924,2
1574467925,2
1574467926,2
1574467927,2
1574467928,2
1574467929,2
1574467930,2
1574467931,2
1574467932,2
1574467933,2
1574467934,2
1574467935,2
1574467936,2
1574467937,2
1574467938,2
1574467939,2
1574467940,2
1574467941,2
1574467942,2
1574467943,2
1574467944,2
1574467945,2
1574467946,2
1574467947,2
1574467948,2
1574467949,2
1574467950,2
1574467951,2
1574467952,2
1574467953,2
1574467954,2
1574467955,2
1574467956,2
1574467957,2
1574467958,2
1574467959,2
1574467960,2
1574467961,2
1574467962,2
1574467963,2
1574467964,2
1574467965,2
1574467966,2
1574467967,2
1574467968,2
1574467969,2
1574467970,2
1574467971,2
1574467972,2
1574467973,2
1574467974,2
1574467975,2
1574467976,2
1574467977,2
1574467978,3
1574467979,3
1574467980,3
1574467981,3
1574467982,3
1574467983,3
1574467984,3
1574467985,3
1574467986,3
1574467987,3
1574467988,3
1574467989,3
1574467990,3
1574467991,3
1574467992,3
1574467993,3
1574467994,3
1574467995,3
1574467996,3
1574467997,3
1574467998,3
1574467999,3
1574468000,3
1574468001,3
1574468002,3
1574468003,3
1574468004,3
1574468005,3
1574468006,3
1574468007,3
1574468008,3
1574468009,3
1574468010,3
1574468011,3
1574468012,3
1574468013,3
1574468014,3
1574468015,3
1574468016,3
1574468017,3
1574468018,3
1574468019,3
1574468020,3
1574468021,3
1574468022,3
1574468023,3
1574468024,3
1574468025,3
1574468026,3
1574468027,3
1574468028,3
1574468029,3
1574468030,3
1574468031,3
1574468032,3
1574468033,3
1574468034,3
1574468035,3
1574468036,3
1574468037,3
1574468038,3
1574468039,3
1574468040,3
1574468041,3
1574468042,3
1574468043,3
1574468044,3
1574468045,3
1574468046,3
1574468047,3
1574468048,3
1574468049,3
1574468050,3
1574468051,3
1574468052,3
1574468053,3
1574468054,3
1574468055,3
1574468056,3
1574468057,3
1574468058,3
1574468059,3
1574468060,3
1574468061,3
1574468062,3
1574468063,3
1574468064,3
1574468065,3
1574468066,3
1574468067,3
1574468068,3
1574468069,3
1574468070,3
1574468071,3
1574468072,3
1574468073,3
1574468074,3
1574468075,3
1574468076,3
1574468077,3
1574468078,3
1574468079,3
1574468080,3
1574468081,3
1574468082,3
1574468083,3
1574468084,3
1574468085,3
1574468086,3
1574468087,3
1574468088,3
1574468089,3
1574468090,3
1574468091,3
1574468092,3
1574468093,3
1574468094,3
1574468095,3
1574468096,3
1574468097,3
1574468098,3
1574468099,3
1574468100,3
1574468101,3
1574468102,3
1574468103,3
1574468104,3
1574468105,3
1574468106,3
1574468107,3
1574468108,3
1574468109,3
1574468110,3
1574468111,3
1574468112,3
1574468113,3
1574468114,3
1574468115,3
1574468116,3
1574468117,3
1574468118,3
1574468119,3
1574468120,3
1574468121,3
1574468122,3
1574468123,3
1574468124,3
1574468125,3
1574468126,3
1574468127,3
1574468128,3
1574468129,3
1574468130,3
1574468131,3
1574468132,3
1574468133,3
1574468134,3
1574468135,3
1574468136,3
1574468137,3
1574468138,3
1574468139,3
1574468140,3
1574468141,3
1574468142,3
1574468143,3
1574468144,3
1574468145,3
1574468146,3
1574468147,3
1574468148,3
1574468149,3
1574468150,3
1574468151,3
1574468152,3
1574468153,3
1574468154,3
1574468155,3
1574468156,3
1574468157,3
1574468158,3
1574468159,3
1574468160,3
1574468161,3
1574468162,3
1574468163,3
1574468164,3
1574468165,3
1574468166,3
1574468167,3
1574468168,3
1574468169,3
1574468170,3
1574468171,3
1574468172,3
1574468173,3
1574468174,3
1574468175,3
1574468176,3
1574468177,3
1574468178,3
1574468179,3
1574468180,3
1574468181,3
1574468182,3
1574468183,3
1574468184,3
1574468185,3
1574468186,3
1574468187,3
1574468188,3
1574468189,3
1574468190,3
1574468191,3
1574468192,3
1574468193,3
1574468194,3
1574468195,3
1574468196,3
1574468197,3
1574468198,3
1574468199,3
1574468200,3
1574468201,3
1574468202,3
