t,value
1574464738,504889344
1574464739,504889344
1574464740,504889344
1574464741,504889344
1574464742,504889344
1574464743,504889344
1574464744,504889344
1574464745,504889344
1574464746,504889344
1574464747,504889344
1574464748,504889344
1574464749,1579155456
1574464750,1579155456
1574464751,1579155456
1574464752,1579155456
1574464753,1579155456
1574464754,1579155456
1574464755,1579155456
1574464756,1579155456
1574464757,1579155456
1574464758,1579155456
1574464759,1579155456
1574464760,1579155456
1574464761,1579155456
1574464762,1579155456
1574464763,1579155456
1574464764,1579155456
1574464765,1579155456
1574464766,1579155456
1574464767,1579155456
1574464768,1579155456
1574464769,1579155456
1574464770,1579155456
1574464771,1579155456
1574464772,1579155456
1574464773,1579155456
1574464774,1579155456
1574464775,1579155456
1574464776,1579155456
1574464777,1579155456
1574464778,1579155456
1574464779,1579155456
1574464780,1579155456
1574464781,1579155456
1574464782,1579155456
1574464783,1579155456
1574464784,1579155456
1574464785,1579155456
1574464786,2815950848
1574464787,2393374720
1574464788,2393374720
1574464789,2393374720
1574464790,2649751552
1574464791,2649751552
1574464792,2649751552
1574464793,2645032960
1574464794,2645032960
1574464795,2645032960
1574464796,2691694592
1574464797,2691694592
1574464798,2691694592
1574464799,2720006144
1574464800,2720006144
1574464801,2720006144
1574464802,2737831936
1574464803,2737831936
1574464804,2737831936
1574464805,2766667776
1574464806,2766667776
1574464807,2766667776
1574464808,2762997760
1574464809,2762997760
1574464810,2762997760
1574464811,2788687872
1574464812,2788687872
1574464813,2788687872
1574464814,2771910656
1574464815,2771910656
1574464816,2771910656
1574464817,2793406464
1574464818,2793406464
1574464819,2793406464
1574464820,2764570624
1574464821,2764570624
1574464822,2764570624
1574464823,2561671168
1574464824,2561671168
1574464825,2561671168
1574464826,2749890560
1574464827,2749890560
1574464828,2570059776
1574464829,2570059776
1574464830,2570059776
1574464831,2735210496
1574464832,2735210496
1574464833,2576351232
1574464834,2576351232
1574464835,2576351232
1574464836,2719481856
1574464837,2719481856
1574464838,2581069824
1574464839,2581069824
1574464840,2581069824
1574464841,2704801792
1574464842,2704801792
1574464843,2584215552
1574464844,2584215552
1574464845,2690646016
1574464846,2690646016
1574464847,2586836992
1574464848,2586836992
1574464849,2678587392
1574464850,2678587392
1574464851,2589458432
1574464852,2589458432
1574464853,2668625920
1574464854,2668625920
1574464855,2592079872
1574464856,2592079872
1574464857,2659713024
1574464858,2659713024
1574464859,2594177024
1574464860,2594177024
1574464861,2651848704
1574464862,2651848704
1574464863,2596274176
1574464864,2596274176
1574464865,2646081536
1574464866,2646081536
1574464867,2598371328
1574464868,2598371328
1574464869,2641887232
1574464870,2600992768
1574464871,2600992768
1574464872,2636644352
1574464873,2636644352
1574464874,2603089920
1574464875,2603089920
1574464876,2633498624
1574464877,2636644352
1574464878,2636644352
1574464879,2631401472
1574464880,2631401472
1574464881,2634022912
1574464882,2629828608
1574464883,2629828608
1574464884,2631925760
1574464885,2631925760
1574464886,2628780032
1574464887,2630352896
1574464888,2630352896
1574464889,2628780032
1574464890,2629828608
1574464891,2629828608
1574464892,2629304320
1574464893,2629828608
1574464894,2629828608
1574464895,2628780032
1574464896,2629828608
1574464897,2629828608
1574464898,2629304320
1574464899,2630352896
1574464900,2630352896
1574464901,2630352896
1574464902,2630877184
1574464903,2630877184
1574464904,2631401472
1574464905,2631925760
1574464906,2631925760
1574464907,2631925760
1574464908,2632450048
1574464909,2634022912
1574464910,2634022912
1574464911,2634547200
1574464912,2635595776
1574464913,2636120064
1574464914,2636120064
1574464915,2637692928
1574464916,2638217216
1574464917,2639790080
1574464918,2639790080
1574464919,2640314368
1574464920,2641887232
1574464921,2642411520
1574464922,2642411520
1574464923,2643984384
1574464924,2644508672
1574464925,2647130112
1574464926,2647130112
1574464927,2647130112
1574464928,2649751552
1574464929,2649751552
1574464930,2651848704
1574464931,2651848704
1574464932,2651848704
1574464933,2653421568
1574464934,2653945856
1574464935,2653945856
1574464936,2656043008
1574464937,2656043008
1574464938,2657615872
1574464939,2659188736
1574464940,2659188736
1574464941,2661810176
1574464942,2662858752
1574464943,2665480192
1574464944,2665480192
1574464945,2666004480
1574464946,2668625920
1574464947,2669150208
1574464948,2669150208
1574464949,2672295936
1574464950,2672295936
1574464951,2675441664
1574464952,2675441664
1574464953,2675441664
1574464954,2678063104
1574464955,2678063104
1574464956,2678063104
1574464957,2680684544
1574464958,2680684544
1574464959,2683305984
1574464960,2683305984
1574464961,2683305984
1574464962,2685927424
1574464963,2685927424
1574464964,2685927424
1574464965,2688548864
1574464966,2688548864
1574464967,2691170304
1574464968,2691170304
1574464969,2691170304
1574464970,2693267456
1574464971,2693267456
1574464972,2693267456
1574464973,2695888896
1574464974,2695888896
1574464975,2695888896
1574464976,2698510336
1574464977,2698510336
1574464978,2701131776
1574464980,2701131776
1574464980,2701131776
1574464981,2703228928
1574464982,2703228928
1574464983,2703753216
1574464984,2706374656
1574464985,2706374656
1574464986,2706374656
1574464987,2708996096
