t,value
1574464738,26424408
1574464739,26424408
1574464740,26424408
1574464741,29075024
1574464742,29075024
1574464743,29075024
1574464744,29075024
1574464745,31717432
1574464746,31717432
1574464747,31717432
1574464748,34359840
1574464749,1174169512
1574464750,1179454560
1574464751,1184739416
1574464752,1187381856
1574464753,1190024296
1574464754,1192666728
1574464755,1197951576
1574464756,1200594024
1574464757,1203236960
1574464758,1205862416
1574464759,1094153160
1574464760,1098116832
1574464761,1102265352
1574464762,1102265352
1574464763,1106414272
1574464764,1110377976
1574464765,1111884048
1574464766,1115848248
1574464767,1117354320
1574464768,1117354320
1574464769,1118860392
1574464770,1118860392
1574464771,1123008968
1574464772,1125651408
1574464773,1129799944
1574464774,1133948456
1574464775,1133948456
1574464776,1138096968
1574464777,1140739408
1574464778,1144887944
1574464779,1147530384
1574464780,1151678896
1574464781,1154321336
1574464782,1158469856
1574464783,1158469856
1574464784,1162618376
1574464785,1165260816
1574464786,2279271688
1574464787,1196701136
1574464788,1315478728
1574464789,1496123416
1574464790,1241225344
1574464791,1405598888
1574464792,1576059448
1574464793,1232366808
1574464794,1418713824
1574464795,1603454480
1574464796,1240416112
1574464797,1434365480
1574464798,1628516408
1574464799,1203316352
1574464800,1402235384
1574464801,1604173440
1574464802,1191485024
1574464803,1402972544
1574464804,1634092128
1574464805,1149622976
1574464806,1373330704
1574464807,1599889592
1574464808,1129872960
1574464809,1365648680
1574464810,1605446704
1574464811,1096888152
1574464812,1347192976
1574464813,1595814808
1574464814,1099431904
1574464815,1369557072
1574464816,1627738648
1574464817,1109800376
1574464818,1378924312
1574464819,1654586328
1574464820,1150391064
1574464821,1431296808
1574464822,1717143200
1574464823,1211830496
1574464824,1504338064
1574464825,1800297880
1574464826,1306206344
1574464827,1609746720
1574464828,1115347952
1574464829,1431886368
1574464830,1749962888
1574464831,1260431160
1574464832,1585534704
1574464833,1097183256
1574464834,1436493320
1574464835,1770019632
1574464836,1295809816
1574464837,1642233696
1574464838,1169290424
1574464839,1521158760
1574464840,1879590800
1574464841,1424202368
1574464842,1787864048
1574464843,1337547952
1574464844,1709003192
1574464845,1260500032
1574464846,1640870912
1574464847,1200666736
1574464848,1585222816
1574464849,1155978744
1574464850,1545827392
1574464851,1111786496
1574464852,1515154680
1574464853,1088008400
1574464854,1503231240
1574464855,1086264432
1574464856,1506687296
1574464857,1090207912
1574464858,1520153144
1574464859,1114757208
1574464860,1550736864
1574464861,1163142408
1574464862,1603463464
1574464863,1217088888
1574464864,1670715464
1574464865,1292832640
1574464866,1755363064
1574464867,1377168816
1574464868,1840929880
1574464869,1476013280
1574464870,1101914248
1574464871,1587578144
1574464872,1218224608
1574464873,1707946384
1574464874,1349489448
1574464875,1843857776
1574464876,1498870912
1574464877,1158723440
1574464878,1651446632
1574464879,1317942200
1574464880,1825229160
1574464881,1498658016
1574464882,1165940576
1574464883,1694562408
1574464884,1373118960
1574464885,1902157544
1574464886,1596823328
1574464887,1287025824
1574464888,1825639704
1574464889,1524519872
1574464890,1231965720
1574464891,1787823824
1574464892,1498243392
1574464893,1205445912
1574464894,1765377136
1574464895,1489295048
1574464896,1217724312
1574464897,1793220112
1574464898,1512329160
1574464899,1237226240
1574464900,1826543064
1574464901,1566511640
1574464902,1303488576
1574464903,1897925648
1574464904,1644467624
1574464905,1396926944
1574464906,1156739888
1574464907,1770435504
1574464908,1530546488
1574464909,1305107544
1574464910,1927049520
1574464911,1691045392
1574464912,1462666392
1574464913,1234601408
1574464914,1879531488
1574464915,1656900600
1574464916,1444350488
1574464917,1226049832
1574464918,1881944784
1574464919,1667888832
1574464920,1457019784
1574464921,1246509960
1574464922,1916310440
1574464923,1719775240
1574464924,1514943976
1574464925,1310432464
1574464926,1106752664
1574464927,1789500264
1574464928,1586963032
1574464929,1375037280
1574464930,1175444152
1574464931,1871169744
1574464932,1676408080
1574464933,1480288368
1574464934,1286624048
1574464935,1094032480
1574464936,1788312632
1574464937,1593197704
1574464938,1384470016
1574464939,1165072008
1574464940,1847413096
1574464941,1633242776
1574464942,1409280312
1574464943,1188415256
1574464944,1869480072
1574464945,1643888192
1574464946,1423208424
1574464947,1205991920
1574464948,1887307664
1574464949,1658885480
1574464950,1431742416
1574464951,1201564528
1574464952,1888128600
1574464953,1655743936
1574464954,1430386536
1574464955,1200106576
1574464956,1881328480
1574464957,1645197720
1574464958,1416424328
1574464959,1179992960
1574464960,1863951656
1574464961,1632572136
1574464962,1400953072
1574464963,1163354904
1574464964,1841956760
1574464965,1608556984
1574464966,1364646752
1574464967,1124441432
1574464968,1802359952
1574464969,1551010328
1574464970,1308457880
1574464971,1991369904
1574464972,1744769696
1574464973,1495293496
1574464974,1241884312
1574464975,1921198344
1574464976,1670626528
1574464977,1421845480
1574464978,1231997616
1574464980,1772232880
1574464980,1984588512
1574464981,1331647288
1574464982,2013908776
1574464983,1754778896
1574464984,1499266992
1574464985,1247268184
1574464986,1923209264
1574464987,1668157640
