t,value
1574464738,12255232
1574464739,12648448
1574464740,12845056
1574464741,12976128
1574464742,13107200
1574464743,13172736
1574464744,13238272
1574464745,13369344
1574464746,13369344
1574464747,13369344
1574464748,13631488
1574464749,29556736
1574464750,31653888
1574464751,32047104
1574464752,32047104
1574464753,32047104
1574464754,32047104
1574464755,32047104
1574464756,32047104
1574464757,32047104
1574464758,32047104
1574464759,32047104
1574464760,32047104
1574464761,32047104
1574464762,32112640
1574464763,32112640
1574464764,32178176
1574464765,32178176
1574464766,32178176
1574464767,32243712
1574464768,32243712
1574464769,32243712
1574464770,32243712
1574464771,32243712
1574464772,32243712
1574464773,32243712
1574464774,32243712
1574464775,32243712
1574464776,32309248
1574464777,32309248
1574464778,32309248
1574464779,32309248
1574464780,32309248
1574464781,32309248
1574464782,32309248
1574464783,32309248
1574464784,32309248
1574464785,32309248
1574464786,32571392
1574464787,32571392
1574464788,32768000
1574464789,33292288
1574464790,33292288
1574464791,33292288
1574464792,33292288
1574464793,33292288
1574464794,33292288
1574464795,33292288
1574464796,33357824
1574464797,33357824
1574464798,33357824
1574464799,33357824
1574464800,33357824
1574464801,33357824
1574464802,33357824
1574464803,33357824
1574464804,33488896
1574464805,33488896
1574464806,33488896
1574464807,33488896
1574464808,33488896
1574464809,33488896
1574464810,33488896
1574464811,33488896
1574464812,33488896
1574464813,33488896
1574464814,33488896
1574464815,33488896
1574464816,33488896
1574464817,33488896
1574464818,33488896
1574464819,33488896
1574464820,33488896
1574464821,33488896
1574464822,33488896
1574464823,33488896
1574464824,33488896
1574464825,33488896
1574464826,33488896
1574464827,33488896
1574464828,33488896
1574464829,33488896
1574464830,33488896
1574464831,33488896
1574464832,33488896
1574464833,33619968
1574464834,33619968
1574464835,33619968
1574464836,33619968
1574464837,33619968
1574464838,33619968
1574464839,33619968
1574464840,33619968
1574464841,33619968
1574464842,33619968
1574464843,33619968
1574464844,33619968
1574464845,33619968
1574464846,33619968
1574464847,33619968
1574464848,33619968
1574464849,33619968
1574464850,33619968
1574464851,33619968
1574464852,33619968
1574464853,33619968
1574464854,33619968
1574464855,33619968
1574464856,33619968
1574464857,33619968
1574464858,33619968
1574464859,33619968
1574464860,33619968
1574464861,33619968
1574464862,33619968
1574464863,33619968
1574464864,33619968
1574464865,33619968
1574464866,33619968
1574464867,33619968
1574464868,33619968
1574464869,33619968
1574464870,33619968
1574464871,33619968
1574464872,33619968
1574464873,33619968
1574464874,33619968
1574464875,33619968
1574464876,33619968
1574464877,33619968
1574464878,33619968
1574464879,33619968
1574464880,33619968
1574464881,33619968
1574464882,33619968
1574464883,33619968
1574464884,33619968
1574464885,33619968
1574464886,33619968
1574464887,33619968
1574464888,33619968
1574464889,33619968
1574464890,33619968
1574464891,33619968
1574464892,33619968
1574464893,33619968
1574464894,33619968
1574464895,33619968
1574464896,33619968
1574464897,33619968
1574464898,33619968
1574464899,33619968
1574464900,33619968
1574464901,33619968
1574464902,33619968
1574464903,33619968
1574464904,33619968
1574464905,33619968
1574464906,33619968
1574464907,33619968
1574464908,33619968
1574464909,33619968
1574464910,33619968
1574464911,33619968
1574464912,33619968
1574464913,33619968
1574464914,33619968
1574464915,33619968
1574464916,33619968
1574464917,33619968
1574464918,33619968
1574464919,33619968
1574464920,33619968
1574464921,33619968
1574464922,33619968
1574464923,33619968
1574464924,33619968
1574464925,33619968
1574464926,33619968
1574464927,33619968
1574464928,33619968
1574464929,33619968
1574464930,33619968
1574464931,33619968
1574464932,33619968
1574464933,33619968
1574464934,33619968
1574464935,33619968
1574464936,33619968
1574464937,33619968
1574464938,33619968
1574464939,33619968
1574464940,33619968
1574464941,33619968
1574464942,33619968
1574464943,33619968
1574464944,33619968
1574464945,33619968
1574464946,33619968
1574464947,33619968
1574464948,33619968
1574464949,33619968
1574464950,33619968
1574464951,33619968
1574464952,33619968
1574464953,33619968
1574464954,33619968
1574464955,33619968
1574464956,33619968
1574464957,33619968
1574464958,33619968
1574464959,33619968
1574464960,33619968
1574464961,33619968
1574464962,33619968
1574464963,33619968
1574464964,33619968
1574464965,33619968
1574464966,33619968
1574464967,33619968
1574464968,33619968
1574464969,33619968
1574464970,33619968
1574464971,33619968
1574464972,33619968
1574464973,33619968
1574464974,33619968
1574464975,33619968
1574464976,33619968
1574464977,33619968
1574464978,33619968
1574464980,33619968
1574464980,33619968
1574464981,33619968
1574464982,33619968
1574464983,33619968
1574464984,33619968
1574464985,33619968
1574464986,33619968
1574464987,33619968
