t,value
1574464738,-1.1653264E7
1574464739,-1.1945248E7
1574464740,-1.2234584E7
1574464741,-1.2350424E7
1574464742,-1.2452976E7
1574464743,-1.2580664E7
1574464744,-1.2631272E7
1574464745,-1.2756736E7
1574464746,-1.2760896E7
1574464747,-1.2777112E7
1574464748,-1.2993616E7
1574464749,-2.8834144E7
1574464750,-3.0922064E7
1574464751,-3.1265296E7
1574464752,-3.127368E7
1574464753,-3.1275344E7
1574464754,-3.129552E7
1574464755,-3.1298144E7
1574464756,-3.129968E7
1574464757,-3.1300768E7
1574464758,-3.1303008E7
1574464759,-3.1392672E7
1574464760,-3.1393248E7
1574464761,-3.1381536E7
1574464762,-3.1419264E7
1574464763,-3.1467952E7
1574464764,-3.1539712E7
1574464765,-3.1552424E7
1574464766,-3.1587176E7
1574464767,-3.1624192E7
1574464768,-3.16144E7
1574464769,-3.1576432E7
1574464770,-3.158452E7
1574464771,-3.1585352E7
1574464772,-3.1590648E7
1574464773,-3.159404E7
1574464774,-3.1577672E7
1574464775,-3.154132E7
1574464776,-3.1544328E7
1574464777,-3.1544328E7
1574464778,-3.1544328E7
1574464779,-3.1457064E7
1574464780,-3.1457064E7
1574464781,-3.1008224E7
1574464782,-3.1008224E7
1574464783,-3.1009248E7
1574464784,-3.1030688E7
1574464785,-3.1033888E7
1574464786,-3.1207992E7
1574464787,-3.186672E7
1574464788,-3.204908E7
1574464789,-3.2557416E7
1574464790,-3.2564264E7
1574464791,-3.2571656E7
1574464792,-3.2575176E7
1574464793,-3.2550408E7
1574464794,-3.248116E7
1574464795,-3.2485768E7
1574464796,-3.253076E7
1574464797,-3.2536504E7
1574464798,-3.2550064E7
1574464799,-3.2556912E7
1574464800,-3.2566576E7
1574464801,-3.2570928E7
1574464802,-3.2571632E7
1574464803,-3.2571632E7
1574464804,-3.26012E7
1574464805,-3.26012E7
1574464806,-3.2601904E7
1574464807,-3.2601904E7
1574464808,-3.2601904E7
1574464809,-3.2602128E7
1574464810,-3.2602128E7
1574464811,-3.2602128E7
1574464812,-3.2605E7
1574464813,-3.2605E7
1574464814,-3.2583368E7
1574464815,-3.2583368E7
1574464816,-3.258644E7
1574464817,-3.2589544E7
1574464818,-3.2589544E7
1574464819,-3.2589544E7
1574464820,-3.2589544E7
1574464821,-3.2589544E7
1574464822,-3.2591832E7
1574464823,-3.2596952E7
1574464824,-3.2604136E7
1574464825,-3.2604136E7
1574464826,-3.2604136E7
1574464827,-3.2597992E7
1574464828,-3.2602664E7
1574464829,-3.2610088E7
1574464830,-3.2636848E7
1574464831,-3.2651056E7
1574464832,-3.2651056E7
1574464833,-3.2796784E7
1574464834,-3.2796784E7
1574464835,-3.2796784E7
1574464836,-3.2792712E7
1574464837,-3.2792712E7
1574464838,-3.2792712E7
1574464839,-3.2788808E7
1574464840,-3.2790216E7
1574464841,-3.2785928E7
1574464842,-3.2785928E7
1574464843,-3.2796208E7
1574464844,-3.2780488E7
1574464845,-3.2780488E7
1574464846,-3.2774856E7
1574464847,-3.2774856E7
1574464848,-3.2778808E7
1574464849,-3.2778808E7
1574464850,-3.2778808E7
1574464851,-3.2778808E7
1574464852,-3.2778808E7
1574464853,-3.2778808E7
1574464854,-3.2777328E7
1574464855,-3.2777328E7
1574464856,-3.2777328E7
1574464857,-3.2779432E7
1574464858,-3.2763848E7
1574464859,-3.2763848E7
1574464860,-3.2755872E7
1574464861,-3.2755872E7
1574464862,-3.2752272E7
1574464863,-3.2752272E7
1574464864,-3.2752272E7
1574464865,-3.2719832E7
1574464866,-3.234256E7
1574464867,-3.234256E7
1574464868,-3.234256E7
1574464869,-3.234256E7
1574464870,-3.234256E7
1574464871,-3.2329056E7
1574464872,-3.2325136E7
1574464873,-3.2304272E7
1574464874,-3.2306064E7
1574464875,-3.2306064E7
1574464876,-3.2308432E7
1574464877,-3.2308432E7
1574464878,-3.2308432E7
1574464879,-3.2308432E7
1574464880,-3.2308432E7
1574464881,-3.2307152E7
1574464882,-3.2307152E7
1574464883,-3.2307152E7
1574464884,-3.2307152E7
1574464885,-3.2307152E7
1574464886,-3.2307152E7
1574464887,-3.2307152E7
1574464888,-3.2307152E7
1574464889,-3.2307152E7
1574464890,-3.2307152E7
1574464891,-3.2307152E7
1574464892,-3.2307152E7
1574464893,-3.2331024E7
1574464894,-3.2331728E7
1574464895,-3.2331536E7
1574464896,-3.2307024E7
1574464897,-3.2307024E7
1574464898,-3.2307024E7
1574464899,-3.2307024E7
1574464900,-3.2307024E7
1574464901,-3.2301328E7
1574464902,-3.2301328E7
1574464903,-3.2301328E7
1574464904,-3.2302032E7
1574464905,-3.2302032E7
1574464906,-3.2302032E7
1574464907,-3.2302032E7
1574464908,-3.2302032E7
1574464909,-3.2293776E7
1574464910,-3.2293776E7
1574464911,-3.2293712E7
1574464912,-3.2299216E7
1574464913,-3.2299216E7
1574464914,-3.2299216E7
1574464915,-3.2299216E7
1574464916,-3.2299216E7
1574464917,-3.2299216E7
1574464918,-3.2302216E7
1574464919,-3.2302216E7
1574464920,-3.2303712E7
1574464921,-3.2303712E7
1574464922,-3.2303712E7
1574464923,-3.2303712E7
1574464924,-3.2303712E7
1574464925,-3.2303712E7
1574464926,-3.2303712E7
1574464927,-3.230576E7
1574464928,-3.230576E7
1574464929,-3.2313632E7
1574464930,-3.2313632E7
1574464931,-3.2313632E7
1574464932,-3.2313632E7
1574464933,-3.2313632E7
1574464934,-3.2314592E7
1574464935,-3.2314592E7
1574464936,-3.2191072E7
1574464937,-3.2191072E7
1574464938,-3.2191072E7
1574464939,-3.2191072E7
1574464940,-3.2191072E7
1574464941,-3.2191072E7
1574464942,-3.2191072E7
1574464943,-3.2195776E7
1574464944,-3.2195776E7
1574464945,-3.2195776E7
1574464946,-3.2195776E7
1574464947,-3.2195776E7
1574464948,-3.2195872E7
1574464949,-3.2195872E7
1574464950,-3.2195872E7
1574464951,-3.2198232E7
1574464952,-3.2198232E7
1574464953,-3.2198232E7
1574464954,-3.2198232E7
1574464955,-3.2198232E7
1574464956,-3.2198232E7
1574464957,-3.2198232E7
1574464958,-3.2198232E7
1574464959,-3.2199256E7
1574464960,-3.2199256E7
1574464961,-3.2199256E7
1574464962,-3.2199256E7
1574464963,-3.2199256E7
1574464964,-3.2199256E7
1574464965,-3.2199256E7
1574464966,-3.2199256E7
1574464967,-3.2199256E7
1574464968,-3.2200792E7
1574464969,-3.2200792E7
1574464970,-3.2200792E7
1574464971,-3.2200792E7
1574464972,-3.2200792E7
1574464973,-3.2200792E7
1574464974,-3.2200792E7
1574464975,-3.2200792E7
1574464976,-3.2202928E7
1574464977,-3.2202928E7
1574464978,-3.2202928E7
