t,value
1574464738,11663672
1574464739,11945248
1574464740,12244088
1574464741,12350424
1574464742,12452976
1574464743,12580664
1574464744,12631272
1574464745,12756736
1574464746,12760896
1574464747,12777112
1574464748,13011984
1574464749,28834144
1574464750,30922064
1574464751,31265296
1574464752,31273680
1574464753,31275344
1574464754,31296416
1574464755,31298144
1574464756,31299680
1574464757,31300768
1574464758,31303008
1574464759,31392672
1574464760,31393248
1574464761,31381536
1574464762,31419264
1574464763,31471600
1574464764,31539712
1574464765,31552424
1574464766,31591632
1574464767,31624192
1574464768,31614400
1574464769,31576432
1574464770,31584520
1574464771,31585352
1574464772,31590648
1574464773,31594040
1574464774,31577672
1574464775,31541320
1574464776,31544328
1574464777,31544328
1574464778,31544328
1574464779,31457064
1574464780,31457064
1574464781,31008224
1574464782,31008224
1574464783,31009248
1574464784,31030688
1574464785,31033888
1574464786,31207992
1574464787,31866720
1574464788,32049080
1574464789,32557416
1574464790,32564264
1574464791,32571656
1574464792,32575176
1574464793,32550408
1574464794,32481160
1574464795,32485768
1574464796,32530760
1574464797,32536504
1574464798,32550064
1574464799,32556912
1574464800,32571952
1574464801,32571632
1574464802,32571632
1574464803,32571632
1574464804,32601200
1574464805,32601200
1574464806,32601904
1574464807,32601904
1574464808,32601904
1574464809,32602128
1574464810,32602128
1574464811,32602128
1574464812,32605000
1574464813,32605000
1574464814,32583368
1574464815,32583368
1574464816,32586440
1574464817,32589544
1574464818,32589544
1574464819,32589544
1574464820,32589544
1574464821,32589544
1574464822,32591832
1574464823,32596952
1574464824,32604136
1574464825,32604136
1574464826,32604136
1574464827,32597992
1574464828,32602664
1574464829,32610088
1574464830,32636848
1574464831,32651056
1574464832,32651056
1574464833,32796784
1574464834,32796784
1574464835,32796784
1574464836,32792712
1574464837,32792712
1574464838,32788808
1574464839,32788808
1574464840,32790216
1574464841,32785928
1574464842,32785928
1574464843,32796208
1574464844,32780488
1574464845,32780488
1574464846,32774856
1574464847,32774856
1574464848,32778808
1574464849,32778808
1574464850,32778808
1574464851,32778808
1574464852,32778808
1574464853,32778808
1574464854,32777328
1574464855,32777328
1574464856,32777328
1574464857,32779432
1574464858,32763848
1574464859,32763848
1574464860,32755872
1574464861,32755872
1574464862,32752272
1574464863,32752272
1574464864,32752272
1574464865,32719832
1574464866,32342560
1574464867,32342560
1574464868,32342560
1574464869,32342560
1574464870,32342560
1574464871,32329056
1574464872,32325136
1574464873,32304272
1574464874,32306064
1574464875,32306064
1574464876,32308432
1574464877,32308432
1574464878,32308432
1574464879,32308432
1574464880,32308432
1574464881,32307152
1574464882,32307152
1574464883,32307152
1574464884,32307152
1574464885,32307152
1574464886,32307152
1574464887,32307152
1574464888,32307152
1574464889,32307152
1574464890,32307152
1574464891,32307152
1574464892,32307152
1574464893,32331024
1574464894,32331728
1574464895,32331536
1574464896,32307024
1574464897,32307024
1574464898,32307024
1574464899,32307024
1574464900,32307024
1574464901,32301328
1574464902,32301328
1574464903,32301328
1574464904,32302032
1574464905,32302032
1574464906,32302032
1574464907,32302032
1574464908,32302032
1574464909,32293776
1574464910,32293776
1574464911,32293712
1574464912,32299216
1574464913,32299216
1574464914,32299216
1574464915,32299216
1574464916,32299216
1574464917,32299216
1574464918,32302216
1574464919,32302216
1574464920,32303712
1574464921,32303712
1574464922,32303712
1574464923,32303712
1574464924,32303712
1574464925,32303712
1574464926,32303712
1574464927,32305760
1574464928,32305760
1574464929,32313632
1574464930,32313632
1574464931,32313632
1574464932,32313632
1574464933,32314592
1574464934,32314592
1574464935,32314592
1574464936,32191072
1574464937,32191072
1574464938,32191072
1574464939,32191072
1574464940,32191072
1574464941,32191072
1574464942,32191072
1574464943,32195776
1574464944,32195776
1574464945,32195776
1574464946,32195776
1574464947,32195776
1574464948,32195872
1574464949,32195872
1574464950,32195872
1574464951,32198232
1574464952,32198232
1574464953,32198232
1574464954,32198232
1574464955,32198232
1574464956,32198232
1574464957,32198232
1574464958,32198232
1574464959,32199256
1574464960,32199256
1574464961,32199256
1574464962,32199256
1574464963,32199256
1574464964,32199256
1574464965,32199256
1574464966,32199256
1574464967,32199256
1574464968,32200792
1574464969,32200792
1574464970,32200792
1574464971,32200792
1574464972,32200792
1574464973,32200792
1574464974,32200792
1574464975,32200792
1574464976,32202928
1574464977,32202928
1574464978,32202928
1574464980,32177752
1574464980,32178904
1574464981,32178904
1574464982,32178904
1574464983,32178904
1574464984,32178904
1574464985,32178904
1574464986,32178904
1574464987,32186656
