t,value
1574464738,1073741824
1574464739,1073741824
1574464740,1073741824
1574464741,1073741824
1574464742,1073741824
1574464743,1073741824
1574464744,1073741824
1574464745,1073741824
1574464746,1073741824
1574464747,1073741824
1574464748,1073741824
1574464749,1073741824
1574464750,1073741824
1574464751,1073741824
1574464752,1073741824
1574464753,1073741824
1574464754,1073741824
1574464755,1073741824
1574464756,1073741824
1574464757,1073741824
1574464758,1073741824
1574464759,1073741824
1574464760,1073741824
1574464761,1073741824
1574464762,1073741824
1574464763,1073741824
1574464764,1073741824
1574464765,1073741824
1574464766,1073741824
1574464767,1073741824
1574464768,1073741824
1574464769,1073741824
1574464770,1073741824
1574464771,1073741824
1574464772,1073741824
1574464773,1073741824
1574464774,1073741824
1574464775,1073741824
1574464776,1073741824
1574464777,1073741824
1574464778,1073741824
1574464779,1073741824
1574464780,1073741824
1574464781,1073741824
1574464782,1073741824
1574464783,1073741824
1574464784,1073741824
1574464785,1073741824
1574464786,1073741824
1574464787,1073741824
1574464788,1073741824
1574464789,1073741824
1574464790,1073741824
1574464791,1073741824
1574464792,1073741824
1574464793,1073741824
1574464794,1073741824
1574464795,1073741824
1574464796,1073741824
1574464797,1073741824
1574464798,1073741824
1574464799,1073741824
1574464800,1073741824
1574464801,1073741824
1574464802,1073741824
1574464803,1073741824
1574464804,1073741824
1574464805,1073741824
1574464806,1073741824
1574464807,1073741824
1574464808,1073741824
1574464809,1073741824
1574464810,1073741824
1574464811,1073741824
1574464812,1073741824
1574464813,1073741824
1574464814,1073741824
1574464815,1073741824
1574464816,1073741824
1574464817,1073741824
1574464818,1073741824
1574464819,1073741824
1574464820,1073741824
1574464821,1073741824
1574464822,1073741824
1574464823,1073741824
1574464824,1073741824
1574464825,1073741824
1574464826,1073741824
1574464827,1073741824
1574464828,1073741824
1574464829,1073741824
1574464830,1073741824
1574464831,1073741824
1574464832,1073741824
1574464833,1073741824
1574464834,1073741824
1574464835,1073741824
1574464836,1073741824
1574464837,1073741824
1574464838,1073741824
1574464839,1073741824
1574464840,1073741824
1574464841,1073741824
1574464842,1073741824
1574464843,1073741824
1574464844,1073741824
1574464845,1073741824
1574464846,1073741824
1574464847,1073741824
1574464848,1073741824
1574464849,1073741824
1574464850,1073741824
1574464851,1073741824
1574464852,1073741824
1574464853,1073741824
1574464854,1073741824
1574464855,1073741824
1574464856,1073741824
1574464857,1073741824
1574464858,1073741824
1574464859,1073741824
1574464860,1073741824
1574464861,1073741824
1574464862,1073741824
1574464863,1073741824
1574464864,1073741824
1574464865,1073741824
1574464866,1073741824
1574464867,1073741824
1574464868,1073741824
1574464869,1073741824
1574464870,1073741824
1574464871,1073741824
1574464872,1073741824
1574464873,1073741824
1574464874,1073741824
1574464875,1073741824
1574464876,1073741824
1574464877,1073741824
1574464878,1073741824
1574464879,1073741824
1574464880,1073741824
1574464881,1073741824
1574464882,1073741824
1574464883,1073741824
1574464884,1073741824
1574464885,1073741824
1574464886,1073741824
1574464887,1073741824
1574464888,1073741824
1574464889,1073741824
1574464890,1073741824
1574464891,1073741824
1574464892,1073741824
1574464893,1073741824
1574464894,1073741824
1574464895,1073741824
1574464896,1073741824
1574464897,1073741824
1574464898,1073741824
1574464899,1073741824
1574464900,1073741824
1574464901,1073741824
1574464902,1073741824
1574464903,1073741824
1574464904,1073741824
1574464905,1073741824
1574464906,1073741824
1574464907,1073741824
1574464908,1073741824
1574464909,1073741824
1574464910,1073741824
1574464911,1073741824
1574464912,1073741824
1574464913,1073741824
1574464914,1073741824
1574464915,1073741824
1574464916,1073741824
1574464917,1073741824
1574464918,1073741824
1574464919,1073741824
1574464920,1073741824
1574464921,1073741824
1574464922,1073741824
1574464923,1073741824
1574464924,1073741824
1574464925,1073741824
1574464926,1073741824
1574464927,1073741824
1574464928,1073741824
1574464929,1073741824
1574464930,1073741824
1574464931,1073741824
1574464932,1073741824
1574464933,1073741824
1574464934,1073741824
1574464935,1073741824
1574464936,1073741824
1574464937,1073741824
1574464938,1073741824
1574464939,1073741824
1574464940,1073741824
1574464941,1073741824
1574464942,1073741824
1574464943,1073741824
1574464944,1073741824
1574464945,1073741824
1574464946,1073741824
1574464947,1073741824
1574464948,1073741824
1574464949,1073741824
1574464950,1073741824
1574464951,1073741824
1574464952,1073741824
1574464953,1073741824
1574464954,1073741824
1574464955,1073741824
1574464956,1073741824
1574464957,1073741824
1574464958,1073741824
1574464959,1073741824
1574464960,1073741824
1574464961,1073741824
1574464962,1073741824
1574464963,1073741824
1574464964,1073741824
1574464965,1073741824
1574464966,1073741824
1574464967,1073741824
1574464968,1073741824
1574464969,1073741824
1574464970,1073741824
1574464971,1073741824
1574464972,1073741824
1574464973,1073741824
1574464974,1073741824
1574464975,1073741824
1574464976,1073741824
1574464977,1073741824
1574464978,1073741824
1574464980,1073741824
1574464980,1073741824
1574464981,1073741824
1574464982,1073741824
1574464983,1073741824
1574464984,1073741824
1574464985,1073741824
1574464986,1073741824
1574464987,1073741824
