t,value
1574464738,762472
1574464739,766568
1574464740,766568
1574464741,766568
1574464742,766568
1574464743,766568
1574464744,766568
1574464745,766568
1574464746,766568
1574464747,766568
1574464748,806264
1574464749,2153328
1574464750,2255896
1574464751,2261360
1574464752,2261360
1574464753,2261360
1574464754,2263792
1574464755,2263792
1574464756,2263792
1574464757,2263792
1574464758,2263792
1574464759,2263792
1574464760,2263792
1574464761,2263792
1574464762,2263792
1574464763,2265256
1574464764,2265256
1574464765,2265256
1574464766,2265256
1574464767,2265256
1574464768,2265256
1574464769,2265760
1574464770,2265760
1574464771,2265760
1574464772,2265760
1574464773,2265760
1574464774,2265760
1574464775,2265760
1574464776,2265760
1574464777,2265760
1574464778,2265760
1574464779,2265760
1574464780,2265760
1574464781,2265760
1574464782,2265760
1574464783,2265760
1574464784,2265760
1574464785,2265760
1574464786,2271088
1574464787,2271576
1574464788,2271576
1574464789,2271576
1574464790,2271576
1574464791,2271576
1574464792,2271576
1574464793,2271576
1574464794,2271576
1574464795,2271576
1574464796,2271576
1574464797,2271576
1574464798,2271576
1574464799,2271576
1574464800,2271576
1574464801,2271576
1574464802,2271576
1574464803,2271576
1574464804,2271576
1574464805,2271576
1574464806,2271576
1574464807,2271576
1574464808,2271576
1574464809,2271576
1574464810,2271576
1574464811,2271576
1574464812,2271576
1574464813,2271576
1574464814,2271576
1574464815,2271576
1574464816,2271576
1574464817,2271576
1574464818,2271576
1574464819,2271576
1574464820,2271576
1574464821,2271576
1574464822,2271576
1574464823,2271576
1574464824,2271576
1574464825,2271576
1574464826,2271576
1574464827,2271576
1574464828,2271576
1574464829,2271576
1574464830,2271576
1574464831,2271576
1574464832,2271576
1574464833,2271576
1574464834,2271576
1574464835,2271576
1574464836,2271576
1574464837,2271576
1574464838,2271576
1574464839,2271576
1574464840,2271576
1574464841,2271576
1574464842,2271576
1574464843,2271576
1574464844,2271576
1574464845,2271576
1574464846,2271576
1574464847,2271576
1574464848,2272056
1574464849,2272056
1574464850,2272056
1574464851,2272056
1574464852,2272056
1574464853,2272056
1574464854,2272056
1574464855,2272056
1574464856,2272056
1574464857,2272056
1574464858,2272056
1574464859,2272056
1574464860,2272056
1574464861,2272056
1574464862,2272056
1574464863,2272056
1574464864,2272056
1574464865,2272056
1574464866,2272056
1574464867,2272056
1574464868,2272056
1574464869,2272056
1574464870,2272056
1574464871,2272056
1574464872,2272056
1574464873,2272056
1574464874,2272056
1574464875,2272056
1574464876,2272056
1574464877,2272056
1574464878,2272056
1574464879,2272056
1574464880,2272056
1574464881,2272056
1574464882,2272056
1574464883,2272056
1574464884,2272056
1574464885,2272056
1574464886,2272056
1574464887,2272056
1574464888,2272056
1574464889,2272056
1574464890,2272056
1574464891,2272056
1574464892,2272056
1574464893,2272056
1574464894,2272056
1574464895,2272056
1574464896,2272056
1574464897,2272056
1574464898,2272056
1574464899,2272056
1574464900,2272056
1574464901,2272056
1574464902,2272056
1574464903,2272056
1574464904,2272056
1574464905,2272056
1574464906,2272056
1574464907,2272056
1574464908,2272056
1574464909,2272056
1574464910,2272056
1574464911,2272056
1574464912,2272056
1574464913,2272056
1574464914,2272056
1574464915,2272056
1574464916,2272056
1574464917,2272056
1574464918,2272056
1574464919,2272056
1574464920,2272056
1574464921,2272056
1574464922,2272056
1574464923,2272056
1574464924,2272056
1574464925,2272056
1574464926,2272056
1574464927,2272056
1574464928,2272056
1574464929,2272056
1574464930,2272056
1574464931,2272056
1574464932,2272056
1574464933,2272056
1574464934,2272056
1574464935,2272056
1574464936,2272056
1574464937,2272056
1574464938,2272056
1574464939,2272056
1574464940,2272056
1574464941,2272056
1574464942,2272056
1574464943,2272056
1574464944,2272056
1574464945,2272056
1574464946,2272056
1574464947,2272056
1574464948,2272056
1574464949,2272056
1574464950,2272056
1574464951,2272056
1574464952,2272056
1574464953,2272056
1574464954,2272056
1574464955,2272056
1574464956,2272056
1574464957,2272056
1574464958,2272056
1574464959,2272056
1574464960,2272056
1574464961,2272056
1574464962,2272056
1574464963,2272056
1574464964,2272056
1574464965,2272056
1574464966,2272056
1574464967,2272056
1574464968,2272056
1574464969,2272056
1574464970,2272056
1574464971,2272056
1574464972,2272056
1574464973,2272056
1574464974,2272056
1574464975,2272056
1574464976,2272056
1574464977,2272056
1574464978,2272056
1574464980,2272056
1574464980,2272056
1574464981,2272056
1574464982,2272056
1574464983,2272056
1574464984,2272056
1574464985,2272056
1574464986,2272056
1574464987,2272056
