t,value
1574464738,7733248
1574464739,7733248
1574464740,7733248
1574464741,7733248
1574464742,7733248
1574464743,7733248
1574464744,7733248
1574464745,7733248
1574464746,7733248
1574464747,7733248
1574464748,8257536
1574464749,20447232
1574464750,21757952
1574464751,21757952
1574464752,21757952
1574464753,21757952
1574464754,21757952
1574464755,21757952
1574464756,21757952
1574464757,21757952
1574464758,21757952
1574464759,21757952
1574464760,21757952
1574464761,21757952
1574464762,21757952
1574464763,21757952
1574464764,21757952
1574464765,21757952
1574464766,21757952
1574464767,21757952
1574464768,21757952
1574464769,21757952
1574464770,21757952
1574464771,21757952
1574464772,21757952
1574464773,21757952
1574464774,21757952
1574464775,21757952
1574464776,21757952
1574464777,21757952
1574464778,21757952
1574464779,21757952
1574464780,21757952
1574464781,21757952
1574464782,21757952
1574464783,21757952
1574464784,21757952
1574464785,21757952
1574464786,22020096
1574464787,22020096
1574464788,22020096
1574464789,22020096
1574464790,22020096
1574464791,22020096
1574464792,22020096
1574464793,22020096
1574464794,22020096
1574464795,22020096
1574464796,22020096
1574464797,22020096
1574464798,22020096
1574464799,22020096
1574464800,22020096
1574464801,22020096
1574464802,22020096
1574464803,22020096
1574464804,22020096
1574464805,22020096
1574464806,22020096
1574464807,22020096
1574464808,22020096
1574464809,22020096
1574464810,22020096
1574464811,22020096
1574464812,22020096
1574464813,22020096
1574464814,22020096
1574464815,22020096
1574464816,22020096
1574464817,22020096
1574464818,22020096
1574464819,22020096
1574464820,22020096
1574464821,22020096
1574464822,22020096
1574464823,22020096
1574464824,22020096
1574464825,22020096
1574464826,22020096
1574464827,22020096
1574464828,22020096
1574464829,22020096
1574464830,22020096
1574464831,22020096
1574464832,22020096
1574464833,22020096
1574464834,22020096
1574464835,22020096
1574464836,22020096
1574464837,22020096
1574464838,22020096
1574464839,22020096
1574464840,22020096
1574464841,22020096
1574464842,22020096
1574464843,22020096
1574464844,22020096
1574464845,22020096
1574464846,22020096
1574464847,22020096
1574464848,22020096
1574464849,22020096
1574464850,22020096
1574464851,22020096
1574464852,22020096
1574464853,22020096
1574464854,22020096
1574464855,22020096
1574464856,22020096
1574464857,22020096
1574464858,22020096
1574464859,22020096
1574464860,22020096
1574464861,22020096
1574464862,22020096
1574464863,22020096
1574464864,22020096
1574464865,22020096
1574464866,22020096
1574464867,22020096
1574464868,22020096
1574464869,22020096
1574464870,22020096
1574464871,22020096
1574464872,22020096
1574464873,22020096
1574464874,22020096
1574464875,22020096
1574464876,22020096
1574464877,22020096
1574464878,22020096
1574464879,22020096
1574464880,22020096
1574464881,22020096
1574464882,22020096
1574464883,22020096
1574464884,22020096
1574464885,22020096
1574464886,22020096
1574464887,22020096
1574464888,22020096
1574464889,22020096
1574464890,22020096
1574464891,22020096
1574464892,22020096
1574464893,22020096
1574464894,22020096
1574464895,22020096
1574464896,22020096
1574464897,22020096
1574464898,22020096
1574464899,22020096
1574464900,22020096
1574464901,22020096
1574464902,22020096
1574464903,22020096
1574464904,22020096
1574464905,22020096
1574464906,22020096
1574464907,22020096
1574464908,22020096
1574464909,22020096
1574464910,22020096
1574464911,22020096
1574464912,22020096
1574464913,22020096
1574464914,22020096
1574464915,22020096
1574464916,22020096
1574464917,22020096
1574464918,22020096
1574464919,22020096
1574464920,22020096
1574464921,22020096
1574464922,22020096
1574464923,22020096
1574464924,22020096
1574464925,22020096
1574464926,22020096
1574464927,22020096
1574464928,22020096
1574464929,22020096
1574464930,22020096
1574464931,22020096
1574464932,22020096
1574464933,22020096
1574464934,22020096
1574464935,22020096
1574464936,22020096
1574464937,22020096
1574464938,22020096
1574464939,22020096
1574464940,22020096
1574464941,22020096
1574464942,22020096
1574464943,22020096
1574464944,22020096
1574464945,22020096
1574464946,22020096
1574464947,22020096
1574464948,22020096
1574464949,22020096
1574464950,22020096
1574464951,22020096
1574464952,22020096
1574464953,22020096
1574464954,22020096
1574464955,22020096
1574464956,22020096
1574464957,22020096
1574464958,22020096
1574464959,22020096
1574464960,22020096
1574464961,22020096
1574464962,22020096
1574464963,22020096
1574464964,22020096
1574464965,22020096
1574464966,22020096
1574464967,22020096
1574464968,22020096
1574464969,22020096
1574464970,22020096
1574464971,22020096
1574464972,22020096
1574464973,22020096
1574464974,22020096
1574464975,22020096
1574464976,22020096
1574464977,22020096
1574464978,22020096
1574464980,22020096
1574464980,22020096
1574464981,22020096
1574464982,22020096
1574464983,22020096
1574464984,22020096
1574464985,22020096
1574464986,22020096
1574464987,22020096
