t,value
1574464738,-1
1574464739,-1
1574464740,-1
1574464741,-1
1574464742,-1
1574464743,-1
1574464744,-1
1574464745,-1
1574464746,-1
1574464747,-1
1574464748,-1
1574464749,-1
1574464750,-1
1574464751,-1
1574464752,-1
1574464753,-1
1574464754,-1
1574464755,-1
1574464756,-1
1574464757,-1
1574464758,-1
1574464759,-1
1574464760,-1
1574464761,-1
1574464762,-1
1574464763,-1
1574464764,-1
1574464765,-1
1574464766,-1
1574464767,-1
1574464768,-1
1574464769,-1
1574464770,-1
1574464771,-1
1574464772,-1
1574464773,-1
1574464774,-1
1574464775,-1
1574464776,-1
1574464777,-1
1574464778,-1
1574464779,-1
1574464780,-1
1574464781,-1
1574464782,-1
1574464783,-1
1574464784,-1
1574464785,-1
1574464786,-1
1574464787,-1
1574464788,-1
1574464789,-1
1574464790,-1
1574464791,-1
1574464792,-1
1574464793,-1
1574464794,-1
1574464795,-1
1574464796,-1
1574464797,-1
1574464798,-1
1574464799,-1
1574464800,-1
1574464801,-1
1574464802,-1
1574464803,-1
1574464804,-1
1574464805,-1
1574464806,-1
1574464807,-1
1574464808,-1
1574464809,-1
1574464810,-1
1574464811,-1
1574464812,-1
1574464813,-1
1574464814,-1
1574464815,-1
1574464816,-1
1574464817,-1
1574464818,-1
1574464819,-1
1574464820,-1
1574464821,-1
1574464822,-1
1574464823,-1
1574464824,-1
1574464825,-1
1574464826,-1
1574464827,-1
1574464828,-1
1574464829,-1
1574464830,-1
1574464831,-1
1574464832,-1
1574464833,-1
1574464834,-1
1574464835,-1
1574464836,-1
1574464837,-1
1574464838,-1
1574464839,-1
1574464840,-1
1574464841,-1
1574464842,-1
1574464843,-1
1574464844,-1
1574464845,-1
1574464846,-1
1574464847,-1
1574464848,-1
1574464849,-1
1574464850,-1
1574464851,-1
1574464852,-1
1574464853,-1
1574464854,-1
1574464855,-1
1574464856,-1
1574464857,-1
1574464858,-1
1574464859,-1
1574464860,-1
1574464861,-1
1574464862,-1
1574464863,-1
1574464864,-1
1574464865,-1
1574464866,-1
1574464867,-1
1574464868,-1
1574464869,-1
1574464870,-1
1574464871,-1
1574464872,-1
1574464873,-1
1574464874,-1
1574464875,-1
1574464876,-1
1574464877,-1
1574464878,-1
1574464879,-1
1574464880,-1
1574464881,-1
1574464882,-1
1574464883,-1
1574464884,-1
1574464885,-1
1574464886,-1
1574464887,-1
1574464888,-1
1574464889,-1
1574464890,-1
1574464891,-1
1574464892,-1
1574464893,-1
1574464894,-1
1574464895,-1
1574464896,-1
1574464897,-1
1574464898,-1
1574464899,-1
1574464900,-1
1574464901,-1
1574464902,-1
1574464903,-1
1574464904,-1
1574464905,-1
1574464906,-1
1574464907,-1
1574464908,-1
1574464909,-1
1574464910,-1
1574464911,-1
1574464912,-1
1574464913,-1
1574464914,-1
1574464915,-1
1574464916,-1
1574464917,-1
1574464918,-1
1574464919,-1
1574464920,-1
1574464921,-1
1574464922,-1
1574464923,-1
1574464924,-1
1574464925,-1
1574464926,-1
1574464927,-1
1574464928,-1
1574464929,-1
1574464930,-1
1574464931,-1
1574464932,-1
1574464933,-1
1574464934,-1
1574464935,-1
1574464936,-1
1574464937,-1
1574464938,-1
1574464939,-1
1574464940,-1
1574464941,-1
1574464942,-1
1574464943,-1
1574464944,-1
1574464945,-1
1574464946,-1
1574464947,-1
1574464948,-1
1574464949,-1
1574464950,-1
1574464951,-1
1574464952,-1
1574464953,-1
1574464954,-1
1574464955,-1
1574464956,-1
1574464957,-1
1574464958,-1
1574464959,-1
1574464960,-1
1574464961,-1
1574464962,-1
1574464963,-1
1574464964,-1
1574464965,-1
1574464966,-1
1574464967,-1
1574464968,-1
1574464969,-1
1574464970,-1
1574464971,-1
1574464972,-1
1574464973,-1
1574464974,-1
1574464975,-1
1574464976,-1
1574464977,-1
1574464978,-1
1574464980,-1
1574464980,-1
1574464981,-1
1574464982,-1
1574464983,-1
1574464984,-1
1574464985,-1
1574464986,-1
1574464987,-1
