t,value
1574464738,7118232
1574464739,7193880
1574464740,7269872
1574464741,7285088
1574464742,7324568
1574464743,7327504
1574464744,7330496
1574464745,7347224
1574464746,7347584
1574464747,7347888
1574464748,7941824
1574464749,19992752
1574464750,21219032
1574464751,21251488
1574464752,21251488
1574464753,21251488
1574464754,21264304
1574464755,21264304
1574464756,21264304
1574464757,21264304
1574464758,21269416
1574464759,21289712
1574464760,21289968
1574464761,21290256
1574464762,21290256
1574464763,21303480
1574464764,21304920
1574464765,21305216
1574464766,21313024
1574464767,21313368
1574464768,21313792
1574464769,21317072
1574464770,21320296
1574464771,21320296
1574464772,21321496
1574464773,21322152
1574464774,21322152
1574464775,21322152
1574464776,21322152
1574464777,21322152
1574464778,21322152
1574464779,21322440
1574464780,21322440
1574464781,21329088
1574464782,21329088
1574464783,21329088
1574464784,21329088
1574464785,21329856
1574464786,21434096
1574464787,21507272
1574464788,21508992
1574464789,21512848
1574464790,21512848
1574464791,21512880
1574464792,21512880
1574464793,21512880
1574464794,21512880
1574464795,21513648
1574464796,21515056
1574464797,21515808
1574464798,21516504
1574464799,21516504
1574464800,21517080
1574464801,21517080
1574464802,21517080
1574464803,21517080
1574464804,21517080
1574464805,21517080
1574464806,21517080
1574464807,21517080
1574464808,21517080
1574464809,21517304
1574464810,21517304
1574464811,21518000
1574464812,21518000
1574464813,21518000
1574464814,21518512
1574464815,21518512
1574464816,21518512
1574464817,21519440
1574464818,21519440
1574464819,21519440
1574464820,21519440
1574464821,21519440
1574464822,21519744
1574464823,21520704
1574464824,21521488
1574464825,21521488
1574464826,21521488
1574464827,21521488
1574464828,21521488
1574464829,21521488
1574464830,21525080
1574464831,21525080
1574464832,21525080
1574464833,21525080
1574464834,21525080
1574464835,21525080
1574464836,21525360
1574464837,21525360
1574464838,21525360
1574464839,21525360
1574464840,21525360
1574464841,21525360
1574464842,21525360
1574464843,21526168
1574464844,21540144
1574464845,21540144
1574464846,21540144
1574464847,21540144
1574464848,21540864
1574464849,21540864
1574464850,21540864
1574464851,21540864
1574464852,21540864
1574464853,21540864
1574464854,21541624
1574464855,21541624
1574464856,21541624
1574464857,21542000
1574464858,21542288
1574464859,21542288
1574464860,21543016
1574464861,21543016
1574464862,21543320
1574464863,21543320
1574464864,21543320
1574464865,21547232
1574464866,21554152
1574464867,21554152
1574464868,21554152
1574464869,21554152
1574464870,21554152
1574464871,21554152
1574464872,21554776
1574464873,21554776
1574464874,21554776
1574464875,21554776
1574464876,21554776
1574464877,21554776
1574464878,21554776
1574464879,21554776
1574464880,21554776
1574464881,21554776
1574464882,21554776
1574464883,21554776
1574464884,21554776
1574464885,21554776
1574464886,21554776
1574464887,21554776
1574464888,21554776
1574464889,21554776
1574464890,21554776
1574464891,21554776
1574464892,21554776
1574464893,21554776
1574464894,21554776
1574464895,21554776
1574464896,21554776
1574464897,21554776
1574464898,21554776
1574464899,21554776
1574464900,21554776
1574464901,21554776
1574464902,21554776
1574464903,21554776
1574464904,21554776
1574464905,21554776
1574464906,21554776
1574464907,21554776
1574464908,21554776
1574464909,21554776
1574464910,21554776
1574464911,21554776
1574464912,21554776
1574464913,21554776
1574464914,21554776
1574464915,21554776
1574464916,21554776
1574464917,21554776
1574464918,21555728
1574464919,21555728
1574464920,21556072
1574464921,21556072
1574464922,21556072
1574464923,21556072
1574464924,21556072
1574464925,21556072
1574464926,21556072
1574464927,21556072
1574464928,21556072
1574464929,21556072
1574464930,21556072
1574464931,21556072
1574464932,21556072
1574464933,21556072
1574464934,21556072
1574464935,21556072
1574464936,21556072
1574464937,21556072
1574464938,21556072
1574464939,21556072
1574464940,21556072
1574464941,21556072
1574464942,21556072
1574464943,21556360
1574464944,21556360
1574464945,21556360
1574464946,21556360
1574464947,21556360
1574464948,21556456
1574464949,21556456
1574464950,21556456
1574464951,21556832
1574464952,21556832
1574464953,21556832
1574464954,21556832
1574464955,21556832
1574464956,21556832
1574464957,21556832
1574464958,21556832
1574464959,21556832
1574464960,21556832
1574464961,21556832
1574464962,21556832
1574464963,21556832
1574464964,21556832
1574464965,21556832
1574464966,21556832
1574464967,21556832
1574464968,21556832
1574464969,21556832
1574464970,21556832
1574464971,21556832
1574464972,21556832
1574464973,21556832
1574464974,21556832
1574464975,21556832
1574464976,21559864
1574464977,21559864
1574464978,21560352
1574464980,21560352
1574464980,21560352
1574464981,21560352
1574464982,21560352
1574464983,21560352
1574464984,21560352
1574464985,21560352
1574464986,21560352
1574464987,21563432
