t,value
1574464738,132120576
1574464739,132120576
1574464740,132120576
1574464741,132120576
1574464742,132120576
1574464743,132120576
1574464744,132120576
1574464745,132120576
1574464746,132120576
1574464747,132120576
1574464748,132120576
1574464749,132120576
1574464750,132120576
1574464751,132120576
1574464752,132120576
1574464753,132120576
1574464754,132120576
1574464755,132120576
1574464756,132120576
1574464757,132120576
1574464758,132120576
1574464759,132120576
1574464760,132120576
1574464761,132120576
1574464762,132120576
1574464763,132120576
1574464764,132120576
1574464765,132120576
1574464766,132120576
1574464767,132120576
1574464768,132120576
1574464769,132120576
1574464770,132120576
1574464771,132120576
1574464772,132120576
1574464773,132120576
1574464774,132120576
1574464775,132120576
1574464776,132120576
1574464777,132120576
1574464778,132120576
1574464779,132120576
1574464780,132120576
1574464781,132120576
1574464782,132120576
1574464783,132120576
1574464784,132120576
1574464785,132120576
1574464786,388497408
1574464787,441450496
1574464788,441450496
1574464789,441450496
1574464790,555220992
1574464791,555220992
1574464792,555220992
1574464793,555220992
1574464794,555220992
1574464795,555220992
1574464796,645922816
1574464797,645922816
1574464798,645922816
1574464799,645922816
1574464800,645922816
1574464801,645922816
1574464802,714080256
1574464803,714080256
1574464804,714080256
1574464805,714080256
1574464806,714080256
1574464807,714080256
1574464808,760741888
1574464809,760741888
1574464810,760741888
1574464811,760741888
1574464812,760741888
1574464813,760741888
1574464814,791674880
1574464815,791674880
1574464816,791674880
1574464817,791674880
1574464818,791674880
1574464819,791674880
1574464820,805306368
1574464821,805306368
1574464822,805306368
1574464823,805306368
1574464824,805306368
1574464825,805306368
1574464826,814219264
1574464827,814219264
1574464828,814219264
1574464829,814219264
1574464830,814219264
1574464831,820510720
1574464832,820510720
1574464833,820510720
1574464834,820510720
1574464835,820510720
1574464836,825229312
1574464837,825229312
1574464838,825229312
1574464839,825229312
1574464840,825229312
1574464841,828375040
1574464842,828375040
1574464843,828375040
1574464844,828375040
1574464845,830996480
1574464846,830996480
1574464847,830996480
1574464848,830996480
1574464849,833617920
1574464850,833617920
1574464851,833617920
1574464852,833617920
1574464853,836239360
1574464854,836239360
1574464855,836239360
1574464856,836239360
1574464857,838336512
1574464858,838336512
1574464859,838336512
1574464860,838336512
1574464861,840433664
1574464862,840433664
1574464863,840433664
1574464864,840433664
1574464865,842530816
1574464866,842530816
1574464867,842530816
1574464868,842530816
1574464869,845152256
1574464870,845152256
1574464871,845152256
1574464872,847249408
1574464873,847249408
1574464874,847249408
1574464875,847249408
1574464876,849346560
1574464877,849346560
1574464878,849346560
1574464879,851443712
1574464880,851443712
1574464881,851443712
1574464882,853540864
1574464883,853540864
1574464884,853540864
1574464885,853540864
1574464886,855638016
1574464887,855638016
1574464888,855638016
1574464889,857735168
1574464890,857735168
1574464891,857735168
1574464892,860356608
1574464893,860356608
1574464894,860356608
1574464895,862978048
1574464896,862978048
1574464897,862978048
1574464898,865075200
1574464899,865075200
1574464900,865075200
1574464901,867172352
1574464902,867172352
1574464903,867172352
1574464904,869269504
1574464905,869269504
1574464906,871366656
1574464907,871366656
1574464908,871366656
1574464909,873988096
1574464910,873988096
1574464911,873988096
1574464912,876609536
1574464913,876609536
1574464914,876609536
1574464915,879230976
1574464916,879230976
1574464917,881852416
1574464918,881852416
1574464919,881852416
1574464920,884473856
1574464921,884473856
1574464922,887095296
1574464923,887095296
1574464924,887095296
1574464925,889716736
1574464926,889716736
1574464927,889716736
1574464928,892338176
1574464929,892338176
1574464930,894959616
1574464931,894959616
1574464932,894959616
1574464933,897056768
1574464934,897056768
1574464935,899153920
1574464936,899153920
1574464937,899153920
1574464938,899678208
1574464939,899678208
1574464940,899678208
1574464941,901251072
1574464942,901251072
1574464943,903348224
1574464944,903348224
1574464945,903348224
1574464946,905445376
1574464947,905445376
1574464948,905445376
1574464949,908066816
1574464950,908066816
1574464951,910688256
1574464952,910688256
1574464953,910688256
1574464954,913309696
1574464955,913309696
1574464956,913309696
1574464957,915931136
1574464958,915931136
1574464959,918552576
1574464960,918552576
1574464961,918552576
1574464962,921174016
1574464963,921174016
1574464964,921174016
1574464965,923795456
1574464966,923795456
1574464967,926416896
1574464968,926416896
1574464969,926416896
1574464970,929038336
1574464971,929038336
1574464972,929038336
1574464973,931659776
1574464974,931659776
1574464975,931659776
1574464976,934281216
1574464977,934281216
1574464978,937426944
1574464980,937426944
1574464980,940048384
1574464981,940048384
1574464982,940048384
1574464983,940048384
1574464984,942669824
1574464985,942669824
1574464986,942669824
1574464987,945291264
