t,value
1574464738,2756706304
1574464739,2756706304
1574464740,2756706304
1574464741,2756706304
1574464742,2756706304
1574464743,2756706304
1574464744,2756706304
1574464745,2756706304
1574464746,2756706304
1574464747,2756706304
1574464748,2756706304
1574464749,2756706304
1574464750,2756706304
1574464751,2756706304
1574464752,2756706304
1574464753,2756706304
1574464754,2756706304
1574464755,2756706304
1574464756,2756706304
1574464757,2756706304
1574464758,2756706304
1574464759,2756706304
1574464760,2756706304
1574464761,2756706304
1574464762,2756706304
1574464763,2756706304
1574464764,2756706304
1574464765,2756706304
1574464766,2756706304
1574464767,2756706304
1574464768,2756706304
1574464769,2756706304
1574464770,2756706304
1574464771,2756706304
1574464772,2756706304
1574464773,2756706304
1574464774,2756706304
1574464775,2756706304
1574464776,2756706304
1574464777,2756706304
1574464778,2756706304
1574464779,2756706304
1574464780,2756706304
1574464781,2756706304
1574464782,2756706304
1574464783,2756706304
1574464784,2756706304
1574464785,2756706304
1574464786,2446852096
1574464787,2262827008
1574464788,2262827008
1574464789,2262827008
1574464790,2124939264
1574464791,2124939264
1574464792,2124939264
1574464793,2136997888
1574464794,2136997888
1574464795,2136997888
1574464796,2189426688
1574464797,2189426688
1574464798,2189426688
1574464799,2171076608
1574464800,2171076608
1574464801,2171076608
1574464802,2232942592
1574464803,2232942592
1574464804,2232942592
1574464805,2216165376
1574464806,2216165376
1574464807,2216165376
1574464808,2279079936
1574464809,2279079936
1574464810,2279079936
1574464811,2266497024
1574464812,2266497024
1574464813,2266497024
1574464814,2327314432
1574464815,2327314432
1574464816,2327314432
1574464817,2318925824
1574464818,2318925824
1574464819,2318925824
1574464820,2374500352
1574464821,2374500352
1574464822,2374500352
1574464823,2589982720
1574464824,2589982720
1574464825,2589982720
1574464826,2423259136
1574464827,2423259136
1574464828,2614624256
1574464829,2614624256
1574464830,2614624256
1574464831,2467299328
1574464832,2467299328
1574464833,2637168640
1574464834,2637168640
1574464835,2637168640
1574464836,2509242368
1574464837,2509242368
1574464838,2658140160
1574464839,2658140160
1574464840,2658140160
1574464841,2546991104
1574464842,2546991104
1574464843,2676490240
1574464844,2676490240
1574464845,2581069824
1574464846,2581069824
1574464847,2692743168
1574464848,2692743168
1574464849,2611478528
1574464850,2611478528
1574464851,2707423232
1574464852,2707423232
1574464853,2637692928
1574464854,2637692928
1574464855,2720530432
1574464856,2720530432
1574464857,2660761600
1574464858,2660761600
1574464859,2731540480
1574464860,2731540480
1574464861,2681208832
1574464862,2681208832
1574464863,2741501952
1574464864,2741501952
1574464865,2697986048
1574464866,2697986048
1574464867,2749890560
1574464868,2749890560
1574464869,2712666112
1574464870,2756706304
1574464871,2756706304
1574464872,2726821888
1574464873,2726821888
1574464874,2762997760
1574464875,2762997760
1574464876,2737831936
1574464877,2736783360
1574464878,2736783360
1574464879,2746744832
1574464880,2746744832
1574464881,2746220544
1574464882,2754609152
1574464883,2754609152
1574464884,2754609152
1574464885,2761424896
1574464886,2761424896
1574464887,2761424896
1574464888,2761424896
1574464889,2766143488
1574464890,2766667776
1574464891,2766667776
1574464892,2770862080
1574464893,2771910656
1574464894,2771910656
1574464895,2776629248
1574464896,2776104960
1574464897,2776104960
1574464898,2779774976
1574464899,2779774976
1574464900,2779774976
1574464901,2782396416
1574464902,2782396416
1574464903,2782396416
1574464904,2784493568
1574464905,2785017856
1574464906,2787639296
1574464907,2787639296
1574464908,2787115008
1574464909,2788687872
1574464910,2788687872
1574464911,2788687872
1574464912,2790785024
1574464913,2790260736
1574464914,2790260736
1574464915,2791833600
1574464916,2791309312
1574464917,2792882176
1574464918,2792882176
1574464919,2792357888
1574464920,2793930752
1574464921,2793406464
1574464922,2794979328
1574464923,2794979328
1574464924,2794455040
1574464925,2794455040
1574464926,2794455040
1574464927,2794455040
1574464928,2794455040
1574464929,2794979328
1574464930,2795503616
1574464931,2795503616
1574464932,2795503616
1574464933,2796027904
1574464934,2795503616
1574464935,2795503616
1574464936,2795503616
1574464937,2794455040
1574464938,2791833600
1574464939,2789212160
1574464940,2789212160
1574464941,2787115008
1574464942,2785542144
1574464943,2784493568
1574464944,2784493568
1574464945,2783444992
1574464946,2782396416
1574464947,2781347840
1574464948,2781347840
1574464949,2780823552
1574464950,2780299264
1574464951,2779774976
1574464952,2779774976
1574464953,2779774976
1574464954,2779774976
1574464955,2779774976
1574464956,2779774976
1574464957,2779774976
1574464958,2779774976
1574464959,2779774976
1574464960,2779774976
1574464961,2779774976
1574464962,2779774976
1574464963,2779774976
1574464964,2779774976
1574464965,2779774976
1574464966,2779774976
1574464967,2779774976
1574464968,2779774976
1574464969,2780299264
1574464970,2780823552
1574464971,2780823552
1574464972,2780823552
1574464973,2780823552
1574464974,2780823552
1574464975,2780823552
1574464976,2780823552
1574464977,2781347840
1574464978,2781872128
1574464980,2781872128
1574464980,2782396416
1574464981,2782396416
1574464982,2781872128
1574464983,2781872128
1574464984,2781872128
1574464985,2781872128
1574464986,2781872128
1574464987,2781872128
