t,value
1574464738,351272960
1574464739,351272960
1574464740,351272960
1574464741,351272960
1574464742,351272960
1574464743,351272960
1574464744,351272960
1574464745,351272960
1574464746,351272960
1574464747,351272960
1574464748,351272960
1574464749,351272960
1574464750,351272960
1574464751,351272960
1574464752,351272960
1574464753,351272960
1574464754,351272960
1574464755,351272960
1574464756,351272960
1574464757,351272960
1574464758,351272960
1574464759,351272960
1574464760,351272960
1574464761,351272960
1574464762,351272960
1574464763,351272960
1574464764,351272960
1574464765,351272960
1574464766,351272960
1574464767,351272960
1574464768,351272960
1574464769,351272960
1574464770,351272960
1574464771,351272960
1574464772,351272960
1574464773,351272960
1574464774,351272960
1574464775,351272960
1574464776,351272960
1574464777,351272960
1574464778,351272960
1574464779,351272960
1574464780,351272960
1574464781,351272960
1574464782,351272960
1574464783,351272960
1574464784,351272960
1574464785,351272960
1574464786,351272960
1574464787,351272960
1574464788,351272960
1574464789,351272960
1574464790,351272960
1574464791,351272960
1574464792,351272960
1574464793,351272960
1574464794,351272960
1574464795,351272960
1574464796,351272960
1574464797,351272960
1574464798,351272960
1574464799,351272960
1574464800,351272960
1574464801,351272960
1574464802,351272960
1574464803,351272960
1574464804,351272960
1574464805,351272960
1574464806,351272960
1574464807,351272960
1574464808,351272960
1574464809,351272960
1574464810,351272960
1574464811,351272960
1574464812,351272960
1574464813,351272960
1574464814,351272960
1574464815,351272960
1574464816,351272960
1574464817,351272960
1574464818,351272960
1574464819,351272960
1574464820,351272960
1574464821,351272960
1574464822,351272960
1574464823,351272960
1574464824,351272960
1574464825,351272960
1574464826,351272960
1574464827,351272960
1574464828,351272960
1574464829,351272960
1574464830,351272960
1574464831,351272960
1574464832,351272960
1574464833,351272960
1574464834,351272960
1574464835,351272960
1574464836,351272960
1574464837,351272960
1574464838,351272960
1574464839,351272960
1574464840,351272960
1574464841,351272960
1574464842,351272960
1574464843,351272960
1574464844,351272960
1574464845,351272960
1574464846,351272960
1574464847,351272960
1574464848,351272960
1574464849,351272960
1574464850,351272960
1574464851,351272960
1574464852,351272960
1574464853,351272960
1574464854,351272960
1574464855,351272960
1574464856,351272960
1574464857,351272960
1574464858,351272960
1574464859,351272960
1574464860,351272960
1574464861,351272960
1574464862,351272960
1574464863,351272960
1574464864,351272960
1574464865,351272960
1574464866,351272960
1574464867,351272960
1574464868,351272960
1574464869,351272960
1574464870,351272960
1574464871,351272960
1574464872,351272960
1574464873,351272960
1574464874,351272960
1574464875,351272960
1574464876,351272960
1574464877,351272960
1574464878,351272960
1574464879,351272960
1574464880,351272960
1574464881,351272960
1574464882,351272960
1574464883,351272960
1574464884,351272960
1574464885,351272960
1574464886,351272960
1574464887,351272960
1574464888,351272960
1574464889,351272960
1574464890,351272960
1574464891,351272960
1574464892,351272960
1574464893,351272960
1574464894,351272960
1574464895,351272960
1574464896,351272960
1574464897,351272960
1574464898,351272960
1574464899,351272960
1574464900,351272960
1574464901,351272960
1574464902,351272960
1574464903,351272960
1574464904,351272960
1574464905,351272960
1574464906,351272960
1574464907,351272960
1574464908,351272960
1574464909,351272960
1574464910,351272960
1574464911,351272960
1574464912,351272960
1574464913,351272960
1574464914,351272960
1574464915,351272960
1574464916,351272960
1574464917,351272960
1574464918,351272960
1574464919,351272960
1574464920,351272960
1574464921,351272960
1574464922,351272960
1574464923,351272960
1574464924,351272960
1574464925,351272960
1574464926,351272960
1574464927,351272960
1574464928,351272960
1574464929,351272960
1574464930,351272960
1574464931,351272960
1574464932,351272960
1574464933,351272960
1574464934,351272960
1574464935,351272960
1574464936,351272960
1574464937,351272960
1574464938,351272960
1574464939,351272960
1574464940,351272960
1574464941,351272960
1574464942,351272960
1574464943,351272960
1574464944,351272960
1574464945,351272960
1574464946,351272960
1574464947,351272960
1574464948,351272960
1574464949,351272960
1574464950,351272960
1574464951,351272960
1574464952,351272960
1574464953,351272960
1574464954,351272960
1574464955,351272960
1574464956,351272960
1574464957,351272960
1574464958,351272960
1574464959,351272960
1574464960,351272960
1574464961,351272960
1574464962,351272960
1574464963,351272960
1574464964,351272960
1574464965,351272960
1574464966,351272960
1574464967,351272960
1574464968,351272960
1574464969,351272960
1574464970,351272960
1574464971,351272960
1574464972,351272960
1574464973,351272960
1574464974,351272960
1574464975,351272960
1574464976,351272960
1574464977,351272960
1574464978,351272960
1574464980,351272960
1574464980,351272960
1574464981,351272960
1574464982,351272960
1574464983,351272960
1574464984,351272960
1574464985,351272960
1574464986,351272960
1574464987,351272960
