t,value
1574464738,5599395840
1574464739,5599395840
1574464740,5599395840
1574464741,5599395840
1574464742,5599395840
1574464743,5599395840
1574464744,5599395840
1574464745,5599395840
1574464746,5599395840
1574464747,5599395840
1574464748,5599395840
1574464749,5599395840
1574464750,5599395840
1574464751,5599395840
1574464752,5599395840
1574464753,5599395840
1574464754,5599395840
1574464755,5599395840
1574464756,5599395840
1574464757,5599395840
1574464758,5599395840
1574464759,5599395840
1574464760,5599395840
1574464761,5599395840
1574464762,5599395840
1574464763,5599395840
1574464764,5599395840
1574464765,5599395840
1574464766,5599395840
1574464767,5599395840
1574464768,5599395840
1574464769,5599395840
1574464770,5599395840
1574464771,5599395840
1574464772,5599395840
1574464773,5599395840
1574464774,5599395840
1574464775,5599395840
1574464776,5599395840
1574464777,5599395840
1574464778,5599395840
1574464779,5599395840
1574464780,5599395840
1574464781,5599395840
1574464782,5599395840
1574464783,5599395840
1574464784,5599395840
1574464785,5599395840
1574464786,5599395840
1574464787,5599395840
1574464788,5599395840
1574464789,5599395840
1574464790,5599395840
1574464791,5599395840
1574464792,5599395840
1574464793,5599395840
1574464794,5599395840
1574464795,5599395840
1574464796,5599395840
1574464797,5599395840
1574464798,5599395840
1574464799,5599395840
1574464800,5599395840
1574464801,5599395840
1574464802,5599395840
1574464803,5599395840
1574464804,5599395840
1574464805,5599395840
1574464806,5599395840
1574464807,5599395840
1574464808,5599395840
1574464809,5599395840
1574464810,5599395840
1574464811,5599395840
1574464812,5599395840
1574464813,5599395840
1574464814,5599395840
1574464815,5599395840
1574464816,5599395840
1574464817,5599395840
1574464818,5599395840
1574464819,5599395840
1574464820,5599395840
1574464821,5599395840
1574464822,5599395840
1574464823,5599395840
1574464824,5599395840
1574464825,5599395840
1574464826,5599395840
1574464827,5599395840
1574464828,5599395840
1574464829,5599395840
1574464830,5599395840
1574464831,5599395840
1574464832,5599395840
1574464833,5599395840
1574464834,5599395840
1574464835,5599395840
1574464836,5599395840
1574464837,5599395840
1574464838,5599395840
1574464839,5599395840
1574464840,5599395840
1574464841,5599395840
1574464842,5599395840
1574464843,5599395840
1574464844,5599395840
1574464845,5599395840
1574464846,5599395840
1574464847,5599395840
1574464848,5599395840
1574464849,5599395840
1574464850,5599395840
1574464851,5599395840
1574464852,5599395840
1574464853,5599395840
1574464854,5599395840
1574464855,5599395840
1574464856,5599395840
1574464857,5599395840
1574464858,5599395840
1574464859,5599395840
1574464860,5599395840
1574464861,5599395840
1574464862,5599395840
1574464863,5599395840
1574464864,5599395840
1574464865,5599395840
1574464866,5599395840
1574464867,5599395840
1574464868,5599395840
1574464869,5599395840
1574464870,5599395840
1574464871,5599395840
1574464872,5599395840
1574464873,5599395840
1574464874,5599395840
1574464875,5599395840
1574464876,5599395840
1574464877,5599395840
1574464878,5599395840
1574464879,5599395840
1574464880,5599395840
1574464881,5599395840
1574464882,5599395840
1574464883,5599395840
1574464884,5599395840
1574464885,5599395840
1574464886,5599395840
1574464887,5599395840
1574464888,5599395840
1574464889,5599395840
1574464890,5599395840
1574464891,5599395840
1574464892,5599395840
1574464893,5599395840
1574464894,5599395840
1574464895,5599395840
1574464896,5599395840
1574464897,5599395840
1574464898,5599395840
1574464899,5599395840
1574464900,5599395840
1574464901,5599395840
1574464902,5599395840
1574464903,5599395840
1574464904,5599395840
1574464905,5599395840
1574464906,5599395840
1574464907,5599395840
1574464908,5599395840
1574464909,5599395840
1574464910,5599395840
1574464911,5599395840
1574464912,5599395840
1574464913,5599395840
1574464914,5599395840
1574464915,5599395840
1574464916,5599395840
1574464917,5599395840
1574464918,5599395840
1574464919,5599395840
1574464920,5599395840
1574464921,5599395840
1574464922,5599395840
1574464923,5599395840
1574464924,5599395840
1574464925,5599395840
1574464926,5599395840
1574464927,5599395840
1574464928,5599395840
1574464929,5599395840
1574464930,5599395840
1574464931,5599395840
1574464932,5599395840
1574464933,5599395840
1574464934,5599395840
1574464935,5599395840
1574464936,5599395840
1574464937,5599395840
1574464938,5599395840
1574464939,5599395840
1574464940,5599395840
1574464941,5599395840
1574464942,5599395840
1574464943,5599395840
1574464944,5599395840
1574464945,5599395840
1574464946,5599395840
1574464947,5599395840
1574464948,5599395840
1574464949,5599395840
1574464950,5599395840
1574464951,5599395840
1574464952,5599395840
1574464953,5599395840
1574464954,5599395840
1574464955,5599395840
1574464956,5599395840
1574464957,5599395840
1574464958,5599395840
1574464959,5599395840
1574464960,5599395840
1574464961,5599395840
1574464962,5599395840
1574464963,5599395840
1574464964,5599395840
1574464965,5599395840
1574464966,5599395840
1574464967,5599395840
1574464968,5599395840
1574464969,5599395840
1574464970,5599395840
1574464971,5599395840
1574464972,5599395840
1574464973,5599395840
1574464974,5599395840
1574464975,5599395840
1574464976,5599395840
1574464977,5599395840
1574464978,5599395840
1574464980,5599395840
1574464980,5599395840
1574464981,5599395840
1574464982,5599395840
1574464983,5599395840
1574464984,5599395840
1574464985,5599395840
1574464986,5599395840
1574464987,5599395840
