t,value
1574464738,0
1574464739,0
1574464740,0
1574464741,0
1574464742,0
1574464743,0
1574464744,0
1574464745,0
1574464746,0
1574464747,0
1574464748,0
1574464749,0
1574464750,0
1574464751,0
1574464752,0
1574464753,0
1574464754,0
1574464755,0
1574464756,0
1574464757,0
1574464758,0
1574464759,0
1574464760,0
1574464761,0
1574464762,0
1574464763,0
1574464764,0
1574464765,0
1574464766,0
1574464767,0
1574464768,0
1574464769,0
1574464770,0
1574464771,0
1574464772,0
1574464773,0
1574464774,0
1574464775,0
1574464776,0
1574464777,0
1574464778,0
1574464779,0
1574464780,0
1574464781,0
1574464782,0
1574464783,0
1574464784,0
1574464785,0
1574464786,1655024648
1574464787,1078029936
1574464788,1078029936
1574464789,1078029936
1574464790,1078029936
1574464791,1078029936
1574464792,1078029936
1574464793,1078029936
1574464794,1078029936
1574464795,1078029936
1574464796,1078029936
1574464797,1078029936
1574464798,1078029936
1574464799,1078029936
1574464800,1078029936
1574464801,1078029936
1574464802,1078029936
1574464803,1078029936
1574464804,1078029936
1574464805,1078029936
1574464806,1078029936
1574464807,1078029936
1574464808,1078029936
1574464809,1078029936
1574464810,1078029936
1574464811,1078029936
1574464812,1078029936
1574464813,1078029936
1574464814,1078029936
1574464815,1078029936
1574464816,1078029936
1574464817,1078029936
1574464818,1078029936
1574464819,1078029936
1574464820,1078029936
1574464821,1078029936
1574464822,1078029936
1574464823,1078029936
1574464824,1078029936
1574464825,1078029936
1574464826,1078029936
1574464827,1078029936
1574464828,1078029936
1574464829,1078029936
1574464830,1078029936
1574464831,1078029936
1574464832,1078029936
1574464833,1078029936
1574464834,1078029936
1574464835,1078029936
1574464836,1078029936
1574464837,1078029936
1574464838,1078029936
1574464839,1078029936
1574464840,1078029936
1574464841,1078029936
1574464842,1078029936
1574464843,1078029936
1574464844,1078029936
1574464845,1078029936
1574464846,1078029936
1574464847,1078029936
1574464848,1078029936
1574464849,1078029936
1574464850,1078029936
1574464851,1078029936
1574464852,1078029936
1574464853,1078029936
1574464854,1078029936
1574464855,1078029936
1574464856,1078029936
1574464857,1078029936
1574464858,1078029936
1574464859,1078029936
1574464860,1078029936
1574464861,1078029936
1574464862,1078029936
1574464863,1078029936
1574464864,1078029936
1574464865,1078029936
1574464866,1078029936
1574464867,1078029936
1574464868,1078029936
1574464869,1078029936
1574464870,1078029936
1574464871,1078029936
1574464872,1078029936
1574464873,1078029936
1574464874,1078029936
1574464875,1078029936
1574464876,1078029936
1574464877,1078029936
1574464878,1078029936
1574464879,1078029936
1574464880,1078029936
1574464881,1078029936
1574464882,1078029936
1574464883,1078029936
1574464884,1078029936
1574464885,1078029936
1574464886,1078029936
1574464887,1078029936
1574464888,1078029936
1574464889,1078029936
1574464890,1078029936
1574464891,1078029936
1574464892,1078029936
1574464893,1078029936
1574464894,1078029936
1574464895,1078029936
1574464896,1078029936
1574464897,1078029936
1574464898,1078029936
1574464899,1078029936
1574464900,1078029936
1574464901,1078029936
1574464902,1078029936
1574464903,1078029936
1574464904,1078029936
1574464905,1078029936
1574464906,1078029936
1574464907,1078029936
1574464908,1078029936
1574464909,1078029936
1574464910,1078029936
1574464911,1078029936
1574464912,1078029936
1574464913,1078029936
1574464914,1078029936
1574464915,1078029936
1574464916,1078029936
1574464917,1078029936
1574464918,1078029936
1574464919,1078029936
1574464920,1078029936
1574464921,1078029936
1574464922,1078029936
1574464923,1078029936
1574464924,1078029936
1574464925,1078029936
1574464926,1078029936
1574464927,1078029936
1574464928,1078029936
1574464929,1078029936
1574464930,1078029936
1574464931,1078029936
1574464932,1078029936
1574464933,1078029936
1574464934,1078029936
1574464935,1078029936
1574464936,1078029936
1574464937,1078029936
1574464938,1078029936
1574464939,1078029936
1574464940,1078029936
1574464941,1078029936
1574464942,1078029936
1574464943,1078029936
1574464944,1078029936
1574464945,1078029936
1574464946,1078029936
1574464947,1078029936
1574464948,1078029936
1574464949,1078029936
1574464950,1078029936
1574464951,1078029936
1574464952,1078029936
1574464953,1078029936
1574464954,1078029936
1574464955,1078029936
1574464956,1078029936
1574464957,1078029936
1574464958,1078029936
1574464959,1078029936
1574464960,1078029936
1574464961,1078029936
1574464962,1078029936
1574464963,1078029936
1574464964,1078029936
1574464965,1078029936
1574464966,1078029936
1574464967,1078029936
1574464968,1078029936
1574464969,1078029936
1574464970,1078029936
1574464971,1078029936
1574464972,1078029936
1574464973,1078029936
1574464974,1078029936
1574464975,1078029936
1574464976,1078029936
1574464977,1078029936
1574464978,1078029936
1574464980,1078029936
1574464980,1078029936
1574464981,1078029936
1574464982,1078029936
1574464983,1078029936
1574464984,1078029936
1574464985,1078029936
1574464986,1078029936
1574464987,1078029936
