t,value
1574464738,21495808
1574464739,21495808
1574464740,21495808
1574464741,21495808
1574464742,21495808
1574464743,21495808
1574464744,21495808
1574464745,21495808
1574464746,21495808
1574464747,21495808
1574464748,21495808
1574464749,21495808
1574464750,21495808
1574464751,21495808
1574464752,21495808
1574464753,21495808
1574464754,21495808
1574464755,21495808
1574464756,21495808
1574464757,21495808
1574464758,21495808
1574464759,21495808
1574464760,21495808
1574464761,21495808
1574464762,21495808
1574464763,21495808
1574464764,21495808
1574464765,21495808
1574464766,21495808
1574464767,21495808
1574464768,21495808
1574464769,21495808
1574464770,21495808
1574464771,21495808
1574464772,21495808
1574464773,21495808
1574464774,21495808
1574464775,21495808
1574464776,21495808
1574464777,21495808
1574464778,21495808
1574464779,21495808
1574464780,21495808
1574464781,21495808
1574464782,21495808
1574464783,21495808
1574464784,21495808
1574464785,21495808
1574464786,155713536
1574464787,197132288
1574464788,197132288
1574464789,197132288
1574464790,339738624
1574464791,339738624
1574464792,339738624
1574464793,335020032
1574464794,335020032
1574464795,335020032
1574464796,290979840
1574464797,290979840
1574464798,290979840
1574464799,319291392
1574464800,319291392
1574464801,319291392
1574464802,268959744
1574464803,268959744
1574464804,268959744
1574464805,297795584
1574464806,297795584
1574464807,297795584
1574464808,247463936
1574464809,247463936
1574464810,247463936
1574464811,273154048
1574464812,273154048
1574464813,273154048
1574464814,225443840
1574464815,225443840
1574464816,225443840
1574464817,246939648
1574464818,246939648
1574464819,246939648
1574464820,204472320
1574464821,204472320
1574464822,204472320
1574464823,1572864
1574464824,1572864
1574464825,1572864
1574464826,180879360
1574464827,180879360
1574464828,1048576
1574464829,1048576
1574464830,1048576
1574464831,159907840
1574464832,159907840
1574464833,1048576
1574464834,1048576
1574464835,1048576
1574464836,139460608
1574464837,139460608
1574464838,1048576
1574464839,1048576
1574464840,121634816
1574464841,121634816
1574464842,121634816
1574464843,1048576
1574464844,1048576
1574464845,104857600
1574464846,104857600
1574464847,1048576
1574464848,1048576
1574464849,90177536
1574464850,90177536
1574464851,1048576
1574464852,1048576
1574464853,77594624
1574464854,77594624
1574464855,1048576
1574464856,1048576
1574464857,66584576
1574464858,66584576
1574464859,1048576
1574464860,1048576
1574464861,56623104
1574464862,56623104
1574464863,1048576
1574464864,1048576
1574464865,48758784
1574464866,48758784
1574464867,1048576
1574464868,1048576
1574464869,41943040
1574464870,1048576
1574464871,1048576
1574464872,34603008
1574464873,34603008
1574464874,1048576
1574464875,1048576
1574464876,29360128
1574464877,32505856
1574464878,32505856
1574464879,25165824
1574464880,25165824
1574464881,27787264
1574464882,21495808
1574464883,21495808
1574464884,23592960
1574464885,18350080
1574464886,18350080
1574464887,19922944
1574464888,19922944
1574464889,16252928
1574464890,17301504
1574464891,17301504
1574464892,14155776
1574464893,14680064
1574464894,14680064
1574464895,11010048
1574464896,12058624
1574464897,12058624
1574464898,9437184
1574464899,10485760
1574464900,10485760
1574464901,8388608
1574464902,8912896
1574464903,7340032
1574464904,7340032
1574464905,7864320
1574464906,5767168
1574464907,5767168
1574464908,6291456
1574464909,5242880
1574464910,5767168
1574464911,5767168
1574464912,4194304
1574464913,4718592
1574464914,3670016
1574464915,3670016
1574464916,4194304
1574464917,3145728
1574464918,3670016
1574464919,3670016
1574464920,2621440
1574464921,3145728
1574464922,2097152
1574464923,2097152
1574464924,2621440
1574464925,2621440
1574464926,2621440
1574464927,2621440
1574464928,2621440
1574464929,2621440
1574464930,2097152
1574464931,2097152
1574464932,2097152
1574464933,1572864
1574464934,2097152
1574464935,2097152
1574464936,2097152
1574464937,2097152
1574464938,3145728
1574464939,4718592
1574464940,4718592
1574464941,5767168
1574464942,6815744
1574464943,7340032
1574464944,7340032
1574464945,7864320
1574464946,8388608
1574464947,8912896
1574464948,8912896
1574464949,9437184
1574464950,9437184
1574464951,9961472
1574464952,9961472
1574464953,9961472
1574464954,9961472
1574464955,9961472
1574464956,9961472
1574464957,9961472
1574464958,9961472
1574464959,9961472
1574464960,9961472
1574464961,9961472
1574464962,9961472
1574464963,9961472
1574464964,9961472
1574464965,9961472
1574464966,9961472
1574464967,9961472
1574464968,9961472
1574464969,9961472
1574464970,9437184
1574464971,9437184
1574464972,9437184
1574464973,9437184
1574464974,9437184
1574464975,9437184
1574464976,9437184
1574464977,9437184
1574464978,8912896
1574464980,8912896
1574464980,8388608
1574464981,8388608
1574464982,8912896
1574464983,8912896
1574464984,8912896
1574464985,8912896
1574464986,8912896
1574464987,8912896
