t,value
1574464738,517537792
1574464739,517668864
1574464740,517865472
1574464741,517931008
1574464742,518062080
1574464743,518062080
1574464744,518258688
1574464745,518258688
1574464746,518258688
1574464747,518258688
1574464748,519503872
1574464749,1608712192
1574464750,1610809344
1574464751,1611202560
1574464752,1611202560
1574464753,1611202560
1574464754,1611202560
1574464755,1611202560
1574464756,1611202560
1574464757,1611202560
1574464758,1611202560
1574464759,1611202560
1574464760,1611202560
1574464761,1611202560
1574464762,1611268096
1574464763,1611268096
1574464764,1611333632
1574464765,1611333632
1574464766,1611333632
1574464767,1611399168
1574464768,1611399168
1574464769,1611399168
1574464770,1611399168
1574464771,1611399168
1574464772,1611399168
1574464773,1611399168
1574464774,1611399168
1574464775,1611399168
1574464776,1611464704
1574464777,1611464704
1574464778,1611464704
1574464779,1611464704
1574464780,1611464704
1574464781,1611464704
1574464782,1611464704
1574464783,1611464704
1574464784,1611464704
1574464785,1611464704
1574464786,2848522240
1574464787,2425946112
1574464788,2426142720
1574464789,2426667008
1574464790,2683043840
1574464791,2683043840
1574464792,2683043840
1574464793,2678325248
1574464794,2678325248
1574464795,2678325248
1574464796,2725052416
1574464797,2725052416
1574464798,2725052416
1574464799,2753363968
1574464800,2753363968
1574464801,2753363968
1574464802,2771189760
1574464803,2771189760
1574464804,2771320832
1574464805,2800156672
1574464806,2800156672
1574464807,2800156672
1574464808,2796486656
1574464809,2796486656
1574464810,2796486656
1574464811,2822176768
1574464812,2822176768
1574464813,2822176768
1574464814,2805399552
1574464815,2805399552
1574464816,2805399552
1574464817,2826895360
1574464818,2826895360
1574464819,2826895360
1574464820,2798059520
1574464821,2798059520
1574464822,2798059520
1574464823,2595160064
1574464824,2595160064
1574464825,2595160064
1574464826,2783379456
1574464827,2783379456
1574464828,2603548672
1574464829,2603548672
1574464830,2603548672
1574464831,2768699392
1574464832,2768699392
1574464833,2609971200
1574464834,2609971200
1574464835,2609971200
1574464836,2753101824
1574464837,2753101824
1574464838,2614689792
1574464839,2614689792
1574464840,2738421760
1574464841,2738421760
1574464842,2738421760
1574464843,2617835520
1574464844,2617835520
1574464845,2724265984
1574464846,2724265984
1574464847,2620456960
1574464848,2620456960
1574464849,2712207360
1574464850,2712207360
1574464851,2623078400
1574464852,2623078400
1574464853,2702245888
1574464854,2702245888
1574464855,2625699840
1574464856,2625699840
1574464857,2693332992
1574464858,2693332992
1574464859,2627796992
1574464860,2627796992
1574464861,2685468672
1574464862,2685468672
1574464863,2629894144
1574464864,2629894144
1574464865,2679701504
1574464866,2679701504
1574464867,2631991296
1574464868,2631991296
1574464869,2675507200
1574464870,2634612736
1574464871,2634612736
1574464872,2670264320
1574464873,2670264320
1574464874,2636709888
1574464875,2636709888
1574464876,2667118592
1574464877,2670264320
1574464878,2670264320
1574464879,2665021440
1574464880,2665021440
1574464881,2667642880
1574464882,2663448576
1574464883,2663448576
1574464884,2665545728
1574464885,2662400000
1574464886,2662400000
1574464887,2663972864
1574464888,2663972864
1574464889,2662400000
1574464890,2663448576
1574464891,2663448576
1574464892,2662924288
1574464893,2663448576
1574464894,2663448576
1574464895,2662400000
1574464896,2663448576
1574464897,2663448576
1574464898,2662924288
1574464899,2663972864
1574464900,2663972864
1574464901,2663972864
1574464902,2664497152
1574464903,2665021440
1574464904,2665021440
1574464905,2665545728
1574464906,2665545728
1574464907,2665545728
1574464908,2666070016
1574464909,2667642880
1574464910,2668167168
1574464911,2668167168
1574464912,2669215744
1574464913,2669740032
1574464914,2671312896
1574464915,2671312896
1574464916,2671837184
1574464917,2673410048
1574464918,2673934336
1574464919,2673934336
1574464920,2675507200
1574464921,2676031488
1574464922,2677604352
1574464923,2677604352
1574464924,2678128640
1574464925,2680750080
1574464926,2680750080
1574464927,2680750080
1574464928,2683371520
1574464929,2683371520
1574464930,2685468672
1574464931,2685468672
1574464932,2685468672
1574464933,2687041536
1574464934,2687565824
1574464935,2689662976
1574464936,2689662976
1574464937,2689662976
1574464938,2691235840
1574464939,2692808704
1574464940,2692808704
1574464941,2695430144
1574464942,2696478720
1574464943,2699100160
1574464944,2699100160
1574464945,2699624448
1574464946,2702245888
1574464947,2702770176
1574464948,2705915904
1574464949,2705915904
1574464950,2705915904
1574464951,2709061632
1574464952,2709061632
1574464953,2709061632
1574464954,2711683072
1574464955,2711683072
1574464956,2711683072
1574464957,2714304512
1574464958,2714304512
1574464959,2716925952
1574464960,2716925952
1574464961,2716925952
1574464962,2719547392
1574464963,2719547392
1574464964,2719547392
1574464965,2722168832
1574464966,2722168832
1574464967,2724790272
1574464968,2724790272
1574464969,2724790272
1574464970,2726887424
1574464971,2726887424
1574464972,2726887424
1574464973,2729508864
1574464974,2729508864
1574464975,2732130304
1574464976,2732130304
1574464977,2732130304
1574464978,2734751744
1574464980,2734751744
1574464980,2736848896
1574464981,2736848896
1574464982,2737373184
1574464983,2737373184
1574464984,2739994624
1574464985,2739994624
1574464986,2742616064
1574464987,2742616064
