t,value
1574464738,38268464
1574464739,38546032
1574464740,38767712
1574464741,41460384
1574464742,41626376
1574464743,41670280
1574464744,44473272
1574464745,44478328
1574464746,44494544
1574464747,47136952
1574464748,51063848
1574464749,1203021000
1574464750,1210381968
1574464751,1216007720
1574464752,1218655536
1574464753,1221299640
1574464754,1226605552
1574464755,1229249720
1574464756,1231893704
1574464757,1237163184
1574464758,1237198968
1574464759,1125546728
1574464760,1129493504
1574464761,1133654408
1574464762,1135191056
1574464763,1139252112
1574464764,1143427792
1574464765,1143436472
1574464766,1148948024
1574464767,1148979664
1574464768,1150453200
1574464769,1150442696
1574464770,1151951880
1574464771,1154594320
1574464772,1158754784
1574464773,1161373072
1574464774,1165489776
1574464775,1165478576
1574464776,1169641296
1574464777,1173789832
1574464778,1179021656
1574464779,1180493520
1574464780,1182673536
1574464781,1186835632
1574464782,1189478080
1574464783,1190993688
1574464784,1193649064
1574464785,1197800800
1574464786,2310532648
1574464787,1228570608
1574464788,1387926320
1574464789,1530121728
1574464790,1274417768
1574464791,1440000016
1574464792,1613118152
1574464793,1279015864
1574464794,1456851240
1574464795,1637577584
1574464796,1298362528
1574464797,1496200944
1574464798,1689341208
1574464799,1247137616
1574464800,1452858608
1574464801,1667371984
1574464802,1236886352
1574464803,1460603864
1574464804,1687569904
1574464805,1193272504
1574464806,1429001152
1574464807,1656131208
1574464808,1187496496
1574464809,1418098248
1574464810,1656856688
1574464811,1149874976
1574464812,1399942976
1574464813,1652798832
1574464814,1168849664
1574464815,1425248760
1574464816,1686209592
1574464817,1171833656
1574464818,1433775768
1574464819,1707757392
1574464820,1209524152
1574464821,1492029704
1574464822,1774695696
1574464823,1269455896
1574464824,1563175072
1574464825,1858363256
1574464826,1370485216
1574464827,1674345856
1574464828,1175125352
1574464829,1492738248
1574464830,1810831088
1574464831,1324734688
1574464832,1650453888
1574464833,1163475408
1574464834,1496805408
1574464835,1833331136
1574464836,1357101744
1574464837,1703839288
1574464838,1239243688
1574464839,1586792432
1574464840,1131665320
1574464841,1487205552
1574464842,1854709672
1574464843,1406372376
1574464844,1774661000
1574464845,1329926280
1574464846,1715464200
1574464847,1271042512
1574464848,1659206128
1574464849,1238440000
1574464850,1618347800
1574464851,1197318784
1574464852,1592101728
1574464853,1166866952
1574464854,1578988448
1574464855,1163232464
1574464856,1575916200
1574464857,1165973472
1574464858,1594085608
1574464859,1187758064
1574464860,1625844896
1574464861,1239769312
1574464862,1685702832
1574464863,1302549696
1574464864,1748928256
1574464865,1374712648
1574464866,1832866856
1574464867,1458027328
1574464868,1921854224
1574464869,1548866184
1574464870,1182667424
1574464871,1665858904
1574464872,1303616432
1574464873,1784419288
1574464874,1428650672
1574464875,1925671520
1574464876,1598907160
1574464877,1240359696
1574464878,1747586920
1574464879,1401888712
1574464880,1911764472
1574464881,1587785376
1574464882,1257583856
1574464883,1787651888
1574464884,1468467592
1574464885,1160593680
1574464886,1685253080
1574464887,1380851824
1574464888,1915418224
1574464889,1618012112
1574464890,1321781792
1574464891,1888221136
1574464892,1599688624
1574464893,1295807448
1574464894,1867167384
1574464895,1587316400
1574464896,1323447616
1574464897,1897913088
1574464898,1617193416
1574464899,1346431224
1574464900,1941931032
1574464901,1675893320
1574464902,1418572296
1574464903,1165474304
1574464904,1769021752
1574464905,1503017432
1574464906,1281119520
1574464907,1887142872
1574464908,1653324840
1574464909,1423789560
1574464910,1196958640
1574464911,1814461784
1574464912,1603282216
1574464913,1358237024
1574464914,1158453832
1574464915,1794500392
1574464916,1593845056
1574464917,1367600808
1574464918,1149886272
1574464919,1817920664
1574464920,1609911688
1574464921,1394679216
1574464922,1196205768
1574464923,1870586032
1574464924,1677810440
1574464925,1453768344
1574464926,1255159072
1574464927,1945358856
1574464928,1763591600
1574464929,1530372864
1574464930,1351436120
1574464931,1156454304
1574464932,1858764448
1574464933,1637277528
1574464934,1456841984
1574464935,1264027216
1574464936,1965147352
1574464937,1750864832
1574464938,1546741152
1574464939,1332139016
1574464940,1129873936
1574464941,1798012512
1574464942,1581830256
1574464943,1348792168
1574464944,1128769680
1574464945,1795373776
1574464946,1578385888
1574464947,1368394400
1574464948,1145438576
1574464949,1809073984
1574464950,1597418704
1574464951,1370246952
1574464952,1150391112
1574464953,1814703360
1574464954,1582984008
1574464955,1352634328
1574464956,2035426792
1574464957,1809236728
1574464958,1570781200
1574464959,1333128112
1574464960,2025227048
1574464961,1781633480
1574464962,1560711768
1574464963,1325781272
1574464964,2006238512
1574464965,1768571032
1574464966,1530675320
1574464967,1280630784
1574464968,1963402704
1574464969,1704893304
1574464970,1474691992
1574464971,1229610680
1574464972,1917988512
1574464973,1651438912
1574464974,1406087640
1574464975,1158376992
1574464976,1840871680
1574464977,1578911416
1574464978,1288607824
1574464980,1942055064
1574464980,1228812800
1574464981,1515325280
1574464982,1248178456
1574464983,1924343080
1574464984,1685537384
1574464985,1425766888
1574464986,1168214480
1574464987,1839043080
