t,value
1574464738,8
1574464739,8
1574464740,8
1574464741,8
1574464742,8
1574464743,8
1574464744,8
1574464745,8
1574464746,8
1574464747,8
1574464748,8
1574464749,12
1574464750,12
1574464751,13
1574464752,13
1574464753,13
1574464754,13
1574464755,13
1574464756,13
1574464757,13
1574464758,13
1574464759,13
1574464760,12
1574464761,12
1574464762,12
1574464763,12
1574464764,12
1574464765,12
1574464766,12
1574464767,12
1574464768,12
1574464769,12
1574464770,12
1574464771,12
1574464772,12
1574464773,12
1574464774,12
1574464775,12
1574464776,12
1574464777,12
1574464778,12
1574464779,12
1574464780,12
1574464781,12
1574464782,12
1574464783,12
1574464784,12
1574464785,12
1574464786,37
1574464787,38
1574464788,38
1574464789,39
1574464790,40
1574464791,40
1574464792,41
1574464793,42
1574464794,43
1574464795,43
1574464796,44
1574464797,44
1574464798,45
1574464799,46
1574464800,46
1574464801,47
1574464802,47
1574464803,48
1574464804,49
1574464805,49
1574464806,50
1574464807,51
1574464808,51
1574464809,51
1574464810,51
1574464811,52
1574464812,52
1574464813,53
1574464814,54
1574464815,54
1574464816,55
1574464817,55
1574464818,55
1574464819,57
1574464820,57
1574464821,58
1574464822,58
1574464823,59
1574464824,60
1574464825,60
1574464826,61
1574464827,62
1574464828,62
1574464829,63
1574464830,64
1574464831,64
1574464832,65
1574464833,66
1574464834,66
1574464835,67
1574464836,67
1574464837,68
1574464838,69
1574464839,70
1574464840,70
1574464841,71
1574464842,72
1574464843,72
1574464844,73
1574464845,73
1574464846,74
1574464847,75
1574464848,76
1574464849,76
1574464850,76
1574464851,77
1574464852,78
1574464853,79
1574464854,79
1574464855,80
1574464856,81
1574464857,81
1574464858,82
1574464859,83
1574464860,83
1574464861,84
1574464862,84
1574464863,85
1574464864,86
1574464865,86
1574464866,87
1574464867,88
1574464868,88
1574464869,89
1574464870,90
1574464871,90
1574464872,91
1574464873,92
1574464874,92
1574464875,93
1574464876,94
1574464877,94
1574464878,95
1574464879,95
1574464880,96
1574464881,97
1574464882,97
1574464883,98
1574464884,99
1574464885,99
1574464886,100
1574464887,101
1574464888,101
1574464889,102
1574464890,103
1574464891,103
1574464892,104
1574464893,104
1574464894,105
1574464895,106
1574464896,107
1574464897,107
1574464898,108
1574464899,109
1574464900,109
1574464901,110
1574464902,111
1574464903,111
1574464904,112
1574464905,113
1574464906,113
1574464907,114
1574464908,114
1574464909,115
1574464910,116
1574464911,116
1574464912,117
1574464913,117
1574464914,118
1574464915,119
1574464916,120
1574464917,120
1574464918,121
1574464919,122
1574464920,122
1574464921,123
1574464922,123
1574464923,124
1574464924,125
1574464925,125
1574464926,126
1574464927,127
1574464928,127
1574464929,128
1574464930,129
1574464931,129
1574464932,130
1574464933,131
1574464934,131
1574464935,132
1574464936,133
1574464937,133
1574464938,134
1574464939,135
1574464940,135
1574464941,136
1574464942,136
1574464943,137
1574464944,138
1574464945,139
1574464946,139
1574464947,140
1574464948,140
1574464949,141
1574464950,142
1574464951,142
1574464952,143
1574464953,144
1574464954,144
1574464955,145
1574464956,146
1574464957,146
1574464958,147
1574464959,148
1574464960,148
1574464961,149
1574464962,149
1574464963,150
1574464964,151
1574464965,152
1574464966,152
1574464967,153
1574464968,153
1574464969,154
1574464970,155
1574464971,155
1574464972,156
1574464973,157
1574464974,157
1574464975,158
1574464976,158
1574464977,159
1574464978,160
1574464980,160
1574464980,161
1574464981,161
1574464982,162
1574464983,162
1574464984,163
1574464985,164
1574464986,164
1574464987,165
