t,value
1574464738,4
1574464739,4
1574464740,4
1574464741,4
1574464742,4
1574464743,4
1574464744,4
1574464745,4
1574464746,4
1574464747,4
1574464748,4
1574464749,8
1574464750,8
1574464751,9
1574464752,9
1574464753,9
1574464754,9
1574464755,9
1574464756,9
1574464757,9
1574464758,9
1574464759,9
1574464760,8
1574464761,8
1574464762,8
1574464763,8
1574464764,8
1574464765,8
1574464766,8
1574464767,8
1574464768,8
1574464769,8
1574464770,8
1574464771,8
1574464772,8
1574464773,8
1574464774,8
1574464775,8
1574464776,8
1574464777,8
1574464778,8
1574464779,8
1574464780,8
1574464781,8
1574464782,8
1574464783,8
1574464784,8
1574464785,8
1574464786,8
1574464787,8
1574464788,8
1574464789,8
1574464790,8
1574464791,8
1574464792,8
1574464793,8
1574464794,8
1574464795,8
1574464796,8
1574464797,8
1574464798,8
1574464799,8
1574464800,8
1574464801,8
1574464802,8
1574464803,8
1574464804,8
1574464805,8
1574464806,8
1574464807,8
1574464808,8
1574464809,7
1574464810,6
1574464811,6
1574464812,6
1574464813,6
1574464814,6
1574464815,6
1574464816,6
1574464817,6
1574464818,6
1574464819,6
1574464820,6
1574464821,6
1574464822,6
1574464823,6
1574464824,6
1574464825,6
1574464826,6
1574464827,6
1574464828,6
1574464829,6
1574464830,6
1574464831,6
1574464832,6
1574464833,6
1574464834,6
1574464835,6
1574464836,6
1574464837,6
1574464838,6
1574464839,6
1574464840,6
1574464841,6
1574464842,6
1574464843,6
1574464844,6
1574464845,6
1574464846,6
1574464847,6
1574464848,6
1574464849,6
1574464850,6
1574464851,6
1574464852,6
1574464853,6
1574464854,6
1574464855,6
1574464856,6
1574464857,6
1574464858,6
1574464859,6
1574464860,6
1574464861,6
1574464862,6
1574464863,6
1574464864,6
1574464865,6
1574464866,6
1574464867,6
1574464868,6
1574464869,6
1574464870,6
1574464871,6
1574464872,6
1574464873,6
1574464874,6
1574464875,6
1574464876,6
1574464877,6
1574464878,6
1574464879,6
1574464880,6
1574464881,6
1574464882,6
1574464883,6
1574464884,6
1574464885,6
1574464886,6
1574464887,6
1574464888,6
1574464889,6
1574464890,6
1574464891,6
1574464892,6
1574464893,6
1574464894,6
1574464895,6
1574464896,6
1574464897,6
1574464898,6
1574464899,6
1574464900,6
1574464901,6
1574464902,6
1574464903,6
1574464904,6
1574464905,6
1574464906,6
1574464907,6
1574464908,6
1574464909,6
1574464910,6
1574464911,6
1574464912,6
1574464913,6
1574464914,6
1574464915,6
1574464916,6
1574464917,6
1574464918,6
1574464919,6
1574464920,6
1574464921,6
1574464922,6
1574464923,6
1574464924,6
1574464925,6
1574464926,6
1574464927,6
1574464928,6
1574464929,6
1574464930,6
1574464931,6
1574464932,6
1574464933,6
1574464934,6
1574464935,6
1574464936,6
1574464937,6
1574464938,6
1574464939,6
1574464940,6
1574464941,6
1574464942,6
1574464943,6
1574464944,6
1574464945,6
1574464946,6
1574464947,6
1574464948,6
1574464949,6
1574464950,6
1574464951,6
1574464952,6
1574464953,6
1574464954,6
1574464955,6
1574464956,6
1574464957,6
1574464958,6
1574464959,6
1574464960,6
1574464961,6
1574464962,6
1574464963,6
1574464964,6
1574464965,6
1574464966,6
1574464967,6
1574464968,6
1574464969,6
1574464970,6
1574464971,6
1574464972,6
1574464973,6
1574464974,6
1574464975,6
1574464976,6
1574464977,6
1574464978,6
1574464980,6
1574464980,6
1574464981,6
1574464982,6
1574464983,6
1574464984,6
1574464985,6
1574464986,6
1574464987,6
