t,value
1574464738,[]
1574464739,[]
1574464740,[]
1574464741,[]
1574464742,[]
1574464743,[]
1574464744,[]
1574464745,[]
1574464746,[]
1574464747,[]
1574464748,[]
1574464749,[]
1574464750,[]
1574464751,[]
1574464752,[]
1574464753,[]
1574464754,[]
1574464755,[]
1574464756,[]
1574464757,[]
1574464758,[]
1574464759,[]
1574464760,[]
1574464761,[]
1574464762,[]
1574464763,[]
1574464764,[]
1574464765,[]
1574464766,[]
1574464767,[]
1574464768,[]
1574464769,[]
1574464770,[]
1574464771,[]
1574464772,[]
1574464773,[]
1574464774,[]
1574464775,[]
1574464776,[]
1574464777,[]
1574464778,[]
1574464779,[]
1574464780,[]
1574464781,[]
1574464782,[]
1574464783,[]
1574464784,[]
1574464785,[]
1574464786,[]
1574464787,[]
1574464788,[]
1574464789,[]
1574464790,[]
1574464791,[]
1574464792,[]
1574464793,[]
1574464794,[]
1574464795,[]
1574464796,[]
1574464797,[]
1574464798,[]
1574464799,[]
1574464800,[]
1574464801,[]
1574464802,[]
1574464803,[]
1574464804,[]
1574464805,[]
1574464806,[]
1574464807,[]
1574464808,[]
1574464809,[]
1574464810,[]
1574464811,[]
1574464812,[]
1574464813,[]
1574464814,[]
1574464815,[]
1574464816,[]
1574464817,[]
1574464818,[]
1574464819,[]
1574464820,[]
1574464821,[]
1574464822,[]
1574464823,[]
1574464824,[]
1574464825,[]
1574464826,[]
1574464827,[]
1574464828,[]
1574464829,[]
1574464830,[]
1574464831,[]
1574464832,[]
1574464833,[]
1574464834,[]
1574464835,[]
1574464836,[]
1574464837,[]
1574464838,[]
1574464839,[]
1574464840,[]
1574464841,[]
1574464842,[]
1574464843,[]
1574464844,[]
1574464845,[]
1574464846,[]
1574464847,[]
1574464848,[]
1574464849,[]
1574464850,[]
1574464851,[]
1574464852,[]
1574464853,[]
1574464854,[]
1574464855,[]
1574464856,[]
1574464857,[]
1574464858,[]
1574464859,[]
1574464860,[]
1574464861,[]
1574464862,[]
1574464863,[]
1574464864,[]
1574464865,[]
1574464866,[]
1574464867,[]
1574464868,[]
1574464869,[]
1574464870,[]
1574464871,[]
1574464872,[]
1574464873,[]
1574464874,[]
1574464875,[]
1574464876,[]
1574464877,[]
1574464878,[]
1574464879,[]
1574464880,[]
1574464881,[]
1574464882,[]
1574464883,[]
1574464884,[]
1574464885,[]
1574464886,[]
1574464887,[]
1574464888,[]
1574464889,[]
1574464890,[]
1574464891,[]
1574464892,[]
1574464893,[]
1574464894,[]
1574464895,[]
1574464896,[]
1574464897,[]
1574464898,[]
1574464899,[]
1574464900,[]
1574464901,[]
1574464902,[]
1574464903,[]
1574464904,[]
1574464905,[]
1574464906,[]
1574464907,[]
1574464908,[]
1574464909,[]
1574464910,[]
1574464911,[]
1574464912,[]
1574464913,[]
1574464914,[]
1574464915,[]
1574464916,[]
1574464917,[]
1574464918,[]
1574464919,[]
1574464920,[]
1574464921,[]
1574464922,[]
1574464923,[]
1574464924,[]
1574464925,[]
1574464926,[]
1574464927,[]
1574464928,[]
1574464929,[]
1574464930,[]
1574464931,[]
1574464932,[]
1574464933,[]
1574464934,[]
1574464935,[]
1574464936,[]
1574464937,[]
1574464938,[]
1574464939,[]
1574464940,[]
1574464941,[]
1574464942,[]
1574464943,[]
1574464944,[]
1574464945,[]
1574464946,[]
1574464947,[]
1574464948,[]
1574464949,[]
1574464950,[]
1574464951,[]
1574464952,[]
1574464953,[]
1574464954,[]
1574464955,[]
1574464956,[]
1574464957,[]
1574464958,[]
1574464959,[]
1574464960,[]
1574464961,[]
1574464962,[]
1574464963,[]
1574464964,[]
1574464965,[]
1574464966,[]
1574464967,[]
1574464968,[]
1574464969,[]
1574464970,[]
1574464971,[]
1574464972,[]
1574464973,[]
1574464974,[]
1574464975,[]
1574464976,[]
1574464977,[]
1574464978,[]
1574464980,[]
1574464980,[]
1574464981,[]
1574464982,[]
1574464983,[]
1574464984,[]
1574464985,[]
1574464986,[]
1574464987,[]
