t,value
1574464738,5
1574464739,5
1574464740,5
1574464741,5
1574464742,5
1574464743,5
1574464744,5
1574464745,5
1574464746,5
1574464747,5
1574464748,5
1574464749,5
1574464750,5
1574464751,5
1574464752,5
1574464753,5
1574464754,5
1574464755,5
1574464756,5
1574464757,5
1574464758,5
1574464759,5
1574464760,5
1574464761,5
1574464762,5
1574464763,5
1574464764,5
1574464765,5
1574464766,5
1574464767,5
1574464768,5
1574464769,5
1574464770,5
1574464771,5
1574464772,5
1574464773,5
1574464774,5
1574464775,5
1574464776,5
1574464777,5
1574464778,5
1574464779,5
1574464780,5
1574464781,5
1574464782,5
1574464783,5
1574464784,5
1574464785,5
1574464786,5
1574464787,5
1574464788,5
1574464789,32
1574464790,32
1574464791,32
1574464792,32
1574464793,32
1574464794,32
1574464795,32
1574464796,32
1574464797,32
1574464798,32
1574464799,39
1574464800,39
1574464801,39
1574464802,39
1574464803,39
1574464804,39
1574464805,39
1574464806,39
1574464807,39
1574464808,39
1574464809,45
1574464810,45
1574464811,45
1574464812,45
1574464813,45
1574464814,45
1574464815,45
1574464816,45
1574464817,45
1574464818,45
1574464819,52
1574464820,52
1574464821,52
1574464822,52
1574464823,52
1574464824,52
1574464825,52
1574464826,52
1574464827,52
1574464828,52
1574464829,58
1574464830,58
1574464831,58
1574464832,58
1574464833,58
1574464834,58
1574464835,58
1574464836,58
1574464837,58
1574464838,58
1574464839,65
1574464840,65
1574464841,65
1574464842,65
1574464843,65
1574464844,65
1574464845,65
1574464846,65
1574464847,65
1574464848,65
1574464849,71
1574464850,71
1574464851,71
1574464852,71
1574464853,71
1574464854,71
1574464855,71
1574464856,71
1574464857,71
1574464858,71
1574464859,71
1574464860,78
1574464861,78
1574464862,78
1574464863,78
1574464864,78
1574464865,78
1574464866,78
1574464867,78
1574464868,78
1574464869,78
1574464870,85
1574464871,85
1574464872,85
1574464873,85
1574464874,85
1574464875,85
1574464876,85
1574464877,85
1574464878,85
1574464879,85
1574464880,91
1574464881,91
1574464882,91
1574464883,91
1574464884,91
1574464885,91
1574464886,91
1574464887,91
1574464888,91
1574464889,91
1574464890,98
1574464891,98
1574464892,98
1574464893,98
1574464894,98
1574464895,98
1574464896,98
1574464897,98
1574464898,98
1574464899,98
1574464900,104
1574464901,104
1574464902,104
1574464903,104
1574464904,104
1574464905,104
1574464906,104
1574464907,104
1574464908,104
1574464909,104
1574464910,111
1574464911,111
1574464912,111
1574464913,111
1574464914,111
1574464915,111
1574464916,111
1574464917,111
1574464918,111
1574464919,111
1574464920,117
1574464921,117
1574464922,117
1574464923,117
1574464924,117
1574464925,117
1574464926,117
1574464927,117
1574464928,117
1574464929,117
1574464930,124
1574464931,124
1574464932,124
1574464933,124
1574464934,124
1574464935,124
1574464936,124
1574464937,124
1574464938,124
1574464939,124
1574464940,130
1574464941,130
1574464942,130
1574464943,130
1574464944,130
1574464945,130
1574464946,130
1574464947,130
1574464948,130
1574464949,130
1574464950,137
1574464951,137
1574464952,137
1574464953,137
1574464954,137
1574464955,137
1574464956,137
1574464957,137
1574464958,137
1574464959,137
1574464960,143
1574464961,143
1574464962,143
1574464963,143
1574464964,143
1574464965,143
1574464966,143
1574464967,143
1574464968,143
1574464969,143
1574464970,150
1574464971,150
1574464972,150
1574464973,150
1574464974,150
1574464975,150
1574464976,150
1574464977,150
1574464978,150
1574464980,155
1574464980,155
1574464981,155
1574464982,155
1574464983,155
1574464984,155
1574464985,155
1574464986,155
1574464987,155
