t,value
1574464738,1
1574464739,1
1574464740,1
1574464741,1
1574464742,1
1574464743,1
1574464744,1
1574464745,1
1574464746,1
1574464747,1
1574464748,1
1574464749,4
1574464750,4
1574464751,4
1574464752,4
1574464753,4
1574464754,4
1574464755,4
1574464756,4
1574464757,4
1574464758,4
1574464759,5
1574464760,5
1574464761,5
1574464762,5
1574464763,5
1574464764,5
1574464765,5
1574464766,5
1574464767,5
1574464768,5
1574464769,4
1574464770,4
1574464771,4
1574464772,4
1574464773,4
1574464774,4
1574464775,4
1574464776,4
1574464777,4
1574464778,4
1574464779,4
1574464780,4
1574464781,4
1574464782,4
1574464783,4
1574464784,4
1574464785,4
1574464786,4
1574464787,4
1574464788,4
1574464789,4
1574464790,4
1574464791,4
1574464792,4
1574464793,4
1574464794,4
1574464795,4
1574464796,4
1574464797,4
1574464798,4
1574464799,4
1574464800,4
1574464801,4
1574464802,4
1574464803,4
1574464804,4
1574464805,4
1574464806,4
1574464807,4
1574464808,4
1574464809,3
1574464810,3
1574464811,3
1574464812,3
1574464813,3
1574464814,3
1574464815,3
1574464816,3
1574464817,3
1574464818,3
1574464819,2
1574464820,2
1574464821,2
1574464822,2
1574464823,2
1574464824,2
1574464825,2
1574464826,2
1574464827,2
1574464828,2
1574464829,2
1574464830,2
1574464831,2
1574464832,2
1574464833,2
1574464834,2
1574464835,2
1574464836,2
1574464837,2
1574464838,2
1574464839,2
1574464840,2
1574464841,2
1574464842,2
1574464843,2
1574464844,2
1574464845,2
1574464846,2
1574464847,2
1574464848,2
1574464849,2
1574464850,2
1574464851,2
1574464852,2
1574464853,2
1574464854,2
1574464855,2
1574464856,2
1574464857,2
1574464858,2
1574464859,2
1574464860,2
1574464861,2
1574464862,2
1574464863,2
1574464864,2
1574464865,2
1574464866,2
1574464867,2
1574464868,2
1574464869,2
1574464870,2
1574464871,2
1574464872,2
1574464873,2
1574464874,2
1574464875,2
1574464876,2
1574464877,2
1574464878,2
1574464879,2
1574464880,2
1574464881,2
1574464882,2
1574464883,2
1574464884,2
1574464885,2
1574464886,2
1574464887,2
1574464888,2
1574464889,2
1574464890,2
1574464891,2
1574464892,2
1574464893,2
1574464894,2
1574464895,2
1574464896,2
1574464897,2
1574464898,2
1574464899,2
1574464900,2
1574464901,2
1574464902,2
1574464903,2
1574464904,2
1574464905,2
1574464906,2
1574464907,2
1574464908,2
1574464909,2
1574464910,2
1574464911,2
1574464912,2
1574464913,2
1574464914,2
1574464915,2
1574464916,2
1574464917,2
1574464918,2
1574464919,2
1574464920,2
1574464921,2
1574464922,2
1574464923,2
1574464924,2
1574464925,2
1574464926,2
1574464927,2
1574464928,2
1574464929,2
1574464930,2
1574464931,2
1574464932,2
1574464933,2
1574464934,2
1574464935,2
1574464936,2
1574464937,2
1574464938,2
1574464939,2
1574464940,2
1574464941,2
1574464942,2
1574464943,2
1574464944,2
1574464945,2
1574464946,2
1574464947,2
1574464948,2
1574464949,2
1574464950,2
1574464951,2
1574464952,2
1574464953,2
1574464954,2
1574464955,2
1574464956,2
1574464957,2
1574464958,2
1574464959,2
1574464960,2
1574464961,2
1574464962,2
1574464963,2
1574464964,2
1574464965,2
1574464966,2
1574464967,2
1574464968,2
1574464969,2
1574464970,2
1574464971,2
1574464972,2
1574464973,2
1574464974,2
1574464975,2
1574464976,2
1574464977,2
1574464978,2
1574464980,2
1574464980,2
1574464981,2
1574464982,2
1574464983,2
1574464984,2
1574464985,2
1574464986,2
1574464987,2
