t,value
1574455529,504889344
1574455530,504889344
1574455531,504889344
1574455532,504889344
1574455533,504889344
1574455534,504889344
1574455535,504889344
1574455536,504889344
1574455537,504889344
1574455538,504889344
1574455539,1579155456
1574455540,1579155456
1574455541,1579155456
1574455542,1579155456
1574455543,1579155456
1574455544,1579155456
1574455545,1579155456
1574455546,1579155456
1574455547,1579155456
1574455548,1579155456
1574455549,3320315904
1574455550,3320315904
1574455551,3320315904
1574455552,3320315904
1574455553,3405774848
1574455554,3405774848
1574455555,3405774848
1574455556,3405774848
1574455557,3435659264
1574455558,3435659264
1574455559,3435659264
1574455560,3453485056
1574455561,3453485056
1574455562,3453485056
1574455563,3453485056
1574455564,3470786560
1574455565,3470786560
1574455566,3470786560
1574455567,3477602304
1574455568,3477602304
1574455569,3477602304
1574455570,3493330944
1574455571,3493330944
1574455572,3493330944
1574455573,3491758080
1574455574,3491758080
1574455575,3491758080
1574455576,3504865280
1574455577,3504865280
1574455578,3498049536
1574455579,3498049536
1574455580,3498049536
1574455581,3508535296
1574455582,3508535296
1574455583,3495952384
1574455584,3495952384
1574455585,3495952384
1574455586,3503816704
1574455587,3503816704
1574455588,3492282368
1574455589,3492282368
1574455590,3498573824
1574455591,3498573824
1574455592,3487039488
1574455593,3487039488
1574455594,3487039488
1574455595,3492806656
1574455596,3492806656
1574455597,3494903808
1574455598,3495952384
1574455599,3495952384
1574455600,3492282368
1574455601,3492282368
1574455602,3494903808
1574455603,3494903808
1574455604,3488612352
1574455605,3488612352
1574455606,3405250560
1574455607,3483893760
1574455608,3483893760
1574455609,3407872000
1574455610,3407872000
1574455611,3479175168
1574455612,3410493440
1574455613,3410493440
1574455614,3473408000
1574455615,3473408000
1574455616,3413114880
1574455617,3469737984
1574455618,3469737984
1574455619,3415212032
1574455620,3465543680
1574455621,3465543680
1574455622,3417309184
1574455623,3462397952
1574455624,3420454912
1574455625,3420454912
1574455626,3459252224
1574455627,3461873664
1574455628,3461873664
1574455629,3456630784
1574455630,3459252224
1574455631,3455057920
1574455632,3455057920
1574455633,3457155072
1574455634,3453485056
1574455635,3455582208
1574455636,3453485056
1574455637,3453485056
1574455638,3455057920
1574455639,3453485056
1574455640,3454533632
1574455641,3452960768
1574455642,3452960768
1574455643,3454533632
1574455644,3454533632
1574455645,3455582208
1574455646,3455057920
1574455647,3456106496
1574455648,3456106496
1574455649,3457679360
1574455650,3457679360
1574455651,3458727936
1574455652,3459252224
1574455653,3460825088
1574455654,3461349376
1574455655,3461349376
1574455656,3462397952
1574455657,3462922240
1574455658,3465019392
1574455659,3465543680
1574455660,3467116544
1574455661,3467640832
1574455662,3469737984
1574455663,3470262272
1574455664,3472883712
1574455665,3472883712
1574455666,3474980864
1574455667,3475505152
1574455668,3478650880
1574455669,3478650880
1574455670,3478650880
1574455671,3481272320
1574455672,3481796608
1574455673,3483893760
1574455674,3484418048
1574455675,3487563776
1574455676,3487563776
1574455677,3490709504
1574455678,3490709504
1574455679,3493855232
1574455680,3493855232
1574455681,3497525248
1574455682,3497525248
1574455683,3501195264
1574455684,3501195264
1574455685,3504865280
1574455686,3504865280
1574455687,3508535296
1574455688,3511681024
1574455689,3511681024
1574455690,3515351040
1574455691,3515351040
1574455692,3519021056
1574455693,3519021056
1574455694,3522691072
1574455695,3522691072
1574455696,3526361088
1574455697,3526361088
1574455698,3530555392
1574455699,3530555392
1574455700,3534749696
1574455701,3534749696
1574455702,3538944000
1574455703,3538944000
1574455704,3543138304
1574455705,3546284032
1574455706,3546808320
1574455707,3549954048
1574455708,3550478336
1574455709,3554672640
1574455710,3554672640
1574455711,3558866944
1574455712,3558866944
1574455713,3563061248
1574455714,3563061248
1574455715,3567255552
1574455716,3567255552
1574455717,3571449856
1574455718,3576168448
1574455719,3576168448
1574455720,3579838464
1574455721,3580362752
1574455722,3585081344
1574455723,3585081344
1574455724,3590324224
1574455725,3590324224
1574455726,3593994240
1574455727,3594518528
1574455728,3598712832
1574455729,3598712832
1574455730,3602907136
1574455731,3602907136
1574455732,3607101440
1574455733,3607101440
1574455734,3611295744
1574455735,3611295744
1574455736,3614965760
1574455737,3616014336
1574455738,3621781504
1574455739,3626500096
1574455740,3627024384
1574455741,3631218688
1574455742,3631742976
1574455743,3635937280
1574455744,3636461568
1574455745,3636461568
1574455746,3640655872
1574455747,3640655872
1574455748,3645374464
1574455749,3645374464
1574455750,3649044480
1574455751,3649044480
1574455752,3652714496
1574455753,3652714496
1574455754,3656384512
1574455755,3656384512
1574455756,3660054528
1574455757,3660054528
1574455758,3664248832
1574455759,3664248832
1574455760,3668443136
1574455761,3668443136
1574455762,3672113152
1574455763,3672113152
