t,value
1574455529,526385152
1574455530,526385152
1574455531,526385152
1574455532,526385152
1574455533,526385152
1574455534,526385152
1574455535,526385152
1574455536,526385152
1574455537,526385152
1574455538,526385152
1574455539,526385152
1574455540,526385152
1574455541,526385152
1574455542,526385152
1574455543,526385152
1574455544,526385152
1574455545,526385152
1574455546,526385152
1574455547,526385152
1574455548,526385152
1574455549,526385152
1574455550,526385152
1574455551,526385152
1574455552,526385152
1574455553,526385152
1574455554,526385152
1574455555,526385152
1574455556,526385152
1574455557,526385152
1574455558,526385152
1574455559,526385152
1574455560,526385152
1574455561,526385152
1574455562,526385152
1574455563,526385152
1574455564,526385152
1574455565,526385152
1574455566,526385152
1574455567,526385152
1574455568,526385152
1574455569,526385152
1574455570,526385152
1574455571,526385152
1574455572,526385152
1574455573,526385152
1574455574,526385152
1574455575,526385152
1574455576,526385152
1574455577,526385152
1574455578,526385152
1574455579,526385152
1574455580,526385152
1574455581,526385152
1574455582,526385152
1574455583,526385152
1574455584,526385152
1574455585,526385152
1574455586,526385152
1574455587,526385152
1574455588,526385152
1574455589,526385152
1574455590,526385152
1574455591,526385152
1574455592,526385152
1574455593,526385152
1574455594,526385152
1574455595,526385152
1574455596,526385152
1574455597,526385152
1574455598,526385152
1574455599,526385152
1574455600,526385152
1574455601,526385152
1574455602,526385152
1574455603,526385152
1574455604,526385152
1574455605,526385152
1574455606,526385152
1574455607,526385152
1574455608,526385152
1574455609,526385152
1574455610,526385152
1574455611,526385152
1574455612,526385152
1574455613,526385152
1574455614,526385152
1574455615,526385152
1574455616,526385152
1574455617,526385152
1574455618,526385152
1574455619,526385152
1574455620,526385152
1574455621,526385152
1574455622,526385152
1574455623,526385152
1574455624,526385152
1574455625,526385152
1574455626,526385152
1574455627,526385152
1574455628,526385152
1574455629,526385152
1574455630,526385152
1574455631,526385152
1574455632,526385152
1574455633,526385152
1574455634,526385152
1574455635,526385152
1574455636,526385152
1574455637,526385152
1574455638,526385152
1574455639,526385152
1574455640,526385152
1574455641,526385152
1574455642,526385152
1574455643,526385152
1574455644,526385152
1574455645,526385152
1574455646,526385152
1574455647,526385152
1574455648,526385152
1574455649,526385152
1574455650,526385152
1574455651,526385152
1574455652,526385152
1574455653,526385152
1574455654,526385152
1574455655,526385152
1574455656,526385152
1574455657,526385152
1574455658,526385152
1574455659,526385152
1574455660,526385152
1574455661,526385152
1574455662,526385152
1574455663,526385152
1574455664,526385152
1574455665,526385152
1574455666,526385152
1574455667,526385152
1574455668,526385152
1574455669,526385152
1574455670,526385152
1574455671,526385152
1574455672,526385152
1574455673,526385152
1574455674,526385152
1574455675,526385152
1574455676,526385152
1574455677,526385152
1574455678,526385152
1574455679,526385152
1574455680,526385152
1574455681,526385152
1574455682,526385152
1574455683,526385152
1574455684,526385152
1574455685,526385152
1574455686,526385152
1574455687,526385152
1574455688,526385152
1574455689,526385152
1574455690,526385152
1574455691,526385152
1574455692,526385152
1574455693,526385152
1574455694,526385152
1574455695,526385152
1574455696,526385152
1574455697,526385152
1574455698,526385152
1574455699,526385152
1574455700,526385152
1574455701,526385152
1574455702,526385152
1574455703,526385152
1574455704,526385152
1574455705,526385152
1574455706,526385152
1574455707,526385152
1574455708,526385152
1574455709,526385152
1574455710,526385152
1574455711,526385152
1574455712,526385152
1574455713,526385152
1574455714,526385152
1574455715,526385152
1574455716,526385152
1574455717,526385152
1574455718,526385152
1574455719,526385152
1574455720,526385152
1574455721,526385152
1574455722,526385152
1574455723,526385152
1574455724,526385152
1574455725,526385152
1574455726,526385152
1574455727,526385152
1574455728,526385152
1574455729,526385152
1574455730,526385152
1574455731,526385152
1574455732,526385152
1574455733,526385152
1574455734,526385152
1574455735,526385152
1574455736,526385152
1574455737,526385152
1574455738,526385152
1574455739,526385152
1574455740,526385152
1574455741,526385152
1574455742,526385152
1574455743,526385152
1574455744,526385152
1574455745,526385152
1574455746,526385152
1574455747,526385152
1574455748,526385152
1574455749,526385152
1574455750,526385152
1574455751,526385152
1574455752,526385152
1574455753,526385152
1574455754,526385152
1574455755,526385152
1574455756,526385152
1574455757,526385152
1574455758,526385152
1574455759,526385152
1574455760,526385152
1574455761,526385152
1574455762,526385152
1574455763,526385152
