t,value
1574455529,7465861120
1574455530,7465861120
1574455531,7465861120
1574455532,7465861120
1574455533,7465861120
1574455534,7465861120
1574455535,7465861120
1574455536,7465861120
1574455537,7465861120
1574455538,7465861120
1574455539,7465861120
1574455540,7465861120
1574455541,7465861120
1574455542,7465861120
1574455543,7465861120
1574455544,7465861120
1574455545,7465861120
1574455546,7465861120
1574455547,7465861120
1574455548,7465861120
1574455549,7465861120
1574455550,7465861120
1574455551,7465861120
1574455552,7465861120
1574455553,7465861120
1574455554,7465861120
1574455555,7465861120
1574455556,7465861120
1574455557,7465861120
1574455558,7465861120
1574455559,7465861120
1574455560,7465861120
1574455561,7465861120
1574455562,7465861120
1574455563,7465861120
1574455564,7465861120
1574455565,7465861120
1574455566,7465861120
1574455567,7465861120
1574455568,7465861120
1574455569,7465861120
1574455570,7465861120
1574455571,7465861120
1574455572,7465861120
1574455573,7465861120
1574455574,7465861120
1574455575,7465861120
1574455576,7465861120
1574455577,7465861120
1574455578,7465861120
1574455579,7465861120
1574455580,7465861120
1574455581,7465861120
1574455582,7465861120
1574455583,7465861120
1574455584,7465861120
1574455585,7465861120
1574455586,7465861120
1574455587,7465861120
1574455588,7465861120
1574455589,7465861120
1574455590,7465861120
1574455591,7465861120
1574455592,7465861120
1574455593,7465861120
1574455594,7465861120
1574455595,7465861120
1574455596,7465861120
1574455597,7465861120
1574455598,7465861120
1574455599,7465861120
1574455600,7465861120
1574455601,7465861120
1574455602,7465861120
1574455603,7465861120
1574455604,7465861120
1574455605,7465861120
1574455606,7465861120
1574455607,7465861120
1574455608,7465861120
1574455609,7465861120
1574455610,7465861120
1574455611,7465861120
1574455612,7465861120
1574455613,7465861120
1574455614,7465861120
1574455615,7465861120
1574455616,7465861120
1574455617,7465861120
1574455618,7465861120
1574455619,7465861120
1574455620,7465861120
1574455621,7465861120
1574455622,7465861120
1574455623,7465861120
1574455624,7465861120
1574455625,7465861120
1574455626,7465861120
1574455627,7465861120
1574455628,7465861120
1574455629,7465861120
1574455630,7465861120
1574455631,7465861120
1574455632,7465861120
1574455633,7465861120
1574455634,7465861120
1574455635,7465861120
1574455636,7465861120
1574455637,7465861120
1574455638,7465861120
1574455639,7465861120
1574455640,7465861120
1574455641,7465861120
1574455642,7465861120
1574455643,7465861120
1574455644,7465861120
1574455645,7465861120
1574455646,7465861120
1574455647,7465861120
1574455648,7465861120
1574455649,7465861120
1574455650,7465861120
1574455651,7465861120
1574455652,7465861120
1574455653,7465861120
1574455654,7465861120
1574455655,7465861120
1574455656,7465861120
1574455657,7465861120
1574455658,7465861120
1574455659,7465861120
1574455660,7465861120
1574455661,7465861120
1574455662,7465861120
1574455663,7465861120
1574455664,7465861120
1574455665,7465861120
1574455666,7465861120
1574455667,7465861120
1574455668,7465861120
1574455669,7465861120
1574455670,7465861120
1574455671,7465861120
1574455672,7465861120
1574455673,7465861120
1574455674,7465861120
1574455675,7465861120
1574455676,7465861120
1574455677,7465861120
1574455678,7465861120
1574455679,7465861120
1574455680,7465861120
1574455681,7465861120
1574455682,7465861120
1574455683,7465861120
1574455684,7465861120
1574455685,7465861120
1574455686,7465861120
1574455687,7465861120
1574455688,7465861120
1574455689,7465861120
1574455690,7465861120
1574455691,7465861120
1574455692,7465861120
1574455693,7465861120
1574455694,7465861120
1574455695,7465861120
1574455696,7465861120
1574455697,7465861120
1574455698,7465861120
1574455699,7465861120
1574455700,7465861120
1574455701,7465861120
1574455702,7465861120
1574455703,7465861120
1574455704,7465861120
1574455705,7465861120
1574455706,7465861120
1574455707,7465861120
1574455708,7465861120
1574455709,7465861120
1574455710,7465861120
1574455711,7465861120
1574455712,7465861120
1574455713,7465861120
1574455714,7465861120
1574455715,7465861120
1574455716,7465861120
1574455717,7465861120
1574455718,7465861120
1574455719,7465861120
1574455720,7465861120
1574455721,7465861120
1574455722,7465861120
1574455723,7465861120
1574455724,7465861120
1574455725,7465861120
1574455726,7465861120
1574455727,7465861120
1574455728,7465861120
1574455729,7465861120
1574455730,7465861120
1574455731,7465861120
1574455732,7465861120
1574455733,7465861120
1574455734,7465861120
1574455735,7465861120
1574455736,7465861120
1574455737,7465861120
1574455738,7465861120
1574455739,7465861120
1574455740,7465861120
1574455741,7465861120
1574455742,7465861120
1574455743,7465861120
1574455744,7465861120
1574455745,7465861120
1574455746,7465861120
1574455747,7465861120
1574455748,7465861120
1574455749,7465861120
1574455750,7465861120
1574455751,7465861120
1574455752,7465861120
1574455753,7465861120
1574455754,7465861120
1574455755,7465861120
1574455756,7465861120
1574455757,7465861120
1574455758,7465861120
1574455759,7465861120
1574455760,7465861120
1574455761,7465861120
1574455762,7465861120
1574455763,7465861120
