t,value
1574455529,26424408
1574455530,26424408
1574455531,26424408
1574455532,29075024
1574455533,29075024
1574455534,29075024
1574455535,29075024
1574455536,31717432
1574455537,31717432
1574455538,63428608
1574455539,1179672376
1574455540,1182314816
1574455541,1184957752
1574455542,1190242600
1574455543,1192885072
1574455544,1198170440
1574455545,1200812888
1574455546,1203455296
1574455547,1205862416
1574455548,1094128800
1574455549,2165467120
1574455550,2223966944
1574455551,2294551256
1574455552,2343022016
1574455553,2233316480
1574455554,2296940544
1574455555,2367010576
1574455556,2445961360
1574455557,2224914144
1574455558,2305382592
1574455559,2390772784
1574455560,2176409448
1574455561,2276677184
1574455562,2372951856
1574455563,2479666744
1574455564,2237013520
1574455565,2349059056
1574455566,2470288488
1574455567,2234079128
1574455568,2356684704
1574455569,2484355832
1574455570,2222074024
1574455571,2357385328
1574455572,2494183936
1574455573,2244179480
1574455574,2388045904
1574455575,2540118072
1574455576,2275587752
1574455577,2435295200
1574455578,2177747360
1574455579,2343712776
1574455580,2511435160
1574455581,2246644120
1574455582,2428166928
1574455583,2173749120
1574455584,2357837680
1574455585,2542081800
1574455586,2286244432
1574455587,2482550168
1574455588,2237695112
1574455589,2444898312
1574455590,2203535832
1574455591,2411097752
1574455592,2167603424
1574455593,2385007704
1574455594,2607389800
1574455595,2377513984
1574455596,2608265616
1574455597,2389627440
1574455598,2165603800
1574455599,2410634040
1574455600,2191988480
1574455601,2442377720
1574455602,2236327904
1574455603,2497184152
1574455604,2299032264
1574455605,2564228240
1574455606,2366878576
1574455607,2177246520
1574455608,2453496024
1574455609,2266810432
1574455610,2549732880
1574455611,2368106304
1574455612,2186351304
1574455613,2486939024
1574455614,2316677024
1574455615,2615603824
1574455616,2446926760
1574455617,2285807808
1574455618,2591196056
1574455619,2438690176
1574455620,2288834096
1574455621,2618085648
1574455622,2472563384
1574455623,2330737200
1574455624,2192026232
1574455625,2530527632
1574455626,2399599664
1574455627,2270602784
1574455628,2622234544
1574455629,2501096696
1574455630,2381793936
1574455631,2263477336
1574455632,2634726152
1574455633,2516071648
1574455634,2397708128
1574455635,2283069280
1574455636,2170709352
1574455637,2556239584
1574455638,2452464560
1574455639,2357096064
1574455640,2259933960
1574455641,2177953960
1574455642,2576404440
1574455643,2505367088
1574455644,2413323016
1574455645,2327790840
1574455646,2248819872
1574455647,2173649240
1574455648,2606074856
1574455649,2531234440
1574455650,2458807248
1574455651,2395953880
1574455652,2328604904
1574455653,2272608560
1574455654,2218075480
1574455655,2669550608
1574455656,2617825000
1574455657,2583915632
1574455658,2543742232
1574455659,2492558208
1574455660,2449337888
1574455661,2408162024
1574455662,2389609984
1574455663,2339466408
1574455664,2318449528
1574455665,2286642408
1574455666,2253154944
1574455667,2240148008
1574455668,2211437112
1574455669,2197993384
1574455670,2167287384
1574455671,2684654744
1574455672,2659878776
1574455673,2651834048
1574455674,2639229064
1574455675,2640132648
1574455676,2638990624
1574455677,2645162600
1574455678,2659241256
1574455679,2660243192
1574455680,2663076856
1574455681,2675459592
1574455682,2679527992
1574455683,2681147264
1574455684,2697197320
1574455685,2708454464
1574455686,2171562928
1574455687,2200454616
1574455688,2225434072
1574455689,2246716512
1574455690,2257151072
1574455691,2280509688
1574455692,2320638816
1574455693,2343243904
1574455694,2391002536
1574455695,2413529072
1574455696,2453704624
1574455697,2504026904
1574455698,2531667360
1574455699,2574884560
1574455700,2594312320
1574455701,2640324456
1574455702,2682989552
1574455703,2717084256
1574455704,2760357632
1574455705,2337942816
1574455706,2253375152
1574455707,2285782952
1574455708,2328814456
1574455709,2381799576
1574455710,2417331904
1574455711,2479322504
1574455712,2525805520
1574455713,2583439968
1574455714,2639504176
1574455715,2689876704
1574455716,2752593960
1574455717,2190095584
1574455718,2220497408
1574455719,2261620152
1574455720,2298525976
1574455721,2344363336
1574455722,2394746696
1574455723,2424248248
1574455724,2461534704
1574455725,2496797872
1574455726,2519246304
1574455727,2557086408
1574455728,2593106592
1574455729,2626901512
1574455730,2661825960
1574455731,2687044208
1574455732,2725563152
1574455733,2762691224
1574455734,2802424504
1574455735,2822836936
1574455736,2192439488
1574455737,2193328184
1574455738,2231633728
1574455739,2229531384
1574455740,2215915592
1574455741,2231913744
1574455742,2213665056
1574455743,2221076016
1574455744,2212198360
1574455745,2200635816
1574455746,2192502144
1574455747,2194928664
1574455748,2864629048
1574455749,2839927728
1574455750,2823551160
1574455751,2801314808
1574455752,2792393456
1574455753,2781893840
1574455754,2751306216
1574455755,2716771296
1574455756,2688550608
1574455757,2658984672
1574455758,2623125920
1574455759,2576597560
1574455760,2545774536
1574455761,2507695696
1574455762,2555710456
1574455763,2504696000
