t,value
1574455529,-1.1647432E7
1574455530,-1.1939432E7
1574455531,-1.2228704E7
1574455532,-1.2346464E7
1574455533,-1.2447032E7
1574455534,-1.2589952E7
1574455535,-1.2640496E7
1574455536,-1.2750536E7
1574455537,-1.2755464E7
1574455538,-2.166652E7
1574455539,-3.00532E7
1574455540,-3.1211536E7
1574455541,-3.128408E7
1574455542,-3.1315016E7
1574455543,-3.1418936E7
1574455544,-3.1432784E7
1574455545,-3.14416E7
1574455546,-3.15552E7
1574455547,-3.1557312E7
1574455548,-3.1598208E7
1574455549,-3.1581704E7
1574455550,-3.2392824E7
1574455551,-3.2765912E7
1574455552,-3.2831064E7
1574455553,-3.2888824E7
1574455554,-3.3054584E7
1574455555,-3.3520952E7
1574455556,-3.3322144E7
1574455557,-3.3349712E7
1574455558,-3.3361328E7
1574455559,-3.291752E7
1574455560,-3.2939472E7
1574455561,-3.2953408E7
1574455562,-3.2956992E7
1574455563,-3.296448E7
1574455564,-3.2975232E7
1574455565,-3.2986816E7
1574455566,-3.308736E7
1574455567,-3.3091968E7
1574455568,-3.3094528E7
1574455569,-3.3094528E7
1574455570,-3.2832096E7
1574455571,-3.2832096E7
1574455572,-3.2660272E7
1574455573,-3.2661168E7
1574455574,-3.2662192E7
1574455575,-3.2683824E7
1574455576,-3.2687024E7
1574455577,-3.268536E7
1574455578,-3.268536E7
1574455579,-3.268628E7
1574455580,-3.2688024E7
1574455581,-3.2688024E7
1574455582,-3.2687544E7
1574455583,-3.2687544E7
1574455584,-3.2679736E7
1574455585,-3.2681976E7
1574455586,-3.2687352E7
1574455587,-3.265328E7
1574455588,-3.2654504E7
1574455589,-3.2654504E7
1574455590,-3.2661352E7
1574455591,-3.2673736E7
1574455592,-3.2673736E7
1574455593,-3.2674568E7
1574455594,-3.2671368E7
1574455595,-3.2671368E7
1574455596,-3.2671368E7
1574455597,-3.2671368E7
1574455598,-3.2671592E7
1574455599,-3.2671592E7
1574455600,-3.2671592E7
1574455601,-3.2674464E7
1574455602,-3.2674464E7
1574455603,-3.2676128E7
1574455604,-3.268208E7
1574455605,-3.268208E7
1574455606,-3.268208E7
1574455607,-3.2645728E7
1574455608,-3.2635904E7
1574455609,-3.2635904E7
1574455610,-3.2635904E7
1574455611,-3.2635904E7
1574455612,-3.2645512E7
1574455613,-3.2639288E7
1574455614,-3.2635E7
1574455615,-3.2631368E7
1574455616,-3.2631368E7
1574455617,-3.2631368E7
1574455618,-3.2381E7
1574455619,-3.2385672E7
1574455620,-3.2391496E7
1574455621,-3.2400584E7
1574455622,-3.2416776E7
1574455623,-3.2419976E7
1574455624,-3.2537328E7
1574455625,-3.2546608E7
1574455626,-3.2546608E7
1574455627,-3.2547376E7
1574455628,-3.2551176E7
1574455629,-3.2551176E7
1574455630,-3.2549576E7
1574455631,-3.2549576E7
1574455632,-3.2549576E7
1574455633,-3.2549576E7
1574455634,-3.2550984E7
1574455635,-3.254764E7
1574455636,-3.2557264E7
1574455637,-3.2557264E7
1574455638,-3.2557264E7
1574455639,-3.2548864E7
1574455640,-3.2548864E7
1574455641,-3.2548864E7
1574455642,-3.2548864E7
1574455643,-3.2548864E7
1574455644,-3.2548864E7
1574455645,-3.254412E7
1574455646,-3.254412E7
1574455647,-3.254412E7
1574455648,-3.2546224E7
1574455649,-3.254728E7
1574455650,-3.254728E7
1574455651,-3.2549736E7
1574455652,-3.2549736E7
1574455653,-3.2550872E7
1574455654,-3.2563032E7
1574455655,-3.2572568E7
1574455656,-3.2277344E7
