t,value
1574455529,11657528
1574455530,11939432
1574455531,12238208
1574455532,12346464
1574455533,12447032
1574455534,12589952
1574455535,12640496
1574455536,12750536
1574455537,12755464
1574455538,21690360
1574455539,30068120
1574455540,31211536
1574455541,31284080
1574455542,31315016
1574455543,31418936
1574455544,31432784
1574455545,31441600
1574455546,31555200
1574455547,31557312
1574455548,31598208
1574455549,31581704
1574455550,32408120
1574455551,32765912
1574455552,32843416
1574455553,32934520
1574455554,33054584
1574455555,33520952
1574455556,33322144
1574455557,33350912
1574455558,33361328
1574455559,32917520
1574455560,32939472
1574455561,32953408
1574455562,32956992
1574455563,32964480
1574455564,32977344
1574455565,32986816
1574455566,33087360
1574455567,33091968
1574455568,33094528
1574455569,33094528
1574455570,32832096
1574455571,32832096
1574455572,32660272
1574455573,32661168
1574455574,32662192
1574455575,32683824
1574455576,32687024
1574455577,32685360
1574455578,32685360
1574455579,32686280
1574455580,32688024
1574455581,32688024
1574455582,32687544
1574455583,32687544
1574455584,32679736
1574455585,32681976
1574455586,32687352
1574455587,32653280
1574455588,32654504
1574455589,32654504
1574455590,32661352
1574455591,32673736
1574455592,32674568
1574455593,32674568
1574455594,32671368
1574455595,32671368
1574455596,32671368
1574455597,32671368
1574455598,32671592
1574455599,32671592
1574455600,32671592
1574455601,32674464
1574455602,32674464
1574455603,32676128
1574455604,32682080
1574455605,32682080
1574455606,32682080
1574455607,32645728
1574455608,32635904
1574455609,32635904
1574455610,32635904
1574455611,32635904
1574455612,32645512
1574455613,32639288
1574455614,32635000
1574455615,32631368
1574455616,32631368
1574455617,32631368
1574455618,32381000
1574455619,32385672
1574455620,32391496
1574455621,32400584
1574455622,32416776
1574455623,32419976
1574455624,32537328
1574455625,32546608
1574455626,32546608
1574455627,32547376
1574455628,32551176
1574455629,32549576
1574455630,32549576
1574455631,32549576
1574455632,32549576
1574455633,32549576
1574455634,32550984
1574455635,32547640
1574455636,32557264
1574455637,32557264
1574455638,32557264
1574455639,32548864
1574455640,32548864
1574455641,32548864
1574455642,32548864
1574455643,32548864
1574455644,32548864
1574455645,32544120
1574455646,32544120
1574455647,32544120
1574455648,32546224
1574455649,32547280
1574455650,32547280
1574455651,32549736
1574455652,32549736
1574455653,32550872
1574455654,32563032
1574455655,32572568
1574455656,32277344
1574455657,32315976
1574455658,32317832
1574455659,32317832
1574455660,32320824
1574455661,32320824
1574455662,32320824
1574455663,32320824
1574455664,32327800
1574455665,32327800
1574455666,32327800
1574455667,32330232
1574455668,32330232
1574455669,32330232
1574455670,32330232
1574455671,32330232
1574455672,32330232
1574455673,32330232
1574455674,32330232
1574455675,32330232
1574455676,32330232
1574455677,32330232
1574455678,32330232
1574455679,32330232
1574455680,32330232
1574455681,32330936
1574455682,32330936
1574455683,32331640
1574455684,32280760
1574455685,32279032
1574455686,32279032
1574455687,32279032
1574455688,32279032
1574455689,32279032
1574455690,32279032
1574455691,32279032
1574455692,32285368
1574455693,32285368
1574455694,32285368
1574455695,32285368
1574455696,32285368
1574455697,32286520
1574455698,32286520
1574455699,32288376
1574455700,32293944
1574455701,32293944
1574455702,32293944
1574455703,32293944
1574455704,32293944
1574455705,32293944
1574455706,32296880
1574455707,32296880
1574455708,32294088
1574455709,32294088
1574455710,32294088
1574455711,32294088
1574455712,32294984
1574455713,32294984
1574455714,32294984
1574455715,32297032
1574455716,32297032
1574455717,32297032
1574455718,32297032
1574455719,32297032
1574455720,32305736
1574455721,32306696
1574455722,32306696
1574455723,32306696
1574455724,32306792
1574455725,32306792
1574455726,32306792
1574455727,32306792
1574455728,32306792
1574455729,32313000
1574455730,32316936
1574455731,32316936
1574455732,32316936
1574455733,32310600
1574455734,32310600
1574455735,32310600
1574455736,32310600
1574455737,32296008
1574455738,32296008
1574455739,32295816
1574455740,32295816
1574455741,32295816
1574455742,32298368
1574455743,32298368
1574455744,32298368
1574455745,32298368
1574455746,32298368
1574455747,32298368
1574455748,32298368
1574455749,32298368
1574455750,32298368
1574455751,32298368
1574455752,32298368
1574455753,32298368
1574455754,32298368
1574455755,32298368
1574455756,32298368
1574455757,32298368
1574455758,32298368
1574455759,32298368
1574455760,32298368
1574455761,32298368
1574455762,32298368
1574455763,32789240
